META; english/fa-cup/barrow-v-tranmere; 2016-10-10 16:23:31 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 13/8; ; 17/10; ; 6/4; ; 31/20; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; 23/10; ; 11/5; ; 23/10; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-11 12:23:47 GMT+3; 2016-10-15 15:00; e70300-dr003
Tranmere; 6/4; ; 31/20; ; 7/5; 7/5; 29/20; 7/5; 8/5; ; ; ; ; ; ; ; 7/5; ; ; ; 7/5; ; ; ; ; ; ; ; 
Barrow; 13/8; ; 17/10; ; 6/4; 6/4; 31/20; 6/4; 13/8; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; ; 
Draw; 5/2; ; 23/10; ; 11/5; 23/10; 23/10; 23/10; 5/2; ; ; ; ; ; ; ; 9/4; ; ; ; 9/4; ; ; ; ; ; ; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-11 16:24:14 GMT+3; 2016-10-15 15:00; e70300-dr003
Tranmere; 6/4; ; 31/20; 29/20; 7/5; 7/5; 29/20; 7/5; 8/5; ; ; ; ; ; ; ; 7/5; ; ; ; 7/5; ; ; ; ; ; ; ; 
Barrow; 13/8; ; 17/10; 31/20; 6/4; 6/4; 31/20; 6/4; 13/8; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; ; 
Draw; 5/2; ; 23/10; 11/5; 11/5; 23/10; 23/10; 23/10; 5/2; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-11 20:23:47 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; ; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 8/5; 8/5; ; ; 6/4; ; ; ; 7/5; ; ; ; 7/5; ; ; ; ; ; ; 7/5; 
Tranmere; 13/8; ; 7/4; 31/20; 6/4; 7/5; 13/8; 6/4; 7/4; 17/10; ; ; 13/8; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 6/4; 
Draw; 5/2; ; 11/5; 21/10; 11/5; 23/10; 85/40; 23/10; 12/5; 23/10; ; ; 23/10; ; ; ; 11/5; ; ; ; 11/5; ; ; ; ; ; ; 19/10; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-12 00:22:41 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; ; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 8/5; 8/5; ; ; 6/4; ; ; ; 7/5; ; ; ; 7/5; ; ; ; ; ; ; 7/5; 
Tranmere; 13/8; ; 7/4; 31/20; 6/4; 7/5; 13/8; 6/4; 7/4; 17/10; ; ; 13/8; ; ; ; 17/11; ; ; ; 17/11; ; ; ; ; ; ; 6/4; 
Draw; 5/2; ; 11/5; 21/10; 11/5; 23/10; 85/40; 11/5; 12/5; 23/10; ; ; 23/10; ; ; ; 28/13; ; ; ; 28/13; ; ; ; ; ; ; 19/10; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-12 08:22:41 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; ; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 8/5; 8/5; ; ; 6/4; ; ; ; 7/5; ; ; ; 7/5; ; ; ; ; ; ; ; 
Tranmere; 13/8; ; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 17/10; ; ; 13/8; ; ; ; 17/11; ; ; ; 17/11; ; ; ; ; ; ; ; 
Draw; 5/2; ; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 12/5; 23/10; ; ; 23/10; ; ; ; 21/10; ; ; ; 21/10; ; ; ; ; ; ; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-12 12:24:45 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; ; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 8/5; ; ; ; ; ; ; 7/5; ; ; ; 7/5; ; ; ; ; ; ; 7/5; 
Tranmere; 13/8; ; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 17/10; ; ; ; ; ; ; 17/11; ; ; ; 17/11; ; ; ; ; ; ; 6/4; 
Draw; 5/2; ; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 23/10; ; ; ; ; ; ; 28/13; ; ; ; 28/13; ; ; ; ; ; ; 19/10; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-12 16:24:31 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; ; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 8/5; ; ; 31/20; ; ; ; 7/5; ; 6/4; ; 7/5; ; ; ; ; ; ; 7/5; 
Tranmere; 13/8; ; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 17/10; ; ; 33/20; ; ; ; 17/11; ; 6/4; ; 17/11; ; ; ; ; ; ; 6/4; 
Draw; 5/2; ; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 23/10; ; ; 11/5; ; ; ; 28/13; ; 23/10; ; 28/13; ; ; ; ; ; ; 19/10; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-12 20:24:14 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; ; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; ; ; 31/20; ; ; ; 16/11; ; 6/4; ; 16/11; ; ; ; ; ; ; 7/5; 
Tranmere; 13/8; ; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; ; ; 33/20; ; ; ; 17/11; ; 6/4; ; 17/11; ; ; ; ; ; ; 6/4; 
Draw; 5/2; ; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; ; ; 11/5; ; ; ; 39/19; ; 23/10; ; 39/19; ; ; ; ; ; ; 19/10; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-13 10:48:19 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; ; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; ; ; 31/20; ; ; ; 16/11; ; 6/4; ; 16/11; ; ; ; ; ; ; ; 
Tranmere; 13/8; ; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; ; ; 33/20; ; ; ; 8/5; ; 6/4; ; 8/5; ; ; ; ; ; ; ; 
Draw; 5/2; ; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; ; ; 11/5; ; ; ; 2; ; 23/10; ; 2; ; ; ; ; ; ; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-13 11:47:29 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; ; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; ; ; 31/20; ; 8/5; ; 16/11; ; 6/4; ; 16/11; ; ; 6/4; ; ; ; 7/5; 
Tranmere; 13/8; ; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; ; ; 33/20; ; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; ; 6/4; 
Draw; 5/2; ; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; ; ; 11/5; ; 21/10; ; 2; ; 23/10; ; 2; ; ; 5/2; ; ; ; 19/10; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-13 12:23:12 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; ; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; ; ; 31/20; ; 8/5; ; 16/11; ; 6/4; ; 16/11; ; ; 6/4; ; ; ; 7/5; 
Tranmere; 13/8; ; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; ; ; 33/20; ; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; ; 6/4; 
Draw; 5/2; ; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; ; ; 11/5; ; 21/10; ; 2; ; 23/10; ; 2; ; ; 5/2; ; ; ; 19/10; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-13 13:01:54 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; ; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; ; ; 31/20; ; 8/5; ; 16/11; ; 6/4; ; 16/11; ; ; 6/4; ; ; ; 7/5; 
Tranmere; 13/8; ; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; ; ; 33/20; ; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; ; 6/4; 
Draw; 5/2; ; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; ; ; 11/5; ; 21/10; ; 2; ; 23/10; ; 2; ; ; 5/2; ; ; ; 19/10; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-13 13:47:16 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; ; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; 6/4; ; 31/20; ; 8/5; ; 16/11; ; 6/4; ; 16/11; ; ; 6/4; ; ; ; 7/5; 
Tranmere; 13/8; ; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; 13/8; ; 33/20; ; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; ; 6/4; 
Draw; 5/2; ; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; 21/10; ; 11/5; ; 21/10; ; 2; ; 23/10; ; 2; ; ; 5/2; ; ; ; 19/10; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-13 15:47:27 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; ; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; 6/4; ; 31/20; ; 8/5; ; 16/11; ; 6/4; ; 16/11; ; ; 6/4; ; ; ; 7/5; 
Tranmere; 13/8; ; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; 13/8; ; 33/20; ; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; ; 6/4; 
Draw; 5/2; ; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; 21/10; ; 11/5; ; 21/10; ; 2; ; 23/10; ; 2; ; ; 5/2; ; ; ; 19/10; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-13 16:23:27 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; ; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; 6/4; ; 31/20; ; 8/5; ; 16/11; ; 6/4; ; 16/11; ; ; 6/4; ; ; 1/100; 7/5; 
Tranmere; 13/8; ; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; 13/8; ; 33/20; ; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 1/100; 6/4; 
Draw; 5/2; ; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; 21/10; ; 11/5; ; 21/10; ; 2; ; 23/10; ; 2; ; ; 5/2; ; ; ; 19/10; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-13 17:47:22 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; ; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; 6/4; ; 31/20; ; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; ; ; 1/50; 7/5; 
Tranmere; 13/8; ; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; 13/8; ; 33/20; ; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 1/50; 6/4; 
Draw; 5/2; ; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; 21/10; ; 11/5; ; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 5/2; ; ; 1/100; 19/10; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-13 18:37:25 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 29/20; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; 6/4; ; 31/20; ; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; ; ; 1/20; 7/5; 
Tranmere; 13/8; 6/4; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; 13/8; ; 33/20; ; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 1/20; 6/4; 
Draw; 5/2; 85/40; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; 21/10; ; 11/5; ; 21/10; ; 2; ; 23/10; ; 2; ; ; 5/2; ; ; 1/25; 19/10; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-13 19:47:23 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 29/20; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; 6/4; ; 31/20; ; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; ; ; 1/14; 7/5; 
Tranmere; 13/8; 6/4; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; 13/8; ; 33/20; ; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 1/14; 6/4; 
Draw; 5/2; 85/40; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; 21/10; ; 11/5; ; 21/10; ; 2; ; 23/10; ; 2; ; ; 5/2; ; ; 1/16; 19/10; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-13 20:23:58 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 29/20; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; 6/4; ; 31/20; ; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; ; ; 11/8; 7/5; 
Tranmere; 13/8; 6/4; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; 13/8; ; 33/20; ; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 6/4; 6/4; 
Draw; 5/2; 85/40; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; 21/10; ; 11/5; ; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 5/2; ; ; 19/10; 19/10; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-13 21:47:39 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 29/20; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; 6/4; ; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; ; ; 11/8; 7/5; 
Tranmere; 13/8; 13/8; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; 13/8; ; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 6/4; 6/4; 
Draw; 5/2; 21/10; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; 21/10; ; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 5/2; ; ; 19/10; 19/10; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-13 23:47:27 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 6/4; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; 6/4; ; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; ; ; ; 6/4; ; ; 11/8; 7/5; 
Tranmere; 13/8; 6/4; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; 13/8; ; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; ; ; ; 28/17; ; ; 6/4; 6/4; 
Draw; 5/2; 21/10; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; 21/10; ; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; ; ; ; 5/2; ; ; 19/10; 19/10; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 00:22:39 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 6/4; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; 6/4; ; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; ; ; ; 6/4; ; ; 11/8; 7/5; 
Tranmere; 13/8; 6/4; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; 13/8; ; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; ; ; ; 28/17; ; ; 6/4; 6/4; 
Draw; 5/2; 21/10; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; 21/10; ; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; ; ; ; 5/2; ; ; 19/10; 19/10; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 00:59:19 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 6/4; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; 6/4; ; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; ; ; 11/8; 7/5; 
Tranmere; 13/8; 6/4; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; 13/8; ; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 6/4; 6/4; 
Draw; 5/2; 21/10; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; 21/10; ; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 5/2; ; ; 19/10; 19/10; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 01:47:20 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 6/4; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; 6/4; ; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; ; ; 11/8; ; 
Tranmere; 13/8; 6/4; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; 13/8; ; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 6/4; ; 
Draw; 5/2; 21/10; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; 21/10; ; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 5/2; ; ; 19/10; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 03:47:17 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 6/4; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; ; ; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; ; ; 11/8; ; 
Tranmere; 13/8; 6/4; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; ; ; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 6/4; ; 
Draw; 5/2; 21/10; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; ; ; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 5/2; ; ; 19/10; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 04:23:06 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 29/20; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; 6/4; ; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; ; ; 11/8; ; 
Tranmere; 13/8; 13/8; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; 13/8; ; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 6/4; ; 
Draw; 5/2; 21/10; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; 21/10; ; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 5/2; ; ; 19/10; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 05:47:19 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 6/4; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; 6/4; ; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; ; ; 11/8; ; 
Tranmere; 13/8; 6/4; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; 13/8; ; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 6/4; ; 
Draw; 5/2; 21/10; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; 21/10; ; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 5/2; ; ; 19/10; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 06:35:40 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 6/4; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; 6/4; ; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; ; ; ; 6/4; ; ; 11/8; ; 
Tranmere; 13/8; 6/4; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; 13/8; ; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; ; ; ; 28/17; ; ; 6/4; ; 
Draw; 5/2; 21/10; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; 21/10; ; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; ; ; ; 5/2; ; ; 19/10; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 07:47:08 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 6/4; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; 6/4; ; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; ; ; 11/8; ; 
Tranmere; 13/8; 6/4; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; 13/8; ; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 6/4; ; 
Draw; 5/2; 21/10; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; 21/10; ; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 5/2; ; ; 19/10; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 08:23:02 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 6/4; 8/5; 6/4; 7/5; 6/4; 6/4; 7/5; 13/8; 13/8; 6/4; ; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; ; ; 11/8; ; 
Tranmere; 13/8; 6/4; 7/4; 13/8; 8/5; 7/5; 13/8; 6/4; 7/4; 7/4; 13/8; ; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 6/4; ; 
Draw; 5/2; 21/10; 11/5; 2; 21/10; 23/10; 85/40; 11/5; 23/10; 21/10; 21/10; ; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 5/2; ; ; 19/10; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 09:47:05 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 29/20; 8/5; 6/4; 7/5; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; ; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; ; ; 11/8; ; 
Tranmere; 13/8; 13/8; 7/4; 13/8; 8/5; 31/20; 13/8; 6/4; 7/4; 9/5; 13/8; ; 33/20; 8/5; 7/4; ; 8/5; ; 6/4; ; 8/5; ; ; 28/17; ; ; 6/4; ; 
Draw; 5/2; 21/10; 11/5; 2; 21/10; 43/20; 85/40; 11/5; 23/10; 21/10; 21/10; ; 11/5; 21/10; 21/10; ; 39/19; ; 23/10; ; 39/19; ; ; 5/2; ; ; 19/10; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-14 11:47:37 GMT+3; 2016-10-15 15:00; e70300-dr003
Barrow; 6/4; 29/20; 8/5; 6/4; 7/5; 29/20; 6/4; 7/5; 13/8; 13/8; 6/4; 8/5; 31/20; 29/20; 8/5; ; 6/4; ; 6/4; ; 6/4; ; ; 6/4; ; ; 11/8; ; 
