Dover; 13/5; 13/5; 13/5; 12/5; 13/5; ; 13/5; 23/10; 13/5; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 23/10; ; 
META; english/fa-cup/cambridge-utd-v-dover; 2016-11-04 01:46:22 GMT+2; 2016-11-05 15:00; e70300-dr003
Cambridge Utd; 1; 1; 21/20; 20/21; 21/20; ; 21/20; 10/11; 21/20; 1; 1; 1; 1; 19/20; 1; ; ; ; 19/20; ; ; ; ; ; ; ; 20/21; ; 
Draw; 5/2; 12/5; 49/20; 9/4; 5/2; ; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 49/20; 11/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 9/4; ; 
Dover; 13/5; 13/5; 13/5; 12/5; 13/5; ; 13/5; 23/10; 13/5; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 12/5; ; 
META; english/fa-cup/cambridge-utd-v-dover; 2016-11-04 03:46:25 GMT+2; 2016-11-05 15:00; e70300-dr003
Cambridge Utd; 1; 1; 21/20; 20/21; 21/20; ; 21/20; 10/11; 21/20; 1; 1; 1; 1; 19/20; 1; ; ; ; 19/20; ; ; ; ; ; ; ; 20/21; ; 
Draw; 5/2; 12/5; 49/20; 9/4; 5/2; ; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 49/20; 11/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 9/4; ; 
Dover; 13/5; 13/5; 13/5; 12/5; 13/5; ; 13/5; 23/10; 13/5; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 12/5; ; 
META; english/fa-cup/cambridge-utd-v-dover; 2016-11-04 04:21:03 GMT+2; 2016-11-05 15:00; e70300-dr003
Cambridge Utd; 1; 1; 21/20; 20/21; 21/20; ; 21/20; 10/11; 21/20; 1; 1; 1; 1; 19/20; 1; ; ; ; 19/20; ; ; ; ; ; ; ; 20/21; ; 
