Plymouth; 6/4; 6/4; 31/20; 31/20; 7/5; ; 29/20; 7/5; 6/4; 27/20; 6/4; 6/5; ; 7/5; 6/4; 16/11; 16/11; ; 17/11; ; ; 17/11; ; ; 6/4; ; 13/10; ; 
Mansfield; 9/5; 9/5; 37/20; 15/8; 7/4; ; 7/4; 13/8; 9/5; 9/5; 7/4; 9/5; ; 17/10; 7/4; 9/5; 7/4; ; 7/4; ; ; 17/9; ; ; 9/5; ; 8/5; ; 
Draw; 9/4; 9/4; 43/20; 11/5; 11/5; ; 11/5; 21/10; 23/10; 23/10; 21/10; 11/5; ; 2; 9/4; 11/5; 11/5; ; 21/10; ; 11/5; 23/10; ; ; 9/4; ; 11/5; ; 
META; english/fa-cup/mansfield-v-plymouth; 2016-11-01 20:24:04 GMT+3; 2016-11-05 15:00; e70300-dr003
Plymouth; 31/20; 6/4; 13/8; 8/5; 6/4; ; 31/20; 7/5; 8/5; 8/5; 31/20; 6/5; 31/20; 6/4; 6/4; 6/4; 16/11; ; 17/11; ; 17/11; 17/11; ; ; 8/5; ; 7/5; ; 
Mansfield; 7/4; 9/5; 7/4; 13/8; 13/8; ; 17/10; 13/8; 9/5; 17/10; 17/10; 9/5; 17/10; 8/5; 7/4; 7/4; 17/10; ; 7/4; ; ; 17/9; ; ; 17/10; ; 6/4; ; 
Draw; 9/4; 9/4; 43/20; 12/5; 11/5; ; 11/5; 21/10; 9/4; 9/4; 21/10; 11/5; 11/5; 2; 9/4; 11/5; 11/5; ; 21/10; ; 21/10; 23/10; ; ; 11/5; ; 11/5; ; 
META; english/fa-cup/mansfield-v-plymouth; 2016-11-02 00:24:14 GMT+3; 2016-11-05 15:00; e70300-dr003
Plymouth; 31/20; 6/4; 13/8; 8/5; 6/4; ; 31/20; 7/5; 8/5; 8/5; 31/20; 6/5; 31/20; 6/4; 6/4; 6/4; 17/11; ; 17/11; ; 6/4; 17/11; ; ; 8/5; ; 7/5; ; 
Mansfield; 7/4; 9/5; 7/4; 13/8; 13/8; ; 17/10; 13/8; 9/5; 17/10; 17/10; 9/5; 17/10; 8/5; 7/4; 7/4; 17/10; ; 7/4; ; 17/10; 17/9; ; ; 17/10; ; 6/4; ; 
