Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; 20; 13; ; 16; 29/2; ; ; 16; ; ; 1/20; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-16 00:22:51 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; 1/7; 1/8; ; 2/13; 1/7; ; ; 2/13; ; ; 1/8; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; 7; 59/10; ; 13/2; 6; ; ; 13/2; ; ; 1/100; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; 20; 13; ; 16; 29/2; ; ; 16; ; ; 1/20; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-16 04:22:15 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; 1/7; 1/8; ; 2/13; 1/7; ; ; 2/13; ; ; 1/8; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; 7; 59/10; ; 13/2; 6; ; ; 13/2; ; ; 1/100; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; 20; 13; ; 16; 29/2; ; ; 16; ; ; 1/20; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-16 08:22:08 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; 1/6; 3/19; ; 2/13; 2/11; ; ; 2/13; ; ; 1/8; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; 13/2; 27/5; ; 13/2; 57/10; ; ; 13/2; ; ; 1/100; ; 
Wigan; ; ; ; ; ; ; 21; ; 16; ; ; 12; ; ; 20; 18; 11; ; 16; 12; ; ; 16; ; ; 1/20; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-16 12:22:25 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; 1/6; 3/19; ; 2/13; 2/11; ; ; 2/13; ; ; 1/8; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; 13/2; 27/5; ; 13/2; 57/10; ; ; 13/2; ; ; 4/11; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; 18; 11; ; 16; 12; ; ; 16; ; ; 4/11; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-16 16:24:14 GMT+2; 2017-01-28 15:00; e70300-dr003
