META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-10 20:25:34 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; ; ; ; 3/10; ; 1/3; ; ; ; ; ; ; ; ; 1/3; ; ; ; ; ; 6/17; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; 4; 21/5; 9/2; 4; 5; ; ; ; ; ; ; 9/2; 74/17; ; ; ; 74/17; 9/2; ; ; ; ; ; ; 
Bishop Auckland; 11/2; ; ; ; 6; 11/2; 13/2; 6; 13/2; ; ; ; ; ; ; 13/2; 11/2; ; ; ; 11/2; 17/2; ; ; ; ; ; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-11 16:25:13 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; ; ; 2/7; 2/7; 2/7; 1/4; 1/4; 1/3; ; ; ; ; ; ; 3/10; 3/11; ; ; ; 3/11; 6/17; ; ; ; ; ; ; 
Draw; 9/2; ; ; 15/4; 4; 21/5; 9/2; 4; 5; ; ; ; ; ; ; 9/2; 43/10; ; ; ; 43/10; 9/2; ; ; ; ; ; ; 
Bishop Auckland; 11/2; ; ; 7; 13/2; 11/2; 15/2; 6; 13/2; ; ; ; ; ; ; 7; 23/4; ; ; ; 23/4; 17/2; ; ; ; ; ; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-11 20:24:59 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; ; ; 2/7; 2/7; 2/7; 1/4; 1/4; 1/3; ; ; ; ; ; ; 3/10; 3/11; ; ; ; 3/11; 6/17; ; ; ; ; ; ; 
Draw; 9/2; ; ; 15/4; 4; 21/5; 9/2; 4; 5; ; ; ; ; ; ; 9/2; 43/10; ; ; ; 43/10; 9/2; ; ; ; ; ; ; 
Bishop Auckland; 11/2; ; ; 7; 6; 11/2; 7; 6; 13/2; ; ; ; ; ; ; 7; 23/4; ; ; ; 23/4; 17/2; ; ; ; ; ; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-12 00:23:28 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; ; ; 2/7; 2/7; 2/7; 2/7; 1/4; 1/3; ; ; ; ; ; ; 3/10; 3/11; ; ; ; 3/11; 6/17; ; ; ; ; ; ; 
Draw; 9/2; ; ; 15/4; 4; 21/5; 9/2; 4; 5; ; ; ; ; ; ; 9/2; 43/10; ; ; ; 43/10; 9/2; ; ; ; ; ; ; 
Bishop Auckland; 11/2; ; ; 7; 6; 11/2; 13/2; 6; 13/2; ; ; ; ; ; ; 13/2; 23/4; ; ; ; 23/4; 17/2; ; ; ; ; ; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-12 08:23:33 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; ; ; 2/7; 2/7; 2/7; 1/4; 1/4; 1/3; ; ; ; ; ; ; 3/10; 3/11; ; ; ; 3/11; 6/17; ; ; ; ; ; ; 
Draw; 9/2; ; ; 15/4; 4; 21/5; 9/2; 4; 5; ; ; ; ; ; ; 9/2; 43/10; ; ; ; 43/10; 9/2; ; ; ; ; ; ; 
Bishop Auckland; 11/2; ; ; 15/2; 13/2; 11/2; 7; 6; 13/2; ; ; ; ; ; ; 7; 23/4; ; ; ; 23/4; 17/2; ; ; ; ; ; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-12 12:25:44 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; ; ; 2/7; 2/7; 2/7; 1/4; 1/4; 1/3; ; ; ; ; ; ; 3/10; 3/11; ; ; ; 3/11; 6/17; ; ; ; ; ; ; 
Draw; 9/2; ; ; 15/4; 4; 21/5; 9/2; 4; 5; ; ; ; ; ; ; 9/2; 43/10; ; ; ; 43/10; 9/2; ; ; ; ; ; ; 
Bishop Auckland; 11/2; ; ; 15/2; 13/2; 11/2; 7; 6; 13/2; ; ; ; ; ; ; 7; 23/4; ; ; ; 23/4; 17/2; ; ; ; ; ; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-12 16:25:23 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; ; ; 2/7; 2/7; 2/7; 2/7; 1/4; 1/3; ; ; ; ; ; ; 3/10; 3/11; ; 3/10; ; 3/11; 6/17; ; ; ; ; ; ; 
Draw; 9/2; ; ; 15/4; 4; 21/5; 9/2; 4; 5; ; ; ; ; ; ; 9/2; 43/10; ; 9/2; ; 43/10; 9/2; ; ; ; ; ; ; 
Bishop Auckland; 11/2; ; ; 15/2; 6; 11/2; 13/2; 6; 13/2; ; ; ; ; ; ; 13/2; 57/10; ; 23/4; ; 57/10; 17/2; ; ; ; ; ; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-12 20:25:17 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; ; ; 2/7; 2/7; 2/7; 2/7; 1/4; 1/3; ; ; ; ; ; ; 3/10; 3/11; ; 3/10; ; 3/11; 6/17; ; ; ; ; ; ; 
Draw; 9/2; ; ; 15/4; 4; 21/5; 9/2; 4; 5; ; ; ; ; ; ; 9/2; 43/10; ; 9/2; ; 43/10; 9/2; ; ; ; ; ; ; 
Bishop Auckland; 11/2; ; ; 15/2; 6; 11/2; 13/2; 6; 13/2; ; ; ; ; ; ; 13/2; 57/10; ; 23/4; ; 57/10; 17/2; ; ; ; ; ; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-13 10:49:14 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; ; ; 2/7; 2/7; 2/7; 2/7; 1/4; 1/3; ; ; ; ; ; ; 3/10; 3/11; ; 3/10; ; 3/11; 6/17; ; ; ; ; ; ; 
Draw; 9/2; ; ; 15/4; 4; 21/5; 9/2; 4; 5; ; ; ; ; ; ; 9/2; 74/17; ; 9/2; ; 74/17; 9/2; ; ; ; ; ; ; 
Bishop Auckland; 11/2; ; ; 15/2; 6; 11/2; 13/2; 6; 13/2; ; ; ; ; ; ; 13/2; 96/17; ; 23/4; ; 96/17; 17/2; ; ; ; ; ; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-13 12:24:03 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; ; ; 2/7; 2/7; 2/7; 1/4; 1/4; 1/3; ; ; ; ; ; 30/100; 3/10; 3/11; 1/3; 3/10; 1/3; 3/11; 6/17; ; 1/3; 3/10; ; ; ; 
Draw; 9/2; ; ; 15/4; 4; 21/5; 9/2; 4; 5; ; ; ; ; ; 17/4; 9/2; 22/5; 19/4; 9/2; 23/5; 22/5; 9/2; ; 19/4; 9/2; ; ; ; 
Bishop Auckland; 11/2; ; ; 7; 6; 11/2; 7; 6; 13/2; ; ; ; ; ; 8; 7; 57/10; 25/4; 23/4; 31/5; 57/10; 17/2; ; 25/4; 13/2; ; ; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-13 16:24:28 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; ; ; 2/7; 2/7; 2/7; 1/4; 1/4; 1/3; ; ; ; ; ; 30/100; 3/10; 3/11; 1/3; 3/10; 1/3; 3/11; 6/17; ; 1/3; 3/10; ; 1/100; ; 
Draw; 9/2; ; ; 15/4; 4; 21/5; 9/2; 4; 5; ; ; ; ; ; 17/4; 9/2; 22/5; 19/4; 9/2; 23/5; 22/5; 9/2; ; 19/4; 9/2; ; ; ; 
Bishop Auckland; 11/2; ; ; 7; 13/2; 11/2; 7; 6; 13/2; ; ; ; ; ; 8; 7; 57/10; 25/4; 23/4; 31/5; 57/10; 17/2; ; 25/4; 13/2; ; 1/100; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-13 20:24:54 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; 2/7; ; 2/7; 2/7; 2/7; 1/4; 1/4; 1/3; ; ; ; ; ; 30/100; 3/10; 5/18; 1/3; 3/10; 1/3; 5/18; 6/17; ; 1/3; 3/10; ; 2/9; ; 
Draw; 9/2; 15/4; ; 15/4; 4; 21/5; 9/2; 4; 5; ; ; ; ; ; 17/4; 9/2; 49/11; 19/4; 9/2; 23/5; 49/11; 9/2; ; 19/4; 9/2; ; 7/2; ; 
Bishop Auckland; 11/2; 7; ; 7; 13/2; 11/2; 7; 6; 13/2; ; ; ; ; ; 8; 7; 76/13; 25/4; 23/4; 31/5; 76/13; 17/2; ; 25/4; 13/2; ; 37/5; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-14 00:23:32 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; 2/7; ; 2/7; 2/7; 2/7; 1/4; 1/4; 1/3; ; ; ; ; 1/4; 30/100; 3/10; 5/18; 1/3; 3/10; 1/3; 5/18; 6/17; ; 1/3; 3/10; ; 2/9; ; 
Draw; 9/2; 15/4; ; 4; 4; 21/5; 9/2; 4; 5; ; ; ; ; 4; 17/4; 9/2; 49/11; 19/4; 9/2; 23/5; 49/11; 9/2; ; 19/4; 9/2; ; 7/2; ; 
Bishop Auckland; 11/2; 7; ; 13/2; 13/2; 11/2; 7; 6; 13/2; ; ; ; ; 8; 8; 7; 76/13; 25/4; 23/4; 31/5; 76/13; 17/2; ; 25/4; 13/2; ; 37/5; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-14 04:24:01 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; 2/7; ; 2/7; 2/7; 2/7; 1/4; 1/4; 1/3; ; ; ; ; 1/4; 30/100; 3/10; 5/18; 1/3; 3/10; 1/3; 5/18; 6/17; ; 1/3; 3/10; ; 2/9; ; 
Draw; 9/2; 15/4; ; 4; 4; 21/5; 9/2; 4; 5; ; ; ; ; 4; 17/4; 9/2; 49/11; 19/4; 9/2; 23/5; 49/11; 9/2; ; 19/4; 9/2; ; 7/2; ; 
Bishop Auckland; 11/2; 7; ; 13/2; 13/2; 11/2; 7; 6; 13/2; ; ; ; ; 8; 8; 7; 29/5; 25/4; 23/4; 31/5; 29/5; 17/2; ; 25/4; 13/2; ; 37/5; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-14 08:23:54 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; 2/7; ; 2/7; 2/7; 2/7; 1/4; 1/4; 1/3; ; ; ; ; 1/4; 30/100; 3/10; 5/18; 1/3; 3/10; 1/3; 5/18; 6/17; ; 1/3; 3/10; ; 2/9; ; 
Draw; 9/2; 15/4; ; 4; 4; 21/5; 9/2; 4; 5; ; ; ; ; 4; 17/4; 9/2; 49/11; 19/4; 9/2; 23/5; 49/11; 9/2; ; 19/4; 9/2; ; 7/2; ; 
Bishop Auckland; 11/2; 7; ; 13/2; 13/2; 11/2; 7; 6; 13/2; ; ; ; ; 8; 8; 7; 29/5; 25/4; 23/4; 31/5; 29/5; 17/2; ; 25/4; 13/2; ; 37/5; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-14 12:25:15 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; 2/7; ; 2/7; 3/10; 2/7; 1/4; 1/4; 1/3; ; ; ; ; 1/4; 30/100; 3/10; 3/11; 3/10; 3/10; 3/10; 3/11; 6/17; ; 3/10; 3/10; ; 2/9; ; 
Draw; 9/2; 15/4; ; 4; 4; 21/5; 9/2; 4; 5; ; ; ; ; 4; 17/4; 9/2; 9/2; 5; 9/2; 5; 9/2; 9/2; ; 5; 9/2; ; 7/2; ; 
Bishop Auckland; 11/2; 7; ; 13/2; 7; 11/2; 7; 6; 13/2; ; ; ; ; 8; 8; 7; 6; 7; 23/4; 7; 6; 17/2; ; 7; 13/2; ; 37/5; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-14 16:25:22 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; 2/7; ; 2/7; 3/10; 2/7; 1/4; 1/4; 1/3; ; ; ; ; 1/4; 30/100; 3/10; 3/11; 3/10; 3/10; 3/10; 3/11; 10/29; ; 3/10; 3/10; ; 2/9; ; 
Draw; 9/2; 15/4; ; 4; 4; 21/5; 19/4; 4; 5; ; ; ; ; 4; 17/4; 9/2; 9/2; 5; 9/2; 5; 9/2; 9/2; ; 5; 9/2; ; 7/2; ; 
Bishop Auckland; 11/2; 7; ; 13/2; 7; 11/2; 7; 6; 13/2; ; ; ; ; 8; 8; 7; 6; 7; 23/4; 7; 6; 9; ; 7; 13/2; ; 37/5; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-14 20:24:06 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; 2/7; ; 2/7; 3/10; 2/7; 1/4; 1/4; 1/3; ; ; ; ; 1/4; 30/100; 3/10; 3/11; 3/10; 3/10; 3/10; 3/11; 10/29; ; 3/10; 3/10; ; 2/9; ; 
Draw; 9/2; 15/4; ; 4; 4; 21/5; 9/2; 4; 5; ; ; ; ; 4; 17/4; 9/2; 50/11; 5; 9/2; 5; 50/11; 9/2; ; 5; 9/2; ; 7/2; ; 
Bishop Auckland; 11/2; 7; ; 13/2; 7; 11/2; 7; 6; 13/2; ; ; ; ; 8; 8; 7; 6; 7; 23/4; 7; 6; 9; ; 7; 13/2; ; 37/5; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-15 00:24:54 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; 1/4; ; 1/4; 2/7; 2/7; 1/4; 2/9; 1/3; ; ; ; ; 1/4; 30/100; 3/10; 3/11; 3/10; 3/10; 3/10; 5/19; 1/3; ; 3/10; 3/10; ; 2/9; ; 
Draw; 9/2; 4; ; 4; 4; 21/5; 9/2; 4; 5; ; ; ; ; 4; 17/4; 9/2; 9/2; 5; 9/2; 5; 9/2; 24/5; ; 5; 9/2; ; 7/2; ; 
Bishop Auckland; 11/2; 7; ; 8; 15/2; 11/2; 15/2; 15/2; 7; ; ; ; ; 17/2; 8; 7; 6; 7; 23/4; 7; 25/4; 9; ; 7; 13/2; ; 38/5; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-15 04:24:24 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; 1/4; ; 1/4; 2/7; 2/7; 1/4; 1/4; 1/3; ; ; ; ; 1/4; 30/100; 3/10; 5/19; 3/10; 3/10; 3/10; 3/11; 1/3; ; 3/10; 3/10; ; 1/4; ; 
Draw; 9/2; 4; ; 4; 4; 21/5; 9/2; 4; 5; ; ; ; ; 4; 17/4; 9/2; 49/11; 5; 9/2; 5; 9/2; 24/5; ; 5; 9/2; ; 7/2; ; 
Bishop Auckland; 11/2; 7; ; 8; 15/2; 11/2; 15/2; 7; 7; ; ; ; ; 17/2; 8; 7; 25/4; 7; 23/4; 7; 6; 44/5; ; 7; 13/2; ; 38/5; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-15 08:24:51 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; 2/7; ; 1/4; 2/7; 2/7; 1/4; 1/4; 1/3; ; ; ; ; 1/4; 30/100; 3/10; 3/11; 3/10; 3/10; 3/10; 3/11; 1/3; ; 3/10; 3/10; ; 1/4; ; 
Draw; 9/2; 15/4; ; 4; 4; 21/5; 9/2; 4; 5; ; ; ; ; 4; 17/4; 9/2; 9/2; 5; 9/2; 5; 9/2; 24/5; ; 5; 9/2; ; 7/2; ; 
Bishop Auckland; 11/2; 7; ; 8; 15/2; 11/2; 15/2; 7; 7; ; ; ; ; 17/2; 8; 7; 6; 7; 23/4; 7; 6; 44/5; ; 7; 13/2; ; 38/5; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-15 12:24:01 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; 1/4; ; 1/4; 2/7; 2/7; 1/4; 1/4; 1/3; ; ; ; ; 1/4; 30/100; 3/10; 3/11; 3/10; 3/10; 3/10; 3/11; 1/3; ; 3/10; 3/10; ; 2/9; ; 
Draw; 9/2; 4; ; 4; 4; 21/5; 19/4; 4; 5; ; ; ; ; 4; 17/4; 9/2; 9/2; 5; 9/2; 5; 9/2; 24/5; ; 5; 9/2; ; 7/2; ; 
Bishop Auckland; 11/2; 7; ; 8; 15/2; 11/2; 7; 7; 7; ; ; ; ; 17/2; 8; 7; 6; 7; 23/4; 7; 6; 43/5; ; 7; 13/2; ; 38/5; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-15 16:26:01 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; 2/7; ; 1/4; 2/7; 2/7; 1/4; 1/4; 1/3; 2/7; ; ; ; 1/4; 30/100; 3/10; 3/11; 3/10; 3/10; 3/10; 3/11; 10/29; ; 3/10; 3/10; ; 1/5; ; 
Draw; 9/2; 15/4; ; 4; 4; 21/5; 9/2; 4; 5; 17/4; ; ; ; 4; 17/4; 9/2; 9/2; 5; 9/2; 5; 9/2; 24/5; ; 5; 9/2; ; 1/8; ; 
Bishop Auckland; 11/2; 7; ; 8; 15/2; 11/2; 15/2; 7; 7; 15/2; ; ; ; 17/2; 8; 7; 6; 7; 23/4; 7; 6; 41/5; ; 7; 13/2; ; 1/4; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-15 17:47:38 GMT+3; 2016-10-15 15:00; In Play; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Bishop Auckland; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; 
Stockport; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; 
