META; english/fa-cup/consett-v-curzon-ashton; 2016-09-18 20:24:03 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; ; ; ; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; ; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-19 13:45:39 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; ; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; ; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; ; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-19 15:45:45 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; ; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; ; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; ; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-19 16:23:02 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; ; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; ; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; ; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-19 17:45:39 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 8/15; 4/7; ; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; ; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
Consett; 7/2; 7/2; 17/4; ; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-19 18:32:22 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-19 19:45:37 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-19 20:23:44 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-19 21:45:44 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-19 23:45:39 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-20 00:22:50 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-20 00:51:54 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-20 01:45:31 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-20 03:45:35 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-20 04:22:40 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-20 05:45:33 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-20 06:39:35 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-20 07:45:34 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-20 08:23:03 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-20 09:45:33 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-20 11:45:36 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-20 12:23:42 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-20 12:56:52 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-20 13:45:33 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-20 15:45:42 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-20 16:23:50 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-20 17:45:32 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-20 18:27:26 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-20 19:45:34 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-20 20:22:20 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-20 21:45:40 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; 8/15; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; 3; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; 16/5; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; 15/4; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
