META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-06 12:23:15 GMT+3; 2016-09-07 19:30; e70300-dr003
Draw; 3; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-06 23:45:41 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; 
Lewes; 7/5; ; ; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-07 00:22:26 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; 
Lewes; 7/5; ; ; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-07 00:54:23 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; 
Lewes; 7/5; ; ; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-07 01:45:30 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; 
Lewes; 7/5; ; ; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-07 03:45:32 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; 
Lewes; 7/5; ; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-07 04:22:44 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; 
Lewes; 7/5; ; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-07 05:45:20 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; 15/13; ; 5/4; ; 15/13; ; ; ; ; ; ; 
Lewes; 7/5; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; 17/11; ; 28/17; ; 17/11; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; 37/13; ; 3; ; 37/13; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-07 06:30:14 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; 6/5; ; ; 11/8; ; 7/5; ; ; ; ; ; ; ; ; ; 13/10; 5/4; ; 5/4; ; 5/4; ; ; ; ; ; ; 
Lewes; 7/5; 6/4; ; ; 8/5; ; 13/8; ; ; ; ; ; ; ; ; ; 17/11; 16/11; ; 28/17; ; 16/11; ; ; ; ; ; ; 
Draw; 3; 11/4; ; ; 3; ; 11/4; ; ; ; ; ; ; ; ; ; 3; 56/19; ; 3; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-07 07:45:02 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; 5/4; ; ; 11/8; ; 11/8; ; ; ; ; ; ; ; ; ; 13/10; 5/4; ; 5/4; ; 5/4; ; ; ; ; ; ; 
Lewes; 7/5; 29/20; ; ; 8/5; ; 17/10; ; ; ; ; ; ; ; ; ; 17/11; 16/11; ; 28/17; ; 16/11; ; ; ; ; ; ; 
Draw; 3; 11/4; ; ; 3; ; 11/4; ; ; ; ; ; ; ; ; ; 3; 56/19; ; 3; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-07 08:22:38 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; 5/4; ; ; 11/8; ; 11/8; ; ; ; ; ; ; ; ; ; 13/10; 5/4; ; 5/4; ; 5/4; ; ; ; ; ; ; 
Lewes; 7/5; 29/20; ; ; 8/5; ; 17/10; ; ; ; ; ; ; ; ; ; 17/11; 16/11; ; 28/17; ; 16/11; ; ; ; ; ; ; 
Draw; 3; 11/4; ; ; 3; ; 11/4; ; ; ; ; ; ; ; ; ; 3; 56/19; ; 3; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-07 09:45:02 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; 13/10; ; ; 11/8; ; 7/5; ; ; ; ; ; ; ; ; ; 13/10; 5/4; ; 5/4; ; 5/4; ; ; ; ; ; ; 
Lewes; 7/5; 7/5; ; ; 8/5; ; 13/8; ; ; ; ; ; ; ; ; ; 6/4; 16/11; ; 28/17; ; 16/11; ; ; ; ; ; ; 
Draw; 3; 11/4; ; ; 3; ; 11/4; ; ; ; ; ; ; ; ; ; 3; 56/19; ; 3; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-07 11:45:03 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; 13/10; 29/20; ; 11/8; ; 7/5; ; ; ; ; ; ; ; ; ; 13/10; 5/4; ; 5/4; ; 5/4; ; ; ; ; ; ; 
Lewes; 7/5; 7/5; 17/10; ; 8/5; ; 13/8; ; ; ; ; ; ; ; ; ; 6/4; 16/11; ; 28/17; ; 16/11; ; ; ; ; ; ; 
Draw; 3; 11/4; 13/5; ; 3; ; 11/4; ; ; ; ; ; ; ; ; ; 3; 56/19; ; 3; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-07 12:23:06 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; 13/10; 29/20; ; 11/8; ; 7/5; ; ; ; ; ; ; ; ; ; 13/10; 5/4; ; 5/4; ; 5/4; ; ; ; ; ; ; 
Lewes; 7/5; 7/5; 17/10; ; 8/5; ; 13/8; ; ; ; ; ; ; ; ; ; 6/4; 16/11; ; 28/17; ; 16/11; ; ; ; ; ; ; 
Draw; 3; 11/4; 13/5; ; 3; ; 11/4; ; ; ; ; ; ; ; ; ; 3; 56/19; ; 3; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-07 12:54:30 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; 13/10; 29/20; ; 11/8; ; 7/5; ; ; ; ; ; ; ; ; ; 13/10; 5/4; ; 5/4; ; 5/4; ; ; ; ; ; ; 
Lewes; 7/5; 7/5; 17/10; ; 8/5; ; 13/8; ; ; ; ; ; ; ; ; ; 6/4; 16/11; ; 28/17; ; 16/11; ; ; ; ; ; ; 
Draw; 3; 11/4; 13/5; ; 3; ; 11/4; ; ; ; ; ; ; ; ; ; 3; 56/19; ; 3; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-07 13:45:03 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; 5/4; 29/20; ; 11/8; ; 7/5; ; ; ; ; ; ; ; ; ; 13/10; 5/4; ; 5/4; ; 5/4; ; ; ; ; ; ; 
Lewes; 7/5; 29/20; 17/10; ; 8/5; ; 13/8; ; ; ; ; ; ; ; ; ; 6/4; 16/11; ; 28/17; ; 16/11; ; ; ; ; ; ; 
Draw; 3; 11/4; 13/5; ; 3; ; 11/4; ; ; ; ; ; ; ; ; ; 3; 56/19; ; 3; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-07 15:45:03 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; 5/4; 29/20; ; 11/8; ; 7/5; ; ; ; ; ; ; ; ; ; 13/10; 5/4; ; 5/4; ; 5/4; ; ; ; ; ; ; 
Lewes; 7/5; 29/20; 17/10; ; 8/5; ; 13/8; ; ; ; ; ; ; ; ; ; 6/4; 16/11; ; 28/17; ; 16/11; ; ; ; ; ; ; 
Draw; 3; 11/4; 13/5; ; 3; ; 11/4; ; ; ; ; ; ; ; ; ; 3; 56/19; ; 3; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-07 16:23:08 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 11/10; 6/5; 5/4; ; 5/4; ; 13/10; ; ; ; ; ; ; ; ; ; 6/5; 15/13; ; 5/4; ; 15/13; ; ; ; ; ; ; 
Lewes; 8/5; 6/4; 39/20; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; 8/5; 17/11; ; 28/17; ; 17/11; ; ; ; ; ; ; 
Draw; 3; 11/4; 13/5; ; 3; ; 11/4; ; ; ; ; ; ; ; ; ; 3; 56/19; ; 3; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-07 17:45:02 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 11/10; 23/20; 5/4; ; 5/4; ; 13/10; ; ; ; ; ; ; ; ; ; 6/5; 15/13; ; 5/4; ; 15/13; ; ; ; ; ; ; 
Lewes; 8/5; 13/8; 39/20; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; 7/4; 17/11; ; 28/17; ; 17/11; ; ; ; ; ; ; 
Draw; 3; 13/5; 13/5; ; 3; ; 11/4; ; ; ; ; ; ; ; ; ; 14/5; 56/19; ; 3; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-07 18:31:39 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 11/10; 23/20; 5/4; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; 6/5; 11/10; ; 5/4; ; 11/10; ; ; ; ; ; ; 
Lewes; 8/5; 13/8; 39/20; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; 7/4; 8/5; ; 28/17; ; 8/5; ; ; ; ; ; ; 
Draw; 3; 13/5; 13/5; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; 14/5; 56/19; ; 3; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-07 19:45:02 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 11/10; 23/20; 5/4; ; 5/4; ; 13/10; ; ; ; ; ; ; ; ; ; 6/5; 11/10; ; 5/4; ; 11/10; ; ; ; ; ; ; 
Lewes; 8/5; 13/8; 39/20; ; 9/5; ; 9/5; ; ; ; ; ; ; ; ; ; 7/4; 8/5; ; 28/17; ; 8/5; ; ; ; ; ; ; 
Draw; 3; 13/5; 13/5; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 14/5; 56/19; ; 3; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-07 20:24:11 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 11/10; 23/20; 5/4; ; 5/4; ; 13/10; ; ; ; ; ; ; ; ; ; 6/5; 11/10; ; 5/4; ; 11/10; ; ; ; ; ; ; 
Lewes; 8/5; 13/8; 39/20; ; 9/5; ; 9/5; ; ; ; ; ; ; ; ; ; 7/4; 8/5; ; 28/17; ; 8/5; ; ; ; ; ; ; 
Draw; 3; 13/5; 13/5; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 14/5; 56/19; ; 3; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-07 21:45:02 GMT+3; 2016-09-07 19:30; In Play; e70300-dr003
Sevenoaks Town; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; 
Lewes; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 56/19; ; ; ; ; ; ; ; ; ; ; 
