Draw; 3; ; 14/5; 5/2; 11/4; ; 3; 3; 3; ; ; ; 3; ; ; 3; 29/10; ; 3; ; 29/10; 3; ; ; ; ; ; ; 
Lincoln Utd; 5/2; ; 3; 11/4; 13/5; ; 27/10; 11/4; 14/5; ; ; ; 27/10; ; ; 11/4; 5/2; ; 13/5; ; 5/2; 13/4; ; ; ; ; ; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-13 10:48:49 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/11; ; 4/5; 4/5; 7/10; ; 8/11; 4/6; 4/5; ; ; ; 10/13; ; ; 4/5; 5/7; ; 3/4; ; 5/7; 11/13; ; ; ; ; ; ; 
Draw; 3; ; 14/5; 5/2; 11/4; ; 3; 3; 3; ; ; ; 3; ; ; 3; 29/10; ; 3; ; 29/10; 58/19; ; ; ; ; ; ; 
Lincoln Utd; 5/2; ; 3; 11/4; 13/5; ; 27/10; 11/4; 14/5; ; ; ; 27/10; ; ; 11/4; 5/2; ; 13/5; ; 5/2; 41/13; ; ; ; ; ; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-13 12:23:42 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/11; ; 4/5; 3/4; 7/10; ; 8/11; 4/6; 4/5; ; ; ; 10/13; ; 3/4; 8/11; 5/7; 7/9; 3/4; 8/11; 5/7; 11/13; ; 7/9; 3/4; ; ; ; 
Lincoln Utd; 5/2; ; 3; 11/4; 13/5; ; 11/4; 11/4; 14/5; ; ; ; 27/10; ; 3; 14/5; 5/2; 11/4; 13/5; 11/4; 5/2; 41/13; ; 11/4; 11/4; ; ; ; 
Draw; 3; ; 14/5; 11/4; 11/4; ; 3; 3; 3; ; ; ; 3; ; 3; 10/3; 56/19; 13/4; 3; 3; 56/19; 58/19; ; 13/4; 3; ; ; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-13 16:24:03 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/11; ; 4/5; 3/4; 7/10; ; 8/11; 4/6; 4/5; ; ; ; 10/13; ; 3/4; 4/5; 5/7; 7/9; 3/4; 8/11; 5/7; 11/13; ; 7/9; 3/4; ; 1/100; ; 
Lincoln Utd; 5/2; ; 3; 11/4; 13/5; ; 11/4; 11/4; 14/5; ; ; ; 27/10; ; 3; 14/5; 5/2; 11/4; 13/5; 11/4; 5/2; 41/13; ; 11/4; 11/4; ; 1/100; ; 
Draw; 3; ; 14/5; 11/4; 11/4; ; 3; 3; 3; ; ; ; 3; ; 3; 3; 56/19; 13/4; 3; 3; 56/19; 58/19; ; 13/4; 3; ; ; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-13 20:24:28 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/11; 8/11; 4/5; 3/4; 7/10; ; 8/11; 4/6; 4/5; ; ; ; 10/13; ; 3/4; 4/5; 14/19; 7/9; 3/4; 8/11; 14/19; 16/19; ; 7/9; 3/4; ; 4/6; ; 
Lincoln Utd; 5/2; 13/5; 3; 11/4; 13/5; ; 11/4; 11/4; 14/5; ; ; ; 27/10; ; 3; 14/5; 28/11; 11/4; 13/5; 11/4; 28/11; 41/13; ; 11/4; 11/4; ; 5/2; ; 
Draw; 3; 11/4; 14/5; 11/4; 11/4; ; 3; 3; 3; ; ; ; 3; ; 3; 3; 3; 13/4; 3; 3; 3; 41/13; ; 13/4; 3; ; 5/2; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-14 00:23:09 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/11; 7/10; 4/5; 3/4; 7/10; ; 8/11; 4/6; 4/5; ; ; ; 10/13; 8/11; 3/4; 4/5; 14/19; 7/9; 3/4; 8/11; 14/19; 16/19; ; 7/9; 3/4; ; 4/6; ; 
Lincoln Utd; 5/2; 11/4; 3; 11/4; 13/5; ; 11/4; 11/4; 14/5; ; ; ; 27/10; 11/4; 3; 14/5; 28/11; 11/4; 13/5; 11/4; 28/11; 41/13; ; 11/4; 11/4; ; 5/2; ; 
Draw; 3; 11/4; 14/5; 11/4; 11/4; ; 3; 3; 3; ; ; ; 3; 27/10; 3; 3; 3; 13/4; 3; 3; 3; 41/13; ; 13/4; 3; ; 5/2; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-14 04:23:40 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/11; 8/11; 4/5; 3/4; 7/10; ; 8/11; 4/6; 4/5; ; ; ; 10/13; 8/11; 3/4; 4/5; 14/19; 7/9; 3/4; 8/11; 14/19; 9/11; ; 7/9; 3/4; ; 4/6; ; 
Lincoln Utd; 5/2; 11/4; 3; 11/4; 13/5; ; 11/4; 11/4; 14/5; ; ; ; 27/10; 11/4; 3; 14/5; 28/11; 11/4; 13/5; 11/4; 28/11; 16/5; ; 11/4; 11/4; ; 5/2; ; 
Draw; 3; 13/5; 14/5; 11/4; 11/4; ; 3; 3; 3; ; ; ; 3; 27/10; 3; 3; 3; 13/4; 3; 3; 3; 16/5; ; 13/4; 3; ; 5/2; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-14 08:23:33 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/11; 8/11; 4/5; 3/4; 7/10; ; 8/11; 4/6; 4/5; ; ; ; 10/13; 8/11; 3/4; 4/5; 14/19; 7/9; 3/4; 8/11; 14/19; 9/11; ; 7/9; 3/4; ; 4/6; ; 
Lincoln Utd; 5/2; 13/5; 3; 11/4; 13/5; ; 11/4; 11/4; 14/5; ; ; ; 27/10; 11/4; 3; 14/5; 28/11; 11/4; 13/5; 11/4; 28/11; 16/5; ; 11/4; 11/4; ; 5/2; ; 
Draw; 3; 11/4; 14/5; 11/4; 11/4; ; 3; 3; 3; ; ; ; 3; 27/10; 3; 3; 3; 13/4; 3; 3; 3; 16/5; ; 13/4; 3; ; 5/2; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-14 12:24:50 GMT+3; 2016-10-15 15:00; e70300-dr003
