Oxford City; 7/2; ; ; ; ; ; 4; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/bath-city-v-oxford-city; 2016-09-15 16:24:16 GMT+3; 2016-09-17 15:00; e70300-dr003
Bath City; 8/15; ; ; ; 4/7; ; 11/20; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 16/5; ; ; ; 7/2; ; 7/2; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oxford City; 7/2; ; ; ; 4; ; 21/5; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/fa-cup/bath-city-v-oxford-city; 2016-09-16 00:21:45 GMT+3; 2016-09-17 15:00; e70300-dr003
Bath City; 8/15; ; ; ; 4/7; ; 11/20; ; 4/7; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 16/5; ; ; ; 7/2; ; 7/2; ; 7/2; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oxford City; 7/2; ; ; ; 4; ; 21/5; ; 4; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/fa-cup/bath-city-v-oxford-city; 2016-09-16 01:00:02 GMT+3; 2016-09-17 15:00; e70300-dr003
Bath City; 8/15; ; ; ; 4/7; ; 11/20; ; 4/7; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 16/5; ; ; ; 7/2; ; 7/2; ; 7/2; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oxford City; 7/2; ; ; ; 4; ; 21/5; ; 4; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/fa-cup/bath-city-v-oxford-city; 2016-09-16 01:47:22 GMT+3; 2016-09-17 15:00; e70300-dr003
Bath City; 8/15; ; ; ; 4/7; ; 11/20; ; 4/7; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 16/5; ; ; ; 7/2; ; 7/2; ; 7/2; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oxford City; 7/2; ; ; ; 4; ; 21/5; ; 4; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/fa-cup/bath-city-v-oxford-city; 2016-09-16 03:47:28 GMT+3; 2016-09-17 15:00; e70300-dr003
Bath City; 8/15; ; ; ; 4/7; ; 11/20; ; 4/7; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 16/5; ; ; ; 7/2; ; 7/2; ; 7/2; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oxford City; 7/2; ; ; ; 4; ; 21/5; ; 4; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/fa-cup/bath-city-v-oxford-city; 2016-09-16 04:22:03 GMT+3; 2016-09-17 15:00; e70300-dr003
Bath City; 8/15; ; ; ; 4/7; ; 11/20; ; 4/7; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 16/5; ; ; ; 7/2; ; 7/2; ; 7/2; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oxford City; 7/2; ; ; ; 4; ; 21/5; ; 4; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; 1/25; ; 
