META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-18 20:24:30 GMT+3; 2016-09-20 20:00; e70300-dr003
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 29/5; ; 5; ; 29/5; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 17/2; ; 10; ; ; 14; ; ; ; ; 9; 9; ; 23/2; ; 9; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-20 11:46:00 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 29/5; ; 5; ; 29/5; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 17/2; ; 10; ; ; 14; ; ; ; ; 9; 9; ; 23/2; ; 9; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-20 12:24:05 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 29/5; ; 5; ; 29/5; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 17/2; ; 10; ; ; 14; ; ; ; ; 9; 9; ; 23/2; ; 9; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-20 12:57:14 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 29/5; ; 5; ; 29/5; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 17/2; ; 10; ; ; 14; ; ; ; ; 9; 9; ; 23/2; ; 9; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-20 13:46:00 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 1/5; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 29/5; ; 5; ; 29/5; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 17/2; ; 10; ; ; 14; ; ; ; ; 9; 9; ; 23/2; ; 9; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-20 15:46:04 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 1/5; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 29/5; ; 5; ; 29/5; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 8; ; 10; ; ; 14; ; ; ; ; 9; 9; ; 23/2; ; 9; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-20 16:24:15 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 29/5; ; 5; ; 29/5; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 8; ; 10; ; ; 14; ; ; ; ; 9; 9; ; 23/2; ; 9; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-20 17:46:00 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 29/5; ; 5; ; 29/5; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 8; ; 10; ; ; 14; ; ; ; ; 9; 9; ; 23/2; ; 9; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-20 19:45:54 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 29/5; ; 5; ; 29/5; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 8; ; 10; ; ; 14; ; ; ; ; 9; 9; ; 23/2; ; 9; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-20 20:22:43 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 6; ; 5; ; 6; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 8; ; 10; ; ; 14; ; ; ; ; 9; 17/2; ; 23/2; ; 17/2; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-20 21:46:01 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 1/5; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 6; ; 5; ; 6; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 8; ; 10; ; ; 14; ; ; ; ; 9; 17/2; ; 23/2; ; 17/2; ; ; ; ; ; ; 
