META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-18 20:24:05 GMT+3; 2016-09-20 19:45; e70300-dr003
Herne Bay; 4; 9/2; ; ; 9/2; ; 17/4; ; 19/4; ; ; 24/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-19 09:45:39 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 4/9; ; ; 1/2; ; 9/20; ; 1/2; ; ; 4/9; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 7/2; 16/5; ; ; 18/5; ; 18/5; ; 19/5; ; ; 13/4; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; ; 5; ; 11/2; ; 19/4; ; ; 24/5; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-19 11:45:42 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 4/9; ; ; 1/2; ; 9/20; ; 1/2; ; ; 4/9; ; ; ; ; 4/9; 4/9; ; ; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 16/5; ; ; 18/5; ; 18/5; ; 19/5; ; ; 13/4; ; ; ; ; 7/2; 7/2; ; ; ; 7/2; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; ; 5; ; 11/2; ; 19/4; ; ; 24/5; ; ; ; ; 5; 41/10; ; ; ; 41/10; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-19 12:22:19 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 4/9; ; ; 1/2; ; 9/20; ; 1/2; ; ; 4/9; ; ; ; ; 4/9; 4/9; ; ; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 16/5; ; ; 18/5; ; 18/5; ; 19/5; ; ; 13/4; ; ; ; ; 7/2; 7/2; ; ; ; 7/2; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; ; 5; ; 11/2; ; 19/4; ; ; 24/5; ; ; ; ; 5; 41/10; ; ; ; 41/10; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-19 12:51:16 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 4/9; ; ; 1/2; ; 9/20; ; 1/2; ; ; 4/9; ; ; ; ; 4/9; 4/9; ; ; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 16/5; ; ; 18/5; ; 18/5; ; 19/5; ; ; 13/4; ; ; ; ; 7/2; 7/2; ; ; ; 7/2; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; ; 5; ; 11/2; ; 19/4; ; ; 24/5; ; ; ; ; 5; 41/10; ; ; ; 41/10; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-19 13:45:42 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 4/9; ; ; 1/2; ; 9/20; ; 1/2; ; ; 4/9; ; ; ; ; 4/9; 4/9; ; ; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 16/5; ; ; 18/5; ; 18/5; ; 19/5; ; ; 13/4; ; ; ; ; 7/2; 7/2; ; ; ; 7/2; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; ; 5; ; 11/2; ; 19/4; ; ; 24/5; ; ; ; ; 5; 41/10; ; ; ; 41/10; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-19 15:45:47 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 4/9; ; ; 4/9; ; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; ; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 16/5; ; ; 19/5; ; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 7/2; ; ; ; 7/2; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; ; 5; ; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 41/10; ; ; ; 41/10; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-19 16:23:04 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 4/9; ; ; 4/9; ; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; ; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 16/5; ; ; 19/5; ; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 7/2; ; ; ; 7/2; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; ; 5; ; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 41/10; ; ; ; 41/10; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-19 17:45:41 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; ; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; ; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; ; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 7/2; ; ; ; 7/2; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; ; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 41/10; ; ; ; 41/10; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-19 18:32:25 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 4/9; ; 4/9; 4/9; ; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 16/5; ; 16/5; 19/5; ; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 7/2; ; 7/2; ; 7/2; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; ; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 41/10; ; 9/2; ; 41/10; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-19 19:45:39 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 7/2; ; 7/2; ; 7/2; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 41/10; ; 9/2; ; 41/10; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-19 20:23:46 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; ; ; 4/9; ; ; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; ; ; 7/2; ; ; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; ; ; 9/2; ; ; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-19 21:45:46 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 7/2; ; 7/2; ; 7/2; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 41/10; ; 9/2; ; 41/10; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-19 23:45:41 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 38/11; ; 7/2; ; 38/11; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 54/13; ; 9/2; ; 54/13; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-20 00:22:52 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 38/11; ; 7/2; ; 38/11; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 54/13; ; 9/2; ; 54/13; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-20 00:51:56 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 38/11; ; 7/2; ; 38/11; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 54/13; ; 9/2; ; 54/13; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-20 01:45:33 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 38/11; ; 7/2; ; 38/11; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 54/13; ; 9/2; ; 54/13; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-20 03:45:37 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 38/11; ; 7/2; ; 38/11; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 54/13; ; 9/2; ; 54/13; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-20 04:22:42 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 38/11; ; 7/2; ; 38/11; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 54/13; ; 9/2; ; 54/13; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-20 05:45:35 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 38/11; ; 7/2; ; 38/11; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 54/13; ; 9/2; ; 54/13; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-20 06:39:37 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 38/11; ; 7/2; ; 38/11; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 54/13; ; 9/2; ; 54/13; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-20 07:45:36 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 38/11; ; 7/2; ; 38/11; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 54/13; ; 9/2; ; 54/13; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-20 08:23:05 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 38/11; ; 7/2; ; 38/11; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 54/13; ; 9/2; ; 54/13; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-20 09:45:36 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 38/11; ; 7/2; ; 38/11; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 54/13; ; 9/2; ; 54/13; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-20 11:45:38 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 38/11; ; 7/2; ; 38/11; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 54/13; ; 9/2; ; 54/13; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-20 12:23:44 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 38/11; ; 7/2; ; 38/11; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 54/13; ; 9/2; ; 54/13; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-20 12:56:55 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 38/11; ; 7/2; ; 38/11; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 54/13; ; 9/2; ; 54/13; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-20 13:45:35 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 38/11; ; 7/2; ; 38/11; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 54/13; ; 9/2; ; 54/13; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-20 15:45:44 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 38/11; ; 7/2; ; 38/11; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 54/13; ; 9/2; ; 54/13; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-20 16:23:52 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 4/9; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 16/5; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 38/11; ; 7/2; ; 38/11; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 54/13; ; 9/2; ; 54/13; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-20 17:45:34 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 38/11; ; 7/2; ; 38/11; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 54/13; ; 9/2; ; 54/13; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-20 18:27:28 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 38/11; ; 7/2; ; 38/11; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; 9/2; 5; 4; 21/4; 4; 19/4; ; ; 24/5; ; ; ; ; 9/2; 54/13; ; 9/2; ; 54/13; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-20 19:45:37 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; ; ; 4/9; ; ; ; ; 1/2; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; 16/5; 19/5; 10/3; 19/5; 7/2; 19/5; ; ; 13/4; ; ; ; ; 7/2; 38/11; ; 7/2; ; 38/11; ; ; ; ; ; ; 
