META; english/fa-cup/hastings-v-margate; 2016-10-10 00:22:46 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Hastings; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-10 07:46:20 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Hastings; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-10 08:22:54 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Hastings; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-10 09:46:10 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Hastings; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-10 11:46:44 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Hastings; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-10 12:24:30 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Hastings; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-10 12:59:51 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Hastings; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-10 13:46:20 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 1/5; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 5; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Hastings; 8; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-10 15:46:18 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; ; ; ; ; ; 13/20; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; 
Draw; 10/3; ; ; ; ; ; 10/3; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
Hastings; 3; ; ; ; ; ; 7/2; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-10 16:23:21 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; 6/10; ; ; 3/5; ; 13/20; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; 
Draw; 10/3; 3; ; ; 3; ; 10/3; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/6; ; 
Hastings; 3; 3; ; ; 3; ; 7/2; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-10 17:46:23 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; 6/10; ; ; 3/5; ; 13/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; 
Draw; 10/3; 3; ; ; 3; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
Hastings; 3; 3; ; ; 3; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-10 18:36:34 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; 4/7; ; ; 4/7; ; 13/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; 
Draw; 10/3; 3; ; ; 3; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
Hastings; 3; 10/3; ; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-10 19:46:20 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; 4/7; 13/20; ; 4/7; ; 13/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; 
Draw; 10/3; 3; 16/5; ; 3; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/6; ; 
Hastings; 3; 10/3; 37/10; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-10 20:24:25 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; 4/7; 13/20; ; 4/7; ; 13/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 10/3; 3; 16/5; ; 3; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Hastings; 3; 10/3; 37/10; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-10 21:46:34 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; 4/7; 13/20; ; 4/7; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 10/3; 3; 16/5; ; 3; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Hastings; 3; 16/5; 37/10; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-10 23:46:32 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; 4/7; 13/20; ; 4/7; ; 11/20; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 10/3; 3; 16/5; ; 3; ; 10/3; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Hastings; 3; 16/5; 37/10; ; 16/5; ; 17/5; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-11 00:22:03 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; 4/7; 13/20; ; 4/7; ; 11/20; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 10/3; 3; 16/5; ; 3; ; 10/3; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Hastings; 3; 16/5; 37/10; ; 16/5; ; 17/5; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-11 00:56:07 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; 4/7; 13/20; ; 4/7; ; 11/20; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 10/3; 3; 16/5; ; 3; ; 10/3; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Hastings; 3; 16/5; 37/10; ; 16/5; ; 17/5; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-11 01:46:06 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; 4/7; 13/20; ; 4/7; ; 11/20; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 10/3; 3; 16/5; ; 3; ; 10/3; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Hastings; 3; 16/5; 37/10; ; 16/5; ; 17/5; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-11 03:45:58 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; 4/7; 13/20; ; 4/7; ; 11/20; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 10/3; 16/5; 16/5; ; 16/5; ; 10/3; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Hastings; 3; 3; 37/10; ; 3; ; 17/5; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-11 04:22:36 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; 4/7; 13/20; ; 4/7; ; 4/7; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 10/3; 16/5; 16/5; ; 16/5; ; 10/3; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Hastings; 3; 3; 37/10; ; 3; ; 10/3; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-11 05:46:08 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; 4/7; 13/20; ; 4/7; ; 4/7; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 10/3; 16/5; 16/5; ; 16/5; ; 10/3; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Hastings; 3; 3; 37/10; ; 3; ; 33/10; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-11 06:33:58 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; 4/7; 13/20; ; 4/7; ; 4/7; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 10/3; 16/5; 16/5; ; 16/5; ; 10/3; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Hastings; 3; 3; 37/10; ; 3; ; 33/10; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-11 07:46:11 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; 4/7; 13/20; ; 4/7; ; 4/7; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 10/3; 16/5; 16/5; ; 16/5; ; 10/3; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Hastings; 3; 3; 37/10; ; 3; ; 33/10; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-11 08:22:53 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; 4/7; 13/20; ; 4/7; ; 4/7; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 10/3; 16/5; 16/5; ; 16/5; ; 10/3; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Hastings; 3; 3; 37/10; ; 3; ; 33/10; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-11 09:46:06 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; 4/7; 13/20; ; 4/7; ; 4/7; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 10/3; 16/5; 16/5; ; 16/5; ; 10/3; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Hastings; 3; 3; 37/10; ; 3; ; 33/10; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-11 11:46:24 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; 6/10; 13/20; 7/10; 3/5; 4/7; 3/5; 8/15; ; 4/6; 11/10; ; ; 11/20; 8/13; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; 
Draw; 10/3; 3; 16/5; 11/4; 3; 10/3; 31/10; 10/3; ; 16/5; 5/2; ; ; 3; 10/3; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
Hastings; 3; 3; 18/5; 3; 3; 3; 33/10; 10/3; ; 10/3; 7/4; ; ; 17/5; 3; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-11 12:23:36 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; 6/10; 13/20; 8/13; 4/7; 4/7; 3/5; 8/15; 8/13; 4/6; 8/13; ; ; 11/20; 8/13; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; 
Draw; 10/3; 3; 16/5; 14/5; 3; 10/3; 31/10; 10/3; 7/2; 16/5; 3; ; ; 3; 10/3; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
Hastings; 3; 3; 18/5; 16/5; 16/5; 3; 33/10; 10/3; 7/2; 10/3; 10/3; ; ; 17/5; 3; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-11 13:04:51 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; 6/10; 13/20; 8/13; 4/7; 4/7; 3/5; 8/15; 8/13; 4/6; 8/13; ; 3/5; 4/7; 8/13; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; 
Draw; 10/3; 3; 16/5; 16/5; 16/5; 10/3; 31/10; 10/3; 7/2; 16/5; 3; ; 10/3; 16/5; 10/3; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
Hastings; 3; 3; 37/10; 3; 3; 3; 33/10; 10/3; 7/2; 10/3; 10/3; ; 10/3; 3; 3; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-11 13:46:38 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/7; 4/7; 13/20; 6/10; 4/7; 4/7; 3/5; 8/15; 8/13; 4/6; 8/13; ; 3/5; 4/7; 8/13; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; 
Draw; 10/3; 16/5; 16/5; 3; 3; 10/3; 31/10; 10/3; 7/2; 16/5; 3; ; 10/3; 16/5; 10/3; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
Hastings; 3; 3; 37/10; 16/5; 16/5; 3; 33/10; 10/3; 7/2; 10/3; 10/3; ; 10/3; 3; 3; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-11 15:46:25 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/6; 4/6; 4/5; 8/11; 4/6; 4/7; 3/4; 4/7; 8/11; 4/5; 3/4; ; 7/10; 7/10; 7/10; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
Hastings; 13/5; 11/4; 3; 11/4; 13/5; 3; 13/5; 3; 3; 14/5; 27/10; ; 57/20; 5/2; 14/5; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 
Draw; 16/5; 3; 3; 14/5; 3; 10/3; 3; 16/5; 7/2; 3; 14/5; ; 16/5; 3; 3; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-11 16:24:04 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/6; 4/6; 4/5; 8/11; 7/10; 4/7; 3/4; 4/6; 4/5; 4/5; 3/4; ; 7/10; 7/10; 7/10; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
Hastings; 13/5; 11/4; 29/10; 11/4; 13/5; 3; 13/5; 11/4; 3; 14/5; 27/10; ; 57/20; 13/5; 14/5; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
Draw; 16/5; 3; 3; 14/5; 11/4; 10/3; 3; 3; 10/3; 3; 14/5; ; 16/5; 29/10; 3; ; ; ; ; ; ; ; ; ; ; ; 27/10; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-11 17:45:55 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/6; 4/6; 4/5; 8/11; 7/10; 4/7; 3/4; 4/6; 4/5; 4/5; 3/4; ; ; 7/10; 7/10; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
Hastings; 13/5; 11/4; 29/10; 11/4; 13/5; 3; 13/5; 11/4; 3; 14/5; 27/10; ; ; 13/5; 14/5; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
Draw; 16/5; 3; 3; 14/5; 11/4; 10/3; 3; 3; 10/3; 3; 14/5; ; ; 29/10; 3; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-11 18:35:56 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/6; 7/10; 4/5; 8/11; 7/10; 4/7; 3/4; 4/6; 4/5; 4/5; 3/4; ; 8/11; 7/10; 7/10; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
Hastings; 13/5; 13/5; 29/10; 11/4; 13/5; 3; 13/5; 11/4; 3; 14/5; 27/10; ; 14/5; 13/5; 14/5; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Draw; 16/5; 3; 3; 14/5; 11/4; 10/3; 3; 3; 10/3; 3; 14/5; ; 16/5; 29/10; 3; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-11 19:45:49 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/6; 7/10; 8/11; 7/10; 7/10; 4/7; 8/11; 4/6; 8/11; 3/4; 8/11; ; 8/11; 4/6; 7/10; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Hastings; 13/5; 13/5; 5/2; 14/5; 13/5; 3; 27/10; 11/4; 3; 3; 14/5; ; 14/5; 13/5; 3; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Draw; 16/5; 3; 14/5; 14/5; 11/4; 10/3; 3; 3; 10/3; 3; 14/5; ; 16/5; 3; 14/5; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-11 20:23:37 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; 4/6; 7/10; 8/11; 8/11; 4/6; 4/7; 8/11; 4/6; 8/11; 3/4; 7/10; ; ; 4/6; 7/10; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Hastings; 13/5; 13/5; 5/2; 14/5; 11/4; 3; 27/10; 11/4; 3; 3; 29/10; ; ; 27/10; 3; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
Draw; 16/5; 3; 14/5; 11/4; 11/4; 10/3; 3; 3; 10/3; 3; 14/5; ; ; 29/10; 14/5; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/fa-cup/hastings-v-margate; 2016-10-11 21:45:48 GMT+3; 2016-10-11 19:45; e70300-dr003
Margate; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hastings; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
