META; english/fa-cup/barwell-v-evesham; 2016-09-05 12:22:23 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; ; ; ; 4/7; ; ; 6/11; ; ; ; ; ; ; ; ; 
Draw; 3; 3; 31/10; ; 10/3; ; 33/10; ; ; ; ; ; ; ; ; ; 10/3; ; ; 29/10; ; ; ; ; ; ; ; ; 
Evesham; 10/3; 7/2; 4; ; 19/5; ; 21/5; ; ; ; ; ; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-05 19:46:20 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; ; ; ; 4/7; ; ; 6/11; ; ; ; ; ; ; ; ; 
Draw; 3; 14/5; 31/10; ; 16/5; ; 16/5; ; ; ; ; ; ; ; ; ; 3; ; ; 29/10; ; ; ; ; ; ; ; ; 
Evesham; 10/3; 15/4; 4; ; 4; ; 17/4; ; ; ; ; ; ; ; ; ; 4; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-05 20:22:39 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; ; ; ; 4/7; ; ; 6/11; ; ; ; ; ; ; ; ; 
Draw; 3; 14/5; 31/10; ; 16/5; ; 16/5; ; ; ; ; ; ; ; ; ; 3; ; ; 29/10; ; ; ; ; ; ; ; ; 
Evesham; 10/3; 15/4; 4; ; 4; ; 17/4; ; ; ; ; ; ; ; ; ; 4; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-05 21:46:11 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; ; ; ; 4/7; ; ; 6/11; ; ; ; ; ; ; ; ; 
Draw; 3; 14/5; 31/10; ; 16/5; ; 16/5; ; ; ; ; ; ; ; ; ; 3; ; ; 29/10; ; ; ; ; ; ; ; ; 
Evesham; 10/3; 15/4; 4; ; 4; ; 17/4; ; ; ; ; ; ; ; ; ; 4; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-06 00:21:30 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; ; ; ; 4/7; ; ; 6/11; ; ; ; ; ; ; ; ; 
Draw; 3; 14/5; 16/5; ; 16/5; ; 16/5; ; ; ; ; ; ; ; ; ; 3; ; ; 29/10; ; ; ; ; ; ; ; ; 
Evesham; 10/3; 15/4; 19/5; ; 4; ; 17/4; ; ; ; ; ; ; ; ; ; 4; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-06 00:50:06 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; ; ; ; 4/7; ; ; 6/11; ; ; ; ; ; ; ; ; 
Draw; 3; 14/5; 16/5; ; 16/5; ; 16/5; ; ; ; ; ; ; ; ; ; 3; ; ; 29/10; ; ; ; ; ; ; ; ; 
Evesham; 10/3; 15/4; 19/5; ; 4; ; 17/4; ; ; ; ; ; ; ; ; ; 4; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-06 01:45:51 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; ; ; ; 4/7; ; ; 6/11; ; ; ; ; ; ; ; ; 
Draw; 3; 14/5; 16/5; ; 16/5; ; 16/5; ; ; ; ; ; ; ; ; ; 3; ; ; 29/10; ; ; ; ; ; ; ; ; 
Evesham; 10/3; 15/4; 19/5; ; 4; ; 17/4; ; ; ; ; ; ; ; ; ; 4; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-06 03:45:51 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; ; ; ; 4/7; ; ; 6/11; ; ; ; ; ; ; ; ; 
Draw; 3; 14/5; 16/5; ; 16/5; ; 16/5; ; ; ; ; ; ; ; ; ; 3; ; ; 29/10; ; ; ; ; ; ; ; ; 
Evesham; 10/3; 15/4; 19/5; ; 4; ; 17/4; ; ; ; ; ; ; ; ; ; 4; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-06 04:22:04 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; ; ; ; 4/7; ; ; 6/11; ; ; ; ; ; ; ; ; 
Draw; 3; 14/5; 16/5; ; 16/5; ; 16/5; ; ; ; ; ; ; ; ; ; 3; ; ; 29/10; ; ; ; ; ; ; ; ; 
Evesham; 10/3; 15/4; 19/5; ; 4; ; 17/4; ; ; ; ; ; ; ; ; ; 4; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-06 05:45:56 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; ; ; ; 4/7; 10/17; ; 6/11; ; 10/17; ; ; ; ; ; ; 
Draw; 3; 11/4; 16/5; ; 16/5; ; 16/5; ; ; ; ; ; ; ; ; ; 3; 56/19; ; 29/10; ; 56/19; ; ; ; ; ; ; 
Evesham; 10/3; 4; 19/5; ; 4; ; 17/4; ; ; ; ; ; ; ; ; ; 4; 17/5; ; 15/4; ; 17/5; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-06 06:30:25 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; ; ; ; 4/7; 10/17; ; 6/11; ; 10/17; ; ; ; ; ; ; 
Draw; 3; 11/4; 16/5; ; 16/5; ; 16/5; ; ; ; ; ; ; ; ; ; 3; 56/19; ; 29/10; ; 56/19; ; ; ; ; ; ; 
Evesham; 10/3; 4; 19/5; ; 4; ; 17/4; ; ; ; ; ; ; ; ; ; 4; 17/5; ; 15/4; ; 17/5; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-06 08:22:01 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; ; ; ; 4/7; 4/7; ; 6/11; ; 4/7; ; ; ; ; ; ; 
Draw; 3; 11/4; 16/5; ; 16/5; ; 16/5; ; ; ; ; ; ; ; ; ; 3; 3; ; 29/10; ; 3; ; ; ; ; ; ; 
Evesham; 10/3; 4; 19/5; ; 4; ; 17/4; ; ; ; ; ; ; ; ; ; 4; 38/11; ; 15/4; ; 38/11; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-06 09:45:57 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; ; ; ; 4/7; 4/7; ; 6/11; ; 4/7; ; ; ; ; ; ; 
Draw; 3; 14/5; 16/5; ; 16/5; ; 16/5; ; ; ; ; ; ; ; ; ; 3; 3; ; 29/10; ; 3; ; ; ; ; ; ; 
Evesham; 10/3; 15/4; 19/5; ; 4; ; 17/4; ; ; ; ; ; ; ; ; ; 4; 38/11; ; 15/4; ; 38/11; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-06 11:45:56 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; ; ; ; 4/7; 4/7; ; 6/11; ; 4/7; ; ; ; ; ; ; 
Draw; 3; 14/5; 16/5; ; 16/5; ; 16/5; ; ; ; ; ; ; ; ; ; 3; 3; ; 29/10; ; 3; ; ; ; ; ; ; 
Evesham; 10/3; 15/4; 19/5; ; 4; ; 17/4; ; ; ; ; ; ; ; ; ; 4; 38/11; ; 15/4; ; 38/11; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-06 12:23:07 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 8/13; ; 3/5; ; 4/7; ; 8/13; ; ; ; ; ; ; ; 4/7; 4/7; ; 6/11; ; 4/7; ; ; ; ; ; ; 
Draw; 3; 11/4; 16/5; ; 16/5; ; 16/5; ; 10/3; ; ; ; ; ; ; ; 3; 3; ; 29/10; ; 3; ; ; ; ; ; ; 
Evesham; 10/3; 4; 19/5; ; 4; ; 17/4; ; 19/5; ; ; ; ; ; ; ; 4; 38/11; ; 15/4; ; 38/11; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-06 12:58:13 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 8/13; ; 3/5; ; 4/7; ; 8/13; ; ; ; ; ; ; ; 4/7; 4/7; ; 6/11; ; 4/7; ; ; ; ; ; ; 
Draw; 3; 14/5; 31/10; ; 16/5; ; 16/5; ; 10/3; ; ; ; ; ; ; ; 3; 3; ; 29/10; ; 3; ; ; ; ; ; ; 
Evesham; 10/3; 4; 4; ; 4; ; 17/4; ; 19/5; ; ; ; ; ; ; ; 4; 38/11; ; 15/4; ; 38/11; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-06 13:46:02 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 8/13; ; 3/5; ; 4/7; ; 8/13; ; ; ; ; ; ; ; 4/7; 4/7; ; 6/11; ; 4/7; ; ; ; ; ; ; 
Draw; 3; 14/5; 31/10; ; 16/5; ; 16/5; ; 10/3; ; ; ; ; ; ; ; 3; 3; ; 29/10; ; 3; ; ; ; ; ; ; 
Evesham; 10/3; 4; 4; ; 4; ; 17/4; ; 19/5; ; ; ; ; ; ; ; 4; 7/2; ; 15/4; ; 7/2; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-06 15:45:59 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 13/20; ; 8/13; ; 8/13; 8/15; 8/13; ; ; ; ; ; ; ; 4/7; 4/7; ; 6/11; ; 4/7; ; ; ; ; ; ; 
Draw; 3; 3; 31/10; ; 10/3; ; 16/5; 3; 10/3; ; ; ; ; ; ; ; 10/3; 3; ; 29/10; ; 3; ; ; ; ; ; ; 
Evesham; 10/3; 7/2; 19/5; ; 19/5; ; 15/4; 7/2; 19/5; ; ; ; ; ; ; ; 7/2; 38/11; ; 15/4; ; 38/11; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-06 16:23:00 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 13/20; ; 8/13; ; 8/13; 8/15; 8/13; ; ; ; ; ; ; ; 4/7; 4/7; ; 6/11; ; 4/7; ; ; ; ; ; ; 
Draw; 3; 3; 31/10; ; 10/3; ; 33/10; 3; 10/3; ; ; ; ; ; ; ; 10/3; 3; ; 29/10; ; 3; ; ; ; ; ; ; 
Evesham; 10/3; 7/2; 19/5; ; 19/5; ; 15/4; 7/2; 19/5; ; ; ; ; ; ; ; 7/2; 38/11; ; 15/4; ; 38/11; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-06 17:45:57 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 13/20; ; 8/13; ; 13/20; 8/15; 8/13; ; ; ; ; ; ; ; 8/13; 4/7; ; 6/11; ; 4/7; ; ; ; ; ; ; 
Draw; 3; 3; 31/10; ; 10/3; ; 33/10; 3; 10/3; ; ; ; ; ; ; ; 10/3; 3; ; 29/10; ; 3; ; ; ; ; ; ; 
Evesham; 10/3; 7/2; 19/5; ; 19/5; ; 17/5; 7/2; 19/5; ; ; ; ; ; ; ; 7/2; 38/11; ; 15/4; ; 38/11; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-06 18:30:49 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 13/20; ; 8/13; ; 13/20; 8/15; 8/13; ; ; ; ; ; ; ; 8/13; 4/7; ; 6/11; ; 4/7; ; ; ; ; ; ; 
Draw; 3; 3; 31/10; ; 10/3; ; 33/10; 3; 10/3; ; ; ; ; ; ; ; 10/3; 3; ; 29/10; ; 3; ; ; ; ; ; ; 
Evesham; 10/3; 7/2; 19/5; ; 19/5; ; 17/5; 7/2; 19/5; ; ; ; ; ; ; ; 7/2; 38/11; ; 15/4; ; 38/11; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-06 19:45:41 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 13/20; 8/13; 3/4; ; 4/6; ; 4/6; 8/15; 4/6; ; ; ; ; ; ; ; 8/13; 8/13; ; 6/11; ; 8/13; ; ; ; ; ; ; 
Draw; 16/5; 3; 29/10; ; 10/3; ; 33/10; 3; 7/2; ; ; ; ; ; ; ; 10/3; 31/10; ; 29/10; ; 31/10; ; ; ; ; ; ; 
Evesham; 11/4; 3; 10/3; ; 10/3; ; 17/5; 7/2; 3; ; ; ; ; ; ; ; 10/3; 3; ; 15/4; ; 3; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-06 20:22:42 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 13/20; 8/13; 3/4; ; 4/6; ; 4/6; 8/15; 8/11; ; 3/4; ; ; ; ; ; 8/13; 8/13; ; 6/11; ; 8/13; ; ; ; ; ; ; 
Draw; 16/5; 3; 29/10; ; 10/3; ; 33/10; 3; 3; ; 3; ; ; ; ; ; 10/3; 31/10; ; 29/10; ; 31/10; ; ; ; ; ; ; 
Evesham; 11/4; 3; 10/3; ; 10/3; ; 17/5; 7/2; 10/3; ; 16/5; ; ; ; ; ; 10/3; 3; ; 15/4; ; 3; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-06 21:45:31 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 13/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Evesham; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
