META; english/fa-cup/hitchin-v-faversham-town; 2016-09-18 19:45:45 GMT+3; 2016-09-19 19:45; e70300-dr003
Draw; 10/3; 3; 3; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Faversham Town; 14/5; 16/5; 18/5; ; ; ; ; ; ; ; ; 17/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-19 01:45:04 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 6/10; 7/10; ; 4/6; ; ; ; 4/6; ; ; 8/13; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; 3; ; 10/3; ; ; ; 10/3; ; ; 14/5; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
Faversham Town; 14/5; 3; 18/5; ; 10/3; ; ; ; 10/3; ; ; 17/5; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-19 03:45:02 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 6/10; 7/10; ; 4/6; ; ; ; 4/6; ; ; 8/13; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; 3; ; 10/3; ; ; ; 10/3; ; ; 14/5; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
Faversham Town; 14/5; 3; 18/5; ; 10/3; ; ; ; 10/3; ; ; 17/5; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-19 04:21:55 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 6/10; 7/10; ; 4/6; ; ; ; 4/6; ; ; 8/13; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; 3; ; 10/3; ; ; ; 10/3; ; ; 14/5; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
Faversham Town; 14/5; 3; 18/5; ; 10/3; ; ; ; 10/3; ; ; 17/5; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-19 05:45:02 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 6/10; 7/10; ; 4/6; ; 13/20; ; 4/6; ; ; 8/13; ; ; ; ; 8/13; 8/13; ; 4/6; ; 8/13; ; ; ; ; ; ; 
Draw; 10/3; 3; 3; ; 10/3; ; 10/3; ; 10/3; ; ; 14/5; ; ; ; ; 10/3; 13/4; ; 13/4; ; 13/4; ; ; ; ; ; ; 
Faversham Town; 14/5; 3; 18/5; ; 10/3; ; 7/2; ; 10/3; ; ; 17/5; ; ; ; ; 10/3; 37/13; ; 16/5; ; 37/13; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-19 06:27:47 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 6/10; 7/10; ; 4/6; ; 13/20; ; 4/6; ; ; 8/13; ; ; ; ; 8/13; 8/13; ; 4/6; ; 8/13; ; ; ; ; ; ; 
Draw; 10/3; 3; 3; ; 10/3; ; 10/3; ; 10/3; ; ; 14/5; ; ; ; ; 10/3; 13/4; ; 13/4; ; 13/4; ; ; ; ; ; ; 
Faversham Town; 14/5; 3; 18/5; ; 10/3; ; 7/2; ; 10/3; ; ; 17/5; ; ; ; ; 10/3; 37/13; ; 16/5; ; 37/13; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-19 07:45:02 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 6/10; 7/10; ; 4/6; ; 13/20; ; 4/6; ; ; 8/13; ; ; ; ; 8/13; 8/13; ; 4/6; ; 8/13; ; ; ; ; ; ; 
Draw; 10/3; 14/5; 3; ; 10/3; ; 10/3; ; 10/3; ; ; 14/5; ; ; ; ; 10/3; 16/5; ; 13/4; ; 16/5; ; ; ; ; ; ; 
Faversham Town; 14/5; 16/5; 18/5; ; 10/3; ; 7/2; ; 10/3; ; ; 17/5; ; ; ; ; 10/3; 29/10; ; 16/5; ; 29/10; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-19 08:22:16 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 6/10; 7/10; ; 4/6; ; 13/20; ; 4/6; ; ; 8/13; ; ; ; ; 8/13; 8/13; ; 4/6; ; 8/13; ; ; ; ; ; ; 
Draw; 10/3; 3; 3; ; 10/3; ; 10/3; ; 10/3; ; ; 14/5; ; ; ; ; 10/3; 16/5; ; 13/4; ; 16/5; ; ; ; ; ; ; 
Faversham Town; 14/5; 3; 18/5; ; 10/3; ; 7/2; ; 10/3; ; ; 17/5; ; ; ; ; 10/3; 29/10; ; 16/5; ; 29/10; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-19 09:45:02 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 8/13; 7/10; ; 4/6; ; 13/20; ; 4/6; ; ; 8/13; ; ; ; ; 8/13; 8/13; ; 4/6; ; 8/13; ; ; ; ; ; ; 
Draw; 10/3; 3; 3; ; 10/3; ; 10/3; ; 10/3; ; ; 14/5; ; ; ; ; 10/3; 41/13; ; 13/4; ; 41/13; ; ; ; ; ; ; 
Faversham Town; 14/5; 3; 18/5; ; 10/3; ; 7/2; ; 10/3; ; ; 17/5; ; ; ; ; 10/3; 56/19; ; 16/5; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-19 11:45:02 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 6/10; 7/10; ; 4/6; ; 13/20; ; 4/6; ; ; 8/13; ; ; ; ; 8/13; 8/13; ; 4/6; ; 8/13; ; ; ; ; ; ; 
Draw; 10/3; 14/5; 3; ; 10/3; ; 10/3; ; 10/3; ; ; 14/5; ; ; ; ; 10/3; 41/13; ; 13/4; ; 41/13; ; ; ; ; ; ; 
Faversham Town; 14/5; 16/5; 18/5; ; 10/3; ; 7/2; ; 10/3; ; ; 17/5; ; ; ; ; 10/3; 56/19; ; 16/5; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-19 12:22:08 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 6/10; 7/10; ; 4/6; ; 13/20; ; 4/6; ; ; 8/13; ; ; ; ; 8/13; 8/13; ; 4/6; ; 8/13; ; ; ; ; ; ; 
Draw; 10/3; 14/5; 3; ; 10/3; ; 10/3; ; 10/3; ; ; 14/5; ; ; ; ; 10/3; 41/13; ; 13/4; ; 41/13; ; ; ; ; ; ; 
Faversham Town; 14/5; 16/5; 18/5; ; 10/3; ; 7/2; ; 10/3; ; ; 17/5; ; ; ; ; 10/3; 56/19; ; 16/5; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-19 12:50:37 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 6/10; 7/10; ; 4/6; ; 13/20; ; 4/6; ; ; 8/13; ; ; ; ; 8/13; 8/13; ; 4/6; ; 8/13; ; ; ; ; ; ; 
Draw; 10/3; 14/5; 3; ; 10/3; ; 10/3; ; 10/3; ; ; 14/5; ; ; ; ; 10/3; 41/13; ; 13/4; ; 41/13; ; ; ; ; ; ; 
Faversham Town; 14/5; 16/5; 18/5; ; 10/3; ; 7/2; ; 10/3; ; ; 17/5; ; ; ; ; 10/3; 56/19; ; 16/5; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-19 13:45:03 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 6/10; 7/10; ; 4/6; ; 13/20; 8/13; 4/6; ; ; 8/13; ; ; ; ; 8/13; 8/13; ; 4/6; ; 8/13; ; ; ; ; ; ; 
Draw; 10/3; 14/5; 3; ; 10/3; ; 10/3; 3; 10/3; ; ; 14/5; ; ; ; ; 10/3; 41/13; ; 13/4; ; 41/13; ; ; ; ; ; ; 
Faversham Town; 14/5; 16/5; 18/5; ; 10/3; ; 7/2; 3; 10/3; ; ; 17/5; ; ; ; ; 10/3; 56/19; ; 16/5; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-19 15:45:02 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 6/10; 7/10; ; 4/6; ; 13/20; 8/13; 4/6; ; ; 8/13; ; ; ; ; 8/13; 11/18; ; 8/13; ; 11/18; ; ; ; ; ; ; 
Draw; 10/3; 14/5; 3; ; 10/3; ; 10/3; 3; 7/2; ; ; 14/5; ; ; ; ; 10/3; 16/5; ; 10/3; ; 16/5; ; ; ; ; ; ; 
Faversham Town; 14/5; 16/5; 18/5; ; 10/3; ; 18/5; 3; 10/3; ; ; 17/5; ; ; ; ; 10/3; 56/19; ; 7/2; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-19 16:22:55 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 6/10; 7/10; ; 4/6; ; 13/20; 8/13; 4/6; ; ; 8/13; ; ; ; ; 8/13; 11/18; ; 8/13; ; 11/18; ; ; ; ; ; ; 
Draw; 10/3; 14/5; 3; ; 10/3; ; 10/3; 3; 7/2; ; ; 14/5; ; ; ; ; 10/3; 16/5; ; 10/3; ; 16/5; ; ; ; ; ; ; 
Faversham Town; 14/5; 16/5; 18/5; ; 10/3; ; 18/5; 3; 10/3; ; ; 17/5; ; ; ; ; 10/3; 56/19; ; 7/2; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-19 17:45:02 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 6/10; 7/10; ; 4/6; 3/5; 13/20; 8/13; 4/6; ; ; 8/13; ; ; ; ; 8/13; 11/18; ; 8/13; ; 11/18; ; ; ; ; ; ; 
Draw; 10/3; 3; 3; ; 10/3; 10/3; 10/3; 3; 7/2; ; ; 14/5; ; ; ; ; 10/3; 16/5; ; 10/3; ; 16/5; ; ; ; ; ; ; 
Faversham Town; 14/5; 3; 18/5; ; 10/3; 11/4; 7/2; 3; 10/3; ; ; 17/5; ; ; ; ; 10/3; 56/19; ; 7/2; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-19 18:31:44 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 6/10; 7/10; 8/13; 4/6; ; 13/20; 8/13; 4/6; ; ; 8/13; ; ; ; ; 8/13; 8/13; ; 8/13; ; 8/13; ; ; ; ; ; ; 
Draw; 10/3; 3; 3; 14/5; 10/3; ; 10/3; 3; 7/2; ; ; 14/5; ; ; ; ; 10/3; 41/13; ; 10/3; ; 41/13; ; ; ; ; ; ; 
Faversham Town; 14/5; 3; 18/5; 16/5; 10/3; ; 7/2; 3; 10/3; ; ; 17/5; ; ; ; ; 10/3; 56/19; ; 7/2; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-19 19:45:03 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 6/10; 7/10; 8/13; 4/6; 3/5; 13/20; 8/13; 4/6; ; ; 8/13; ; ; ; ; 8/13; 8/13; ; 4/7; ; 8/13; ; ; ; ; ; ; 
Draw; 10/3; 14/5; 3; 14/5; 10/3; 10/3; 10/3; 3; 7/2; ; ; 14/5; ; ; ; ; 10/3; 41/13; ; 17/5; ; 41/13; ; ; ; ; ; ; 
Faversham Town; 14/5; 16/5; 18/5; 16/5; 10/3; 11/4; 7/2; 3; 10/3; ; ; 17/5; ; ; ; ; 10/3; 56/19; ; 16/5; ; 56/19; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-19 20:23:38 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 8/13; 8/11; 8/13; 4/6; 3/5; 13/20; 8/13; 4/6; ; ; 4/6; ; ; ; ; 4/6; ; ; 4/7; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; 29/10; 14/5; 10/3; 10/3; 17/5; 3; 7/2; ; ; 11/4; ; ; ; ; 10/3; ; ; 17/5; ; ; ; ; ; ; ; ; 
Faversham Town; 14/5; 3; 7/2; 16/5; 10/3; 11/4; 7/2; 3; 10/3; ; ; 13/4; ; ; ; ; 3; ; ; 16/5; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-19 21:45:02 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 8/13; 8/11; 8/13; 4/6; 3/5; 13/20; 8/13; 4/6; ; 8/11; 4/6; ; ; ; ; 4/6; 8/13; ; 4/7; ; 8/13; ; ; ; ; ; ; 
Faversham Town; 14/5; 3; 17/5; 3; 10/3; 11/4; 33/10; 3; 3; ; 10/3; 16/5; ; ; ; ; 3; 37/13; ; 31/10; ; 37/13; ; ; ; ; ; ; 
Draw; 10/3; 3; 29/10; 14/5; 10/3; 10/3; 7/2; 3; 10/3; ; 3; 11/4; ; ; ; ; 10/3; 33/10; ; 7/2; ; 33/10; ; ; ; ; ; ; 
