META; english/fa-cup/egham-town-v-st-albans; 2016-10-13 20:24:17 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 13/20; ; 8/15; ; 11/20; 8/15; 8/13; ; ; ; 3/5; ; 4/7; ; 4/7; ; 4/7; ; 4/7; ; ; 8/13; ; ; 1/2; ; 
St Albans; ; ; 47/100; 4/9; 4/9; ; 4/9; 2/5; 1/2; ; ; ; 9/20; 2/5; 4/7; ; 4/9; ; 5/11; ; 4/9; ; ; 5/11; ; ; 4/11; ; 
Draw; ; ; 16/5; 10/3; 7/2; ; 18/5; 7/2; 19/5; ; ; ; 7/2; 16/5; 7/2; ; 38/11; ; 18/5; ; 38/11; ; ; 7/2; ; ; 14/5; ; 
Egham Town; ; ; 19/4; 4; 9/2; ; 9/2; 9/2; 5; ; ; ; 19/4; 24/5; 15/4; ; 54/13; ; 17/4; ; 54/13; ; ; 4; ; ; 22/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-15 03:47:45 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 47/100; 4/9; 4/9; ; 4/9; 2/5; 1/2; ; ; ; 9/20; 2/5; 4/7; ; 4/9; ; 5/11; ; 4/9; ; ; 5/11; ; ; 4/11; ; 
Draw; ; ; 16/5; 10/3; 7/2; ; 18/5; 7/2; 19/5; ; ; ; 7/2; 16/5; 7/2; ; 38/11; ; 18/5; ; 38/11; ; ; 7/2; ; ; 14/5; ; 
Egham Town; ; ; 19/4; 4; 9/2; ; 9/2; 9/2; 5; ; ; ; 19/4; 24/5; 15/4; ; 54/13; ; 17/4; ; 54/13; ; ; 4; ; ; 22/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-15 04:23:44 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 47/100; 4/9; 4/9; ; 4/9; 2/5; 1/2; ; ; ; ; 2/5; 4/7; ; 4/9; ; 5/11; ; 4/9; ; ; 5/11; ; ; 4/11; ; 
Draw; ; ; 16/5; 10/3; 7/2; ; 18/5; 7/2; 19/5; ; ; ; ; 16/5; 7/2; ; 38/11; ; 18/5; ; 38/11; ; ; 7/2; ; ; 14/5; ; 
Egham Town; ; ; 19/4; 4; 9/2; ; 9/2; 9/2; 5; ; ; ; ; 24/5; 15/4; ; 54/13; ; 17/4; ; 54/13; ; ; 4; ; ; 22/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-15 05:47:41 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 47/100; 4/9; 4/9; ; 4/9; 2/5; 1/2; ; ; ; 9/20; 2/5; 4/7; ; 4/9; ; 5/11; ; 4/9; ; ; 5/11; ; ; 4/11; ; 
Draw; ; ; 16/5; 10/3; 7/2; ; 18/5; 7/2; 19/5; ; ; ; 7/2; 16/5; 7/2; ; 38/11; ; 18/5; ; 38/11; ; ; 7/2; ; ; 14/5; ; 
Egham Town; ; ; 19/4; 4; 9/2; ; 9/2; 9/2; 5; ; ; ; 19/4; 24/5; 15/4; ; 54/13; ; 17/4; ; 54/13; ; ; 4; ; ; 22/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-15 06:36:47 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 47/100; 4/9; 4/9; ; 4/9; 2/5; 1/2; ; ; ; 9/20; 2/5; 4/7; ; 4/9; ; 5/11; ; 4/9; ; ; 5/11; ; ; 4/11; ; 
Draw; ; ; 16/5; 10/3; 7/2; ; 18/5; 7/2; 19/5; ; ; ; 7/2; 16/5; 7/2; ; 38/11; ; 18/5; ; 38/11; ; ; 7/2; ; ; 14/5; ; 
Egham Town; ; ; 19/4; 4; 9/2; ; 9/2; 9/2; 5; ; ; ; 19/4; 24/5; 15/4; ; 54/13; ; 17/4; ; 54/13; ; ; 4; ; ; 22/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-15 07:49:34 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 47/100; 4/9; 4/9; ; 4/9; 2/5; 1/2; ; ; ; 9/20; 2/5; 4/7; ; 4/9; ; 5/11; ; 4/9; ; ; 5/11; ; ; 4/11; ; 
Draw; ; ; 16/5; 10/3; 7/2; ; 18/5; 7/2; 19/5; ; ; ; 7/2; 16/5; 7/2; ; 38/11; ; 18/5; ; 38/11; ; ; 7/2; ; ; 14/5; ; 
Egham Town; ; ; 19/4; 4; 9/2; ; 9/2; 9/2; 5; ; ; ; 19/4; 24/5; 15/4; ; 54/13; ; 17/4; ; 54/13; ; ; 4; ; ; 22/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-15 08:24:17 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 47/100; 4/9; 4/9; ; 4/9; 2/5; 1/2; ; ; ; ; 2/5; 4/7; ; 4/9; ; 5/11; ; 4/9; ; ; 5/11; ; ; 4/11; ; 
Draw; ; ; 16/5; 10/3; 7/2; ; 18/5; 7/2; 19/5; ; ; ; ; 16/5; 7/2; ; 38/11; ; 18/5; ; 38/11; ; ; 7/2; ; ; 14/5; ; 
Egham Town; ; ; 19/4; 4; 9/2; ; 9/2; 9/2; 5; ; ; ; ; 24/5; 15/4; ; 54/13; ; 17/4; ; 54/13; ; ; 4; ; ; 22/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-15 09:47:55 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 47/100; 4/9; 4/9; ; 4/9; 2/5; 1/2; ; ; ; 9/20; 2/5; 4/7; ; 4/9; ; 5/11; ; 4/9; ; ; 5/11; ; ; 4/11; ; 
Draw; ; ; 16/5; 10/3; 7/2; ; 18/5; 7/2; 19/5; ; ; ; 7/2; 16/5; 7/2; ; 7/2; ; 18/5; ; 7/2; ; ; 7/2; ; ; 14/5; ; 
Egham Town; ; ; 19/4; 4; 9/2; ; 9/2; 9/2; 5; ; ; ; 19/4; 24/5; 15/4; ; 41/10; ; 17/4; ; 41/10; ; ; 4; ; ; 22/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-15 11:48:04 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 47/100; 4/9; 4/9; ; 4/9; 2/5; 1/2; ; ; ; 9/20; 2/5; 4/9; ; 4/9; ; 5/11; ; 4/9; ; ; 5/11; ; ; 2/5; ; 
Draw; ; ; 16/5; 10/3; 7/2; ; 18/5; 7/2; 19/5; ; ; ; 7/2; 16/5; 15/4; ; 38/11; ; 18/5; ; 38/11; ; ; 7/2; ; ; 14/5; ; 
Egham Town; ; ; 19/4; 4; 9/2; ; 22/5; 9/2; 5; ; ; ; 19/4; 24/5; 5; ; 54/13; ; 17/4; ; 54/13; ; ; 4; ; ; 22/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-15 12:23:26 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 47/100; 4/9; 4/9; ; 2/5; 2/5; 1/2; ; ; ; 9/20; 2/5; 4/9; ; 4/9; ; 5/11; ; 4/9; ; ; 5/12; ; ; 2/5; ; 
Draw; ; ; 16/5; 10/3; 7/2; ; 15/4; 7/2; 19/5; ; ; ; 7/2; 16/5; 15/4; ; 38/11; ; 18/5; ; 38/11; ; ; 7/2; ; ; 14/5; ; 
Egham Town; ; ; 19/4; 4; 9/2; ; 22/5; 9/2; 5; ; ; ; 19/4; 24/5; 5; ; 54/13; ; 17/4; ; 54/13; ; ; 22/5; ; ; 22/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-15 13:01:58 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 47/100; 4/9; 2/5; ; 2/5; 2/5; 1/2; ; ; ; 9/20; 2/5; 4/9; ; 3/7; ; 5/11; ; 4/9; ; ; 5/12; ; ; 2/5; ; 
Draw; ; ; 16/5; 10/3; 18/5; ; 15/4; 7/2; 19/5; ; ; ; 7/2; 16/5; 15/4; ; 7/2; ; 18/5; ; 38/11; ; ; 7/2; ; ; 14/5; ; 
Egham Town; ; ; 19/4; 4; 5; ; 19/4; 9/2; 5; ; ; ; 19/4; 24/5; 5; ; 17/4; ; 17/4; ; 54/13; ; ; 22/5; ; ; 22/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-15 13:47:30 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 47/100; 4/9; 2/5; ; 2/5; 2/5; 1/2; 4/9; ; ; 9/20; 2/5; 4/9; ; 3/7; ; 5/11; ; 4/9; ; ; 5/12; ; ; 2/5; ; 
Draw; ; ; 16/5; 10/3; 18/5; ; 15/4; 7/2; 19/5; 18/5; ; ; 7/2; 16/5; 15/4; ; 7/2; ; 18/5; ; 38/11; ; ; 7/2; ; ; 19/10; ; 
Egham Town; ; ; 19/4; 4; 5; ; 19/4; 9/2; 5; 19/4; ; ; 19/4; 24/5; 5; ; 17/4; ; 17/4; ; 54/13; ; ; 22/5; ; ; 19/10; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-15 15:47:27 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 47/100; 4/9; 2/5; ; 2/5; 4/11; 1/2; 4/9; ; ; 9/20; 2/5; 4/9; ; 5/12; ; 5/11; ; 5/12; ; ; 5/12; ; ; 1/3; ; 
Draw; ; ; 16/5; 10/3; 18/5; ; 15/4; 7/2; 19/5; 18/5; ; ; 7/2; 10/3; 15/4; ; 39/11; ; 18/5; ; 39/11; ; ; 7/2; ; ; 13/5; ; 
Egham Town; ; ; 19/4; 4; 5; ; 19/4; 9/2; 5; 19/4; ; ; 19/4; 5; 5; ; 22/5; ; 17/4; ; 22/5; ; ; 22/5; ; ; 21/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-15 16:25:18 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 47/100; 4/9; 2/5; ; 2/5; 4/11; 1/2; 4/9; ; ; 9/20; 2/5; 4/9; ; 5/12; ; 5/11; ; 5/12; ; ; 5/12; ; ; 3/10; ; 
Draw; ; ; 16/5; 10/3; 18/5; ; 15/4; 7/2; 19/5; 18/5; ; ; 7/2; 10/3; 15/4; ; 39/11; ; 18/5; ; 39/11; ; ; 7/2; ; ; 19/10; ; 
Egham Town; ; ; 19/4; 4; 5; ; 19/4; 9/2; 5; 19/4; ; ; 19/4; 5; 5; ; 22/5; ; 17/4; ; 22/5; ; ; 22/5; ; ; 23/5; ; 
