META; english/fa-cup/harrow-borough-v-margate; 2016-10-12 16:24:56 GMT+3; 2016-10-15 15:00; e70300-dr003
Harrow Borough; 6/4; 6/4; ; 31/20; 8/5; ; 8/5; ; ; ; ; ; ; ; 8/5; 8/5; 6/4; ; 8/5; ; 6/4; 19/10; ; ; ; ; 1/50; ; 
Draw; 13/5; 12/5; ; 12/5; 13/5; ; 27/10; ; ; ; ; ; ; ; 11/4; 13/5; 13/5; ; 27/10; ; 13/5; 11/4; ; ; ; ; 1/100; ; 
META; english/fa-cup/harrow-borough-v-margate; 2016-10-14 20:23:36 GMT+3; 2016-10-15 15:00; e70300-dr003
Margate; 13/10; 13/10; ; 11/8; 11/8; ; 11/8; ; ; ; ; ; ; ; 11/8; 11/8; 13/10; ; 5/4; ; 13/10; 7/5; ; ; ; ; 1/25; ; 
Harrow Borough; 6/4; 6/4; ; 31/20; 8/5; ; 8/5; ; ; ; ; ; ; ; 8/5; 8/5; 6/4; ; 8/5; ; 6/4; 19/10; ; ; ; ; 1/25; ; 
Draw; 13/5; 12/5; ; 12/5; 13/5; ; 27/10; ; ; ; ; ; ; ; 11/4; 13/5; 13/5; ; 27/10; ; 13/5; 11/4; ; ; ; ; 1/100; ; 
META; english/fa-cup/harrow-borough-v-margate; 2016-10-15 00:24:24 GMT+3; 2016-10-15 15:00; e70300-dr003
Margate; 13/10; 13/10; ; 11/8; 11/8; ; 13/10; ; ; ; ; ; ; 11/8; 11/8; 11/8; 13/10; ; 5/4; ; 13/10; 7/5; ; ; ; ; 5/4; ; 
Harrow Borough; 6/4; 13/8; ; 31/20; 13/8; ; 13/8; ; ; ; ; ; ; 8/5; 8/5; 8/5; 6/4; ; 8/5; ; 6/4; 19/10; ; ; ; ; 6/4; ; 
Draw; 13/5; 9/4; ; 12/5; 5/2; ; 27/10; ; ; ; ; ; ; 23/10; 11/4; 13/5; 13/5; ; 27/10; ; 13/5; 11/4; ; ; ; ; 21/10; ; 
META; english/fa-cup/harrow-borough-v-margate; 2016-10-15 04:23:53 GMT+3; 2016-10-15 15:00; e70300-dr003
Margate; 13/10; 13/10; ; 11/8; 11/8; ; 13/10; ; ; ; ; ; ; 11/8; 11/8; 11/8; 6/5; ; 5/4; ; 6/5; 7/5; ; ; ; ; 5/4; ; 
Harrow Borough; 6/4; 13/8; ; 31/20; 13/8; ; 13/8; ; ; ; ; ; ; 8/5; 8/5; 8/5; 17/11; ; 8/5; ; 17/11; 19/10; ; ; ; ; 6/4; ; 
Draw; 13/5; 23/10; ; 12/5; 5/2; ; 27/10; ; ; ; ; ; ; 23/10; 11/4; 13/5; 45/17; ; 27/10; ; 45/17; 11/4; ; ; ; ; 21/10; ; 
META; english/fa-cup/harrow-borough-v-margate; 2016-10-15 08:24:24 GMT+3; 2016-10-15 15:00; e70300-dr003
Margate; 13/10; 13/10; ; 11/8; 11/8; ; 13/10; ; ; ; ; ; ; 11/8; 11/8; 11/8; 13/10; ; 5/4; ; 13/10; 7/5; ; ; ; ; 5/4; ; 
Harrow Borough; 6/4; 13/8; ; 31/20; 13/8; ; 13/8; ; ; ; ; ; ; 8/5; 8/5; 8/5; 6/4; ; 8/5; ; 6/4; 19/10; ; ; ; ; 6/4; ; 
Draw; 13/5; 9/4; ; 12/5; 5/2; ; 27/10; ; ; ; ; ; ; 23/10; 11/4; 13/5; 13/5; ; 27/10; ; 13/5; 11/4; ; ; ; ; 21/10; ; 
META; english/fa-cup/harrow-borough-v-margate; 2016-10-15 12:23:35 GMT+3; 2016-10-15 15:00; e70300-dr003
Margate; 13/10; 11/8; ; 11/8; 11/8; ; 11/8; ; ; ; ; ; ; 11/8; 11/8; 11/8; 13/10; ; 5/4; ; 13/10; 7/5; ; ; ; ; 5/4; ; 
Harrow Borough; 6/4; 6/4; ; 31/20; 8/5; ; 13/8; ; ; ; ; ; ; 8/5; 8/5; 8/5; 6/4; ; 8/5; ; 6/4; 19/10; ; ; ; ; 6/4; ; 
Draw; 13/5; 9/4; ; 12/5; 5/2; ; 27/10; ; ; ; ; ; ; 23/10; 11/4; 13/5; 13/5; ; 27/10; ; 13/5; 11/4; ; ; ; ; 21/10; ; 
META; english/fa-cup/harrow-borough-v-margate; 2016-10-15 13:02:07 GMT+3; 2016-10-15 15:00; e70300-dr003
Margate; 13/10; 11/8; ; 11/8; 11/8; ; 11/8; ; ; ; ; ; ; 11/8; 11/8; 11/8; 13/10; ; 5/4; ; 13/10; 16/11; ; ; ; ; 5/4; ; 
Harrow Borough; 6/4; 6/4; ; 31/20; 8/5; ; 13/8; ; ; ; ; ; ; 8/5; 8/5; 8/5; 6/4; ; 8/5; ; 6/4; 24/13; ; ; ; ; 6/4; ; 
Draw; 13/5; 9/4; ; 12/5; 5/2; ; 27/10; ; ; ; ; ; ; 23/10; 11/4; 13/5; 13/5; ; 27/10; ; 13/5; 11/4; ; ; ; ; 21/10; ; 
META; english/fa-cup/harrow-borough-v-margate; 2016-10-15 13:47:38 GMT+3; 2016-10-15 15:00; e70300-dr003
Margate; 13/10; 13/10; ; 11/8; 11/8; ; 5/4; ; ; 11/8; ; ; ; 11/8; 11/8; 11/8; 13/10; ; 5/4; ; 13/10; 16/11; ; ; ; ; 1/25; ; 
Harrow Borough; 6/4; 13/8; ; 31/20; 8/5; ; 8/5; ; ; 3/2; ; ; ; 8/5; 8/5; 8/5; 6/4; ; 8/5; ; 6/4; 24/13; ; ; ; ; 2/9; ; 
Draw; 13/5; 9/4; ; 12/5; 5/2; ; 13/5; ; ; 27/10; ; ; ; 23/10; 11/4; 13/5; 13/5; ; 27/10; ; 13/5; 11/4; ; ; ; ; 1/100; ; 
META; english/fa-cup/harrow-borough-v-margate; 2016-10-15 15:47:35 GMT+3; 2016-10-15 15:00; e70300-dr003
Margate; 13/10; 5/4; ; 13/10; 11/8; ; 5/4; ; ; 11/8; ; ; ; 11/8; 11/8; 13/10; 13/10; ; 5/4; ; 13/10; 7/5; ; ; ; ; 20/21; ; 
Harrow Borough; 6/4; 13/8; ; 8/5; 8/5; ; 8/5; ; ; 3/2; ; ; ; 8/5; 8/5; 8/5; 6/4; ; 8/5; ; 6/4; 19/10; ; ; ; ; 6/5; ; 
Draw; 13/5; 12/5; ; 12/5; 13/5; ; 13/5; ; ; 27/10; ; ; ; 23/10; 11/4; 11/4; 13/5; ; 27/10; ; 13/5; 11/4; ; ; ; ; 19/10; ; 
META; english/fa-cup/harrow-borough-v-margate; 2016-10-15 16:25:27 GMT+3; 2016-10-15 15:00; e70300-dr003
Margate; 13/10; 6/5; ; 13/10; 13/10; ; 5/4; ; ; 11/8; ; ; ; 11/8; 11/8; 13/10; 13/10; ; 5/4; ; 13/10; 7/5; ; ; ; ; 2/9; ; 
Harrow Borough; 6/4; 7/4; ; 8/5; 13/8; ; 8/5; ; ; 3/2; ; ; ; 8/5; 8/5; 8/5; 6/4; ; 8/5; ; 6/4; 19/10; ; ; ; ; 2/9; ; 
Draw; 13/5; 23/10; ; 12/5; 13/5; ; 13/5; ; ; 27/10; ; ; ; 23/10; 11/4; 11/4; 13/5; ; 27/10; ; 13/5; 11/4; ; ; ; ; 1/100; ; 
