Slough; 17/10; ; ; ; ; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; 11/4; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/fa-cup/slough-v-dartford; 2016-09-29 00:23:45 GMT+3; 2016-10-01 15:00; e70300-dr003
Dartford; 11/10; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Slough; 17/10; ; ; ; ; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; 11/4; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/fa-cup/slough-v-dartford; 2016-09-29 04:23:35 GMT+3; 2016-10-01 15:00; e70300-dr003
Dartford; 11/10; ; ; ; ; ; 23/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Slough; 17/10; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; 11/4; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/fa-cup/slough-v-dartford; 2016-09-29 12:24:14 GMT+3; 2016-10-01 15:00; e70300-dr003
Dartford; 11/10; ; ; ; ; ; 23/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Slough; 17/10; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; 11/4; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/fa-cup/slough-v-dartford; 2016-09-29 16:42:01 GMT+3; 2016-10-01 15:00; e70300-dr003
Dartford; 11/10; ; ; ; ; ; 23/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Slough; 17/10; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; 11/4; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/fa-cup/slough-v-dartford; 2016-09-29 20:23:54 GMT+3; 2016-10-01 15:00; e70300-dr003
Dartford; 11/10; 11/10; ; ; 23/20; ; 23/20; ; ; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; 8/11; ; 
Slough; 17/10; 7/4; ; ; 15/8; ; 19/10; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; 11/4; 13/5; ; ; 3; ; 3; ; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/fa-cup/slough-v-dartford; 2016-09-30 00:23:33 GMT+3; 2016-10-01 15:00; e70300-dr003
Dartford; 11/10; 11/10; ; ; 6/5; ; 23/20; ; ; ; ; ; ; ; 23/20; ; 15/13; ; ; ; ; ; ; ; ; ; 21/20; ; 
Slough; 17/10; 7/4; ; ; 15/8; ; 19/10; ; ; ; ; ; ; ; 9/5; ; 9/5; ; ; ; ; ; ; ; ; ; 13/8; ; 
Draw; 11/4; 13/5; ; ; 3; ; 3; ; ; ; ; ; ; ; 12/5; ; 14/5; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/fa-cup/slough-v-dartford; 2016-09-30 04:22:48 GMT+3; 2016-10-01 15:00; e70300-dr003
Dartford; 11/10; 11/10; ; ; 6/5; ; 23/20; ; ; ; ; ; ; ; 23/20; ; 15/13; 11/10; ; ; ; 11/10; ; ; ; ; 21/20; ; 
Slough; 17/10; 7/4; ; ; 15/8; ; 19/10; ; ; ; ; ; ; ; 9/5; ; 9/5; 17/10; ; ; ; 17/10; ; ; ; ; 13/8; ; 
Draw; 11/4; 13/5; ; ; 3; ; 3; ; ; ; ; ; ; ; 12/5; ; 14/5; 27/10; ; ; ; 27/10; ; ; ; ; 11/5; ; 
META; english/fa-cup/slough-v-dartford; 2016-09-30 08:22:38 GMT+3; 2016-10-01 15:00; e70300-dr003
Dartford; 11/10; 11/10; ; ; 6/5; ; 23/20; ; 5/4; ; ; ; ; ; 23/20; ; 15/13; 11/10; ; ; ; 11/10; ; ; ; ; 21/20; ; 
Slough; 17/10; 17/10; ; ; 15/8; ; 19/10; ; 15/8; ; ; ; ; ; 9/5; ; 9/5; 17/10; ; ; ; 17/10; ; ; ; ; 13/8; ; 
Draw; 11/4; 13/5; ; ; 3; ; 3; ; 3; ; ; ; ; ; 12/5; ; 14/5; 27/10; ; ; ; 27/10; ; ; ; ; 11/5; ; 
META; english/fa-cup/slough-v-dartford; 2016-09-30 12:24:30 GMT+3; 2016-10-01 15:00; e70300-dr003
Dartford; 11/10; 11/10; 5/4; 11/10; 6/5; ; 23/20; ; 5/4; ; ; ; ; ; 23/20; ; 15/13; 11/10; ; ; ; 11/10; ; ; ; ; 21/20; ; 
Slough; 17/10; 7/4; 2; 7/4; 15/8; ; 19/10; ; 15/8; ; ; ; ; ; 9/5; ; 9/5; 17/10; ; ; ; 17/10; ; ; ; ; 13/8; ; 
Draw; 11/4; 13/5; 13/5; 5/2; 3; ; 3; ; 3; ; ; ; ; ; 12/5; ; 14/5; 27/10; ; ; ; 27/10; ; ; ; ; 11/5; ; 
META; english/fa-cup/slough-v-dartford; 2016-09-30 16:24:31 GMT+3; 2016-10-01 15:00; e70300-dr003
