META; english/fa-cup/blackburn-v-blackpool; 2017-01-21 00:23:34 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 4/5; 4/5; ; 4/5; 5/6; 33/40; 3/4; 7/10; 5/6; 4/5; 3/4; 4/5; 10/13; 4/5; 4/5; 4/5; 5/7; ; 4/5; 10/13; 77/100; 4/5; 4/5; 4/5; ; 8/11; ; 
Draw; 14/5; 13/5; ; 13/5; 11/4; 14/5; 14/5; 13/5; 14/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 14/5; 13/5; ; 14/5; 27/10; 3; 27/10; 29/10; 13/5; ; 12/5; ; 
Blackpool; 31/10; 10/3; ; 10/3; 10/3; 10/3; 33/10; 7/2; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 10/3; 7/2; 31/10; ; 10/3; 13/4; 77/20; 14/5; 17/5; 16/5; ; 3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-21 04:23:50 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 4/5; 4/5; ; 4/5; 5/6; 33/40; 3/4; 7/10; 5/6; 4/5; 3/4; 4/5; 10/13; 4/5; 4/5; 4/5; 5/7; ; 4/5; 10/13; 77/100; 4/5; 4/5; 4/5; ; 8/11; ; 
Draw; 14/5; 13/5; ; 13/5; 11/4; 14/5; 14/5; 13/5; 14/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 14/5; 13/5; ; 14/5; 27/10; 3; 27/10; 29/10; 13/5; ; 12/5; ; 
Blackpool; 31/10; 10/3; ; 10/3; 10/3; 10/3; 33/10; 7/2; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 10/3; 7/2; 31/10; ; 10/3; 13/4; 77/20; 14/5; 17/5; 16/5; ; 3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-21 08:24:15 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 4/5; 4/5; ; 4/5; 4/5; 33/40; 3/4; 7/10; 5/6; 4/5; 3/4; 4/5; 10/13; 4/5; 4/5; 4/5; 5/7; ; 4/5; 10/13; 77/100; 4/5; 4/5; 4/5; ; 8/11; ; 
Draw; 14/5; 13/5; ; 13/5; 11/4; 14/5; 14/5; 13/5; 14/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 14/5; 13/5; ; 14/5; 27/10; 3; 27/10; 29/10; 13/5; ; 12/5; ; 
Blackpool; 31/10; 10/3; ; 10/3; 7/2; 10/3; 33/10; 7/2; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 10/3; 7/2; 31/10; ; 10/3; 13/4; 77/20; 14/5; 17/5; 16/5; ; 3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-21 12:27:41 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 4/5; 4/5; ; 4/5; 4/5; 33/40; 3/4; 7/10; 5/6; 4/5; 3/4; 4/5; 10/13; 4/5; 4/5; 4/5; 5/7; 7/9; 4/5; 10/13; 81/100; 13/16; 4/5; 4/5; ; 8/11; ; 
Draw; 14/5; 13/5; ; 13/5; 11/4; 14/5; 14/5; 13/5; 14/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 14/5; 13/5; 13/5; 14/5; 27/10; 3; 27/10; 29/10; 13/5; ; 12/5; ; 
Blackpool; 31/10; 10/3; ; 10/3; 7/2; 10/3; 33/10; 7/2; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 10/3; 7/2; 31/10; 10/3; 10/3; 13/4; 18/5; 37/13; 17/5; 16/5; ; 3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-21 16:27:34 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 4/5; 4/5; ; 4/5; 4/5; 33/40; 3/4; 7/10; 5/6; 4/5; 3/4; 4/5; 10/13; 4/5; 4/5; 4/5; 5/7; 7/9; 4/5; 10/13; 81/100; 13/16; 4/5; 4/5; ; 8/11; ; 
Draw; 14/5; 11/4; ; 13/5; 11/4; 14/5; 14/5; 13/5; 14/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 3; 13/5; 13/5; 14/5; 27/10; 3; 27/10; 29/10; 13/5; ; 12/5; ; 
Blackpool; 31/10; 16/5; ; 10/3; 7/2; 10/3; 33/10; 7/2; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 10/3; 10/3; 41/13; 10/3; 10/3; 13/4; 18/5; 37/13; 17/5; 16/5; ; 3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-21 20:25:40 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 4/5; 4/5; ; 4/5; 4/5; 33/40; 3/4; 7/10; 5/6; 4/5; 3/4; 4/5; 10/13; 4/5; 4/5; 4/5; 5/7; 7/9; 4/5; 10/13; 81/100; 13/16; 4/5; 4/5; ; 8/11; ; 
Draw; 14/5; 11/4; ; 13/5; 11/4; 14/5; 14/5; 13/5; 14/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 14/5; 13/5; 13/5; 14/5; 27/10; 3; 27/10; 29/10; 13/5; ; 27/10; ; 
Blackpool; 31/10; 16/5; ; 10/3; 7/2; 10/3; 33/10; 7/2; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 10/3; 7/2; 31/10; 10/3; 10/3; 16/5; 18/5; 37/13; 17/5; 16/5; ; 3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-22 00:24:47 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 4/5; 4/5; 4/5; 4/5; 4/5; 33/40; 4/5; 7/10; 5/6; 4/5; 3/4; 4/5; 10/13; 4/5; 4/5; 4/5; 5/7; 7/9; 4/5; 10/13; 81/100; 13/16; 4/5; 4/5; ; 8/11; ; 
Draw; 14/5; 11/4; 27/10; 13/5; 11/4; 14/5; 11/4; 13/5; 14/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 14/5; 13/5; 13/5; 14/5; 27/10; 3; 27/10; 29/10; 13/5; ; 27/10; ; 
