META; english/fa-cup/chelsea-v-man-utd; 2017-02-20 00:22:25 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; ; 11/10; ; 11/10; ; ; ; 19/10; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; 5/6; ; 
Man Utd; ; 9/4; ; 11/5; ; ; ; 13/10; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; ; 12/5; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; 4/9; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-20 04:22:51 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; ; 11/10; ; ; 11/10; 19/10; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 5/2; 13/5; 23/10; 23/10; 5/2; ; 12/5; ; 5/2; ; 11/5; 23/10; ; 23/10; 5/2; 13/5; 12/5; 12/5; 5/2; ; 13/5; ; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 23/10; 5/2; 11/5; 13/5; ; 5/2; ; 12/5; ; 12/5; 13/5; ; 12/5; 23/10; 5/2; 23/10; 23/10; 11/4; ; 62/25; ; 11/4; ; ; 21/10; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-21 00:22:44 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; ; 11/10; 21/20; ; 11/10; 23/20; 6/5; 21/20; 11/10; 20/21; 21/20; 6/5; ; 22/23; ; ; 20/21; ; 
Draw; 5/2; 13/5; 23/10; 23/10; 5/2; ; 12/5; 9/4; 5/2; ; 11/5; 23/10; ; 23/10; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 23/10; 5/2; 11/5; 13/5; ; 5/2; 12/5; 12/5; ; 12/5; 13/5; ; 12/5; 23/10; 5/2; 23/10; 23/10; 11/4; 23/10; 62/25; ; 11/4; ; ; 21/10; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-21 04:23:00 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; ; 11/10; 21/20; ; 11/10; 23/20; 6/5; 21/20; 11/10; 20/21; 21/20; 6/5; ; 22/23; ; ; 20/21; ; 
Draw; 5/2; 13/5; 23/10; 23/10; 5/2; ; 12/5; 9/4; 5/2; ; 11/5; 23/10; ; 23/10; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 23/10; 5/2; 11/5; 13/5; ; 5/2; 12/5; 12/5; ; 12/5; 13/5; ; 12/5; 23/10; 5/2; 23/10; 23/10; 11/4; 23/10; 62/25; ; 11/4; ; ; 21/10; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-21 08:23:57 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; ; 11/10; 21/20; ; 11/10; 23/20; 6/5; 11/10; 11/10; 20/21; 21/20; 6/5; ; 22/23; ; ; 20/21; ; 
Draw; 5/2; 13/5; 23/10; 23/10; 5/2; ; 12/5; 9/4; 5/2; ; 11/5; 23/10; ; 23/10; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 23/10; 5/2; 11/5; 13/5; ; 5/2; 12/5; 12/5; ; 12/5; 13/5; ; 12/5; 23/10; 5/2; 23/10; 23/10; 11/4; 23/10; 62/25; ; 11/4; ; ; 21/10; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-21 12:24:15 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; ; 11/10; 21/20; 21/20; 11/10; 23/20; 6/5; 11/10; 11/10; 20/21; 11/10; 6/5; ; 22/23; ; ; 1; ; 
Draw; 5/2; 13/5; 23/10; 23/10; 5/2; ; 12/5; 9/4; 5/2; ; 11/5; 23/10; 49/20; 23/10; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 23/10; 5/2; 11/5; 13/5; ; 12/5; 12/5; 12/5; ; 12/5; 13/5; 51/20; 12/5; 23/10; 5/2; 23/10; 23/10; 11/4; 23/10; 62/25; ; 11/4; ; ; 21/10; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-21 16:26:24 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; ; 11/10; 21/20; 21/20; 11/10; 23/20; 6/5; 11/10; 11/10; 20/21; 11/10; 6/5; ; 22/23; ; ; 1; ; 
Draw; 5/2; 13/5; 23/10; 23/10; 5/2; ; 12/5; 9/4; 5/2; ; 11/5; 23/10; 49/20; 23/10; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 23/10; 5/2; 11/5; 13/5; ; 5/2; 12/5; 12/5; ; 12/5; 13/5; 51/20; 12/5; 23/10; 5/2; 23/10; 23/10; 11/4; 23/10; 62/25; ; 11/4; ; ; 21/10; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-21 20:25:21 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; ; 11/10; 21/20; 21/20; 11/10; 23/20; 6/5; 21/20; 11/10; 20/21; 21/20; 6/5; ; 22/23; ; ; 1; ; 
Draw; 5/2; 13/5; 23/10; 23/10; 5/2; ; 12/5; 9/4; 5/2; ; 11/5; 23/10; 49/20; 23/10; 5/2; 5/2; 12/5; 12/5; 5/2; ; 13/5; ; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 23/10; 5/2; 11/5; 13/5; ; 5/2; 12/5; 12/5; ; 12/5; 13/5; 51/20; 12/5; 23/10; 5/2; 23/10; 23/10; 11/4; ; 62/25; ; 11/4; ; ; 21/10; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-22 00:23:14 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; ; 11/10; 21/20; 21/20; 11/10; 23/20; 6/5; 11/10; 11/10; 20/21; 11/10; 6/5; ; 22/23; ; ; 1; ; 
Draw; 5/2; 13/5; 23/10; 23/10; 5/2; ; 12/5; 9/4; 5/2; ; 11/5; 23/10; 49/20; 23/10; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 23/10; 5/2; 11/5; 13/5; ; 5/2; 12/5; 12/5; ; 12/5; 13/5; 51/20; 12/5; 23/10; 5/2; 23/10; 23/10; 11/4; 23/10; 62/25; ; 11/4; ; ; 11/5; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-22 04:22:31 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; ; 11/10; 21/20; 21/20; 11/10; 23/20; 15/13; 11/10; 11/10; 20/21; 11/10; 6/5; ; 22/23; ; ; 1; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 5/2; ; 12/5; 9/4; 5/2; ; 11/5; 23/10; 49/20; 23/10; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 5/2; 5/2; 11/5; 13/5; ; 5/2; 12/5; 12/5; ; 12/5; 13/5; 51/20; 12/5; 23/10; 13/5; 23/10; 23/10; 11/4; 23/10; 62/25; ; 11/4; ; ; 11/5; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-22 12:23:59 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 21/20; 11/10; 23/20; 6/5; 11/10; 11/10; 20/21; 11/10; 6/5; ; 22/23; ; ; 1; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 5/2; ; 12/5; 9/4; 5/2; 5/2; 11/5; 23/10; 49/20; 23/10; 5/2; 5/2; 40/17; 12/5; 5/2; 40/17; 13/5; ; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 5/2; 5/2; 11/5; 13/5; ; 12/5; 12/5; 12/5; 21/10; 12/5; 13/5; 51/20; 12/5; 23/10; 5/2; 23/10; 23/10; 11/4; 23/10; 62/25; ; 11/4; ; ; 11/5; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-22 16:23:41 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 21/20; 11/10; 23/20; 15/13; 11/10; 11/10; 20/21; 11/10; 6/5; ; 22/23; ; ; 1; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 5/2; ; 12/5; 9/4; 5/2; 5/2; 11/5; 23/10; 49/20; 23/10; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 5/2; 5/2; 11/5; 13/5; ; 5/2; 12/5; 12/5; 21/10; 12/5; 13/5; 51/20; 12/5; 23/10; 13/5; 40/17; 23/10; 11/4; 40/17; 62/25; ; 11/4; ; ; 11/5; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-23 00:22:10 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 21/20; 11/10; 23/20; 15/13; 11/10; 11/10; 20/21; 11/10; 6/5; ; 22/23; ; ; 20/21; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 5/2; ; 12/5; 9/4; 5/2; 5/2; 11/5; 23/10; 49/20; 23/10; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 5/2; 5/2; 11/5; 13/5; ; 5/2; 12/5; 12/5; 21/10; 12/5; 13/5; 51/20; 12/5; 23/10; 13/5; 40/17; 23/10; 11/4; 40/17; 62/25; ; 11/4; ; ; 11/5; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-23 04:30:39 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 6/5; 11/10; 11/10; 20/21; 11/10; 6/5; ; 22/23; ; ; 20/21; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 5/2; ; 12/5; 9/4; 5/2; 5/2; 11/5; 23/10; 49/20; 23/10; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 5/2; 5/2; 11/5; 13/5; ; 12/5; 12/5; 12/5; 21/10; 12/5; 5/2; 51/20; 12/5; 23/10; 5/2; 40/17; 23/10; 11/4; 40/17; 62/25; ; 11/4; ; ; 11/5; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-23 08:22:04 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 15/13; 11/10; 11/10; 20/21; 11/10; 6/5; ; 22/23; ; ; 20/21; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 5/2; ; 12/5; 9/4; 5/2; 5/2; 11/5; 23/10; 49/20; 23/10; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 5/2; 5/2; 11/5; 13/5; ; 5/2; 12/5; 12/5; 21/10; 12/5; 5/2; 51/20; 12/5; 23/10; 13/5; 23/10; 23/10; 11/4; 23/10; 62/25; ; 11/4; ; ; 11/5; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-23 12:22:22 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 15/13; 11/10; 11/10; 20/21; 11/10; 6/5; ; 22/23; ; ; 20/21; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 5/2; ; 12/5; 9/4; 5/2; 5/2; 11/5; 23/10; 49/20; 23/10; 5/2; 5/2; 40/17; 12/5; 5/2; 40/17; 13/5; ; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 5/2; 5/2; 11/5; 13/5; ; 12/5; 12/5; 12/5; 21/10; 12/5; 5/2; 51/20; 12/5; 23/10; 13/5; 23/10; 23/10; 11/4; 23/10; 62/25; ; 11/4; ; ; 11/5; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-23 16:23:14 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 15/13; 11/10; 11/10; 20/21; 11/10; 6/5; ; 22/23; ; ; 20/21; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 5/2; ; 12/5; 9/4; 5/2; 5/2; 11/5; 23/10; 49/20; 23/10; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 5/2; 5/2; 11/5; 13/5; ; 5/2; 12/5; 12/5; 21/10; 12/5; 5/2; 51/20; 12/5; 23/10; 13/5; 40/17; 23/10; 11/4; 40/17; 62/25; ; 11/4; ; ; 11/5; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-23 20:22:47 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 21/20; 11/10; 23/20; 6/5; 11/10; 11/10; 20/21; 11/10; 6/5; ; 22/23; ; ; 20/21; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 5/2; ; 5/2; 9/4; 5/2; 5/2; 11/5; 23/10; 49/20; 23/10; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 5/2; 5/2; 11/5; 12/5; ; 12/5; 12/5; 12/5; 21/10; 12/5; 13/5; 51/20; 12/5; 23/10; 5/2; 40/17; 23/10; 11/4; 40/17; 62/25; ; 11/4; ; ; 11/5; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-24 00:22:34 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 21/20; 11/10; 23/20; 15/13; 21/20; 11/10; 20/21; 21/20; 6/5; ; 22/23; ; ; 20/21; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 12/5; ; 12/5; 9/4; 5/2; 5/2; 11/5; 23/10; 49/20; 23/10; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 5/2; 5/2; 11/5; 5/2; ; 5/2; 12/5; 12/5; 21/10; 12/5; 13/5; 51/20; 12/5; 23/10; 13/5; 23/10; 23/10; 11/4; 23/10; 62/25; ; 11/4; ; ; 11/5; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-24 04:22:39 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 15/13; 21/20; 11/10; 20/21; 21/20; 6/5; ; 22/23; ; ; 20/21; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 12/5; ; 5/2; 9/4; 5/2; 5/2; 11/5; 23/10; 49/20; 23/10; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 5/2; 5/2; 11/5; 5/2; ; 12/5; 12/5; 12/5; 21/10; 12/5; 5/2; 51/20; 12/5; 23/10; 13/5; 23/10; 23/10; 11/4; 23/10; 62/25; ; 11/4; ; ; 11/5; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-24 08:22:09 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 21/20; 11/10; 23/20; 15/13; 11/10; 11/10; 20/21; 11/10; 6/5; ; 22/23; ; ; 20/21; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 12/5; ; 12/5; 9/4; 5/2; 5/2; 11/5; 23/10; 49/20; 23/10; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 5/2; 5/2; 11/5; 5/2; ; 5/2; 12/5; 12/5; 21/10; 12/5; 13/5; 51/20; 12/5; 23/10; 13/5; 40/17; 23/10; 11/4; 40/17; 62/25; ; 11/4; ; ; 11/5; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-24 12:25:01 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 21/20; 11/10; 23/20; 6/5; 11/10; 11/10; 20/21; 11/10; 6/5; ; 22/23; ; ; 20/21; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 5/2; ; 5/2; 9/4; 5/2; 5/2; 11/5; 23/10; 49/20; 23/10; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 5/2; 5/2; 11/5; 12/5; ; 12/5; 12/5; 12/5; 21/10; 12/5; 13/5; 51/20; 12/5; 23/10; 5/2; 40/17; 23/10; 11/4; 40/17; 62/25; ; 11/4; ; ; 11/5; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-24 16:23:12 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 1; 11/10; 11/10; ; 21/20; 23/20; 11/10; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 15/13; 11/10; 11/10; 20/21; 11/10; 6/5; 42/41; 22/23; ; ; 20/21; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 5/2; ; 12/5; 9/4; 5/2; 23/10; 11/5; 23/10; 49/20; 23/10; 13/5; 5/2; 40/17; 12/5; 5/2; 40/17; 13/5; 12/5; 5/2; ; ; 11/5; ; 
Man Utd; 12/5; 5/2; 14/5; 11/5; 5/2; ; 13/5; 12/5; 5/2; 5/2; 27/10; 13/5; 51/20; 13/5; 5/2; 13/5; 23/10; 23/10; 11/4; 23/10; 62/25; 17/6; 11/4; ; ; 11/5; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-24 20:22:42 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 21/20; 21/20; 11/10; 11/10; ; 21/20; 23/20; 11/10; 1; 1; 21/20; 1; 21/20; 21/20; 15/13; 11/10; 11/10; 20/21; 11/10; 28/25; 42/41; 22/23; ; ; 20/21; 20/21; 
Draw; 5/2; 23/10; 23/10; 23/10; 5/2; ; 12/5; 9/4; 5/2; 12/5; 11/5; 23/10; 49/20; 12/5; 13/5; 5/2; 40/17; 12/5; 5/2; 40/17; 13/5; 12/5; 5/2; ; ; 11/5; 21/10; 
Man Utd; 12/5; 11/4; 27/10; 11/5; 5/2; ; 13/5; 12/5; 5/2; 13/5; 5/2; 13/5; 53/20; 5/2; 5/2; 13/5; 40/17; 23/10; 11/4; 40/17; 27/10; 17/6; 11/4; ; ; 11/5; 11/5; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-25 00:22:44 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 21/20; 21/20; 11/10; 23/20; ; 11/10; 23/20; 11/10; 21/20; 11/10; 11/10; 21/20; 11/10; 21/20; 15/13; 11/10; 11/10; 20/21; 11/10; 28/25; 42/41; 22/23; ; ; 20/21; 21/20; 
Draw; 5/2; 23/10; 23/10; 23/10; 12/5; ; 12/5; 9/4; 5/2; 23/10; 21/10; 23/10; 12/5; 23/10; 5/2; 5/2; 23/10; 12/5; 5/2; 23/10; 13/5; 12/5; 5/2; ; ; 11/5; 2; 
Man Utd; 12/5; 11/4; 27/10; 11/5; 5/2; ; 13/5; 12/5; 5/2; 13/5; 5/2; 5/2; 53/20; 5/2; 13/5; 13/5; 40/17; 23/10; 11/4; 40/17; 27/10; 21/8; 11/4; ; ; 11/5; 11/5; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-25 04:23:22 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 21/20; 21/20; 11/10; 11/10; ; 21/20; 23/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 15/13; 11/10; 11/10; 20/21; 11/10; 28/25; 42/41; 22/23; ; ; 20/21; 21/20; 
Draw; 5/2; 23/10; 23/10; 23/10; 5/2; ; 12/5; 9/4; 5/2; 23/10; 21/10; 23/10; 12/5; 23/10; 5/2; 5/2; 23/10; 12/5; 5/2; 23/10; 13/5; 27/11; 5/2; ; ; 9/4; 2; 
Man Utd; 12/5; 11/4; 27/10; 11/5; 5/2; ; 13/5; 12/5; 5/2; 13/5; 5/2; 5/2; 53/20; 5/2; 13/5; 13/5; 40/17; 23/10; 11/4; 40/17; 27/10; 11/4; 11/4; ; ; 11/5; 11/5; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-25 08:22:39 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 21/20; 21/20; 11/10; 23/20; ; 11/10; 23/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 15/13; 11/10; 11/10; 20/21; 11/10; 28/25; 42/41; 22/23; ; ; 20/21; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 12/5; ; 23/10; 9/4; 5/2; 23/10; 21/10; 23/10; 12/5; 23/10; 5/2; 5/2; 23/10; 12/5; 5/2; 23/10; 13/5; 27/11; 5/2; ; ; 9/4; ; 
Man Utd; 12/5; 11/4; 27/10; 11/5; 5/2; ; 13/5; 12/5; 5/2; 13/5; 5/2; 5/2; 53/20; 5/2; 13/5; 13/5; 40/17; 23/10; 11/4; 40/17; 27/10; 11/4; 11/4; ; ; 11/5; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-25 12:23:28 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 15/13; 11/10; 11/10; 20/21; 11/10; 28/25; 42/41; 22/23; ; ; 20/21; 21/20; 
Draw; 5/2; 23/10; 9/4; 23/10; 12/5; ; 23/10; 9/4; 5/2; 23/10; 21/10; 23/10; 12/5; 23/10; 5/2; 5/2; 23/10; 12/5; 5/2; 23/10; 13/5; 27/11; 5/2; ; ; 9/4; 2; 
