META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-06 11:46:40 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; ; ; 19/20; ; 19/20; ; ; ; ; ; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 23/10; ; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 28/11; ; 27/10; ; 28/11; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-07 00:22:29 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; ; ; 19/20; ; 19/20; ; ; ; ; ; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 23/10; ; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 28/11; ; 27/10; ; 28/11; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-07 00:54:25 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; ; ; 19/20; ; 19/20; ; ; ; ; ; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 23/10; ; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 28/11; ; 27/10; ; 28/11; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-07 01:45:33 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; ; ; 19/20; ; 19/20; ; ; ; ; ; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 23/10; ; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 28/11; ; 27/10; ; 28/11; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-07 03:45:34 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; ; ; 19/20; ; 19/20; ; ; ; ; ; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 23/10; ; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 28/11; ; 27/10; ; 28/11; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-07 04:22:46 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; ; ; 19/20; ; 19/20; ; ; ; ; ; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 23/10; ; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 28/11; ; 27/10; ; 28/11; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-07 05:45:22 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; ; ; 19/20; ; 19/20; ; ; ; ; ; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 23/10; ; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 28/11; ; 27/10; ; 28/11; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-07 06:30:16 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; ; ; 19/20; ; 19/20; ; ; ; ; ; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 23/10; ; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 28/11; ; 27/10; ; 28/11; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-07 07:45:10 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; ; ; 19/20; ; 19/20; ; ; ; ; ; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 23/10; ; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 28/11; ; 27/10; ; 28/11; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-07 08:22:40 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; ; ; 19/20; ; 19/20; ; ; ; ; ; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 23/10; ; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 28/11; ; 27/10; ; 28/11; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-07 09:45:05 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; ; ; 19/20; ; 19/20; ; ; ; ; ; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 9/4; ; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 13/5; ; 27/10; ; 13/5; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-07 11:45:10 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; 1; ; 19/20; ; 19/20; ; ; ; ; ; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 9/4; 49/20; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 5/2; 11/4; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 13/5; ; 27/10; ; 13/5; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-07 12:23:08 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; 1; ; 19/20; ; 19/20; ; ; ; ; ; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 9/4; 49/20; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 5/2; 11/4; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 13/5; ; 27/10; ; 13/5; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-07 12:54:32 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; 1; ; 19/20; ; 19/20; ; ; ; ; ; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 9/4; 49/20; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 5/2; 11/4; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 13/5; ; 27/10; ; 13/5; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-07 13:45:06 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; 1; ; 19/20; ; 19/20; ; ; ; ; ; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 11/5; 49/20; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 5/2; 27/10; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 13/5; ; 27/10; ; 13/5; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-07 15:45:11 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; 1; ; 19/20; ; 19/20; ; ; ; ; ; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 9/4; 49/20; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 5/2; 27/10; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 13/5; ; 27/10; ; 13/5; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-07 16:23:11 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; 1; ; 19/20; ; 19/20; ; ; ; ; 19/20; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 9/4; 49/20; ; 5/2; ; 13/5; ; ; ; ; 23/10; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 5/2; 27/10; ; 11/4; ; 11/4; ; ; ; ; 5/2; ; ; ; ; 13/5; 13/5; ; 27/10; ; 13/5; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-07 17:45:05 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; 1; ; 19/20; ; 19/20; ; ; ; ; 19/20; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 9/4; 49/20; ; 5/2; ; 13/5; ; ; ; ; 23/10; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 5/2; 27/10; ; 11/4; ; 11/4; ; ; ; ; 5/2; ; ; ; ; 13/5; 13/5; ; 27/10; ; 13/5; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-07 18:31:41 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; 1; ; 19/20; ; ; ; ; ; ; 19/20; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 9/4; 49/20; ; 5/2; ; ; ; ; ; ; 23/10; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 5/2; 27/10; ; 11/4; ; ; ; ; ; ; 5/2; ; ; ; ; 13/5; 13/5; ; 27/10; ; 13/5; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-07 19:45:05 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; 1; ; 19/20; ; 19/20; ; ; ; ; 19/20; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 9/4; 49/20; ; 5/2; ; 13/5; ; ; ; ; 23/10; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 5/2; 27/10; ; 11/4; ; 11/4; ; ; ; ; 5/2; ; ; ; ; 13/5; 13/5; ; 27/10; ; 13/5; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-07 20:24:13 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; 1; ; 19/20; ; 19/20; ; ; ; ; 19/20; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 9/4; 49/20; ; 5/2; ; 13/5; ; ; ; ; 23/10; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 5/2; 27/10; ; 11/4; ; 11/4; ; ; ; ; 5/2; ; ; ; ; 13/5; 13/5; ; 27/10; ; 13/5; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-07 21:45:05 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; 1; ; 19/20; ; 19/20; ; ; ; ; 19/20; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 9/4; 49/20; ; 5/2; ; 13/5; ; ; ; ; 23/10; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 5/2; 27/10; ; 11/4; ; 11/4; ; ; ; ; 5/2; ; ; ; ; 13/5; 13/5; ; 27/10; ; 13/5; ; ; ; ; ; ; 
