META; english/fa-cup/carlisle-v-rochdale; 2016-11-21 12:24:53 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; ; ; ; ; 7/5; ; 6/4; ; 29/20; ; ; ; 7/5; ; 16/11; ; ; ; 16/11; ; ; ; ; ; ; ; 
Rochdale; 7/4; 7/4; ; ; ; ; 7/4; ; 9/5; ; 17/10; ; ; ; 7/4; ; 28/17; ; ; ; 28/17; ; ; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; ; 12/5; ; 9/4; ; ; ; 12/5; ; 11/5; ; ; ; 11/5; ; ; ; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-21 16:24:57 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; ; ; ; ; 7/5; ; 6/4; ; 29/20; ; ; ; 7/5; ; 16/11; ; ; ; 16/11; ; ; ; ; ; ; ; 
Rochdale; 7/4; 7/4; ; ; ; ; 7/4; ; 9/5; ; 17/10; ; ; ; 7/4; ; 28/17; ; ; ; 28/17; ; ; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; ; 12/5; ; 9/4; ; ; ; 12/5; ; 11/5; ; ; ; 11/5; ; ; ; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-21 20:25:04 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; ; ; ; ; 7/5; ; 6/4; ; 29/20; ; ; ; 7/5; ; 16/11; 6/4; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; ; ; ; ; 7/4; ; 9/5; ; 17/10; ; ; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; ; 12/5; ; 9/4; ; ; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-22 00:24:02 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; ; ; ; ; 7/5; ; 6/4; ; 29/20; ; ; ; 7/5; ; 16/11; 6/4; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; ; ; ; ; 7/4; ; 9/5; ; 17/10; ; ; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; ; 12/5; ; 9/4; ; ; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-22 04:24:53 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; ; ; ; ; 29/20; ; 6/4; ; 29/20; ; ; ; 7/5; ; 16/11; 6/4; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; ; ; ; ; 17/10; ; 9/5; ; 17/10; ; ; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; ; 12/5; ; 9/4; ; ; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-22 08:24:58 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; ; ; ; ; 7/5; ; 6/4; ; 29/20; ; ; ; 7/5; ; 16/11; 6/4; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; ; ; ; ; 7/4; ; 9/5; ; 17/10; ; ; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; ; 12/5; ; 9/4; ; ; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-22 12:25:17 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; ; ; ; ; 7/5; ; 6/4; ; 29/20; ; ; ; 7/5; ; 16/11; 6/4; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; ; ; ; ; 7/4; ; 9/5; ; 17/10; ; ; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; ; 12/5; ; 9/4; ; ; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-22 16:26:36 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; ; ; ; ; 29/20; ; 6/4; ; 29/20; ; ; ; 7/5; ; 16/11; 6/4; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; ; ; ; ; 17/10; ; 9/5; ; 17/10; ; ; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; ; 12/5; ; 9/4; ; ; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-22 20:26:17 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; ; ; ; ; 29/20; ; 6/4; ; 29/20; ; 29/20; ; 7/5; ; 16/11; 6/4; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; ; ; ; ; 17/10; ; 9/5; ; 17/10; ; 7/4; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; ; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-23 00:23:25 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; ; ; ; ; 29/20; ; 6/4; ; 29/20; ; 29/20; ; 7/5; ; 16/11; 6/4; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; ; ; ; ; 17/10; ; 9/5; ; 17/10; ; 7/4; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; ; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 11/5; 40/17; ; 23/10; 11/5; ; ; 40/17; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-23 04:23:20 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; 6/4; 6/4; ; ; 29/20; ; 6/4; ; 29/20; ; 29/20; ; 7/5; ; 16/11; 6/4; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Rochdale; 7/4; 7/4; 7/4; 15/8; ; ; 17/10; ; 9/5; ; 17/10; ; 7/4; ; 7/4; ; 28/17; 7/4; ; 7/4; 28/17; ; ; 7/4; ; ; ; ; 
