META; english/non-league/national-league/dagenham-redbridge-v-sutton; 2017-04-14 22:22:54 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; ; 5/6; ; ; ; ; 8/11; ; ; ; ; 5/6; ; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 
Sutton; ; ; 3; 16/5; ; ; ; 16/5; ; ; 3; 3; 3; ; 7/2; 31/10; ; 31/10; 3; 41/13; 13/4; 11/4; 3; ; 3; ; ; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton; 2017-04-17 02:21:19 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; ; 5/6; 4/5; ; ; ; 4/5; ; ; 4/5; 3/4; 4/5; ; 3/4; 4/5; ; 7/10; 8/11; 10/13; 17/20; 11/13; 7/9; ; 7/9; ; ; 4/5; 
Draw; ; ; 5/2; 11/4; ; ; ; 5/2; ; ; 5/2; 12/5; 53/20; ; 13/5; 27/10; ; 13/5; 13/5; 45/17; 3; 11/4; 13/5; ; 13/5; ; ; 5/2; 
Sutton; ; ; 3; 16/5; ; ; ; 16/5; ; ; 3; 3; 3; ; 7/2; 31/10; ; 31/10; 3; 41/13; 13/4; 11/4; 3; ; 3; ; ; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton; 2017-04-17 06:21:18 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; ; 4/5; 4/5; ; ; ; 4/5; ; ; 4/5; 3/4; 4/5; ; 3/4; 4/5; ; 7/10; 8/11; 10/13; 17/20; 11/13; 7/9; ; 7/9; ; ; 5/6; 
Draw; ; ; 5/2; 11/4; ; ; ; 5/2; ; ; 5/2; 12/5; 53/20; ; 13/5; 27/10; ; 13/5; 13/5; 27/10; 3; 11/4; 13/5; ; 13/5; ; ; 27/10; 
Sutton; ; ; 3; 16/5; ; ; ; 16/5; ; ; 3; 3; 3; ; 7/2; 31/10; ; 31/10; 3; 41/13; 13/4; 11/4; 3; ; 3; ; ; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton; 2017-04-17 10:21:14 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; ; 4/5; 4/5; ; ; ; 4/5; ; ; 4/5; 3/4; 4/5; ; 3/4; 4/5; ; 7/10; 8/11; 10/13; 21/25; 11/13; 7/9; ; 7/9; ; ; 8/11; 
Draw; ; ; 13/5; 11/4; ; ; ; 5/2; ; ; 5/2; 13/5; 53/20; ; 13/5; 13/5; ; 13/5; 13/5; 45/17; 3; 11/4; 13/5; ; 13/5; ; ; 14/5; 
Sutton; ; ; 31/10; 16/5; ; ; ; 16/5; ; ; 16/5; 3; 3; ; 7/2; 16/5; ; 31/10; 3; 41/13; 13/4; 11/4; 3; ; 3; ; ; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton; 2017-04-17 14:21:22 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; ; 4/5; 4/5; ; ; ; 4/5; ; ; 5/6; 4/5; 4/5; ; 17/20; 4/5; ; 7/10; 8/11; 4/5; 87/100; 9/11; 8/11; ; 8/11; ; ; 5/6; 
Draw; ; ; 13/5; 11/4; ; ; ; 5/2; ; ; 5/2; 12/5; 53/20; ; 13/5; 27/10; ; 13/5; 27/10; 45/17; 29/10; 14/5; 27/10; ; 27/10; ; ; 27/10; 
Sutton; ; ; 3; 16/5; ; ; ; 16/5; ; ; 29/10; 14/5; 3; ; 3; 31/10; ; 31/10; 3; 58/19; 13/4; 37/13; 16/5; ; 16/5; ; ; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton; 2017-04-17 18:21:26 GMT+3; 2017-04-17 15:00; In Play; Xlenovo
Dagenham & Redbridge; 21/10; 21/10; 6/5; ; 5/4; ; 2; 7/4; ; 21/10; 2/5; ; 21/10; ; ; ; ; 11/5; ; 4/11; ; ; ; ; ; ; ; ; 
Draw; 20/21; 10/11; 43/20; ; 9/4; ; 37/40; 10/11; ; 17/20; 13/4; ; 19/20; ; ; ; ; 7/9; ; 57/17; ; ; ; ; ; ; ; ; 
Sutton; 10/3; 16/5; 11/5; ; 11/5; ; 33/10; 10/3; ; 16/5; 15/2; ; 16/5; ; ; ; ; 13/4; ; 7; ; ; ; ; ; ; ; ; 
