META; english/non-league/national-league/dagenham-redbridge-v-sutton-utd; 2017-04-14 22:22:56 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 5/6; ; ; ; 17/20; ; 17/20; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; 23/10; ; ; 11/4; ; 11/4; ; 11/4; ; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 3; 9/4; ; ; 16/5; ; 3; ; 3; ; ; ; ; ; ; ; 56/19; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton-utd; 2017-04-15 14:21:34 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 3/4; 5/6; ; ; 5/6; ; 4/5; ; 4/5; ; ; ; ; ; ; ; 10/13; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 13/5; ; ; 13/5; ; 27/10; ; 13/5; ; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 10/3; 3; ; ; 16/5; ; 16/5; ; 3; ; ; ; ; ; ; ; 31/10; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton-utd; 2017-04-15 18:21:43 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 4/5; 5/6; ; ; 17/20; ; 4/5; ; 5/6; 17/20; ; ; ; ; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 13/5; ; ; 5/2; ; 27/10; ; 13/5; 13/5; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 16/5; 3; ; ; 10/3; ; 16/5; ; 3; 3; ; ; ; ; ; ; 41/13; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton-utd; 2017-04-15 22:21:48 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 4/5; 4/5; ; ; 17/20; 3/4; 4/5; ; 5/6; 4/5; ; ; ; 4/5; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 5/2; ; ; 13/5; 5/2; 11/4; ; 13/5; 13/5; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 16/5; 16/5; ; ; 16/5; 14/5; 16/5; ; 3; 16/5; ; ; ; 29/10; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton-utd; 2017-04-16 02:21:02 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 4/5; 4/5; ; ; 17/20; 3/4; 4/5; ; 5/6; 4/5; ; ; ; 4/5; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 13/5; ; ; 13/5; 5/2; 11/4; ; 13/5; 13/5; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 16/5; 3; ; ; 16/5; 14/5; 16/5; ; 3; 16/5; ; ; ; 29/10; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton-utd; 2017-04-16 06:20:57 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 4/5; 4/5; ; ; 17/20; 3/4; 4/5; ; 5/6; 4/5; ; ; ; 4/5; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 13/5; ; ; 13/5; 5/2; 11/4; ; 13/5; 13/5; ; ; ; 5/2; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 16/5; 3; ; ; 16/5; 14/5; 16/5; ; 3; 16/5; ; ; ; 29/10; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton-utd; 2017-04-16 10:20:55 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 4/5; 4/5; ; ; 5/6; 3/4; 4/5; ; 5/6; 4/5; ; ; ; 4/5; ; ; 10/13; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 13/5; ; ; 13/5; 5/2; 11/4; ; 13/5; 13/5; ; ; ; 5/2; ; ; 45/17; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 16/5; 3; ; ; 16/5; 14/5; 16/5; ; 3; 16/5; ; ; ; 29/10; ; ; 41/13; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton-utd; 2017-04-16 14:21:28 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 17/20; 4/5; ; ; 5/6; 3/4; 4/5; ; 5/6; 4/5; ; ; ; 4/5; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 13/5; ; ; 13/5; 5/2; 11/4; ; 13/5; 13/5; ; ; ; 5/2; ; ; 45/17; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 14/5; 3; ; ; 16/5; 14/5; 16/5; ; 3; 16/5; ; ; ; 14/5; ; ; 31/10; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton-utd; 2017-04-16 18:21:28 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 17/20; 4/5; ; ; 5/6; 3/4; 4/5; ; 5/6; 4/5; ; ; ; 5/6; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 13/5; ; ; 13/5; 5/2; 11/4; ; 13/5; 13/5; ; ; ; 27/10; ; ; 45/17; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 14/5; 3; ; ; 16/5; 11/4; 16/5; ; 3; 16/5; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton-utd; 2017-04-16 22:21:23 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 17/20; 4/5; ; ; 4/5; 3/4; 4/5; ; 4/5; 4/5; ; ; ; 4/5; ; ; 10/13; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 13/5; ; ; 11/4; 5/2; 11/4; ; 13/5; 13/5; ; ; ; 27/10; ; ; 45/17; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 14/5; 3; ; ; 16/5; 14/5; 16/5; ; 3; 10/3; ; ; ; 16/5; ; ; 41/13; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton-utd; 2017-04-17 02:21:21 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 17/20; 4/5; ; ; 4/5; 3/4; 4/5; ; 4/5; 4/5; ; ; ; 4/5; ; ; 10/13; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 13/5; ; ; 11/4; 5/2; 11/4; ; 13/5; 13/5; ; ; ; 27/10; ; ; 45/17; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 14/5; 3; ; ; 16/5; 14/5; 16/5; ; 3; 10/3; ; ; ; 16/5; ; ; 41/13; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton-utd; 2017-04-17 06:21:20 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 17/20; 4/5; ; ; 4/5; 3/4; 4/5; ; 4/5; 4/5; ; ; ; 4/5; ; ; 10/13; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 13/5; ; ; 11/4; 5/2; 11/4; ; 13/5; 13/5; ; ; ; 27/10; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 14/5; 3; ; ; 16/5; 14/5; 16/5; ; 3; 10/3; ; ; ; 16/5; ; ; 41/13; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton-utd; 2017-04-17 10:21:16 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 17/20; 3/4; ; ; 4/5; 3/4; 3/4; ; 4/5; 4/5; ; ; ; 4/5; ; ; 10/13; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 13/5; ; ; 11/4; 5/2; 14/5; ; 13/5; 13/5; ; ; ; 13/5; ; ; 45/17; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 14/5; 16/5; ; ; 16/5; 14/5; 17/5; ; 3; 10/3; ; ; ; 16/5; ; ; 41/13; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton-utd; 2017-04-17 14:21:24 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 3/4; 3/4; ; ; 17/20; 3/4; 20/23; ; 5/6; 17/20; ; ; ; 5/6; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; 11/4; ; ; 13/5; 5/2; 27/10; ; 13/5; 13/5; ; ; ; 13/5; ; ; 45/17; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 16/5; 16/5; ; ; 31/10; 14/5; 29/10; ; 3; 3; ; ; ; 3; ; ; 58/19; ; ; ; ; ; ; ; ; ; ; ; 
