META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-02 14:53:34 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 11/8; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; 7/4; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Macclesfield; 11/8; 13/10; 11/8; ; 7/5; ; 7/5; 13/10; 7/5; ; 11/8; 13/10; 11/8; 11/8; ; 11/8; 13/10; 13/10; 13/10; 13/10; 6/4; ; 4/3; ; 4/3; ; ; ; 
Dagenham & Redbridge; 7/4; 2; 37/20; ; 15/8; ; 15/8; 7/4; 7/4; ; 9/5; 7/4; 17/10; 7/4; ; 9/5; 17/10; 17/10; 17/10; 17/10; 181/100; ; 17/10; ; 17/10; ; ; ; 
Draw; 13/5; 12/5; 9/4; ; 12/5; ; 12/5; 12/5; 13/5; ; 11/5; 11/5; 51/20; 9/4; ; 12/5; 5/2; 9/4; 5/2; 5/2; 27/10; ; 5/2; ; 5/2; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-05 18:21:41 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 11/8; 13/10; 11/8; ; 7/5; ; 7/5; 13/10; 7/5; ; 11/8; 13/10; 11/8; 11/8; ; 11/8; 23/17; 13/10; 13/10; ; 6/4; ; 4/3; ; 4/3; ; ; ; 
Dagenham & Redbridge; 7/4; 2; 37/20; ; 15/8; ; 15/8; 7/4; 7/4; ; 9/5; 7/4; 17/10; 7/4; ; 9/5; 7/4; 17/10; 17/10; ; 181/100; ; 17/10; ; 17/10; ; ; ; 
Draw; 13/5; 12/5; 9/4; ; 12/5; ; 12/5; 12/5; 13/5; ; 11/5; 11/5; 51/20; 9/4; ; 12/5; 5/2; 9/4; 5/2; ; 27/10; ; 5/2; ; 5/2; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-05 22:22:16 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 21/20; 21/20; 11/10; ; 11/10; ; 11/10; 13/10; 11/10; 11/10; 11/10; 11/10; 11/10; 1; ; 11/10; 21/20; 11/10; 21/20; 21/20; 5/4; 30/29; 21/20; ; 21/20; ; ; ; 
Dagenham & Redbridge; 11/5; 9/4; 23/10; ; 23/10; ; 23/10; 7/4; 9/4; 23/10; 23/10; 9/4; 11/5; 21/10; ; 9/4; 11/5; 2; 11/5; 11/5; 109/50; 21/10; 11/5; ; 11/5; ; ; ; 
Draw; 11/4; 5/2; 23/10; ; 5/2; ; 5/2; 12/5; 5/2; 12/5; 23/10; 21/10; 51/20; 13/5; ; 5/2; 13/5; 23/10; 5/2; 13/5; 27/10; 5/2; 5/2; ; 5/2; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-06 02:21:38 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 21/20; 21/20; 11/10; ; 11/10; ; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; ; 11/10; 11/10; 11/10; 21/20; 11/10; 5/4; 30/29; 21/20; ; 21/20; ; ; ; 
Dagenham & Redbridge; 11/5; 9/4; 23/10; ; 23/10; ; 12/5; 21/10; 23/10; 23/10; 23/10; 9/4; 23/10; 23/10; ; 9/4; 23/10; 2; 11/5; 23/10; 109/50; 21/10; 11/5; ; 11/5; ; ; ; 
Draw; 11/4; 5/2; 23/10; ; 5/2; ; 5/2; 12/5; 12/5; 12/5; 9/4; 11/5; 12/5; 11/5; ; 5/2; 12/5; 23/10; 5/2; 12/5; 27/10; 5/2; 5/2; ; 5/2; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-06 06:21:53 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 21/20; 21/20; 11/10; ; 11/10; ; 11/10; 1; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; ; 11/10; 11/10; 11/10; 21/20; 11/10; 5/4; 30/29; 15/14; ; 15/14; ; ; ; 
Dagenham & Redbridge; 11/5; 9/4; 23/10; ; 12/5; ; 12/5; 23/10; 23/10; 23/10; 23/10; 9/4; 23/10; 23/10; ; 23/10; 23/10; 2; 21/10; 23/10; 109/50; 21/10; 28/13; ; 28/13; ; ; ; 
Draw; 11/4; 5/2; 23/10; ; 5/2; ; 5/2; 12/5; 12/5; 12/5; 9/4; 11/5; 12/5; 11/5; ; 5/2; 12/5; 23/10; 12/5; 12/5; 27/10; 5/2; 27/11; ; 27/11; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-06 10:22:41 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 21/20; 11/10; 11/10; ; 11/10; ; 11/10; 1; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 28/25; 30/29; 15/14; ; 15/14; ; ; ; 
Dagenham & Redbridge; 11/5; 12/5; 23/10; ; 12/5; ; 12/5; 23/10; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 23/10; 23/10; 40/17; 2; 21/10; 40/17; 49/20; 21/10; 28/13; ; 28/13; ; ; ; 
Draw; 11/4; 5/2; 23/10; ; 5/2; ; 5/2; 12/5; 12/5; 23/10; 9/4; 11/5; 12/5; 11/5; 12/5; 5/2; 12/5; 23/10; 12/5; 12/5; 14/5; 5/2; 27/11; ; 27/11; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-06 14:22:17 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 21/20; 11/10; 11/10; ; 11/10; 1; 21/20; 1; 11/10; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 28/25; 30/29; 15/14; ; 15/14; ; ; 21/20; 
Dagenham & Redbridge; 11/5; 12/5; 47/20; ; 12/5; 43/20; 5/2; 23/10; 23/10; 5/2; 12/5; 9/4; 23/10; 12/5; 12/5; 12/5; 12/5; 2; 21/10; 12/5; 49/20; 21/10; 28/13; ; 28/13; ; ; 9/4; 
