Braintree Town; 7/5; 11/8; 7/5; 7/5; 7/5; 13/10; 7/5; 7/5; 7/5; 7/5; 11/8; 13/10; 29/20; 11/8; 11/8; 7/5; 23/17; 16/11; 11/8; 23/17; 79/50; 9/7; 11/8; ; 11/8; ; ; 7/5; 
Barrow; 7/4; 7/4; 9/5; 9/5; 7/4; 33/20; 9/5; 7/4; 9/5; 9/5; 7/4; 17/10; 7/4; 7/4; 9/5; 9/5; 7/4; 6/4; 17/10; 7/4; 89/50; 28/17; 17/10; ; 17/10; ; ; 7/4; 
Draw; 5/2; 12/5; 23/10; 5/2; 12/5; 9/4; 5/2; 23/10; 23/10; 12/5; 9/4; 11/5; 23/10; 2; 12/5; 12/5; 40/17; 23/10; 12/5; 40/17; 13/5; 5/2; 12/5; ; 12/5; ; ; 11/5; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-19 18:21:01 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 7/5; 11/8; 11/8; 7/5; 7/5; 13/10; 7/5; 7/5; 7/5; 7/5; 29/20; 11/8; 29/20; 11/8; 11/8; 7/5; 7/5; 16/11; 11/8; 7/5; 79/50; 9/7; 11/8; ; 11/8; ; ; 7/5; 
Barrow; 7/4; 7/4; 7/4; 9/5; 9/5; 33/20; 9/5; 7/4; 9/5; 9/5; 9/5; 7/4; 7/4; 7/4; 9/5; 9/5; 7/4; 6/4; 17/10; 7/4; 89/50; 28/17; 17/10; ; 17/10; ; ; 7/4; 
Draw; 5/2; 12/5; 47/20; 5/2; 23/10; 9/4; 5/2; 23/10; 23/10; 12/5; 12/5; 21/10; 23/10; 21/10; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 5/2; 12/5; ; 12/5; ; ; 11/5; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-19 22:21:13 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 7/5; 11/8; 11/8; 7/5; 7/5; 13/10; 7/5; 7/5; 7/5; 7/5; 29/20; 13/10; 29/20; 11/8; 11/8; 7/5; 7/5; 16/11; 11/8; 7/5; 79/50; 9/7; 11/8; ; 11/8; ; ; 7/5; 
Barrow; 7/4; 7/4; 7/4; 9/5; 7/4; 33/20; 9/5; 7/4; 9/5; 9/5; 9/5; 17/10; 7/4; 7/4; 9/5; 9/5; 7/4; 6/4; 17/10; 7/4; 89/50; 28/17; 17/10; ; 17/10; ; ; 7/4; 
Draw; 5/2; 12/5; 12/5; 5/2; 12/5; 9/4; 5/2; 23/10; 23/10; 12/5; 12/5; 12/5; 23/10; 21/10; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 5/2; 12/5; ; 12/5; ; ; 11/5; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-20 02:21:05 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 7/5; 11/8; 11/8; 7/5; 7/5; 13/10; 7/5; 7/5; 7/5; 7/5; 29/20; 13/10; 29/20; 11/8; 11/8; 7/5; 7/5; 16/11; 11/8; 7/5; 79/50; 9/7; 11/8; ; 11/8; ; ; 7/5; 
Barrow; 7/4; 7/4; 7/4; 9/5; 7/4; 33/20; 9/5; 7/4; 9/5; 9/5; 9/5; 17/10; 7/4; 7/4; 9/5; 9/5; 7/4; 6/4; 17/10; 7/4; 89/50; 28/17; 17/10; ; 17/10; ; ; 7/4; 
Draw; 5/2; 12/5; 12/5; 5/2; 12/5; 9/4; 5/2; 23/10; 23/10; 12/5; 12/5; 12/5; 23/10; 21/10; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 5/2; 12/5; ; 12/5; ; ; 11/5; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-20 06:21:05 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 7/5; 11/8; 11/8; 7/5; 7/5; 13/10; 7/5; 7/5; 7/5; 7/5; 29/20; 13/10; 29/20; 11/8; 11/8; 7/5; 7/5; 16/11; 11/8; 7/5; 79/50; 9/7; 11/8; ; 11/8; ; ; 7/5; 
Barrow; 7/4; 7/4; 7/4; 9/5; 7/4; 33/20; 9/5; 7/4; 9/5; 9/5; 9/5; 17/10; 7/4; 7/4; 9/5; 9/5; 7/4; 6/4; 17/10; 7/4; 89/50; 28/17; 17/10; ; 17/10; ; ; 7/4; 
Draw; 5/2; 12/5; 12/5; 5/2; 12/5; 9/4; 5/2; 23/10; 23/10; 12/5; 12/5; 12/5; 23/10; 21/10; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 5/2; 12/5; ; 12/5; ; ; 11/5; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-20 10:21:05 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 7/5; 11/8; 11/8; 7/5; 7/5; 13/10; 7/5; 7/5; 7/5; 7/5; 29/20; 13/10; 29/20; 11/8; 11/8; 7/5; 7/5; 16/11; 11/8; 7/5; 79/50; 9/7; 11/8; ; 11/8; ; ; 7/5; 
Barrow; 7/4; 7/4; 7/4; 9/5; 7/4; 33/20; 9/5; 7/4; 9/5; 9/5; 9/5; 17/10; 7/4; 7/4; 9/5; 9/5; 7/4; 6/4; 17/10; 7/4; 89/50; 28/17; 17/10; ; 17/10; ; ; 7/4; 
Draw; 5/2; 12/5; 12/5; 5/2; 12/5; 9/4; 5/2; 23/10; 23/10; 12/5; 12/5; 11/5; 23/10; 21/10; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 5/2; 12/5; ; 12/5; ; ; 11/5; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-20 14:21:08 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
