Draw; 29/10; 29/10; 14/5; 14/5; 3; 27/10; 3; 11/4; 3; 3; 14/5; 13/5; 59/20; 3; 14/5; 3; 3; 11/4; 14/5; 3; 67/20; 29/10; 14/5; ; ; 3; 14/5; 
Bromley; 11/2; 5; 5; 5; 5; 17/4; 21/4; 9/2; 5; 5; 5; 9/2; 5; 5; 19/4; 5; 94/19; 17/4; 9/2; 94/19; 47/10; 5; 9/2; ; ; 26/5; 24/5; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-11 06:22:09 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Tranmere; 8/15; 8/15; 8/15; 4/7; 4/7; 1/2; 8/15; 1/2; 8/15; 11/20; 8/15; 8/15; 8/15; 8/15; 4/7; 8/15; 18/35; 8/15; 8/15; 18/35; 61/100; 4/7; 6/11; ; ; 8/15; 1/2; 
Draw; 29/10; 29/10; 14/5; 14/5; 3; 27/10; 3; 11/4; 3; 3; 14/5; 13/5; 59/20; 29/10; 14/5; 3; 3; 11/4; 14/5; 3; 67/20; 29/10; 14/5; ; ; 3; 14/5; 
Bromley; 11/2; 5; 5; 5; 5; 17/4; 21/4; 9/2; 5; 5; 5; 9/2; 5; 5; 19/4; 5; 94/19; 17/4; 9/2; 94/19; 47/10; 5; 9/2; ; ; 26/5; 24/5; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-11 10:23:42 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Tranmere; 8/15; 8/15; 8/15; 4/7; 4/7; 1/2; 8/15; 1/2; 8/15; 1/2; 8/15; 4/9; 8/15; 8/15; 4/7; 8/15; 18/35; 8/15; 8/15; 10/21; 53/100; 4/7; 6/11; ; ; 1/2; 1/2; 
Draw; 29/10; 29/10; 14/5; 14/5; 3; 27/10; 3; 11/4; 3; 3; 29/10; 3; 59/20; 29/10; 14/5; 3; 3; 11/4; 14/5; 31/10; 7/2; 29/10; 37/13; ; ; 3; 14/5; 
Bromley; 11/2; 5; 5; 5; 5; 17/4; 21/4; 9/2; 5; 11/2; 5; 9/2; 5; 5; 19/4; 5; 96/19; 17/4; 9/2; 91/17; 57/10; 5; 9/2; ; ; 11/2; 24/5; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-11 14:28:47 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Tranmere; 4/9; 1/2; 40/85; 1/2; 1/2; 17/40; 9/20; 4/9; 1/2; 10/21; 4/9; 4/9; 12/25; 1/2; 1/2; 4/9; 10/21; 4/9; 1/2; 4/9; 53/100; 10/21; 1/2; ; ; 4/9; 4/9; 
Draw; 10/3; 3; 3; 3; 16/5; 14/5; 10/3; 3; 3; 16/5; 3; 14/5; 3; 16/5; 3; 16/5; 41/13; 31/10; 3; 13/4; 7/2; 3; 3; ; ; 3; 3; 
Bromley; 13/2; 5; 11/2; 6; 11/2; 5; 6; 5; 11/2; 11/2; 6; 5; 11/2; 6; 11/2; 6; 60/11; 5; 23/5; 57/10; 57/10; 59/10; 19/4; ; ; 31/5; 28/5; 
META; english/non-league/national-league/tranmere-v-bromley; 2017-02-11 18:23:02 GMT+2; 2017-02-11 15:00; In Play; Xlenovo
Tranmere; 1/28; 1/33; ; ; ; ; ; 1/50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 14; 16; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/3; ; 
Bromley; 50; 80; ; ; ; ; ; 90; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 32/5; ; 
