Draw; 23/10; 11/5; 21/10; 21/10; 9/4; 21/10; 23/10; 9/4; 9/4; 21/10; 9/4; 21/10; 11/5; ; 11/5; 9/4; 11/5; 21/10; 11/5; 11/5; 12/5; 28/13; 11/5; ; 11/5; ; ; 2; 
Guiseley; 11/4; 13/5; 13/5; 23/10; 13/5; 12/5; 27/10; 5/2; 5/2; 14/5; 27/10; 12/5; 5/2; ; 11/4; 13/5; 11/4; 23/10; 12/5; 11/4; 72/25; 12/5; 12/5; ; 12/5; ; ; 12/5; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-16 14:22:19 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Boreham Wood; 1; 21/20; 21/20; 23/20; 11/10; 19/20; 21/20; 1; 11/10; 21/20; 11/10; 1; 21/20; ; 21/20; 21/20; 1; 21/20; 11/10; 1; 111/100; 24/23; 11/10; ; 11/10; ; ; 21/20; 
Draw; 23/10; 11/5; 21/10; 21/10; 9/4; 21/10; 23/10; 9/4; 9/4; 21/10; 9/4; 21/10; 11/5; ; 11/5; 9/4; 11/5; 21/10; 11/5; 11/5; 12/5; 28/13; 11/5; ; 11/5; ; ; 21/10; 
Guiseley; 11/4; 13/5; 13/5; 23/10; 13/5; 12/5; 27/10; 5/2; 13/5; 14/5; 27/10; 5/2; 13/5; ; 11/4; 13/5; 11/4; 23/10; 12/5; 11/4; 72/25; 12/5; 12/5; ; 12/5; ; ; 12/5; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-16 18:23:02 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Boreham Wood; 1; 21/20; 21/20; 23/20; 11/10; 19/20; 21/20; 1; 11/10; 21/20; 11/10; 21/20; 21/20; ; 21/20; 21/20; 1; 21/20; 11/10; 1; 111/100; 24/23; 11/10; ; 11/10; ; ; 21/20; 
Draw; 23/10; 11/5; 21/10; 21/10; 9/4; 21/10; 23/10; 9/4; 9/4; 21/10; 9/4; 21/10; 11/5; ; 11/5; 9/4; 11/5; 21/10; 11/5; 11/5; 12/5; 28/13; 11/5; ; 11/5; ; ; 21/10; 
Guiseley; 11/4; 13/5; 13/5; 23/10; 13/5; 12/5; 27/10; 5/2; 13/5; 14/5; 27/10; 12/5; 13/5; ; 11/4; 13/5; 11/4; 23/10; 12/5; 11/4; 72/25; 12/5; 12/5; ; 12/5; ; ; 12/5; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-16 22:21:18 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Boreham Wood; 1; 21/20; 21/20; 23/20; 11/10; 19/20; 21/20; 1; 11/10; 21/20; 11/10; 20/21; 21/20; ; 21/20; 21/20; 1; 21/20; 11/10; 1; 111/100; 13/12; 11/10; ; 11/10; ; ; 21/20; 
Draw; 23/10; 11/5; 21/10; 21/10; 11/5; 21/10; 23/10; 9/4; 9/4; 21/10; 11/5; 21/10; 11/5; ; 21/10; 9/4; 11/5; 21/10; 11/5; 11/5; 12/5; 11/5; 11/5; ; 11/5; ; ; 21/10; 
Guiseley; 11/4; 13/5; 13/5; 23/10; 11/4; 12/5; 27/10; 5/2; 13/5; 14/5; 27/10; 13/5; 13/5; ; 14/5; 13/5; 11/4; 23/10; 12/5; 11/4; 72/25; 45/17; 12/5; ; 12/5; ; ; 12/5; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-17 02:22:41 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Boreham Wood; 1; 21/20; 21/20; 23/20; 11/10; 19/20; 21/20; 1; 11/10; 21/20; 11/10; 20/21; 21/20; ; 21/20; 21/20; 1; 21/20; 11/10; 1; 111/100; 13/12; 11/10; ; 11/10; ; ; 21/20; 
Draw; 23/10; 11/5; 21/10; 21/10; 11/5; 21/10; 23/10; 9/4; 9/4; 21/10; 11/5; 21/10; 11/5; ; 21/10; 9/4; 11/5; 21/10; 11/5; 11/5; 12/5; 11/5; 11/5; ; 11/5; ; ; 2; 
Guiseley; 11/4; 13/5; 13/5; 23/10; 11/4; 12/5; 27/10; 5/2; 13/5; 14/5; 27/10; 13/5; 13/5; ; 14/5; 13/5; 11/4; 23/10; 12/5; 11/4; 72/25; 45/17; 12/5; ; 12/5; ; ; 12/5; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-17 06:20:41 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Boreham Wood; 1; 21/20; 21/20; 23/20; 11/10; 19/20; 21/20; 1; 11/10; 21/20; 11/10; 20/21; 21/20; ; 21/20; 21/20; 1; 21/20; 21/20; 1; 111/100; 13/12; 15/14; ; 15/14; ; ; 21/20; 
Draw; 23/10; 11/5; 21/10; 21/10; 11/5; 21/10; 23/10; 9/4; 9/4; 21/10; 11/5; 21/10; 11/5; ; 21/10; 9/4; 11/5; 21/10; 21/10; 11/5; 12/5; 11/5; 28/13; ; 28/13; ; ; 21/10; 
Guiseley; 11/4; 13/5; 13/5; 23/10; 11/4; 12/5; 27/10; 5/2; 13/5; 14/5; 27/10; 13/5; 13/5; ; 14/5; 13/5; 11/4; 23/10; 12/5; 11/4; 72/25; 45/17; 27/11; ; 27/11; ; ; 12/5; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-17 10:22:41 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Boreham Wood; 1; 21/20; 21/20; 23/20; 11/10; 19/20; 21/20; 1; 11/10; 21/20; 11/10; 20/21; 21/20; ; 21/20; 21/20; 1; 21/20; 21/20; 1; 111/100; 13/12; 15/14; ; 15/14; ; ; 21/20; 
Draw; 23/10; 11/5; 21/10; 21/10; 11/5; 21/10; 23/10; 9/4; 9/4; 21/10; 11/5; 21/10; 11/5; ; 21/10; 9/4; 28/13; 21/10; 21/10; 28/13; 12/5; 11/5; 28/13; ; 28/13; ; ; 21/10; 
Guiseley; 11/4; 13/5; 13/5; 23/10; 11/4; 12/5; 27/10; 5/2; 13/5; 14/5; 27/10; 13/5; 13/5; ; 14/5; 13/5; 11/4; 23/10; 12/5; 11/4; 72/25; 45/17; 27/11; ; 27/11; ; ; 12/5; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2017-03-17 14:25:48 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Boreham Wood; 1; 21/20; 21/20; 23/20; 11/10; 1; 21/20; 1; 11/10; 21/20; 11/10; 20/21; 21/20; ; 21/20; 21/20; 1; 21/20; 1; 1; 111/100; 13/12; 42/41; ; 42/41; ; ; 21/20; 
