META; english/non-league/national-league/aldershot-v-torquay; 2017-04-02 14:52:59 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 4/6; 2/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; 4; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-02 19:05:06 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Draw; 14/5; 11/4; 49/20; ; 11/4; ; 13/5; 13/5; 14/5; ; 5/2; 12/5; 11/4; 5/2; ; 27/10; 11/4; 13/5; 27/10; ; 3; ; 27/10; ; 27/10; ; ; ; 
Torquay; 4; 4; 17/4; ; 9/2; ; 22/5; 4; 4; ; 21/5; 4; 15/4; 4; ; 4; 39/10; 10/3; 7/2; ; 21/5; ; 19/5; ; 19/5; ; ; ; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-05 22:21:55 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 8/13; 4/6; 13/20; ; 8/13; ; 13/20; 4/7; 8/13; 4/6; 8/13; 8/13; 8/13; 6/10; ; 8/13; 11/17; 11/17; 8/13; 11/17; 18/25; 5/8; 11/17; ; 11/17; ; ; ; 
Draw; 29/10; 11/4; 49/20; ; 11/4; ; 13/5; 13/5; 11/4; 13/5; 12/5; 23/10; 27/10; 27/10; ; 27/10; 14/5; 13/5; 27/10; 14/5; 3; 13/5; 27/10; ; 27/10; ; ; ; 
Torquay; 17/4; 4; 9/2; ; 9/2; ; 19/4; 4; 17/4; 9/2; 9/2; 4; 17/4; 4; ; 9/2; 4; 10/3; 7/2; 4; 21/5; 15/4; 19/5; ; 19/5; ; ; ; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-06 02:21:18 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 8/13; 8/13; 13/20; ; 8/13; ; 13/20; 4/7; 8/13; 4/6; 8/13; 8/13; 8/13; 8/13; ; 8/13; 11/17; 11/17; 8/13; 11/17; 18/25; 5/8; 11/17; ; 11/17; ; ; ; 
Draw; 29/10; 11/4; 49/20; ; 11/4; ; 13/5; 13/5; 11/4; 13/5; 12/5; 23/10; 27/10; 12/5; ; 27/10; 45/17; 13/5; 27/10; 45/17; 3; 13/5; 27/10; ; 27/10; ; ; ; 
Torquay; 17/4; 19/4; 9/2; ; 9/2; ; 19/4; 4; 17/4; 9/2; 9/2; 4; 17/4; 9/2; ; 9/2; 21/5; 10/3; 7/2; 21/5; 21/5; 15/4; 19/5; ; 19/5; ; ; ; 
