META; english/premier-league/arsenal-v-man-city; 2018-02-12 20:46:13 GMT+2; 2018-03-01 19:45; e70300-dr003
Man City; 10/11; 10/11; ; 10/11; 49/50; 19/20; ; 10/11; 19/20; ; ; 20/21; 19/20; 19/20; 10/11; ; 19/20; 10/11; 9/10; 19/20; 10/11; 20/21; ; 19/20; ; 10/11; ; 
Man City; 4/5; 8/11; 3/4; 3/4; 79/100; 3/4; 4/5; 8/11; 11/14; 4/5; 3/4; 3/4; 3/4; 3/4; 3/4; 4/5; 10/13; 13/18; 7/9; 3/4; 3/4; 3/4; 4/5; 8/11; 8/11; 4/5
Draw; 3; 16/5; 3; 16/5; 16/5; 3; 16/5; 3; 16/5; 3; 31/10; 3; 14/5; 56/19; 3; 41/13; 31/10; 16/5; 3; 56/19; 3; ; ; ; ; 
Arsenal; 7/2; 7/2; 10/3; 7/2; 18/5; 7/2; 10/3; 10/3; 38/11; 17/5; 18/5; 7/2; 10/3; 17/5; 7/2; 10/3; 38/11; 7/2; 13/4; 57/17; 7/2; 7/2; 38/11; 7/2; 7/2; 7/2
META; english/premier-league/arsenal-v-man-city; 2018-03-01 15:53:42 GMT+2; ; e70300-dr003
Man City; 4/5; 8/11; 3/4; 3/4; 79/100; 3/4; 4/5; 8/11; 11/14; 4/5; 3/4; 3/4; 3/4; 3/4; 3/4; 4/5; 10/13; 13/18; 7/9; 3/4; 3/4; 3/4; 4/5; 8/11; 8/11; 4/5
Draw; 3; 16/5; 3; 16/5; 16/5; 3; 16/5; 3; 16/5; 3; 31/10; 3; 14/5; 56/19; 3; 41/13; 31/10; 16/5; 3; 56/19; 3; ; ; ; ; 
Arsenal; 7/2; 7/2; 10/3; 7/2; 18/5; 7/2; 10/3; 10/3; 38/11; 17/5; 18/5; 7/2; 10/3; 7/2; 7/2; 10/3; 38/11; 7/2; 13/4; 57/17; 18/5; 7/2; 38/11; 10/3; 7/2; 7/2
META; english/premier-league/arsenal-v-man-city; 2018-03-01 19:29:42 GMT+2; ; e70300-dr003
Man City; 3/4; 8/11; 4/5; 3/4; 39/50; 3/4; 4/5; 8/11; 11/14; 4/5; 4/5; 3/4; 3/4; 3/4; 4/5; 8/11; 14/19; 13/18; 14/19; 3/4; 3/4; 3/4; 4/5; 8/11; 8/11; 8/11
Draw; 16/5; 16/5; 3; 16/5; 16/5; 3; 16/5; 3; 3; 31/10; 3; 3; 31/10; 31/10; 16/5; 3; 3; ; ; ; ; ; ; ; ; 
Arsenal; 18/5; 7/2; 10/3; 7/2; 73/20; 7/2; 7/2; 10/3; 38/11; 10/3; 7/2; 7/2; 10/3; 17/5; 7/2; 10/3; 39/11; 7/2; 7/2; 57/17; 15/4; 7/2; 38/11; 7/2; 7/2; 7/2
META; english/premier-league/arsenal-v-man-city; 2018-03-01 23:00:03 GMT+2; 2018-03-01 19:45; In Play; e70300-dr003
Man City; 1/100; 1/100; 1/80; 1/200; 1/200; 1/100; 1/66; 1/150; 1/66; 1/200; 1/100; 1; 1/100; 1/100; 1/66; 1; 1/50; 1/50; 
Draw; 25; 50; 40; 33; 22; 40; 50; 40; 40; 22; 18; 12; 33; 85/4; 29/2; 25; 16; 43/2; 47
Arsenal; 80; 100; 100; 60; 125; 400; 150; 100; 100; 50; 50; 57; 100; 211/4; 66; 40; 66; 213/4; 237
