META; english/premier-league/stoke-v-watford; 2018-01-07 12:12:45 GMT+2; 2018-01-31 20:00; e70300-dr003
Stoke; ; ; ; ; 6/4; ; ; 13/10; ; ; ; ; ; ; ; ; 7/5; ; 7/5; ; ; 7/5; ; 11/8; ; ; ; ; 
Watford; ; ; ; ; 52/25; ; ; 2; ; ; ; ; ; ; ; ; 11/5; ; 11/5; ; ; 85/40; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; 49/20; ; ; 9/4; ; ; ; ; ; ; ; ; 21/10; ; 21/10; ; ; 9/4; ; 11/5; ; ; ; ; 
META; english/premier-league/stoke-v-watford; 2018-01-10 12:18:32 GMT+2; ; e70300-dr003
Stoke; ; ; ; ; 6/4; 11/8; ; 11/8; ; ; ; ; ; ; ; ; 7/5; ; 7/5; ; ; 7/5; ; 11/8; ; ; 5/6; ; 
Draw; 11/5; 12/5; 23/10; 23/10; 123/ 50; 12/5; 23/10; 12/5; 11/5; 23/10; ; 23/10; ; 47/20; 23/10; 21/10; 23/10; 9/4; 23/10; 5/2; 11/5; 12/5; 5/2; 23/10; 23/10; 21/10; ; 
META; english/premier-league/stoke-v-watford; 2018-01-19 12:13:15 GMT+2; 2018-01-31 20:00; e70300-dr003
Stoke; 5/4; 5/4; 13/10; 13/10; 141/100; 5/4; 13/10; 5/4; 13/10; 13/10; ; 13/10; ; 13/10; 13/10; 5/4; 13/10; 13/10; 13/10; 6/5; 13/10; 13/10; 13/10; 13/10; 13/10; ; 6/5; ; 
Watford; 9/4; 21/10; 2; 21/10; 111/50; 11/5; 21/10; 11/5; 11/5; 2; ; 21/10; ; 21/10; 11/5; 2; 11/5; 21/10; 11/5; 27/14; 11/5; 85/40; 9/4; 21/10; 21/10; ; 21/10; ; 
Draw; 11/5; 12/5; 23/10; 23/10; 123/50; 12/5; 23/10; 12/5; 11/5; 23/10; ; 23/10; ; 47/20; 23/10; 9/4; 23/10; 9/4; 23/10; 5/2; 11/5; 12/5; 5/2; 23/10; 23/10; ; 21/10; ; 
META; english/premier-league/stoke-v-watford; 2018-01-22 12:12:21 GMT+2; 2018-01-31 20:00; e70300-dr003
Stoke; 5/4; 5/4; 5/4; 13/10; 11/8; 13/10; 13/10; 13/10; 13/10; 5/4; ; 5/4; ; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 9/7; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; ; 27/20
Watford; 11/5; 21/10; 21/10; 21/10; 58/25; 23/10; 11/5; 9/4; 28/13; 21/10; ; 2; ; 43/20; 11/5; 21/10; 11/5; 28/13; 11/5; 21/10; 28/13; 9/4; 9/4; 11/5; 11/5; 21/10; ; 9/4
Draw; 11/5; 12/5; 12/5; 23/10; 121/ 50; 12/5; 23/10; 23/10; 9/4; 23/10; ; 5/2; ; 12/5; 23/10; 9/4; 9/4; 9/4; 9/4; 5/2; 9/4; 12/5; 5/2; 47/20; 9/4; 23/10; ; 12/5
META; english/premier-league/stoke-v-watford; 2018-01-23 02:11:55 GMT+2; 2018-01-31 20:00; e70300-dr003
Stoke; 23/20; 23/20; 15/13; 6/5; 123/ 100; 5/4; 6/5; 6/5; 11/10; 23/20; ; 6/5; ; 23/20; 6/5; 11/10; 6/5; 15/13; 6/5; 22/19; 11/10; 6/5; 6/5; 23/20; 15/13; 23/20; 10/9; 6/5
Watford; 9/4; 9/4; 9/4; 23/10; 5/2; 12/5; 23/10; 12/5; 27/11; 9/4; ; 23/10; ; 23/10; 23/10; 9/4; 23/10; 40/17; 23/10; 23/10; 27/11; 12/5; 12/5; 47/20; 40/17; 23/10; 21/10; 12/5
Draw; 12/5; 12/5; 12/5; 23/10; 64/25; 5/2; 12/5; 12/5; 27/11; 12/5; ; 23/10; ; 49/20; 12/5; 23/10; 12/5; 40/17; 12/5; 13/5; 27/11; 5/2; 13/5; 47/20; 12/5; 12/5; 21/10; 5/2
META; english/premier-league/stoke-v-watford; 2018-01-23 17:17:57 GMT+2; 2018-01-31 20:00; e70300-dr003
Stoke; 23/20; 23/20; 15/13; 6/5; 123/ 100; 6/5; 6/5; 6/5; 11/10; 23/20; ; 6/5; ; 23/20; 6/5; 11/10; 6/5; 15/13; 6/5; 22/19; 11/10; 6/5; 6/5; 23/20; 15/13; 23/20; 10/9; 5/4
Watford; 9/4; 9/4; 9/4; 23/10; 5/2; 12/5; 23/10; 12/5; 27/11; 9/4; ; 23/10; ; 23/10; 23/10; 21/10; 23/10; 23/10; 23/10; 23/10; 27/11; 12/5; 12/5; 47/20; 40/17; 23/10; 9/4; 12/5
Draw; 12/5; 12/5; 12/5; 23/10; 64/25; 12/5; 12/5; 12/5; 27/11; 12/5; ; 23/10; ; 49/20; 12/5; 9/4; 12/5; 12/5; 12/5; 13/5; 27/11; 5/2; 13/5; 47/20; 12/5; 12/5; 12/5; 5/2
META; english/premier-league/stoke-v-watford; 2018-01-24 12:13:23 GMT+2; 2018-01-31 20:00; e70300-dr003
Stoke; 23/20; 6/5; 15/13; 6/5; 31/25; 6/5; 6/5; 6/5; 11/10; 23/20; 6/5; 6/5; ; 6/5; 6/5; 11/10; 6/5; 15/13; 6/5; 22/19; 11/10; 5/4; 5/4; 23/20; 15/13; ; 23/20; 10/9; 5/4
Watford; 9/4; 11/5; 9/4; 23/10; 62/25; 12/5; 23/10; 12/5; 27/11; 11/5; 9/4; 9/4; ; 9/4; 23/10; 21/10; 23/10; 23/10; 23/10; 23/10; 27/11; 23/10; 23/10; 9/4; 23/10; ; 23/10; 9/4; 12/5
Draw; 12/5; 12/5; 12/5; 23/10; 64/25; 12/5; 12/5; 12/5; 27/11; 12/5; 12/5; 12/5; ; 49/20; 12/5; 9/4; 12/5; 40/17; 12/5; 13/5; 27/11; 5/2; 5/2; 49/20; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/stoke-v-watford; 2018-01-30 12:14:49 GMT+2; 2018-01-31 20:00; e70300-dr003
Stoke ; 5/4; 23/20; 15/13; 5/4; 123/ 100; 5/4; 6/5; ; 11/9; 6/5; 5/4; 6/5; 6/5; 5/4; 5/4; 6/5; 6/5; 6/5; 6/5; 17/14; 13/11; 5/4; 5/4; 5/4; 6/5; ; 6/5; 6/5; 5/4
Watford; 12/5; 23/10; 9/4; 23/10; 5/2; 12/5; 23/10; ; 27/11; 9/4; 12/5; 23/10; 12/5; 9/4; 23/10; 12/5; 23/10; 40/17; 23/10; 23/10; 12/5; 23/10; 12/5; 9/4; 12/5; ; 23/10; 12/5; 12/5
Draw; 5/2; 12/5; 12/5; 12/5; 64/25; 13/5; 12/5; ; 53/21; 12/5; 5/2; 12/5; 9/4; 49/20; 5/2; 12/5; 12/5; 27/11; 12/5; 5/2; 27/11; 5/2; 5/2; 49/20; 27/11; ; 12/5; 12/5; 12/5
META; english/premier-league/stoke-v-watford; 2018-01-30 12:40:32 GMT+2; 2018-01-31 20:00; e70300-dr003
Stoke ; 5/4; 23/20; 15/13; 5/4; 123/ 100; 5/4; 6/5; ; 11/9; 6/5; 5/4; 6/5; 6/5; 5/4; 5/4; 6/5; 6/5; 6/5; 6/5; 17/14; 13/11; 5/4; 5/4; 5/4; 6/5; ; 6/5; 6/5; 6/5
Watford; 12/5; 23/10; 9/4; 23/10; 5/2; 12/5; 23/10; ; 27/11; 9/4; 12/5; 23/10; 12/5; 9/4; 23/10; 12/5; 23/10; 40/17; 23/10; 23/10; 12/5; 23/10; 12/5; 9/4; 12/5; ; 23/10; 12/5; 12/5
Draw; 5/2; 12/5; 12/5; 12/5; 64/25; 13/5; 12/5; ; 53/21; 12/5; 5/2; 12/5; 9/4; 49/20; 5/2; 12/5; 12/5; 27/11; 12/5; 5/2; 27/11; 5/2; 5/2; 49/20; 27/11; ; 12/5; 12/5; 12/5
