META; english/premier-league/arsenal-v-crystal-palace; 2018-01-07 12:12:00 GMT+2; 2018-01-20 15:00; e70300-dr003
Arsenal; 3/10; 4/11; 1/3; 1/3; 37/100; 1/3; 1/3; 1/3; 3/10; 1/3; ; 1/3; ; 1/3; 1/3; 4/11; 1/4; 6/19; 1/4; 4/13; 3/10; 1/3; 1/3; 1/3; 6/19; ; 1/4; ; 
Crystal Palace; 19/4; 5; 5; 5; 6; 5; 11/2; 5; 76/13; 11/2; 5; 5; 5; 11/2; 5; 11/2; 21/4; 61/11; 21/4; 6; 23/4; 21/4; 11/2; 11/2; 61/11; 29/5; 6; 6
META; english/premier-league/arsenal-v-crystal-palace; 2018-01-19 12:12:31 GMT+2; 2018-01-20 15:00; e70300-dr003
Arsenal; 1/2; 1/2; 1/2; 1/2; 51/100; 1/2; 7/15; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 40/85; 1/2; 1/2; 1/2; 17/35; 1/2; 1/2; 10/21; 8/15; 1/2; 1/2; 17/35; ; 4/9; 4/9; 1/2
Draw; 15/4; 7/2; 10/3; 17/5; 37/10; 15/4; 7/2; 7/2; 15/4; 10/3; 10/3; 7/2; 10/3; 18/5; 15/4; 7/2; 17/5; 38/11; 17/5; 18/5; 37/10; 7/2; 18/5; 7/2; 7/2; ; 7/2; 7/2; 7/2
Crystal Palace; 6; 5; 11/2; 5; 61/10; 11/2; 11/2; 5; 23/4; 11/2; 11/2; 11/2; 5; 6; 11/2; 11/2; 21/4; 59/10; 21/4; 27/5; 11/2; 21/4; 6; 11/2; 6; ; 6; 6; 31/5
META; english/premier-league/arsenal-v-crystal-palace; 2018-01-19 12:44:12 GMT+2; 2018-01-20 15:00; e70300-dr003
Arsenal; 1/2; 1/2; 1/2; 1/2; 51/100; 1/2; 7/15; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 40/85; 1/2; 1/2; 1/2; 17/35; 1/2; 1/2; 10/21; 8/15; 1/2; 1/2; 17/35; ; 4/9; 4/9; 1/2
Draw; 15/4; 7/2; 10/3; 17/5; 37/10; 15/4; 7/2; 7/2; 15/4; 10/3; 10/3; 7/2; 10/3; 18/5; 15/4; 7/2; 17/5; 38/11; 17/5; 18/5; 37/10; 7/2; 18/5; 7/2; 7/2; ; 7/2; 7/2; 7/2
Crystal Palace; 6; 5; 11/2; 5; 61/10; 11/2; 11/2; 5; 23/4; 11/2; 11/2; 11/2; 5; 6; 11/2; 11/2; 21/4; 59/10; 21/4; 27/5; 11/2; 21/4; 6; 11/2; 6; ; 6; 6; 31/5
META; english/premier-league/arsenal-v-crystal-palace; 2018-01-19 14:02:12 GMT+2; 2018-01-20 15:00; e70300-dr003
Arsenal; 1/2; 1/2; 1/2; 1/2; 51/100; 1/2; 7/15; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 17/35; 1/2; 1/2; 10/21; 8/15; 1/2; 1/2; 17/35; ; 4/9; 4/9; 1/2
Draw; 15/4; 7/2; 10/3; 10/3; 37/10; 15/4; 7/2; 7/2; 15/4; 10/3; 10/3; 7/2; 10/3; 18/5; 15/4; 7/2; 17/5; 38/11; 17/5; 18/5; 37/10; 7/2; 18/5; 7/2; 7/2; ; 7/2; 7/2; 7/2
Crystal Palace; 6; 5; 11/2; 6; 61/10; 11/2; 11/2; 5; 23/4; 11/2; 11/2; 5; 5; 6; 11/2; 11/2; 21/4; 113/19; 21/4; 27/5; 11/2; 21/4; 6; 11/2; 6; ; 6; 31/5; 31/5
