Draw; 6; ; 6; 6; ; 7; 7; ; 6; 6; 11/2; 6; 13/2; 6; 7; 13/2; 6; 11/2; 6; 6; 73/10; 31/5; 6; ; ; 31/5; ; 
Real Sociedad; 12; ; 11; 11; ; 11; 12; ; 10; 11; 11; 11; 12; 14; 10; 12; 43/4; 11; 11; 43/4; 31/2; 46/5; 11; ; ; 62/5; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-19 20:19:59 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 2/9; 1/5; ; 1/5; 2/11; ; 1/5; 1/5; 1/5; 1/5; 2/11; 1/5; 1/5; 1/5; 1/6; 1/5; 1/5; 1/6; 1/5; 2/11; 1/5; ; ; 1/5; ; 
Draw; 6; ; 6; 6; ; 7; 7; ; 6; 6; 11/2; 6; 13/2; 6; 7; 13/2; 6; 11/2; 6; 6; 73/10; 31/5; 6; ; ; 31/5; ; 
Real Sociedad; 12; ; 11; 11; ; 11; 12; ; 10; 11; 11; 11; 12; 14; 10; 12; 43/4; 11; 11; 43/4; 31/2; 46/5; 11; ; ; 62/5; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-20 04:19:23 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 2/9; 1/5; ; 1/5; 2/11; ; 1/5; 1/5; 1/5; 1/5; 2/11; 1/5; 1/5; 1/5; 1/6; 1/5; 1/5; 1/6; 1/5; 2/11; 1/5; ; ; 1/5; ; 
Draw; 6; ; 6; 6; ; 7; 7; ; 6; 6; 11/2; 6; 13/2; 6; 7; 13/2; 6; 11/2; 6; 6; 73/10; 31/5; 6; ; ; 31/5; ; 
Real Sociedad; 12; ; 11; 11; ; 11; 12; ; 10; 11; 11; 11; 12; 14; 10; 12; 43/4; 11; 11; 43/4; 31/2; 46/5; 11; ; ; 64/5; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-20 08:19:35 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 2/9; 1/5; ; 1/5; 2/11; ; 1/5; 1/5; 1/5; 1/5; 2/11; 1/5; 1/5; 1/5; 1/6; 1/5; 1/5; 1/6; 1/5; 2/11; 1/5; ; ; 1/5; ; 
Draw; 6; ; 6; 6; ; 7; 7; ; 6; 6; 11/2; 6; 13/2; 6; 7; 13/2; 6; 11/2; 6; 6; 73/10; 31/5; 6; ; ; 31/5; ; 
Real Sociedad; 12; ; 11; 11; ; 11; 12; ; 10; 11; 11; 11; 12; 14; 10; 12; 43/4; 11; 11; 43/4; 31/2; 46/5; 11; ; ; 64/5; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-20 12:21:47 GMT+2; 2017-01-29 19:45; e70300-dr003
Real Madrid; 2/11; ; 2/9; 1/5; ; 1/5; 2/11; ; 1/5; 1/5; 1/5; 1/5; 2/11; 1/5; 1/5; 1/5; 1/6; 1/5; 1/5; 1/6; 1/5; 2/11; 1/5; ; ; 1/5; ; 
Draw; 6; ; 6; 6; ; 7; 7; ; 6; 6; 11/2; 6; 13/2; 6; 7; 13/2; 6; 11/2; 6; 6; 73/10; 31/5; 6; ; ; 31/5; ; 
Real Sociedad; 12; ; 11; 11; ; 11; 12; ; 10; 11; 11; 11; 12; 14; 10; 12; 43/4; 11; 11; 43/4; 31/2; 46/5; 11; ; ; 64/5; ; 
META; spain/la-liga-primera/real-madrid-v-real-sociedad; 2017-01-20 16:22:13 GMT+2; 2017-01-29 19:45; e70300-dr003
