META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-14 00:18:50 GMT+2; 2017-04-05 11:00; e70300-dr003
Osasuna; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; 13/2; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-19 04:19:46 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; ; 27/50; ; ; ; ; ; ; ; 
Draw; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; 33/10; ; ; ; ; ; ; ; 
Osasuna; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; 13/2; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-19 08:19:27 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; ; 27/50; ; ; ; ; ; ; ; 
Draw; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; 33/10; ; ; ; ; ; ; ; 
Osasuna; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; 13/2; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-19 12:20:55 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; ; 27/50; ; ; ; ; ; ; ; 
Draw; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; 33/10; ; ; ; ; ; ; ; 
Osasuna; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; 13/2; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-19 16:21:03 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; ; 27/50; ; ; ; ; ; ; ; 
Draw; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; 33/10; ; ; ; ; ; ; ; 
Osasuna; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; 13/2; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-19 20:20:31 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; ; 27/50; ; ; ; ; ; ; ; 
Draw; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; 33/10; ; ; ; ; ; ; ; 
Osasuna; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; 13/2; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-20 00:18:16 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; ; ; 4/9; ; ; ; ; ; ; 10/21; 4/9; ; ; ; ; ; ; 8/15; ; ; 27/50; ; ; ; ; ; ; ; 
Draw; ; ; 10/3; ; ; ; ; ; ; 10/3; 16/5; ; ; ; ; ; ; 3; ; ; 33/10; ; ; ; ; ; ; ; 
Osasuna; ; ; 6; ; ; ; ; ; ; 6; 11/2; ; ; ; ; ; ; 5; ; ; 13/2; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-20 04:17:59 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 2/5; ; 4/9; ; ; ; 4/9; ; ; 4/9; 4/9; ; ; ; ; 4/9; 3/7; 8/15; ; 3/7; 13/25; ; ; ; ; ; ; ; 
Draw; 15/4; ; 10/3; ; ; ; 18/5; ; ; 10/3; 16/5; ; ; ; ; 7/2; 7/2; 31/10; ; 7/2; 7/2; ; ; ; ; ; ; ; 
Osasuna; 6; ; 6; ; ; ; 6; ; ; 6; 6; ; ; ; ; 13/2; 60/11; 19/4; ; 60/11; 13/2; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-20 08:18:24 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 2/5; ; 4/9; ; ; ; 4/9; ; ; 4/9; 4/9; 4/9; ; ; ; 1/2; 10/21; 8/15; ; 10/21; 13/25; ; ; ; ; ; ; ; 
Draw; 15/4; ; 10/3; ; ; ; 18/5; ; ; 10/3; 16/5; 7/2; ; ; ; 7/2; 33/10; 31/10; ; 33/10; 7/2; ; ; ; ; ; ; ; 
Osasuna; 6; ; 6; ; ; ; 6; ; ; 6; 6; 11/2; ; ; ; 6; 51/10; 19/4; ; 51/10; 13/2; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-20 12:20:16 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; ; ; ; 2/5; ; ; 2/5; 2/5; 2/5; ; ; 4/9; 2/5; 7/19; 4/9; ; 7/19; 49/100; 7/18; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; ; ; ; 15/4; ; ; 7/2; 17/5; 7/2; ; ; 7/2; 4; 62/17; 7/2; ; 62/17; 7/2; 7/2; ; ; ; ; ; ; 
Osasuna; 7; ; 7; ; ; ; 15/2; ; ; 7; 13/2; 7; ; ; 13/2; 15/2; 13/2; 11/2; ; 13/2; 36/5; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-20 16:19:29 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; ; ; ; 4/11; ; ; 2/5; 2/5; 2/5; ; ; 4/9; 2/5; 4/11; 4/9; ; 4/11; 49/100; 7/18; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; ; ; ; 15/4; ; ; 7/2; 17/5; 7/2; ; ; 7/2; 4; 18/5; 7/2; ; 18/5; 7/2; 7/2; ; ; ; ; ; ; 
Osasuna; 7; ; 7; ; ; ; 8; ; ; 7; 7; 7; ; ; 13/2; 15/2; 27/4; 11/2; ; 27/4; 36/5; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-20 20:18:37 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; ; ; 2/5; 4/11; ; 2/5; 2/5; 2/5; 2/5; ; ; 4/9; 4/11; 4/11; 4/9; ; 4/11; 49/100; 7/18; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; ; ; 7/2; 15/4; ; 7/2; 7/2; 17/5; 7/2; ; ; 7/2; 4; 18/5; 7/2; ; 18/5; 7/2; 7/2; ; ; ; ; ; ; 
Osasuna; 7; ; 7; ; ; 7; 8; ; 13/2; 7; 7; 7; ; ; 13/2; 15/2; 27/4; 11/2; ; 27/4; 36/5; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-21 00:18:21 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; ; ; 2/5; 4/11; ; 2/5; 2/5; 2/5; 2/5; ; ; 4/9; 4/11; 4/11; 4/9; ; 4/11; 49/100; 7/18; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; ; ; 7/2; 15/4; ; 7/2; 7/2; 17/5; 7/2; ; ; 7/2; 4; 18/5; 7/2; ; 18/5; 7/2; 7/2; ; ; ; ; ; ; 
Osasuna; 7; ; 7; ; ; 7; 8; ; 13/2; 7; 7; 7; ; ; 13/2; 15/2; 27/4; 11/2; ; 27/4; 36/5; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-21 04:18:17 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; ; ; 2/5; 4/11; ; 2/5; 2/5; 2/5; 2/5; ; ; 4/9; 4/11; 4/11; 4/9; ; 4/11; 49/100; 7/18; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; ; ; 7/2; 15/4; ; 7/2; 7/2; 17/5; 7/2; ; ; 7/2; 4; 18/5; 7/2; ; 18/5; 7/2; 7/2; ; ; ; ; ; ; 
Osasuna; 7; ; 7; ; ; 7; 8; ; 13/2; 7; 7; 7; ; ; 13/2; 15/2; 27/4; 11/2; ; 27/4; 36/5; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-21 08:18:19 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; ; ; 2/5; 4/11; ; 2/5; 2/5; 2/5; 2/5; ; ; 4/9; 4/11; 4/11; 4/9; ; 4/11; 49/100; 7/18; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; ; ; 7/2; 15/4; ; 7/2; 7/2; 17/5; 7/2; ; ; 7/2; 4; 18/5; 7/2; ; 18/5; 7/2; 7/2; ; ; ; ; ; ; 
Osasuna; 7; ; 7; ; ; 7; 8; ; 13/2; 7; 7; 7; ; ; 13/2; 15/2; 27/4; 11/2; ; 27/4; 36/5; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-21 12:20:27 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; 2/5; ; 2/5; 4/11; ; 2/5; 2/5; 2/5; 2/5; ; ; 4/9; 2/5; 4/11; 4/9; ; 4/11; 11/25; 7/18; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; 17/5; ; 7/2; 15/4; ; 7/2; 7/2; 17/5; 7/2; ; ; 7/2; 7/2; 18/5; 7/2; ; 18/5; 77/20; 7/2; ; ; ; ; ; ; 
Osasuna; 7; ; 7; 15/2; ; 7; 8; ; 13/2; 7; 7; 7; ; ; 13/2; 15/2; 27/4; 11/2; ; 27/4; 77/10; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-21 16:19:24 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; 2/5; ; 2/5; 2/5; ; 2/5; 2/5; 2/5; 2/5; ; ; 4/9; 2/5; 4/11; 4/9; ; 4/11; 11/25; 3/8; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; 17/5; ; 7/2; 15/4; ; 7/2; 7/2; 17/5; 7/2; ; ; 7/2; 7/2; 18/5; 7/2; ; 18/5; 77/20; 37/10; ; ; ; ; ; ; 
Osasuna; 7; ; 7; 15/2; ; 7; 15/2; ; 13/2; 7; 13/2; 7; ; ; 13/2; 7; 27/4; 11/2; ; 27/4; 77/10; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-22 00:18:29 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; 2/5; ; 2/5; 2/5; ; 2/5; 2/5; 2/5; 2/5; ; ; 4/9; 2/5; 4/11; 4/9; ; 4/11; 11/25; 3/8; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; 17/5; ; 7/2; 15/4; ; 7/2; 7/2; 17/5; 7/2; ; ; 7/2; 7/2; 62/17; 7/2; ; 62/17; 77/20; 37/10; ; ; ; ; ; ; 
Osasuna; 7; ; 7; 15/2; ; 7; 15/2; ; 13/2; 7; 13/2; 7; ; ; 13/2; 7; 27/4; 11/2; ; 27/4; 77/10; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-22 04:17:43 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; 2/5; ; 2/5; 2/5; ; 2/5; 2/5; 2/5; 2/5; ; ; 4/9; 2/5; 4/11; 4/9; ; 4/11; 11/25; 3/8; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; 17/5; ; 7/2; 15/4; ; 7/2; 7/2; 17/5; 7/2; ; ; 7/2; 7/2; 18/5; 7/2; ; 18/5; 77/20; 37/10; ; ; ; ; ; ; 
Osasuna; 7; ; 7; 15/2; ; 7; 15/2; ; 13/2; 7; 13/2; 7; ; ; 13/2; 7; 27/4; 11/2; ; 27/4; 77/10; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-22 08:18:19 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; 2/5; ; 2/5; 2/5; ; 2/5; 2/5; 2/5; 2/5; 4/11; ; 4/9; 2/5; 4/11; 4/9; ; 4/11; 11/25; 3/8; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; 17/5; ; 7/2; 15/4; ; 7/2; 7/2; 17/5; 7/2; 15/4; ; 7/2; 7/2; 18/5; 7/2; ; 18/5; 77/20; 37/10; ; ; ; ; ; ; 
Osasuna; 7; ; 7; 15/2; ; 7; 15/2; ; 13/2; 7; 13/2; 7; 15/2; ; 13/2; 7; 27/4; 11/2; ; 27/4; 77/10; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-22 12:34:16 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; 2/5; ; 2/5; 2/5; ; 2/5; 2/5; 2/5; 2/5; 4/11; ; 4/9; 2/5; 4/11; 4/9; ; 4/11; 11/25; 3/8; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; 17/5; ; 7/2; 15/4; ; 7/2; 7/2; 17/5; 7/2; 15/4; ; 7/2; 7/2; 18/5; 7/2; ; 18/5; 77/20; 37/10; ; ; ; ; ; ; 
Osasuna; 7; ; 7; 15/2; ; 7; 15/2; ; 13/2; 7; 13/2; 7; 15/2; ; 13/2; 7; 27/4; 11/2; ; 27/4; 77/10; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-23 13:23:30 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; 2/5; ; 2/5; 2/5; ; 2/5; 2/5; 2/5; 2/5; 4/11; ; 4/9; 2/5; 7/19; 4/9; ; 7/19; 11/25; 3/8; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; 17/5; ; 7/2; 15/4; ; 7/2; 7/2; 17/5; 7/2; 15/4; ; 7/2; 7/2; 18/5; 7/2; ; 18/5; 77/20; 37/10; ; ; ; ; ; ; 
Osasuna; 7; ; 7; 15/2; ; 7; 15/2; ; 13/2; 7; 13/2; 7; 15/2; ; 13/2; 7; 27/4; 11/2; ; 27/4; 77/10; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-23 16:20:09 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; 2/5; ; 2/5; 2/5; ; 2/5; 2/5; 2/5; 2/5; 4/11; ; 4/9; 2/5; 7/19; 4/9; ; 7/19; 11/25; 3/8; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; 17/5; ; 7/2; 15/4; ; 7/2; 7/2; 17/5; 7/2; 15/4; ; 7/2; 7/2; 18/5; 7/2; ; 18/5; 77/20; 37/10; ; ; ; ; ; ; 
Osasuna; 7; ; 7; 15/2; ; 7; 15/2; ; 13/2; 7; 13/2; 7; 15/2; ; 13/2; 7; 27/4; 11/2; ; 27/4; 77/10; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-23 20:19:22 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; 2/5; ; 2/5; 2/5; ; 2/5; 2/5; 2/5; 2/5; 4/11; ; 4/9; 2/5; 7/19; 4/9; ; 7/19; 11/25; 3/8; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; 17/5; ; 7/2; 15/4; ; 7/2; 7/2; 17/5; 7/2; 15/4; ; 7/2; 7/2; 18/5; 7/2; ; 18/5; 77/20; 37/10; ; ; ; ; ; ; 
Osasuna; 7; ; 7; 15/2; ; 7; 15/2; ; 13/2; 7; 13/2; 7; 15/2; ; 13/2; 7; 27/4; 11/2; ; 27/4; 77/10; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-24 00:18:46 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; 2/5; ; 2/5; 2/5; ; 2/5; 2/5; 2/5; 2/5; 4/11; ; 4/9; 2/5; 7/19; 4/9; ; 7/19; 11/25; 3/8; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; 17/5; ; 7/2; 15/4; ; 7/2; 7/2; 17/5; 7/2; 15/4; ; 7/2; 7/2; 18/5; 7/2; ; 18/5; 77/20; 37/10; ; ; ; ; ; ; 
Osasuna; 7; ; 7; 15/2; ; 7; 15/2; ; 13/2; 7; 13/2; 7; 15/2; ; 13/2; 7; 27/4; 11/2; ; 27/4; 77/10; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-24 04:18:43 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; 2/5; ; 2/5; 2/5; ; 2/5; 2/5; 2/5; 2/5; 4/11; ; 4/9; 2/5; 7/19; 4/9; ; 7/19; 11/25; 3/8; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; 17/5; ; 7/2; 15/4; ; 7/2; 7/2; 17/5; 7/2; 15/4; ; 7/2; 7/2; 18/5; 7/2; ; 18/5; 77/20; 37/10; ; ; ; ; ; ; 
Osasuna; 7; ; 7; 15/2; ; 7; 15/2; ; 13/2; 7; 13/2; 7; 15/2; ; 13/2; 7; 27/4; 11/2; ; 27/4; 77/10; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-24 08:16:42 GMT+2; 2017-04-01 15:00; e70300-dr003
Marseille; 2/5; 4/11; 4/9; 2/5; ; 4/9; 2/5; 4/11; 4/9; 2/5; 2/5; 2/5; 2/5; ; 4/9; ; 7/19; 10/29; 4/11; 7/19; 43/100; 2/5; 7/19; 2/5; 3/8; ; 2/7; ; 2/5
Draw; 10/3; 15/4; 18/5; 15/4; ; 19/5; 15/4; 10/3; 19/5; 7/2; 7/2; 15/4; 15/4; ; 15/4; ; 37/10; 4; 7/2; 37/10; 41/10; 38/11; 18/5; 7/2; 18/5; ; 14/5; ; 7/2
Dijon; 15/2; 7; 6; 13/2; ; 6; 7; 6; 6; 13/2; 11/2; 6; 6; ; 6; ; 13/2; 7; 8; 13/2; 7; 26/5; 8; 13/2; 8; ; 10/3; ; 33/5
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-24 12:18:03 GMT+2; 2017-04-05 18:30; e70300-dr003
Alaves; 4/11; ; 2/5; 2/5; ; 2/5; 2/5; ; 2/5; 2/5; 2/5; 2/5; 4/11; ; 4/9; 2/5; 7/19; 4/9; ; 7/19; 11/25; 3/8; ; ; ; ; ; ; 
Draw; 15/4; ; 7/2; 17/5; ; 19/5; 15/4; ; 7/2; 7/2; 17/5; 7/2; 15/4; ; 7/2; 7/2; 18/5; 7/2; ; 18/5; 77/20; 37/10; ; ; ; ; ; ; 
Osasuna; 7; ; 7; 15/2; ; 7; 15/2; ; 13/2; 7; 13/2; 7; 15/2; ; 13/2; 7; 27/4; 11/2; ; 27/4; 77/10; 61/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-24 16:19:11 GMT+2; 2017-04-02 11:45; e70300-dr003
Luzern; 8/13; ; ; ; ; 4/7; 8/13; ; ; ; 6/10; 8/13; 8/13; ; 8/13; ; 10/17; 1/2; 4/7; 10/17; 16/25; 7/12; 10/17; ; 5/8; ; ; ; 
Draw; 3; ; ; ; ; 14/5; 16/5; ; ; ; 3; 14/5; 3; ; 3; ; 56/19; 3; 3; 56/19; 10/3; 16/5; 3; ; 31/10; ; ; ; 
Lugano; 4; ; ; ; ; 18/5; 4; ; ; ; 19/5; 15/4; 4; ; 4; ; 75/19; 9/2; 7/2; 75/19; 22/5; 57/17; 19/5; ; 39/10; ; ; ; 
META; spain/la-liga-primera/alaves-v-osasuna; 2017-03-24 20:19:45 GMT+2; 2017-03-26 19:30; e70300-dr003
Boca Juniors 1-0; 11/2; 11/2; 11/2; 6; 5; 5; 11/2; 11/2; 11/2; 11/2; 11/2; ; 21/4; ; 11/2; 11/2; 76/13; 5; ; 76/13; ; 27/5; 51/10; 5; 51/10; ; 29/5; 6; 
Draw 1-1; 11/2; 11/2; 6; 13/2; 11/2; 5; 6; 11/2; 11/2; 11/2; 11/2; ; 11/2; ; 11/2; 11/2; 13/2; 23/4; ; 13/2; ; 28/5; 6; 11/2; 6; ; 32/5; 33/5; 
Boca Juniors 2-0; 13/2; 7; 15/2; 15/2; 7; 6; 15/2; 7; 13/2; 7; 7; ; 15/2; ; 13/2; 13/2; 7; 27/4; ; 7; ; 69/10; 7; 6; 7; ; 38/5; 38/5; 
Boca Juniors 2-1; 15/2; 15/2; 15/2; 15/2; 7; 7; 8; 15/2; 15/2; 15/2; 15/2; ; 7; ; 15/2; 7; 8; 15/2; ; 8; ; 77/10; 15/2; 13/2; 15/2; ; 7; 7; 
Draw 0-0; 8; 8; 17/2; 9; 15/2; 8; 8; 8; 8; 17/2; 8; ; 15/2; ; 8; 15/2; 29/4; 6; ; 29/4; ; 87/10; 13/2; ; 13/2; ; 41/5; 17/2; 
San Martin de San Juan 1-0; 11; 10; 11; 10; 10; 10; 21/2; 10; 10; 10; 10; ; 10; ; 10; 10; 11; 19/2; ; 11; ; 10; 21/2; 11; 21/2; ; 57/5; 58/5; 
Boca Juniors 3-0; 12; 14; 14; 14; 12; 12; 14; 14; 12; 12; 14; ; 14; ; 11; 12; 53/4; 13; ; 53/4; ; 13; 12; 12; 12; ; 54/5; 13; 
Boca Juniors 3-1; 14; 14; 14; 14; 14; 12; 14; 14; 14; 14; 14; ; 12; ; 12; 14; 59/4; 14; ; 59/4; ; 15; 14; 12; 14; ; 16; 33/2; 
San Martin de San Juan 2-1; 16; 14; 14; 14; 14; 14; 15; 14; 14; 12; 14; ; 12; ; 12; 14; 59/4; 14; ; 59/4; ; 14; 14; 14; 14; ; 73/5; 16; 
Draw 2-2; 16; 14; 15; 16; 14; 12; 17; 14; 16; 14; 16; ; 14; ; 12; 14; 71/4; 16; ; 71/4; ; 17; 17; 15; 17; ; 78/5; 17; 
San Martin de San Juan 2-0; 25; 22; 22; 22; 22; 20; 25; 20; 22; 22; 22; ; 22; ; 20; 20; 23; 22; ; 23; ; 24; 21; 25; 21; ; 25; 29; 
Boca Juniors 3-2; 28; 25; 25; 28; 25; 25; 30; 25; 33; 28; 28; ; 25; ; 22; 25; 29; 28; ; 29; ; 33; 28; 25; 28; ; 33; 34; 
Boca Juniors 4-1; 33; 28; 30; 33; 28; 25; 33; 35; 33; 28; 33; ; 33; ; 22; 28; 121/4; 30; ; 121/4; ; 37; 28; 28; 28; ; ; ; 
Boca Juniors 4-0; 28; 28; 30; 28; 28; 25; 33; 35; 33; 28; 33; ; 40; ; 22; 28; 111/4; 28; ; 111/4; ; 34; 25; 28; 25; ; ; ; 
San Martin de San Juan 3-1; 40; 40; 40; 40; 40; 40; 40; 40; 40; 40; 40; ; 45; ; 40; 33; 155/4; 40; ; 155/4; ; 48; 40; 40; 40; ; 47; 65; 
Any Other Score; ; ; 28; ; ; ; ; ; 50; ; ; ; ; ; ; ; ; 25; ; ; ; 29; ; 40; ; ; ; ; 
San Martin de San Juan 3-2; 40; 40; 45; 50; 40; 40; 45; 60; 50; 40; 45; ; 55; ; 40; 40; 179/4; 66; ; 179/4; ; 50; 50; 40; 50; ; 56; 69; 
San Martin de San Juan 3-0; 50; 66; 60; 66; 66; 50; 70; 66; 80; 50; 66; ; 66; ; 66; 50; 53; 66; ; 53; ; 70; 55; 66; 55; ; 33/5; ; 
Boca Juniors 4-2; 50; 66; 55; 66; 50; 50; 66; 80; 80; 50; 60; ; 70; ; 50; 50; 53; 66; ; 53; ; 80; 60; 50; 60; ; ; ; 
Draw 3-3; 50; 66; 66; 66; 66; 50; 75; 90; 100; 66; 66; ; 90; ; 50; 50; 251/4; 100; ; 251/4; ; 90; 80; 50; 80; ; 94; 96; 
Boca Juniors 5-0; 50; 80; ; 100; 80; 66; 80; 125; 100; 75; 80; ; 125; ; 66; 66; 58; ; ; 58; ; ; 60; 50; 60; ; ; ; 
Boca Juniors 5-1; 66; 80; ; 100; 80; 66; 80; 125; 100; 80; 80; ; 125; ; 66; 66; 123/2; ; ; 123/2; ; ; 66; 66; 66; ; ; ; 
San Martin de San Juan 4-1; 125; 100; 120; 100; 100; 100; 150; 150; 100; 125; 100; ; 125; ; 100; 100; 82; 200; ; 82; ; 180; 130; 100; 130; ; ; ; 
Boca Juniors 4-3; 125; 125; 125; 125; 125; 100; 150; 250; ; 125; 125; ; 150; ; 100; 100; 347/4; 250; ; 347/4; ; 200; 160; ; 160; ; ; ; 
San Martin de San Juan 4-0; 150; 150; 175; 125; 125; 200; 150; 250; 100; 175; 125; ; 150; ; 200; 100; 94; 250; ; 94; ; 200; 180; 100; 180; ; ; ; 
