Draw; 12/5; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; ; 21/10; ; 47/20; ; 12/5; 12/5; 9/4; 11/5; 23/10; 11/5; 9/4; 49/20; 23/10; 11/5; ; ; ; ; 
Villarreal; 3; ; 10/3; 10/3; ; 16/5; 10/3; ; 3; ; 3; ; 16/5; ; 10/3; 3; 41/13; 3; 29/10; 3; 41/13; 13/4; 3; 3; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-11-30 12:23:27 GMT+2; 2016-12-12 19:45; e70300-dr003
Atletico Madrid; 10/11; ; 19/20; 20/21; ; 19/20; 9/10; ; 10/11; 10/11; 10/11; ; 9/10; ; 19/20; 10/11; 10/11; 1; 19/20; 1; 10/11; 103/100; 8/9; 1; ; ; ; ; 
Draw; 12/5; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 23/10; 21/10; ; 47/20; ; 5/2; 12/5; 9/4; 11/5; 23/10; 11/5; 9/4; 49/20; 23/10; 11/5; ; ; ; ; 
Villarreal; 3; ; 10/3; 10/3; ; 16/5; 10/3; ; 3; 10/3; 3; ; 16/5; ; 3; 10/3; 41/13; 3; 29/10; 3; 41/13; 13/4; 3; 3; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-11-30 16:21:36 GMT+2; 2016-12-12 19:45; e70300-dr003
Atletico Madrid; 10/11; ; 19/20; 20/21; ; 19/20; 9/10; ; 10/11; 10/11; 10/11; ; 9/10; ; 19/20; 10/11; 10/11; 1; 19/20; 1; 10/11; 103/100; 8/9; 1; ; ; ; ; 
Draw; 12/5; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 23/10; 21/10; ; 47/20; ; 5/2; 12/5; 9/4; 11/5; 23/10; 11/5; 9/4; 49/20; 23/10; 11/5; ; ; ; ; 
Villarreal; 3; ; 10/3; 10/3; ; 16/5; 10/3; ; 3; 10/3; 3; ; 16/5; ; 3; 10/3; 41/13; 3; 29/10; 3; 41/13; 13/4; 3; 3; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-11-30 20:21:13 GMT+2; 2016-12-12 19:45; e70300-dr003
Atletico Madrid; 10/11; ; 19/20; 20/21; ; 19/20; 9/10; ; 10/11; 10/11; 10/11; ; 9/10; ; 19/20; 10/11; 10/11; 1; 19/20; 1; 10/11; 103/100; ; 1; ; ; ; ; 
Draw; 12/5; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 23/10; 21/10; ; 47/20; ; 5/2; 12/5; 9/4; 11/5; 23/10; 11/5; 9/4; 49/20; ; 11/5; ; ; ; ; 
Villarreal; 3; ; 10/3; 10/3; ; 16/5; 10/3; ; 3; 10/3; 3; ; 16/5; ; 3; 10/3; 41/13; 3; 29/10; 3; 41/13; 13/4; ; 3; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-12-01 00:19:59 GMT+2; 2016-12-12 19:45; e70300-dr003
Atletico Madrid; 10/11; ; 19/20; 20/21; ; 19/20; 9/10; ; 10/11; 10/11; 10/11; ; 9/10; ; 19/20; 10/11; 10/11; 1; 19/20; 1; 10/11; 103/100; ; 1; ; ; ; ; 
Draw; 12/5; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 23/10; 21/10; ; 47/20; ; 5/2; 12/5; 9/4; 11/5; 23/10; 11/5; 9/4; 49/20; ; 11/5; ; ; ; ; 
Villarreal; 3; ; 10/3; 10/3; ; 16/5; 10/3; ; 3; 10/3; 3; ; 16/5; ; 3; 10/3; 41/13; 3; 29/10; 3; 41/13; 13/4; ; 3; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-12-01 04:20:14 GMT+2; 2016-12-12 19:45; e70300-dr003
Atletico Madrid; 10/11; ; 19/20; 20/21; ; 19/20; 9/10; ; 10/11; 10/11; 10/11; ; 9/10; ; 19/20; 19/20; 10/11; 1; 19/20; 1; 10/11; 103/100; 9/10; 1; ; ; ; ; 
Draw; 12/5; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 23/10; 21/10; ; 47/20; ; 5/2; 12/5; 9/4; 11/5; 23/10; 11/5; 9/4; 49/20; 23/10; 11/5; ; ; ; ; 
Villarreal; 3; ; 10/3; 10/3; ; 16/5; 10/3; ; 3; 10/3; 3; ; 16/5; ; 3; 3; 41/13; 3; 29/10; 3; 41/13; 13/4; 3; 3; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-12-01 08:20:02 GMT+2; 2016-12-12 19:45; e70300-dr003
Atletico Madrid; 10/11; ; 19/20; 20/21; ; 19/20; 10/11; ; 10/11; 10/11; 10/11; ; 9/10; ; 19/20; 10/11; 10/11; 1; 19/20; 1; 10/11; 103/100; 9/10; 1; ; ; ; ; 
Draw; 12/5; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 23/10; 21/10; ; 47/20; ; 5/2; 12/5; 9/4; 11/5; 23/10; 11/5; 9/4; 49/20; 23/10; 11/5; ; ; ; ; 
Villarreal; 3; ; 10/3; 10/3; ; 16/5; 33/10; ; 3; 16/5; 3; ; 16/5; ; 3; 10/3; 41/13; 3; 29/10; 3; 41/13; 13/4; 3; 3; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-12-01 12:20:35 GMT+2; 2016-12-12 19:45; e70300-dr003
Atletico Madrid; 10/11; ; 19/20; 20/21; ; 19/20; 10/11; ; 10/11; 10/11; 10/11; ; 9/10; ; 19/20; 10/11; 10/11; 1; 19/20; 1; 10/11; 103/100; 9/10; 1; ; ; ; ; 
Draw; 12/5; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 23/10; 21/10; ; 47/20; ; 5/2; 12/5; 9/4; 11/5; 23/10; 11/5; 9/4; 49/20; 23/10; 11/5; ; ; ; ; 
Villarreal; 3; ; 10/3; 10/3; ; 16/5; 33/10; ; 3; 16/5; 3; ; 16/5; ; 3; 10/3; 41/13; 3; 29/10; 3; 41/13; 13/4; 3; 3; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-12-01 16:20:57 GMT+2; 2016-12-12 19:45; e70300-dr003
Atletico Madrid; 10/11; ; 19/20; 20/21; ; 19/20; 10/11; ; 10/11; 10/11; 10/11; ; 9/10; ; 19/20; 10/11; 10/11; 1; 19/20; 1; 10/11; 103/100; 10/11; 1; ; ; ; ; 
Draw; 12/5; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 23/10; 21/10; ; 47/20; ; 5/2; 12/5; 9/4; 11/5; 23/10; 11/5; 9/4; 49/20; 23/10; 11/5; ; ; ; ; 
Villarreal; 3; ; 10/3; 10/3; ; 16/5; 33/10; ; 3; 10/3; 3; ; 16/5; ; 3; 10/3; 41/13; 3; 29/10; 3; 41/13; 13/4; 56/19; 3; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-12-01 20:21:40 GMT+2; 2016-12-12 19:45; e70300-dr003
Atletico Madrid; 10/11; ; 19/20; 20/21; ; 19/20; 10/11; ; 10/11; 10/11; 10/11; ; 9/10; ; 19/20; 19/20; 10/11; 1; 19/20; 1; 10/11; 103/100; 10/11; 1; ; ; ; ; 
Draw; 12/5; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 23/10; 21/10; ; 47/20; ; 5/2; 12/5; 9/4; 11/5; 23/10; 11/5; 9/4; 49/20; 23/10; 11/5; ; ; ; ; 
Villarreal; 3; ; 10/3; 10/3; ; 16/5; 33/10; ; 3; 10/3; 3; ; 16/5; ; 3; 3; 31/10; 3; 29/10; 3; 31/10; 13/4; 56/19; 3; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-12-02 00:20:09 GMT+2; 2016-12-12 19:45; e70300-dr003
Atletico Madrid; 10/11; ; 19/20; 20/21; ; 19/20; 10/11; ; 10/11; 10/11; 10/11; ; 9/10; ; 19/20; 19/20; 10/11; 1; 19/20; 1; 10/11; 103/100; 10/11; 1; ; ; ; ; 
Draw; 12/5; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 23/10; 21/10; ; 47/20; ; 5/2; 12/5; 9/4; 11/5; 23/10; 11/5; 9/4; 49/20; 23/10; 11/5; ; ; ; ; 
Villarreal; 3; ; 10/3; 10/3; ; 16/5; 33/10; ; 3; 10/3; 3; ; 16/5; ; 3; 3; 31/10; 3; 29/10; 3; 31/10; 13/4; 56/19; 3; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-12-02 04:20:27 GMT+2; 2016-12-12 19:45; e70300-dr003
Atletico Madrid; 10/11; ; 19/20; 20/21; ; 19/20; 9/10; ; 10/11; 10/11; 10/11; ; 9/10; ; 19/20; 10/11; 10/11; 1; 19/20; 1; 10/11; 51/50; 9/10; 1; ; ; ; ; 
Draw; 12/5; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 23/10; 21/10; ; 47/20; ; 5/2; 12/5; 9/4; 11/5; 23/10; 11/5; 9/4; 5/2; 23/10; 11/5; ; ; ; ; 
Villarreal; 3; ; 10/3; 10/3; ; 33/10; 17/5; ; 3; 10/3; 3; ; 16/5; ; 3; 10/3; 31/10; 3; 29/10; 3; 31/10; 13/4; 86/29; 3; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-12-02 08:20:09 GMT+2; 2016-12-12 19:45; e70300-dr003
Atletico Madrid; 10/11; ; 19/20; 20/21; ; 19/20; 9/10; ; 10/11; 10/11; 10/11; ; 9/10; ; 19/20; 10/11; 10/11; 1; 19/20; 1; 10/11; 51/50; 9/10; 1; ; ; ; ; 
Draw; 12/5; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 23/10; 21/10; ; 47/20; ; 5/2; 12/5; 9/4; 11/5; 23/10; 11/5; 9/4; 5/2; 23/10; 11/5; ; ; ; ; 
Villarreal; 3; ; 10/3; 10/3; ; 33/10; 17/5; ; 3; 10/3; 3; ; 16/5; ; 3; 10/3; 31/10; 3; 29/10; 3; 31/10; 13/4; 86/29; 3; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-12-02 13:09:28 GMT+2; 2016-12-12 19:45; e70300-dr003
Atletico Madrid; 10/11; ; 19/20; 20/21; ; 19/20; 9/10; ; 10/11; 10/11; 10/11; ; 9/10; ; 19/20; 10/11; 10/11; 1; 19/20; 1; 10/11; 51/50; 9/10; 1; ; ; ; ; 
Draw; 12/5; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 23/10; 21/10; ; 47/20; ; 5/2; 12/5; 9/4; 11/5; 23/10; 11/5; 9/4; 5/2; 23/10; 11/5; ; ; ; ; 
Villarreal; 3; ; 10/3; 10/3; ; 33/10; 17/5; ; 3; 10/3; 3; ; 16/5; ; 3; 10/3; 58/19; 3; 29/10; 3; 58/19; 13/4; 86/29; 3; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-12-02 16:21:00 GMT+2; 2016-12-12 19:45; e70300-dr003
Atletico Madrid; 10/11; ; 19/20; 20/21; ; 19/20; 9/10; ; 10/11; 10/11; 10/11; 19/20; 9/10; ; 19/20; 19/20; 10/11; 1; 19/20; 1; 10/11; 51/50; 9/10; 1; ; ; ; ; 
Draw; 12/5; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 23/10; 21/10; 9/4; 47/20; ; 5/2; 12/5; 9/4; 11/5; 23/10; 11/5; 9/4; 5/2; 23/10; 11/5; ; ; ; ; 
Villarreal; 3; ; 10/3; 10/3; ; 33/10; 17/5; ; 3; 10/3; 3; 16/5; 16/5; ; 3; 3; 58/19; 3; 29/10; 3; 58/19; 13/4; 86/29; 3; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-atletico-madrid; 2016-12-02 20:21:37 GMT+2; 2016-12-12 19:45; e70300-dr003
Atletico Madrid; 10/11; ; 19/20; 20/21; ; 19/20; 9/10; ; 10/11; 10/11; 10/11; 19/20; 9/10; ; 19/20; 19/20; 10/11; 1; 19/20; 1; 10/11; 51/50; 9/10; 1; 19/20; ; ; ; 
