Real Madrid; 2/9; ; 2/7; 2/7; ; 3/10; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; 1/4; 1/3; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; 9/2; 9/2; ; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 47/10; 9/2; 17/4; 9/2; 47/10; 49/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; 10; 9; ; 9; 19/2; ; ; 9; 9; ; 11; ; 9; 10; 35/4; 9; 31/4; 9; 35/4; 19/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-20 04:19:04 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; 2/7; 2/7; ; 3/10; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; 1/4; 1/3; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; 9/2; 9/2; ; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 47/10; 9/2; 17/4; 9/2; 47/10; 49/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; 10; 9; ; 9; 19/2; ; ; 9; 9; ; 10; ; 9; 10; 35/4; 9; 31/4; 9; 35/4; 19/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-20 08:19:09 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; 2/7; 2/7; ; 3/10; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; 1/4; 1/3; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; 9/2; 9/2; ; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 47/10; 9/2; 17/4; 9/2; 47/10; 49/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; 10; 9; ; 9; 19/2; ; ; 9; 9; ; 10; ; 9; 10; 35/4; 9; 31/4; 9; 35/4; 19/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-20 12:19:22 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; 2/7; 2/7; ; 3/10; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; 1/4; 1/3; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; 9/2; 9/2; ; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 79/17; 9/2; 17/4; 9/2; 79/17; 49/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; 10; 9; ; 9; 19/2; ; ; 9; 9; ; 11; ; 9; 11; 9; 9; 31/4; 9; 9; 19/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-20 16:19:21 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; 2/7; 2/7; ; 3/10; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; 1/4; 1/3; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; 9/2; 9/2; ; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 79/17; 9/2; 17/4; 9/2; 79/17; 49/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; 10; 9; ; 9; 19/2; ; ; 9; 9; ; 11; ; 9; 11; 9; 9; 31/4; 9; 9; 19/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-20 20:19:59 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; 2/7; 2/7; ; 3/10; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; 1/4; 1/3; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; 9/2; 9/2; ; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 79/17; 9/2; 17/4; 9/2; 79/17; 49/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; 10; 9; ; 19/2; 21/2; ; ; 9; 9; ; 11; ; 9; 11; 9; 9; 31/4; 9; 9; 19/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-21 00:19:42 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; 2/7; 2/7; ; 3/10; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; 1/4; 1/3; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; 9/2; 9/2; ; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 79/17; 9/2; 17/4; 9/2; 79/17; 49/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; 10; 9; ; 19/2; 21/2; ; ; 9; 9; ; 11; ; 9; 11; 9; 9; 31/4; 9; 9; 19/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-21 04:18:57 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; 2/7; 2/7; ; 3/10; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; 1/4; 1/3; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; 9/2; 9/2; ; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 79/17; 9/2; 17/4; 9/2; 79/17; 49/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; 10; 9; ; 19/2; 21/2; ; ; 9; 9; ; 11; ; 9; 11; 9; 9; 31/4; 9; 9; 19/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-21 08:18:45 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; 2/7; 2/7; ; 3/10; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; 1/4; 1/3; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; 9/2; 9/2; ; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 79/17; 9/2; 17/4; 9/2; 79/17; 49/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; 10; 9; ; 19/2; 21/2; ; ; 9; 9; ; 11; ; 9; 11; 9; 9; 31/4; 9; 9; 19/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-21 12:19:37 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; 2/7; 2/7; ; 2/7; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; 1/4; 4/13; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; 9/2; 9/2; ; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 47/10; 9/2; 17/4; 9/2; 47/10; 51/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; 10; 9; ; 19/2; 21/2; ; ; 9; 9; ; 11; ; 9; 11; 9; 9; 31/4; 9; 9; 21/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-21 16:21:17 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; 2/7; 2/7; ; 2/7; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; ; 4/13; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; 9/2; 9/2; ; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 47/10; 9/2; 17/4; 9/2; ; 51/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; 10; 9; ; 19/2; 21/2; ; ; 9; 9; ; 11; ; 9; 11; 9; 9; 31/4; 9; ; 21/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-21 20:21:10 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; 2/7; 2/7; 2/7; 2/7; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; ; 4/13; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; 9/2; 9/2; 9/2; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 47/10; 9/2; 17/4; 9/2; ; 51/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; 10; 9; 10; 19/2; 21/2; ; ; 9; 9; ; 11; ; 9; 11; 9; 9; 31/4; 9; ; 21/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-22 00:20:26 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; 2/7; 2/7; 2/7; 2/7; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; ; 4/13; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; 9/2; 9/2; 9/2; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 47/10; 9/2; 17/4; 9/2; ; 51/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; 10; 9; 10; 19/2; 21/2; ; ; 9; 9; ; 11; ; 9; 11; 9; 9; 31/4; 9; ; 21/2; 71/10; 9; ; ; ; ; 
