META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-20 20:20:39 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/20; ; ; 28/29; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 27/11; ; ; ; ; ; ; 
Osasuna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 29/10; ; ; 7/2; ; ; ; ; ; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-21 00:19:55 GMT+2; 2016-12-04 17:30; e70300-dr003
Osasuna; 14/5; ; 27/10; 14/5; ; 11/4; 14/5; ; 14/5; 11/4; ; ; 11/4; ; 14/5; 14/5; 45/17; 11/4; 29/10; 11/4; 45/17; 13/4; 5/2; 11/4; ; ; 12/5; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-24 08:19:06 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 11/10; 21/20; ; 11/10; 21/20; ; 21/20; 21/20; ; ; 1; ; 21/20; 21/20; 1; 21/20; 19/20; 21/20; 1; 26/25; 30/29; 21/20; ; ; 4/6; ; 
Draw; 23/10; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 9/4; ; ; 47/20; ; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 49/20; 40/17; 23/10; ; ; 9/5; ; 
Osasuna; 14/5; ; 27/10; 14/5; ; 11/4; 11/4; ; 14/5; 11/4; ; ; 11/4; ; 14/5; 14/5; 45/17; 11/4; 29/10; 11/4; 45/17; 13/4; 5/2; 11/4; ; ; 12/5; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-24 12:19:27 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 11/10; 21/20; ; 11/10; 21/20; ; 21/20; 21/20; ; ; 1; ; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 1; 26/25; 30/29; 21/20; ; ; 21/20; ; 
Draw; 23/10; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 9/4; ; ; 47/20; ; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 49/20; 40/17; 23/10; ; ; 23/10; ; 
Osasuna; 14/5; ; 27/10; 14/5; ; 11/4; 11/4; ; 14/5; 11/4; ; ; 11/4; ; 14/5; 14/5; 45/17; 11/4; 13/5; 11/4; 45/17; 13/4; 5/2; 11/4; ; ; 5/2; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-24 16:19:39 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 11/10; 21/20; ; 11/10; 21/20; ; 21/20; 21/20; ; ; 1; ; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 1; 26/25; 30/29; 21/20; ; ; 1; ; 
Draw; 23/10; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 9/4; ; ; 47/20; ; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 49/20; 40/17; 23/10; ; ; 9/4; ; 
Osasuna; 14/5; ; 27/10; 14/5; ; 11/4; 11/4; ; 14/5; 11/4; ; ; 11/4; ; 14/5; 14/5; 45/17; 11/4; 13/5; 11/4; 45/17; 13/4; 5/2; 11/4; ; ; 12/5; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-24 20:20:16 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 11/10; 21/20; ; 11/10; 21/20; ; 21/20; 21/20; ; ; ; ; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 1; 26/25; 30/29; 21/20; ; ; 21/20; ; 
Draw; 23/10; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 9/4; ; ; ; ; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 49/20; 40/17; 23/10; ; ; 23/10; ; 
Osasuna; 14/5; ; 27/10; 14/5; ; 11/4; 11/4; ; 14/5; 11/4; ; ; ; ; 14/5; 14/5; 45/17; 11/4; 13/5; 11/4; 45/17; 13/4; 5/2; 11/4; ; ; 5/2; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-25 00:19:20 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 11/10; 21/20; ; 11/10; 21/20; ; 21/20; 21/20; ; ; 1; ; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 1; 26/25; 30/29; 21/20; ; ; 1; ; 
Draw; 23/10; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 9/4; ; ; 47/20; ; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 49/20; 40/17; 23/10; ; ; 9/4; ; 
Osasuna; 14/5; ; 27/10; 14/5; ; 11/4; 11/4; ; 14/5; 11/4; ; ; 11/4; ; 14/5; 14/5; 45/17; 11/4; 13/5; 11/4; 45/17; 13/4; 5/2; 11/4; ; ; 5/2; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-25 04:19:01 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 11/10; 21/20; ; 11/10; 21/20; ; 21/20; 21/20; ; ; 1; ; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 1; 26/25; 30/29; 21/20; ; ; 1; ; 
Draw; 23/10; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 9/4; ; ; 47/20; ; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 49/20; 40/17; 23/10; ; ; 9/4; ; 
Osasuna; 14/5; ; 27/10; 14/5; ; 11/4; 11/4; ; 14/5; 11/4; ; ; 11/4; ; 14/5; 14/5; 45/17; 11/4; 13/5; 11/4; 45/17; 13/4; 5/2; 11/4; ; ; 12/5; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-25 08:19:01 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 11/10; 21/20; ; 11/10; 21/20; ; 21/20; 21/20; ; ; 1; ; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 1; 26/25; 30/29; 21/20; ; ; 1; ; 
Draw; 23/10; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 9/4; ; ; 47/20; ; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 49/20; 40/17; 23/10; ; ; 9/4; ; 
Osasuna; 14/5; ; 27/10; 14/5; ; 11/4; 11/4; ; 14/5; 11/4; ; ; 11/4; ; 14/5; 14/5; 45/17; 11/4; 13/5; 11/4; 45/17; 13/4; 5/2; 11/4; ; ; 12/5; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-25 12:19:52 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 11/10; 21/20; ; 11/10; 21/20; ; 21/20; 21/20; ; ; 1; ; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 1; 26/25; 30/29; 21/20; ; ; 21/20; ; 
Draw; 23/10; ; 9/4; 11/5; ; 5/2; 12/5; ; 12/5; 9/4; ; ; 47/20; ; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 49/20; 40/17; 23/10; ; ; 23/10; ; 
Osasuna; 14/5; ; 27/10; 14/5; ; 11/4; 11/4; ; 14/5; 11/4; ; ; 11/4; ; 14/5; 14/5; 45/17; 11/4; 13/5; 11/4; 45/17; 13/4; 5/2; 11/4; ; ; 5/2; ; 
META; spain/la-liga-primera/gijon-v-osasuna; 2016-11-25 16:21:09 GMT+2; 2016-12-04 17:30; e70300-dr003
Gijon; 1; ; 11/10; 21/20; ; 11/10; 21/20; ; 21/20; 21/20; ; ; 1; ; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 1; 26/25; 30/29; 21/20; 21/20; ; 1; ; 
