META; spain/la-liga-primera/betis-v-leganes; 2016-12-11 00:18:34 GMT+2; 2017-01-08 15:15; e70300-dr003
Draw; 12/5; ; ; 23/10; ; ; 5/2; ; 12/5; ; ; ; ; ; 5/2; 5/2; 40/17; ; 23/10; ; 40/17; 68/25; 9/4; ; ; ; ; ; 
Leganes; 5/2; ; ; 11/4; ; ; 11/4; ; 14/5; ; ; ; ; ; 13/5; 13/5; 5/2; ; 31/10; ; 5/2; 33/10; 13/5; ; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-12 16:19:23 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 21/20; ; ; 21/20; ; ; 1; ; 1; ; 1; ; ; ; 21/20; 21/20; 21/20; ; 10/11; ; 21/20; 20/21; 1; ; ; ; ; ; 
Draw; 12/5; ; ; 23/10; ; ; 5/2; ; 12/5; ; 21/10; ; ; ; 5/2; 12/5; 40/17; ; 23/10; ; 40/17; 67/25; 9/4; ; ; ; ; ; 
Leganes; 5/2; ; ; 11/4; ; ; 14/5; ; 14/5; ; 14/5; ; ; ; 13/5; 11/4; 5/2; ; 31/10; ; 5/2; 33/10; 13/5; ; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-12 20:19:33 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 21/20; ; ; 20/21; ; ; 20/21; ; 1; ; 1; ; ; ; 21/20; 1; 19/20; ; 10/11; ; 19/20; 20/21; 1; ; ; ; ; ; 
Draw; 12/5; ; ; 11/5; ; ; 23/10; ; 12/5; ; 21/10; ; ; ; 5/2; 12/5; 9/4; ; 23/10; ; 9/4; 67/25; 9/4; ; ; ; ; ; 
Leganes; 5/2; ; ; 16/5; ; ; 16/5; ; 14/5; ; 14/5; ; ; ; 13/5; 3; 56/19; ; 31/10; ; 56/19; 33/10; 13/5; ; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-13 00:18:59 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 21/20; ; ; 20/21; ; ; 20/21; ; 1; ; 1; ; ; ; 21/20; 1; 19/20; 19/20; 10/11; 20/21; 19/20; 20/21; 1; 19/20; ; ; ; ; 
Draw; 12/5; ; ; 11/5; ; ; 23/10; ; 12/5; ; 21/10; ; ; ; 5/2; 12/5; 11/5; 23/10; 23/10; 23/10; 11/5; 67/25; 9/4; 23/10; ; ; ; ; 
Leganes; 5/2; ; ; 16/5; ; ; 16/5; ; 14/5; ; 14/5; ; ; ; 13/5; 3; 56/19; 16/5; 31/10; 3; 56/19; 33/10; 13/5; 16/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-13 04:19:02 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 21/20; ; ; 20/21; ; ; 20/21; ; 1; ; 1; ; ; ; 21/20; 21/20; 19/20; 19/20; 10/11; 20/21; 19/20; 20/21; 1; 19/20; ; ; ; ; 
Draw; 12/5; ; ; 11/5; ; ; 23/10; ; 12/5; ; 21/10; ; ; ; 5/2; 12/5; 11/5; 23/10; 23/10; 23/10; 11/5; 67/25; 9/4; 23/10; ; ; ; ; 
Leganes; 5/2; ; ; 16/5; ; ; 16/5; ; 14/5; ; 14/5; ; ; ; 13/5; 14/5; 56/19; 16/5; 31/10; 3; 56/19; 33/10; 13/5; 16/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-13 08:19:10 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 21/20; ; ; 20/21; ; ; 20/21; ; 1; ; 1; ; ; ; 21/20; 1; 19/20; 19/20; 10/11; 20/21; 19/20; 20/21; 1; 19/20; ; ; ; ; 
Draw; 12/5; ; ; 11/5; ; ; 23/10; ; 12/5; ; 21/10; ; ; ; 5/2; 12/5; 11/5; 23/10; 23/10; 23/10; 11/5; 67/25; 9/4; 23/10; ; ; ; ; 
Leganes; 5/2; ; ; 16/5; ; ; 16/5; ; 14/5; ; 14/5; ; ; ; 13/5; 3; 56/19; 16/5; 31/10; 3; 56/19; 33/10; 13/5; 16/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-13 12:19:12 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 21/20; ; ; 20/21; ; ; 20/21; ; 1; ; 1; ; ; ; 21/20; 1; 19/20; 19/20; 10/11; 20/21; 19/20; 20/21; 1; 19/20; ; ; ; ; 
Draw; 12/5; ; ; 23/10; ; ; 23/10; ; 12/5; ; 21/10; ; ; ; 5/2; 12/5; 11/5; 23/10; 23/10; 23/10; 11/5; 67/25; 9/4; 23/10; ; ; ; ; 
Leganes; 5/2; ; ; 3; ; ; 16/5; ; 14/5; ; 14/5; ; ; ; 13/5; 3; 3; 16/5; 31/10; 3; 3; 33/10; 13/5; 16/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-13 16:20:00 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 21/20; ; ; 11/10; ; ; 11/10; ; 11/10; ; 23/20; ; ; ; 21/20; 15/13; 21/20; 19/20; 10/11; 20/21; 21/20; 20/21; 21/20; 19/20; ; ; ; ; 
Draw; 12/5; ; ; 21/10; ; ; 9/4; ; 23/10; ; 2; ; ; ; 5/2; 9/4; 11/5; 23/10; 23/10; 23/10; 11/5; 67/25; 9/4; 23/10; ; ; ; ; 
Leganes; 5/2; ; ; 11/4; ; ; 27/10; ; 13/5; ; 5/2; ; ; ; 13/5; 11/4; 45/17; 16/5; 31/10; 3; 45/17; 33/10; 5/2; 16/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-13 20:20:11 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 11/10; ; ; 11/10; ; ; 11/10; ; 11/10; ; 23/20; ; ; ; 21/20; 15/13; 21/20; 11/10; 10/11; 11/10; 21/20; 57/50; 21/20; 11/10; ; ; ; ; 
Draw; 12/5; ; ; 21/10; ; ; 9/4; ; 23/10; ; 2; ; ; ; 5/2; 9/4; 11/5; 21/10; 23/10; 21/10; 11/5; 119/50; 9/4; 21/10; ; ; ; ; 
Leganes; 12/5; ; ; 11/4; ; ; 27/10; ; 13/5; ; 5/2; ; ; ; 13/5; 11/4; 13/5; 14/5; 31/10; 14/5; 13/5; 74/25; 5/2; 14/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-14 00:19:03 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 11/10; ; ; 11/10; ; ; 11/10; ; 11/10; ; 23/20; ; ; ; 21/20; 15/13; 21/20; 11/10; 10/11; 11/10; 21/20; 57/50; 21/20; 11/10; ; ; ; ; 
Draw; 12/5; ; ; 21/10; ; ; 9/4; ; 23/10; ; 2; ; ; ; 5/2; 9/4; 28/13; 21/10; 23/10; 21/10; 28/13; 119/50; 9/4; 21/10; ; ; ; ; 
Leganes; 12/5; ; ; 11/4; ; ; 27/10; ; 13/5; ; 5/2; ; ; ; 13/5; 11/4; 13/5; 14/5; 31/10; 14/5; 13/5; 74/25; 5/2; 14/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-14 04:19:13 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 11/10; ; ; 11/10; ; ; 11/10; ; 11/10; ; 23/20; ; ; ; 21/20; 15/13; 21/20; 11/10; 10/11; 11/10; 21/20; 57/50; 21/20; 11/10; ; ; ; ; 
Draw; 12/5; ; ; 21/10; ; ; 9/4; ; 23/10; ; 2; ; ; ; 5/2; 9/4; 28/13; 21/10; 23/10; 21/10; 28/13; 119/50; 9/4; 21/10; ; ; ; ; 
Leganes; 12/5; ; ; 11/4; ; ; 27/10; ; 13/5; ; 5/2; ; ; ; 13/5; 11/4; 13/5; 14/5; 31/10; 14/5; 13/5; 74/25; 5/2; 14/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-14 08:19:07 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 11/10; ; ; 11/10; ; ; 11/10; ; 11/10; ; 23/20; ; ; ; 21/20; 15/13; 21/20; 11/10; 10/11; 11/10; 21/20; 57/50; 21/20; 11/10; ; ; ; ; 
Draw; 12/5; ; ; 21/10; ; ; 9/4; ; 23/10; ; 2; ; ; ; 5/2; 9/4; 11/5; 21/10; 23/10; 21/10; 11/5; 119/50; 9/4; 21/10; ; ; ; ; 
Leganes; 12/5; ; ; 11/4; ; ; 27/10; ; 13/5; ; 5/2; ; ; ; 13/5; 11/4; 13/5; 14/5; 31/10; 14/5; 13/5; 74/25; 5/2; 14/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-14 12:19:52 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 11/10; ; ; 11/10; ; ; 11/10; ; 11/10; ; 23/20; ; ; ; 21/20; 15/13; 21/20; 11/10; 19/20; 11/10; 21/20; 57/50; 21/20; 11/10; ; ; ; ; 
Draw; 12/5; ; ; 21/10; ; ; 9/4; ; 23/10; ; 2; ; ; ; 5/2; 9/4; 28/13; 21/10; 9/4; 21/10; 28/13; 119/50; 9/4; 21/10; ; ; ; ; 
Leganes; 12/5; ; ; 11/4; ; ; 27/10; ; 13/5; ; 5/2; ; ; ; 13/5; 11/4; 13/5; 14/5; 3; 14/5; 13/5; 74/25; 5/2; 14/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-14 16:20:13 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 11/10; ; ; 11/10; ; ; 11/10; ; 11/10; ; 23/20; 23/20; ; ; 21/20; 15/13; 21/20; 11/10; 19/20; 11/10; 21/20; 57/50; 21/20; 11/10; ; ; ; ; 
Draw; 12/5; ; ; 21/10; ; ; 9/4; ; 23/10; ; 2; 11/5; ; ; 5/2; 9/4; 28/13; 21/10; 9/4; 21/10; 28/13; 119/50; 9/4; 21/10; ; ; ; ; 
Leganes; 12/5; ; ; 11/4; ; ; 27/10; ; 13/5; ; 5/2; 13/5; ; ; 13/5; 11/4; 13/5; 14/5; 3; 14/5; 13/5; 74/25; 5/2; 14/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-14 20:20:23 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 11/10; ; 6/5; 11/10; ; ; 11/10; ; 11/10; ; 23/20; 23/20; ; ; 21/20; 15/13; 21/20; 11/10; 19/20; 11/10; 21/20; 57/50; 21/20; 11/10; ; ; ; ; 
Draw; 12/5; ; 21/10; 21/10; ; ; 9/4; ; 23/10; ; 2; 11/5; ; ; 5/2; 9/4; 28/13; 21/10; 9/4; 21/10; 28/13; 119/50; 9/4; 21/10; ; ; ; ; 
Leganes; 12/5; ; 13/5; 11/4; ; ; 27/10; ; 13/5; ; 5/2; 13/5; ; ; 13/5; 11/4; 13/5; 14/5; 3; 14/5; 13/5; 74/25; 5/2; 14/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-15 00:19:23 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 11/10; ; 6/5; 11/10; ; ; 11/10; ; 11/10; ; 23/20; 23/20; ; ; 21/20; 15/13; 21/20; 11/10; 19/20; 11/10; 21/20; 57/50; 21/20; 11/10; ; ; ; ; 
Draw; 12/5; ; 21/10; 21/10; ; ; 9/4; ; 23/10; ; 2; 11/5; ; ; 5/2; 9/4; 28/13; 21/10; 9/4; 21/10; 28/13; 119/50; 9/4; 21/10; ; ; ; ; 
Leganes; 12/5; ; 13/5; 11/4; ; ; 27/10; ; 13/5; ; 5/2; 13/5; ; ; 13/5; 11/4; 13/5; 14/5; 3; 14/5; 13/5; 74/25; 5/2; 14/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-15 04:19:22 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 11/10; ; 6/5; 11/10; ; ; 11/10; ; 11/10; ; 23/20; 23/20; ; ; 21/20; 15/13; 21/20; 11/10; 19/20; 11/10; 21/20; 57/50; 21/20; 11/10; ; ; ; ; 
Draw; 12/5; ; 21/10; 21/10; ; ; 9/4; ; 23/10; ; 2; 11/5; ; ; 5/2; 9/4; 28/13; 21/10; 9/4; 21/10; 28/13; 119/50; 9/4; 21/10; ; ; ; ; 
Leganes; 12/5; ; 13/5; 11/4; ; ; 27/10; ; 13/5; ; 5/2; 13/5; ; ; 13/5; 11/4; 13/5; 14/5; 3; 14/5; 13/5; 74/25; 5/2; 14/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-15 08:19:27 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 11/10; ; 6/5; 11/10; ; ; 11/10; ; 11/10; ; 23/20; 23/20; ; ; 21/20; 15/13; 21/20; 11/10; 19/20; 11/10; 21/20; 57/50; 21/20; 11/10; ; ; ; ; 
Draw; 12/5; ; 21/10; 21/10; ; ; 9/4; ; 23/10; ; 2; 11/5; ; ; 5/2; 9/4; 28/13; 21/10; 9/4; 21/10; 28/13; 119/50; 9/4; 21/10; ; ; ; ; 
Leganes; 12/5; ; 13/5; 11/4; ; ; 27/10; ; 13/5; ; 5/2; 13/5; ; ; 13/5; 11/4; 13/5; 14/5; 3; 14/5; 13/5; 74/25; 5/2; 14/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-15 12:29:44 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 11/10; ; 6/5; 11/10; ; ; 11/10; ; 11/10; ; 23/20; 23/20; ; ; 21/20; 15/13; 21/20; 11/10; 19/20; 11/10; 21/20; 57/50; 21/20; 11/10; ; ; ; ; 
Draw; 12/5; ; 21/10; 21/10; ; ; 9/4; ; 23/10; ; 2; 11/5; ; ; 5/2; 9/4; 28/13; 21/10; 9/4; 21/10; 28/13; 119/50; 9/4; 21/10; ; ; ; ; 
Leganes; 12/5; ; 13/5; 11/4; ; ; 27/10; ; 13/5; ; 5/2; 13/5; ; ; 13/5; 11/4; 13/5; 14/5; 3; 14/5; 13/5; 74/25; 5/2; 14/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-15 16:19:37 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 11/10; ; 6/5; 11/10; ; 11/10; 11/10; ; 11/10; ; 23/20; 23/20; ; ; 21/20; 15/13; 21/20; 11/10; 19/20; 11/10; 21/20; 57/50; 21/20; 11/10; ; ; ; ; 
Draw; 12/5; ; 21/10; 21/10; ; 12/5; 9/4; ; 23/10; ; 2; 11/5; ; ; 5/2; 12/5; 28/13; 21/10; 9/4; 21/10; 28/13; 119/50; 9/4; 21/10; ; ; ; ; 
Leganes; 12/5; ; 13/5; 11/4; ; 12/5; 27/10; ; 13/5; ; 5/2; 13/5; ; ; 13/5; 13/5; 13/5; 14/5; 3; 14/5; 13/5; 74/25; 5/2; 14/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-15 20:19:36 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 11/10; ; 6/5; 11/10; ; 11/10; 11/10; ; 11/10; ; 23/20; 23/20; ; ; 21/20; 15/13; 21/20; 11/10; 19/20; 11/10; 21/20; 57/50; 21/20; 11/10; ; ; ; ; 
Draw; 12/5; ; 21/10; 21/10; ; 12/5; 9/4; ; 23/10; ; 2; 11/5; ; ; 5/2; 9/4; 28/13; 21/10; 9/4; 21/10; 28/13; 119/50; 9/4; 21/10; ; ; ; ; 
Leganes; 12/5; ; 13/5; 11/4; ; 12/5; 27/10; ; 13/5; ; 5/2; 13/5; ; ; 13/5; 11/4; 13/5; 14/5; 3; 14/5; 13/5; 74/25; 5/2; 14/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-16 00:19:20 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 11/10; ; 6/5; 11/10; ; 11/10; 11/10; ; 11/10; ; 23/20; 23/20; ; ; 21/20; 15/13; 21/20; 11/10; 19/20; 11/10; 21/20; 57/50; 21/20; 11/10; ; ; ; ; 
Draw; 12/5; ; 21/10; 21/10; ; 12/5; 9/4; ; 23/10; ; 2; 11/5; ; ; 5/2; 9/4; 28/13; 21/10; 9/4; 21/10; 28/13; 119/50; 9/4; 21/10; ; ; ; ; 
Leganes; 12/5; ; 13/5; 11/4; ; 12/5; 27/10; ; 13/5; ; 5/2; 13/5; ; ; 13/5; 11/4; 13/5; 14/5; 3; 14/5; 13/5; 74/25; 5/2; 14/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-16 04:19:12 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 11/10; ; 6/5; 11/10; ; 11/10; 11/10; ; 11/10; ; 23/20; 23/20; ; ; 21/20; 15/13; 21/20; 11/10; 19/20; 11/10; 21/20; 57/50; 21/20; 11/10; ; ; ; ; 
Draw; 12/5; ; 21/10; 21/10; ; 12/5; 9/4; ; 23/10; ; 2; 11/5; ; ; 5/2; 9/4; 28/13; 21/10; 9/4; 21/10; 28/13; 119/50; 9/4; 21/10; ; ; ; ; 
Leganes; 12/5; ; 13/5; 11/4; ; 12/5; 27/10; ; 13/5; ; 5/2; 13/5; ; ; 13/5; 11/4; 13/5; 14/5; 3; 14/5; 13/5; 74/25; 5/2; 14/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-16 08:19:09 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 11/10; ; 6/5; 11/10; ; 11/10; 11/10; ; 11/10; ; 23/20; 23/20; ; ; 21/20; 15/13; 21/20; 11/10; 19/20; 11/10; 21/20; 57/50; 21/20; 11/10; ; ; ; ; 
Draw; 12/5; ; 21/10; 21/10; ; 12/5; 9/4; ; 23/10; ; 2; 11/5; ; ; 5/2; 9/4; 11/5; 21/10; 9/4; 21/10; 11/5; 119/50; 9/4; 21/10; ; ; ; ; 
Leganes; 12/5; ; 13/5; 11/4; ; 12/5; 27/10; ; 13/5; ; 5/2; 13/5; ; ; 13/5; 11/4; 13/5; 14/5; 3; 14/5; 13/5; 74/25; 5/2; 14/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-16 12:20:27 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 11/10; ; 6/5; 11/10; ; 11/10; 11/10; ; 11/10; ; 23/20; 23/20; ; ; 21/20; 15/13; 21/20; 11/10; 19/20; 11/10; 21/20; 57/50; 21/20; 11/10; ; ; ; ; 
Draw; 12/5; ; 21/10; 21/10; ; 12/5; 9/4; ; 23/10; ; 2; 11/5; ; ; 5/2; 9/4; 11/5; 21/10; 9/4; 21/10; 11/5; 119/50; 9/4; 21/10; ; ; ; ; 
Leganes; 12/5; ; 13/5; 11/4; ; 12/5; 27/10; ; 13/5; ; 5/2; 13/5; ; ; 13/5; 11/4; 13/5; 14/5; 3; 14/5; 13/5; 74/25; 5/2; 14/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-16 16:20:49 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 11/10; ; 6/5; 11/10; ; 11/10; 11/10; ; 11/10; ; 23/20; 23/20; ; ; 21/20; 15/13; 21/20; 11/10; 19/20; 11/10; ; 57/50; 21/20; 11/10; ; ; ; ; 
Draw; 12/5; ; 21/10; 21/10; ; 12/5; 9/4; ; 23/10; ; 2; 11/5; ; ; 5/2; 12/5; 11/5; 21/10; 9/4; 21/10; ; 119/50; 9/4; 21/10; ; ; ; ; 
Leganes; 12/5; ; 13/5; 11/4; ; 12/5; 27/10; ; 13/5; ; 5/2; 13/5; ; ; 13/5; 13/5; 13/5; 14/5; 3; 14/5; ; 74/25; 5/2; 14/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-17 00:19:41 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 11/10; ; 6/5; 11/10; ; 11/10; 11/10; ; 11/10; ; 23/20; 23/20; ; ; 21/20; 15/13; 21/20; 11/10; 19/20; 11/10; 21/20; 57/50; 21/20; 11/10; ; ; ; ; 
Draw; 12/5; ; 21/10; 21/10; ; 12/5; 9/4; ; 23/10; ; 2; 11/5; ; ; 5/2; 9/4; 11/5; 21/10; 9/4; 21/10; 11/5; 119/50; 9/4; 21/10; ; ; ; ; 
Leganes; 12/5; ; 13/5; 11/4; ; 12/5; 27/10; ; 13/5; ; 5/2; 13/5; ; ; 13/5; 11/4; 13/5; 14/5; 3; 14/5; 13/5; 74/25; 5/2; 14/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-17 04:19:48 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 11/10; ; 6/5; 11/10; ; 11/10; 11/10; ; 11/10; ; 23/20; 23/20; ; ; 21/20; 15/13; 21/20; 11/10; 19/20; 11/10; 21/20; 57/50; 21/20; 11/10; ; ; ; ; 
Draw; 12/5; ; 21/10; 21/10; ; 12/5; 9/4; ; 23/10; ; 2; 11/5; ; ; 5/2; 9/4; 11/5; 21/10; 9/4; 21/10; 11/5; 119/50; 9/4; 21/10; ; ; ; ; 
Leganes; 12/5; ; 13/5; 11/4; ; 12/5; 27/10; ; 13/5; ; 5/2; 13/5; ; ; 13/5; 11/4; 28/11; 14/5; 3; 14/5; 28/11; 74/25; 5/2; 14/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-17 08:19:40 GMT+2; 2017-01-08 15:15; e70300-dr003
Betis; 11/10; ; 6/5; 11/10; ; 11/10; 11/10; ; 11/10; ; 23/20; 23/20; ; ; 21/20; 15/13; 21/20; 11/10; 19/20; 11/10; ; 57/50; 21/20; 11/10; ; ; ; ; 
Draw; 12/5; ; 21/10; 21/10; ; 12/5; 9/4; ; 23/10; ; 2; 11/5; ; ; 5/2; 9/4; 11/5; 21/10; 9/4; 21/10; ; 119/50; 9/4; 21/10; ; ; ; ; 
Leganes; 12/5; ; 13/5; 11/4; ; 12/5; 27/10; ; 13/5; ; 5/2; 13/5; ; ; 13/5; 11/4; 28/11; 14/5; 3; 14/5; ; 74/25; 5/2; 14/5; ; ; ; ; 
META; spain/la-liga-primera/betis-v-leganes; 2016-12-17 12:19:47 GMT+2; 2017-01-08 15:15; e70300-dr003
