META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-10 20:19:53 GMT+2; 2017-01-07 19:45; e70300-dr003
Sevilla; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; 19/10; ; 24/13; ; 19/10; 37/20; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; 11/5; ; 11/5; 23/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-12 04:18:04 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; ; ; ; ; 29/20; ; ; ; ; ; ; ; ; 16/11; 23/17; ; 16/11; ; 23/17; 41/25; ; ; ; ; ; ; 
Sevilla; 2; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; 2; 19/10; ; 24/13; ; 19/10; 199/100; ; ; ; ; ; ; 
Draw; 9/4; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; 9/4; 11/5; ; 11/5; ; 11/5; 23/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-12 08:18:04 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; ; ; ; ; 29/20; ; ; ; ; ; ; ; ; 7/5; 23/17; ; 16/11; ; 23/17; 41/25; ; ; ; ; ; ; 
Sevilla; 2; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; 2; 37/19; ; 24/13; ; 37/19; 199/100; ; ; ; ; ; ; 
Draw; 9/4; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; 12/5; 11/5; ; 11/5; ; 11/5; 23/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-12 12:10:47 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; ; 13/10; ; ; 7/5; ; 7/5; ; ; ; ; ; 7/5; 7/5; 23/17; ; 16/11; ; 23/17; 41/25; 23/17; ; ; ; ; ; 
Sevilla; 2; ; ; 19/10; ; ; 2; ; 2; ; ; ; ; ; 2; 2; 37/19; ; 24/13; ; 37/19; 199/100; 9/5; ; ; ; ; ; 
Draw; 9/4; ; ; 5/2; ; ; 23/10; ; 23/10; ; ; ; ; ; 23/10; 12/5; 11/5; ; 11/5; ; 11/5; 23/10; 23/10; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-12 16:19:19 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; ; 13/10; ; ; 7/5; ; 7/5; ; 13/10; ; ; ; 7/5; 7/5; 23/17; ; 16/11; ; 23/17; 41/25; 23/17; ; ; ; ; ; 
Sevilla; 2; ; ; 19/10; ; ; 2; ; 2; ; 19/10; ; ; ; 2; 2; 37/19; ; 24/13; ; 37/19; 199/100; 9/5; ; ; ; ; ; 
Draw; 9/4; ; ; 5/2; ; ; 23/10; ; 23/10; ; 9/4; ; ; ; 23/10; 12/5; 11/5; ; 11/5; ; 11/5; 23/10; 23/10; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-12 20:19:28 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; ; 7/5; ; ; 7/5; ; 7/5; ; 13/10; ; ; ; 7/5; 7/5; 23/17; ; 16/11; ; 23/17; 41/25; 23/17; ; ; ; ; ; 
Sevilla; 2; ; ; 19/10; ; ; 2; ; 2; ; 19/10; ; ; ; 2; 2; 19/10; ; 24/13; ; 19/10; 199/100; 9/5; ; ; ; ; ; 
Draw; 9/4; ; ; 23/10; ; ; 23/10; ; 23/10; ; 9/4; ; ; ; 23/10; 12/5; 23/10; ; 11/5; ; 23/10; 23/10; 23/10; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-13 00:18:54 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; ; 7/5; ; ; 11/8; ; 7/5; ; 13/10; ; ; ; 7/5; 7/5; 23/17; 7/5; 16/11; 7/5; 23/17; 41/25; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; ; 19/10; ; ; 2; ; 2; ; 19/10; ; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; 19/10; 199/100; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; ; 23/10; ; ; 12/5; ; 23/10; ; 9/4; ; ; ; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-13 04:18:57 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; ; 7/5; ; ; 11/8; ; 7/5; ; 13/10; ; ; ; 7/5; 7/5; 23/17; 7/5; 16/11; 7/5; 23/17; 161/100; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; ; 19/10; ; ; 2; ; 2; ; 19/10; ; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; 19/10; 101/50; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; ; 23/10; ; ; 12/5; ; 23/10; ; 9/4; ; ; ; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-13 08:19:05 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; ; 7/5; ; ; 7/5; ; 7/5; ; 13/10; ; ; ; 7/5; 7/5; 23/17; 7/5; 16/11; 7/5; 23/17; 161/100; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; ; 19/10; ; ; 2; ; 2; ; 19/10; ; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; 19/10; 101/50; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; ; 23/10; ; ; 23/10; ; 23/10; ; 9/4; ; ; ; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-13 12:19:08 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; ; 7/5; ; ; 11/8; ; 7/5; ; 13/10; ; ; ; 7/5; 7/5; 23/17; 7/5; 16/11; 7/5; 23/17; 161/100; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; ; 19/10; ; ; 2; ; 2; ; 19/10; ; ; ; 2; 2; 24/13; 19/10; 24/13; 19/10; 24/13; 101/50; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; ; 23/10; ; ; 12/5; ; 23/10; ; 9/4; ; ; ; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-13 16:19:55 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; ; 7/5; ; ; 7/5; ; 7/5; ; 13/10; ; ; ; 7/5; 7/5; 23/17; 7/5; 16/11; 7/5; 23/17; 161/100; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; ; 19/10; ; ; 2; ; 2; ; 19/10; ; ; ; 2; 2; 24/13; 19/10; 24/13; 19/10; 24/13; 101/50; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; ; 23/10; ; ; 23/10; ; 23/10; ; 23/10; ; ; ; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-13 20:20:03 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; ; 7/5; ; ; 11/8; ; 7/5; ; 13/10; ; ; ; 7/5; 7/5; 23/17; 7/5; 16/11; 7/5; 23/17; 161/100; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; ; 19/10; ; ; 2; ; 2; ; 19/10; ; ; ; 2; 2; 24/13; 19/10; 24/13; 19/10; 24/13; 101/50; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; ; 23/10; ; ; 12/5; ; 23/10; ; 23/10; ; ; ; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-14 00:18:58 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; ; 7/5; ; ; 13/10; ; 7/5; ; 5/4; ; ; ; 7/5; 11/8; 13/10; 7/5; 16/11; 7/5; 13/10; 161/100; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; ; 19/10; ; ; 85/40; ; 2; ; 19/10; ; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; 19/10; 101/50; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; ; 23/10; ; ; 12/5; ; 23/10; ; 23/10; ; ; ; 23/10; 12/5; 40/17; 12/5; 11/5; 12/5; 40/17; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-14 04:19:08 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; ; 7/5; ; ; 13/10; ; 7/5; ; 5/4; ; ; ; 7/5; 11/8; 13/10; 7/5; 16/11; 7/5; 13/10; 161/100; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; ; 19/10; ; ; 85/40; ; 2; ; 19/10; ; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; 19/10; 101/50; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; ; 23/10; ; ; 12/5; ; 23/10; ; 23/10; ; ; ; 23/10; 12/5; 40/17; 12/5; 11/5; 12/5; 40/17; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-14 08:19:03 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; ; 7/5; ; ; 13/10; ; 7/5; ; 5/4; ; ; ; 7/5; 11/8; 23/17; 7/5; 16/11; 7/5; 23/17; 161/100; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; ; 19/10; ; ; 85/40; ; 2; ; 19/10; ; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; 19/10; 101/50; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; ; 23/10; ; ; 12/5; ; 23/10; ; 23/10; ; ; ; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-14 12:19:48 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; ; 7/5; ; ; 13/10; ; 7/5; ; 5/4; ; ; ; 7/5; 11/8; 23/17; 7/5; 16/11; 7/5; 23/17; 38/25; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; ; 19/10; ; ; 85/40; ; 2; ; 19/10; ; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; 19/10; 54/25; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; ; 23/10; ; ; 12/5; ; 23/10; ; 23/10; ; ; ; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-14 16:20:08 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; ; 7/5; ; ; 13/10; ; 7/5; ; 5/4; 5/4; ; ; 7/5; 11/8; 23/17; 7/5; 16/11; 7/5; 23/17; 38/25; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; ; 19/10; ; ; 85/40; ; 2; ; 19/10; 21/10; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; 19/10; 54/25; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; ; 23/10; ; ; 23/10; ; 23/10; ; 23/10; 12/5; ; ; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-14 20:20:17 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; 13/10; 7/5; ; ; 13/10; ; 7/5; ; 5/4; 5/4; ; ; 7/5; 11/8; 23/17; 7/5; 16/11; 7/5; 23/17; 38/25; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; 41/20; 19/10; ; ; 85/40; ; 2; ; 19/10; 21/10; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; 19/10; 54/25; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; 49/20; 23/10; ; ; 12/5; ; 23/10; ; 23/10; 12/5; ; ; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-15 00:19:19 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; 13/10; 7/5; ; ; 13/10; ; 7/5; ; 5/4; 5/4; ; ; 7/5; 11/8; 23/17; 7/5; 16/11; 7/5; 23/17; 38/25; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; 41/20; 19/10; ; ; 85/40; ; 2; ; 19/10; 21/10; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; 19/10; 54/25; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; 49/20; 23/10; ; ; 12/5; ; 23/10; ; 23/10; 12/5; ; ; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-15 04:19:18 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; 13/10; 7/5; ; ; 13/10; ; 7/5; ; 5/4; 5/4; ; ; 7/5; 11/8; 23/17; 7/5; 16/11; 7/5; 23/17; 38/25; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; 41/20; 19/10; ; ; 85/40; ; 2; ; 19/10; 21/10; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; 19/10; 54/25; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; 49/20; 23/10; ; ; 12/5; ; 23/10; ; 23/10; 12/5; ; ; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-15 08:19:22 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; 13/10; 7/5; ; ; 13/10; ; 7/5; ; 5/4; 5/4; ; ; 7/5; 11/8; 13/10; 7/5; 16/11; 7/5; 13/10; 38/25; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; 41/20; 19/10; ; ; 85/40; ; 2; ; 19/10; 21/10; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; 19/10; 54/25; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; 49/20; 23/10; ; ; 12/5; ; 23/10; ; 23/10; 12/5; ; ; 23/10; 12/5; 40/17; 12/5; 11/5; 12/5; 40/17; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-15 12:29:32 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; 13/10; 7/5; ; ; 13/10; ; 7/5; ; 5/4; 5/4; ; ; 7/5; 11/8; 23/17; 7/5; 16/11; 7/5; 23/17; 38/25; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; 41/20; 19/10; ; ; 85/40; ; 2; ; 19/10; 21/10; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; 19/10; 54/25; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; 49/20; 23/10; ; ; 12/5; ; 23/10; ; 23/10; 12/5; ; ; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-15 16:19:33 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; 13/10; 7/5; ; 27/20; 13/10; ; 7/5; ; 5/4; 5/4; ; ; 7/5; 11/8; 23/17; 7/5; 16/11; 7/5; 23/17; 38/25; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; 41/20; 19/10; ; 2; 85/40; ; 2; ; 19/10; 21/10; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; 19/10; 54/25; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; 49/20; 23/10; ; 23/10; 23/10; ; 23/10; ; 23/10; 12/5; ; ; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-15 20:19:30 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; 13/10; 7/5; ; 27/20; 13/10; ; 7/5; ; 5/4; 5/4; ; ; 7/5; 11/8; 23/17; 7/5; 16/11; 7/5; 23/17; 38/25; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; 41/20; 19/10; ; 2; 85/40; ; 2; ; 19/10; 21/10; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; 19/10; 54/25; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; 49/20; 23/10; ; 23/10; 12/5; ; 23/10; ; 23/10; 12/5; ; ; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-16 00:19:15 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; 13/10; 7/5; ; 27/20; 13/10; ; 7/5; ; 5/4; 5/4; ; ; 7/5; 11/8; 23/17; 7/5; 16/11; 7/5; 23/17; 38/25; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; 41/20; 19/10; ; 2; 85/40; ; 2; ; 2; 21/10; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; 19/10; 54/25; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; 49/20; 23/10; ; 23/10; 12/5; ; 23/10; ; 23/10; 12/5; ; ; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-16 04:19:06 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; 13/10; 7/5; ; 27/20; 13/10; ; 7/5; ; 5/4; 5/4; ; ; 7/5; 11/8; 13/10; 7/5; 16/11; 7/5; 13/10; 38/25; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; 41/20; 19/10; ; 2; 85/40; ; 2; ; 2; 21/10; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; 19/10; 54/25; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; 49/20; 23/10; ; 23/10; 12/5; ; 23/10; ; 23/10; 12/5; ; ; 23/10; 12/5; 40/17; 12/5; 11/5; 12/5; 40/17; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-16 08:19:04 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; 13/10; 7/5; ; 27/20; 13/10; ; 7/5; ; 5/4; 5/4; ; ; 7/5; 11/8; 13/10; 7/5; 16/11; 7/5; 13/10; 38/25; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; 41/20; 19/10; ; 2; 85/40; ; 2; ; 2; 21/10; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; 19/10; 54/25; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; 49/20; 23/10; ; 23/10; 23/10; ; 23/10; ; 23/10; 12/5; ; ; 23/10; 12/5; 40/17; 12/5; 11/5; 12/5; 40/17; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-16 12:20:17 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; 13/10; 7/5; ; 27/20; 13/10; ; 7/5; ; 5/4; 5/4; ; ; 7/5; 11/8; 23/17; 7/5; 16/11; 7/5; 23/17; 38/25; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; 41/20; 19/10; ; 2; 85/40; ; 2; ; 2; 21/10; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; 19/10; 54/25; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; 49/20; 23/10; ; 23/10; 12/5; ; 23/10; ; 23/10; 12/5; ; ; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-16 16:20:41 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; 13/10; 7/5; ; 27/20; 13/10; ; 7/5; ; 5/4; 5/4; ; ; 7/5; 11/8; 23/17; 7/5; 16/11; 7/5; ; 38/25; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; 41/20; 19/10; ; 2; 85/40; ; 2; ; 2; 21/10; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; ; 54/25; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; 49/20; 23/10; ; 23/10; 12/5; ; 23/10; ; 23/10; 12/5; ; ; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; ; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-17 00:19:35 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; 13/10; 7/5; ; 27/20; 13/10; ; 7/5; ; 5/4; 5/4; ; ; 7/5; 11/8; 23/17; 7/5; 16/11; 7/5; 23/17; 38/25; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; 41/20; 19/10; ; 2; 85/40; ; 2; ; 2; 21/10; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; 19/10; 54/25; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; 49/20; 23/10; ; 23/10; 23/10; ; 23/10; ; 23/10; 12/5; ; ; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-sevilla; 2016-12-17 04:19:42 GMT+2; 2017-01-07 19:45; e70300-dr003
Real Sociedad; 11/8; ; 13/10; 7/5; ; 27/20; 13/10; ; 7/5; ; 5/4; 5/4; ; ; 7/5; 11/8; 23/17; 7/5; 16/11; 7/5; 23/17; 38/25; 23/17; 7/5; ; ; ; ; 
Sevilla; 2; ; 41/20; 19/10; ; 2; 85/40; ; 2; ; 2; 21/10; ; ; 2; 2; 19/10; 19/10; 24/13; 19/10; 19/10; 54/25; 9/5; 19/10; ; ; ; ; 
Draw; 9/4; ; 49/20; 23/10; ; 23/10; 23/10; ; 23/10; ; 23/10; 12/5; ; ; 23/10; 12/5; 23/10; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; ; ; ; ; 
