META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-11 00:18:31 GMT+2; 2017-01-08 11:00; e70300-dr003
Alaves; 6; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; 11/2; 23/5; ; 5; ; 23/5; 28/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-12 08:18:06 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; ; ; ; ; 11/20; ; ; ; ; ; ; ; ; 4/7; 5/9; ; 8/15; ; 5/9; 14/25; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; 14/5; 11/4; ; 3; ; 11/4; 7/2; ; ; ; ; ; ; 
Alaves; 6; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; 6; 96/19; ; 5; ; 96/19; 28/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-12 12:10:49 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; ; 11/20; ; ; 11/20; ; 8/15; ; ; ; ; ; 11/20; 4/7; 5/9; ; 8/15; ; 5/9; 14/25; 8/15; ; ; ; ; ; 
Draw; 11/4; ; ; 13/5; ; ; 14/5; ; 14/5; ; ; ; ; ; 14/5; 14/5; 14/5; ; 3; ; 14/5; 7/2; 14/5; ; ; ; ; ; 
Alaves; 6; ; ; 6; ; ; 6; ; 11/2; ; ; ; ; ; 6; 6; 5; ; 5; ; 5; 28/5; 23/5; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-12 16:19:21 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; ; 11/20; ; ; 11/20; ; 8/15; ; 8/15; ; ; ; 11/20; 4/7; 5/9; ; 8/15; ; 5/9; 14/25; 8/15; ; ; ; ; ; 
Draw; 11/4; ; ; 13/5; ; ; 14/5; ; 14/5; ; 27/10; ; ; ; 14/5; 14/5; 14/5; ; 3; ; 14/5; 7/2; 14/5; ; ; ; ; ; 
Alaves; 6; ; ; 6; ; ; 6; ; 11/2; ; 11/2; ; ; ; 6; 6; 5; ; 5; ; 5; 28/5; 23/5; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-12 20:19:31 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; ; 8/15; ; ; 8/15; ; 8/15; ; 8/15; ; ; ; 11/20; 8/15; 1/2; ; 8/15; ; 1/2; 14/25; 8/15; ; ; ; ; ; 
Draw; 11/4; ; ; 14/5; ; ; 29/10; ; 14/5; ; 27/10; ; ; ; 14/5; 3; 29/10; ; 3; ; 29/10; 7/2; 14/5; ; ; ; ; ; 
Alaves; 6; ; ; 11/2; ; ; 6; ; 11/2; ; 11/2; ; ; ; 6; 6; 57/10; ; 5; ; 57/10; 28/5; 23/5; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-13 00:18:57 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; ; 8/15; ; ; 8/15; ; 8/15; ; 8/15; ; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; ; 14/5; ; ; 3; ; 14/5; ; 27/10; ; ; ; 14/5; 3; 29/10; 3; 3; 3; 29/10; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; ; 11/2; ; ; 6; ; 11/2; ; 11/2; ; ; ; 6; 6; 28/5; 11/2; 5; 11/2; 28/5; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-13 04:19:00 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; ; 8/15; ; ; 8/15; ; 8/15; ; 8/15; ; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; ; 14/5; ; ; 3; ; 14/5; ; 27/10; ; ; ; 14/5; 3; 29/10; 3; 3; 3; 29/10; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; ; 11/2; ; ; 6; ; 11/2; ; 11/2; ; ; ; 6; 6; 28/5; 11/2; 5; 11/2; 28/5; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-13 08:19:08 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; ; 8/15; ; ; 8/15; ; 8/15; ; 8/15; ; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; ; 14/5; ; ; 29/10; ; 14/5; ; 27/10; ; ; ; 14/5; 3; 29/10; 3; 3; 3; 29/10; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; ; 11/2; ; ; 6; ; 11/2; ; 11/2; ; ; ; 6; 6; 28/5; 11/2; 5; 11/2; 28/5; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-13 12:19:10 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; ; 8/15; ; ; 8/15; ; 8/15; ; 8/15; ; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; ; 11/4; ; ; 3; ; 14/5; ; 27/10; ; ; ; 14/5; 3; 29/10; 3; 3; 3; 29/10; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; ; 6; ; ; 6; ; 11/2; ; 11/2; ; ; ; 6; 6; 96/17; 11/2; 5; 11/2; 96/17; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-13 16:19:58 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; ; 8/15; ; ; 8/15; ; 8/15; ; 8/15; ; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; ; 14/5; ; ; 29/10; ; 14/5; ; 13/5; ; ; ; 14/5; 3; 37/13; 3; 3; 3; 37/13; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; ; 11/2; ; ; 6; ; 11/2; ; 11/2; ; ; ; 6; 6; 23/4; 11/2; 5; 11/2; 23/4; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-13 20:20:07 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; ; 8/15; ; ; 8/15; ; 8/15; ; 8/15; ; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; ; 14/5; ; ; 3; ; 14/5; ; 13/5; ; ; ; 14/5; 3; 37/13; 3; 3; 3; 37/13; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; ; 11/2; ; ; 6; ; 11/2; ; 11/2; ; ; ; 6; 6; 23/4; 11/2; 5; 11/2; 23/4; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-14 00:19:01 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; ; 8/15; ; ; 8/15; ; 8/15; ; 8/15; ; ; ; 11/20; 8/15; 17/35; 8/15; 8/15; 8/15; 17/35; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; ; 14/5; ; ; 14/5; ; 14/5; ; 13/5; ; ; ; 14/5; 3; 29/10; 3; 3; 3; 29/10; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; ; 11/2; ; ; 13/2; ; 11/2; ; 11/2; ; ; ; 6; 13/2; 29/5; 11/2; 5; 11/2; 29/5; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-14 04:19:10 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; ; 8/15; ; ; 8/15; ; 8/15; ; 8/15; ; ; ; 11/20; 8/15; 17/35; 8/15; 8/15; 8/15; 17/35; ; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; ; 14/5; ; ; 3; ; 14/5; ; 13/5; ; ; ; 14/5; 3; 29/10; 3; 3; 3; 29/10; ; 14/5; 3; ; ; ; ; 
Alaves; 6; ; ; 11/2; ; ; 6; ; 11/2; ; 11/2; ; ; ; 6; 6; 29/5; 11/2; 5; 11/2; 29/5; ; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-14 08:19:05 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; ; 8/15; ; ; 8/15; ; 8/15; ; 8/15; ; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; ; 14/5; ; ; 3; ; 14/5; ; 13/5; ; ; ; 14/5; 3; 37/13; 3; 3; 3; 37/13; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; ; 11/2; ; ; 6; ; 11/2; ; 11/2; ; ; ; 6; 6; 23/4; 11/2; 5; 11/2; 23/4; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-14 12:19:50 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; ; 8/15; ; ; 8/15; ; 8/15; ; 8/15; ; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; ; 14/5; ; ; 3; ; 14/5; ; 13/5; ; ; ; 14/5; 3; 37/13; 3; 3; 3; 37/13; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; ; 11/2; ; ; 6; ; 11/2; ; 11/2; ; ; ; 6; 6; 23/4; 11/2; 5; 11/2; 23/4; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-14 16:20:11 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; ; 8/15; ; ; 8/15; ; 8/15; ; 8/15; 11/20; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; ; 14/5; ; ; 14/5; ; 14/5; ; 13/5; 14/5; ; ; 14/5; 3; 37/13; 3; 3; 3; 37/13; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; ; 11/2; ; ; 13/2; ; 11/2; ; 11/2; 11/2; ; ; 6; 6; 23/4; 11/2; 5; 11/2; 23/4; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-14 20:20:21 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; 11/20; 8/15; ; ; 8/15; ; 8/15; ; 8/15; 11/20; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; 14/5; 14/5; ; ; 3; ; 14/5; ; 13/5; 14/5; ; ; 14/5; 3; 37/13; 3; 3; 3; 37/13; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; 6; 11/2; ; ; 6; ; 11/2; ; 11/2; 11/2; ; ; 6; 6; 23/4; 11/2; 5; 11/2; 23/4; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-15 00:19:21 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; 11/20; 8/15; ; ; 8/15; ; 8/15; ; 8/15; 11/20; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; 14/5; 14/5; ; ; 3; ; 14/5; ; 13/5; 14/5; ; ; 14/5; 3; 37/13; 3; 3; 3; 37/13; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; 6; 11/2; ; ; 6; ; 11/2; ; 11/2; 11/2; ; ; 6; 6; 23/4; 11/2; 5; 11/2; 23/4; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-15 04:19:20 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; 11/20; 8/15; ; ; 8/15; ; 8/15; ; 8/15; 11/20; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; 14/5; 14/5; ; ; 3; ; 14/5; ; 13/5; 14/5; ; ; 14/5; 3; 37/13; 3; 3; 3; 37/13; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; 6; 11/2; ; ; 6; ; 11/2; ; 11/2; 11/2; ; ; 6; 6; 23/4; 11/2; 5; 11/2; 23/4; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-15 08:19:24 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; 11/20; 8/15; ; ; 8/15; ; 8/15; ; 8/15; 11/20; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; 14/5; 14/5; ; ; 14/5; ; 14/5; ; 13/5; 14/5; ; ; 14/5; 3; 29/10; 3; 3; 3; 29/10; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; 6; 11/2; ; ; 13/2; ; 11/2; ; 11/2; 11/2; ; ; 6; 6; 57/10; 11/2; 5; 11/2; 57/10; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-15 12:29:37 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; 11/20; 8/15; ; ; 8/15; ; 8/15; ; 8/15; 11/20; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; 14/5; 14/5; ; ; 3; ; 14/5; ; 13/5; 14/5; ; ; 14/5; 3; 37/13; 3; 3; 3; 37/13; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; 6; 11/2; ; ; 6; ; 11/2; ; 11/2; 11/2; ; ; 6; 6; 23/4; 11/2; 5; 11/2; 23/4; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-15 16:19:35 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; 11/20; 8/15; ; 8/15; 8/15; ; 8/15; ; 8/15; 11/20; ; ; 11/20; 4/7; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; 14/5; 14/5; ; 11/4; 14/5; ; 14/5; ; 13/5; 14/5; ; ; 14/5; 14/5; 37/13; 3; 3; 3; 37/13; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; 6; 11/2; ; 6; 13/2; ; 11/2; ; 11/2; 11/2; ; ; 6; 6; 23/4; 11/2; 5; 11/2; 23/4; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-15 20:19:33 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; 11/20; 8/15; ; 8/15; 8/15; ; 8/15; ; 8/15; 11/20; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; 14/5; 14/5; ; 11/4; 3; ; 14/5; ; 13/5; 14/5; ; ; 14/5; 3; 37/13; 3; 3; 3; 37/13; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; 6; 11/2; ; 6; 6; ; 11/2; ; 11/2; 11/2; ; ; 6; 6; 23/4; 11/2; 5; 11/2; 23/4; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-16 00:19:17 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; 11/20; 8/15; ; 8/15; 8/15; ; 8/15; ; 8/15; 11/20; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; 14/5; 14/5; ; 11/4; 3; ; 14/5; ; 13/5; 14/5; ; ; 14/5; 3; 37/13; 3; 3; 3; 37/13; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; 6; 11/2; ; 6; 6; ; 11/2; ; 11/2; 11/2; ; ; 6; 6; 23/4; 11/2; 5; 11/2; 23/4; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-16 04:19:09 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; 11/20; 8/15; ; 8/15; 8/15; ; 8/15; ; 8/15; 11/20; ; ; 11/20; 8/15; 17/35; 8/15; 8/15; 8/15; 17/35; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; 14/5; 14/5; ; 11/4; 3; ; 14/5; ; 13/5; 14/5; ; ; 14/5; 3; 29/10; 3; 3; 3; 29/10; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; 6; 11/2; ; 6; 6; ; 11/2; ; 11/2; 11/2; ; ; 6; 6; 29/5; 11/2; 5; 11/2; 29/5; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-16 08:19:07 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; 11/20; 8/15; ; 8/15; 8/15; ; 8/15; ; 8/15; 11/20; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; 14/5; 14/5; ; 11/4; 29/10; ; 14/5; ; 13/5; 14/5; ; ; 14/5; 3; 37/13; 3; 3; 3; 37/13; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; 6; 11/2; ; 6; 6; ; 11/2; ; 11/2; 11/2; ; ; 6; 6; 29/5; 11/2; 5; 11/2; 29/5; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-16 12:20:24 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; 11/20; 8/15; ; 8/15; 8/15; ; 8/15; ; 8/15; 11/20; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; 14/5; 14/5; ; 11/4; 3; ; 14/5; ; 13/5; 14/5; ; ; 14/5; 3; 37/13; 3; 3; 3; 37/13; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; 6; 11/2; ; 6; 6; ; 11/2; ; 11/2; 11/2; ; ; 6; 6; 29/5; 11/2; 5; 11/2; 29/5; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-16 16:20:45 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; 11/20; 8/15; ; 8/15; 8/15; ; 8/15; ; 8/15; 11/20; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; ; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; 14/5; 14/5; ; 11/4; 3; ; 14/5; ; 13/5; 14/5; ; ; 14/5; 3; 37/13; 3; 3; 3; ; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; 6; 11/2; ; 6; 6; ; 11/2; ; 11/2; 11/2; ; ; 6; 6; 29/5; 11/2; 5; 11/2; ; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-17 00:19:38 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; 11/20; 8/15; ; 8/15; 8/15; ; 8/15; ; 8/15; 11/20; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; 14/5; 14/5; ; 11/4; 14/5; ; 14/5; ; 13/5; 14/5; ; ; 14/5; 3; 37/13; 3; 3; 3; 37/13; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; 6; 11/2; ; 6; 13/2; ; 11/2; ; 11/2; 11/2; ; ; 6; 6; 29/5; 11/2; 5; 11/2; 29/5; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-17 04:19:46 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; 11/20; 8/15; ; 8/15; 8/15; ; 8/15; ; 8/15; 11/20; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; 14/5; 14/5; ; 11/4; 14/5; ; 14/5; ; 13/5; 14/5; ; ; 14/5; 3; 37/13; 3; 3; 3; 37/13; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; 6; 11/2; ; 6; 13/2; ; 11/2; ; 11/2; 11/2; ; ; 6; 6; 29/5; 11/2; 5; 11/2; 29/5; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-17 08:19:38 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; 11/20; 8/15; ; 8/15; 8/15; ; 8/15; ; 8/15; 11/20; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; ; 14/25; 8/15; 8/15; ; ; ; ; 
Draw; 11/4; ; 14/5; 14/5; ; 11/4; 3; ; 14/5; ; 13/5; 14/5; ; ; 14/5; 3; 37/13; 3; 3; 3; ; 7/2; 14/5; 3; ; ; ; ; 
Alaves; 6; ; 6; 11/2; ; 6; 6; ; 11/2; ; 11/2; 11/2; ; ; 6; 6; 29/5; 11/2; 5; 11/2; ; 28/5; 23/5; 11/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-alaves; 2016-12-17 12:19:45 GMT+2; 2017-01-08 11:00; e70300-dr003
Athletic Bilbao; 8/15; ; 11/20; 8/15; ; 8/15; 8/15; ; 8/15; ; 8/15; 11/20; ; ; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 14/25; 8/15; 8/15; ; ; ; ; 
