META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-12 20:19:38 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; 3/4; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 00:18:37 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; 4/6; ; 5/6; 3/4; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 45/17; 13/5; ; 45/17; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; 29/10; 4; ; 29/10; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 04:18:18 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 4/5; 4/6; ; 4/5; 3/4; ; ; ; ; ; ; 
Draw; 5/2; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; 13/5; 28/11; 13/5; ; 28/11; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; 15/4; ; 3; ; ; ; 15/4; ; ; ; ; ; ; ; ; 4; 13/4; 4; ; 13/4; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 08:18:27 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 4/5; 4/6; ; 4/5; 3/4; ; ; ; ; ; ; 
Draw; 5/2; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; 13/5; 28/11; 13/5; ; 28/11; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; 15/4; ; 3; ; ; ; 15/4; ; ; ; ; ; ; ; ; 4; 13/4; 4; ; 13/4; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 12:19:10 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 10/13; 3/4; ; 10/13; 3/4; ; ; ; ; ; ; 
Draw; 5/2; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; 13/5; 28/11; 5/2; ; 28/11; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; 15/4; ; 3; ; ; ; 15/4; ; ; ; ; ; ; ; ; 4; 33/10; 15/4; ; 33/10; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 16:21:09 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 14/19; 3/4; ; 14/19; 3/4; 6/7; ; ; ; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; ; ; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; 39/11; 43/10; 11/4; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-14 16:18:49 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; 3/4; 4/5; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 6/7; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; 13/4; 7/2; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; 39/11; 43/10; 11/4; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-14 20:19:21 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; 3/4; 4/5; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 6/7; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; 13/4; 7/2; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; 39/11; 43/10; 11/4; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-15 00:19:02 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; 3/4; 4/5; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 6/7; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; 13/4; 7/2; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; 39/11; 43/10; 11/4; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-15 04:18:46 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; 3/4; 4/5; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; ; 39/50; 6/7; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 5/2; ; 13/5; ; 5/2; 13/5; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; ; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 15/4; ; 7/2; ; 13/4; 7/2; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; ; 43/10; 11/4; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-15 08:18:44 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; 3/4; 4/5; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 6/7; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 5/2; ; 13/5; ; 5/2; 13/5; ; ; 11/4; 13/5; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 15/4; ; 7/2; ; 13/4; 7/2; ; ; 15/4; 4; 39/11; 15/4; 7/2; 39/11; 43/10; 11/4; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-15 12:20:50 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; 3/4; 4/5; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 6/7; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; 13/4; 7/2; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; 39/11; 43/10; 11/4; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-15 16:19:17 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; 3/4; 4/5; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 6/7; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; 13/4; 7/2; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; 39/11; 43/10; 11/4; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-15 20:19:25 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; 3/4; 4/5; ; ; 3/4; 4/5; 10/13; 3/4; 4/5; 10/13; 39/50; 6/7; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; ; 11/4; 27/10; 13/5; 5/2; 13/5; 13/5; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; 13/4; 7/2; ; ; 15/4; 7/2; 57/17; 15/4; 7/2; 57/17; 43/10; 11/4; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-16 00:22:17 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; 3/4; 4/5; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 6/7; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; 13/4; 7/2; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; 39/11; 43/10; 11/4; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-16 04:18:54 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; 3/4; 4/5; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 6/7; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; 5/2; 5/2; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; 13/4; 7/2; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; 39/11; 43/10; 11/4; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-16 08:18:55 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; 3/4; 4/5; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 6/7; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; 13/4; 7/2; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; 39/11; 43/10; 11/4; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-16 12:19:39 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; 3/4; 4/5; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 13/16; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; 13/4; 7/2; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; 39/11; 43/10; 56/19; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-16 16:18:34 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; 3/4; 4/5; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 13/16; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; 13/4; 7/2; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; 39/11; 43/10; 56/19; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-16 20:19:16 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; 3/4; 4/5; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 13/16; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; 13/4; 7/2; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; 39/11; 43/10; 56/19; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-17 00:18:41 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; 3/4; 4/5; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 13/16; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; 13/4; 7/2; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; 39/11; 43/10; 56/19; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-17 04:18:19 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; 3/4; 4/5; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 13/16; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; 13/4; 7/2; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; 39/11; 43/10; 56/19; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-17 08:18:11 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; 3/4; 4/5; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 13/16; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; ; ; 5/2; 13/5; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; ; ; 13/4; 7/2; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; 39/11; 43/10; 56/19; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-17 12:20:40 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; 3/4; 4/5; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 13/16; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; 13/4; 7/2; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; 39/11; 43/10; 56/19; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-17 16:19:58 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; 3/4; 4/5; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 13/16; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; 13/4; 7/2; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; 39/11; 43/10; 56/19; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-17 20:19:42 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; 3/4; 4/5; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 13/16; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
Deportivo La Coruna; 15/4; ; 7/2; ; ; ; 18/5; ; 7/2; ; 13/4; 7/2; ; ; 15/4; 7/2; 39/11; 15/4; 7/2; 39/11; 43/10; 56/19; 7/2; ; 7/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-18 00:19:04 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; 4/5; ; 3/4; 4/5; ; ; 3/4; 4/5; 14/19; 3/4; 4/5; 14/19; 39/50; 13/16; 4/5; ; 4/5; ; ; ; 
Draw; 5/2; ; 13/5; ; ; ; 13/5; ; 13/5; ; 5/2; 13/5; ; ; 11/4; 27/10; 28/11; 5/2; 13/5; 28/11; 14/5; 13/5; 13/5; ; 13/5; ; ; ; 
