Valencia; 7; 6; 6; 13/2; 7; 13/2; 13/2; 7; 6; 13/2; 6; 6; 13/2; ; 13/2; 7; 27/4; 13/2; 7; 76/13; 15/2; ; 7; ; ; 36/5; 36/5; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-03-01 04:18:47 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 2/5; 4/9; 40/85; 4/9; 4/9; 4/9; 4/9; 4/11; 4/9; 4/9; 4/9; 4/9; 21/50; ; 4/9; 4/9; 2/5; 2/5; 2/5; 2/5; 11/25; 5/12; 2/5; ; ; 2/5; 2/5; 
Draw; 7/2; 7/2; 10/3; 10/3; 18/5; 15/4; 18/5; 3; 7/2; 10/3; 16/5; 10/3; 7/2; ; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 39/10; 7/2; 7/2; ; ; 7/2; 10/3; 
Valencia; 7; 6; 6; 13/2; 7; 13/2; 13/2; 7; 6; 13/2; 6; 6; 13/2; ; 13/2; 7; 27/4; 13/2; 7; 27/4; 15/2; 28/5; 7; ; ; 36/5; 36/5; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-03-01 08:19:00 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 2/5; 4/9; 40/85; 4/9; 4/9; 4/9; 4/9; 4/11; 4/9; 4/9; 4/9; 4/9; 21/50; ; 4/9; 4/9; 2/5; 2/5; ; 2/5; 11/25; 5/12; 2/5; ; ; 2/5; 2/5; 
Draw; 7/2; 7/2; 10/3; 10/3; 18/5; 15/4; 18/5; 3; 7/2; 10/3; 16/5; 10/3; 7/2; ; 7/2; 7/2; 7/2; 7/2; ; 7/2; 39/10; 7/2; 7/2; ; ; 7/2; 10/3; 
Valencia; 7; 6; 6; 13/2; 7; 13/2; 13/2; 7; 6; 13/2; 6; 6; 13/2; ; 13/2; 7; 27/4; 13/2; ; 27/4; 15/2; 28/5; 7; ; ; 36/5; 36/5; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-03-01 12:19:45 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 2/5; 4/9; 40/85; 4/9; 4/9; 4/9; 4/9; 4/11; 4/9; 4/9; 4/9; 4/9; 21/50; ; 4/9; 4/9; 2/5; 2/5; 2/5; 2/5; 11/25; 5/12; 2/5; ; ; 2/5; 2/5; 
Draw; 7/2; 7/2; 10/3; 10/3; 18/5; 15/4; 18/5; 3; 7/2; 10/3; 16/5; 10/3; 7/2; ; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 39/10; 7/2; 7/2; ; ; 7/2; 10/3; 
Valencia; 7; 6; 6; 13/2; 7; 13/2; 13/2; 7; 6; 13/2; 6; 6; 13/2; ; 13/2; 7; 27/4; 13/2; 7; 27/4; 15/2; 28/5; 7; ; ; 36/5; 36/5; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-03-01 16:19:07 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 2/5; 4/9; 40/85; 4/9; 4/9; 4/9; 4/9; 2/5; 4/9; 4/9; 4/9; 4/9; 21/50; 4/9; 4/9; 4/9; 2/5; 2/5; 2/5; 7/17; 11/25; 5/12; 2/5; ; ; 2/5; 2/5; 
Draw; 7/2; 7/2; 10/3; 10/3; 18/5; 15/4; 18/5; 7/2; 7/2; 10/3; 16/5; 10/3; 7/2; 17/5; 7/2; 7/2; 7/2; 7/2; 7/2; 38/11; 39/10; 7/2; 7/2; ; ; 7/2; 10/3; 
Valencia; 7; 6; 6; 13/2; 7; 6; 13/2; 7; 6; 13/2; 6; 6; 13/2; 6; 13/2; 7; 27/4; 13/2; 7; 13/2; 15/2; 28/5; 7; ; ; 36/5; 36/5; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-03-01 20:20:43 GMT+2; 2017-03-05 15:15; e70300-dr003
Atletico Madrid; 2/5; 4/9; 40/85; 4/9; 4/9; 4/9; 4/9; 2/5; 4/9; 4/9; 4/9; 4/9; 21/50; 4/9; 9/20; 4/9; 7/17; 2/5; 2/5; 7/17; 11/25; 5/12; 2/5; 2/5; ; 2/5; 2/5; 
Draw; 7/2; 7/2; 10/3; 10/3; 18/5; 15/4; 18/5; 7/2; 7/2; 10/3; 16/5; 10/3; 7/2; 17/5; 7/2; 7/2; 39/11; 7/2; 7/2; 39/11; 39/10; 7/2; 7/2; 10/3; ; 10/3; 10/3; 
Valencia; 7; 6; 6; 13/2; 7; 13/2; 13/2; 7; 6; 13/2; 6; 6; 13/2; 6; 6; 7; 7; 13/2; 7; 7; 15/2; 28/5; 7; 13/2; ; 36/5; 36/5; 
META; spain/la-liga-primera/atletico-madrid-v-valencia; 2017-03-02 00:18:54 GMT+2; 2017-03-05 15:15; e70300-dr003
