Granada; 13/2; ; 13/2; ; 7; 13/2; 13/2; ; 6; 6; 6; 13/2; 13/2; 13/2; 13/2; 7; 25/4; 11/2; 13/2; 25/4; 69/10; 28/5; 13/2; 6; ; 29/5; ; 
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-04 04:19:06 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 4/9; ; 2/5; ; 9/20; 12/25; 9/20; ; 4/9; 10/21; 4/9; 4/9; 9/20; 4/9; 9/20; 4/9; 3/7; 5/11; 4/9; 3/7; 12/25; 4/9; 4/9; 4/9; ; 2/5; ; 
Draw; 16/5; ; 16/5; ; 10/3; 10/3; 10/3; ; 3; 16/5; 3; 3; 16/5; 16/5; 10/3; 10/3; 31/10; 13/4; 3; 31/10; 18/5; 13/4; 13/4; 3; ; 14/5; ; 
Granada; 13/2; ; 13/2; ; 7; 13/2; 13/2; ; 6; 6; 6; 13/2; 13/2; 13/2; 13/2; 7; 25/4; 11/2; 13/2; 25/4; 69/10; 28/5; 13/2; 6; ; 6; ; 
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-04 08:19:13 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 4/9; ; 2/5; ; 9/20; 12/25; 9/20; ; 4/9; 10/21; 4/9; 4/9; 9/20; 4/9; 9/20; 4/9; 3/7; 5/11; 4/9; 3/7; 12/25; 4/9; 4/9; 4/9; ; 2/5; ; 
Draw; 16/5; ; 16/5; ; 10/3; 10/3; 10/3; ; 3; 16/5; 3; 3; 16/5; 16/5; 10/3; 10/3; 31/10; 13/4; 3; 31/10; 18/5; 13/4; 13/4; 3; ; 14/5; ; 
Granada; 13/2; ; 13/2; ; 7; 13/2; 13/2; ; 6; 6; 6; 13/2; 13/2; 13/2; 13/2; 7; 25/4; 11/2; 13/2; 25/4; 69/10; 28/5; 13/2; 6; ; 6; ; 
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-04 12:20:32 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 4/9; ; 2/5; ; 9/20; 12/25; 9/20; ; 4/9; 10/21; 4/9; 4/9; 9/20; 4/9; 9/20; 4/9; 3/7; 5/11; 4/9; 3/7; 12/25; 4/9; 4/9; 4/9; ; 2/5; ; 
Draw; 16/5; ; 16/5; ; 10/3; 10/3; 10/3; ; 3; 16/5; 3; 3; 16/5; 16/5; 10/3; 10/3; 31/10; 13/4; 3; 31/10; 18/5; 13/4; 13/4; 3; ; 14/5; ; 
Granada; 13/2; ; 13/2; ; 7; 13/2; 13/2; ; 6; 6; 6; 13/2; 13/2; 13/2; 13/2; 7; 25/4; 11/2; 13/2; 25/4; 69/10; 28/5; 13/2; 6; ; 6; ; 
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-04 16:19:21 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 4/9; ; 2/5; ; 1/2; 1/2; 1/2; ; 1/2; 1/2; 1/2; 1/2; 12/25; 1/2; 1/2; 1/2; 3/7; 5/11; 4/9; 3/7; 12/25; ; 4/9; 1/2; ; 4/9; ; 
Draw; 16/5; ; 16/5; ; 10/3; 10/3; 16/5; ; 3; 3; 29/10; 14/5; 16/5; 16/5; 16/5; 10/3; 31/10; 13/4; 3; 31/10; 18/5; ; 13/4; 3; ; 14/5; ; 
Granada; 13/2; ; 13/2; ; 6; 6; 6; ; 11/2; 11/2; 11/2; 6; 6; 11/2; 6; 6; 25/4; 11/2; 13/2; 25/4; 69/10; ; 13/2; 11/2; ; 5; ; 
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-04 20:19:01 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 4/9; ; 2/5; ; 1/2; 1/2; 1/2; ; 1/2; 1/2; 1/2; 1/2; 12/25; 1/2; 1/2; 1/2; ; 5/11; 4/9; 5/11; 12/25; 10/21; 4/9; 1/2; ; 4/9; ; 
Draw; 16/5; ; 16/5; ; 10/3; 10/3; 16/5; ; 3; 3; 29/10; 14/5; 16/5; 16/5; 16/5; 10/3; ; 13/4; 3; 31/10; 18/5; 41/13; 13/4; 3; ; 14/5; ; 
Granada; 13/2; ; 13/2; ; 6; 6; 6; ; 11/2; 11/2; 11/2; 6; 6; 11/2; 6; 6; ; 11/2; 13/2; 59/10; 69/10; 26/5; 13/2; 11/2; ; 5; ; 
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-05 00:18:55 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 4/9; ; 2/5; ; 1/2; 1/2; 1/2; 4/9; 1/2; 1/2; 1/2; 1/2; 12/25; 1/2; 1/2; 1/2; ; 5/11; 4/9; 5/11; 12/25; 10/21; 4/9; 1/2; ; 4/9; ; 
Draw; 16/5; ; 16/5; ; 10/3; 10/3; 16/5; 3; 3; 3; 29/10; 14/5; 16/5; 16/5; 16/5; 10/3; ; 13/4; 3; 31/10; 18/5; 41/13; 13/4; 3; ; 14/5; ; 
Granada; 13/2; ; 13/2; ; 6; 6; 6; 5; 11/2; 11/2; 11/2; 6; 6; 11/2; 6; 6; ; 11/2; 13/2; 59/10; 69/10; 26/5; 13/2; 11/2; ; 5; ; 
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-05 04:19:13 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 4/9; ; 2/5; ; 1/2; 1/2; 1/2; 4/9; 1/2; 1/2; 1/2; 1/2; 12/25; 1/2; 1/2; 1/2; ; 5/11; 4/9; 5/11; 12/25; 10/21; 4/9; 1/2; ; 4/9; ; 
Draw; 16/5; ; 16/5; ; 10/3; 10/3; 16/5; 3; 3; 3; 29/10; 14/5; 16/5; 16/5; 16/5; 10/3; ; 13/4; 3; 31/10; 18/5; 41/13; 13/4; 3; ; 14/5; ; 
Granada; 13/2; ; 13/2; ; 6; 6; 6; 5; 11/2; 11/2; 11/2; 6; 6; 11/2; 6; 6; ; 11/2; 13/2; 59/10; 69/10; 26/5; 13/2; 11/2; ; 5; ; 
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-05 08:20:04 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 4/9; ; 2/5; ; 1/2; 1/2; 1/2; 4/9; 1/2; 1/2; 1/2; 1/2; 12/25; 1/2; 1/2; 1/2; ; 5/11; 4/9; 5/11; 12/25; 10/21; 4/9; 1/2; ; 4/9; ; 
Draw; 16/5; ; 16/5; ; 10/3; 10/3; 16/5; 3; 3; 3; 29/10; 14/5; 16/5; 16/5; 16/5; 10/3; ; 13/4; 3; 31/10; 18/5; 41/13; 13/4; 3; ; 14/5; ; 
Granada; 13/2; ; 13/2; ; 6; 6; 6; 5; 11/2; 11/2; 11/2; 6; 6; 11/2; 6; 6; ; 11/2; 13/2; 59/10; 69/10; 26/5; 13/2; 11/2; ; 5; ; 
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-05 12:20:19 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 4/9; ; 2/5; ; 1/2; 1/2; 1/2; 4/9; 1/2; 1/2; 1/2; 1/2; 12/25; 1/2; 1/2; 1/2; ; 5/11; 4/9; 5/11; 12/25; 10/21; 4/9; 1/2; ; 4/9; ; 
Draw; 16/5; ; 16/5; ; 10/3; 10/3; 16/5; 3; 3; 3; 29/10; 14/5; 16/5; 16/5; 16/5; 10/3; ; 13/4; 3; 31/10; 18/5; 41/13; 13/4; 3; ; 14/5; ; 
Granada; 13/2; ; 13/2; ; 6; 6; 6; 5; 11/2; 11/2; 11/2; 6; 6; 11/2; 6; 6; ; 11/2; 13/2; 59/10; 69/10; 26/5; 13/2; 11/2; ; 11/2; ; 
META; spain/la-liga-primera/granada-v-atletico-madrid; 2017-03-05 16:19:47 GMT+2; 2017-03-11 19:45; e70300-dr003
Atletico Madrid; 4/9; 1/2; ; ; 1/2; 1/2; 1/2; 4/9; 1/2; 1/2; 1/2; 1/2; 12/25; 1/2; 1/2; 1/2; ; 5/11; 4/9; 5/11; 12/25; 10/21; 4/9; 1/2; ; 4/9; ; 
Draw; 16/5; 3; ; ; 10/3; 10/3; 16/5; 3; 3; 3; 29/10; 3; 16/5; 16/5; 16/5; 16/5; ; 13/4; 3; 31/10; 18/5; 41/13; 13/4; 3; ; 14/5; ; 
