META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-21 00:19:21 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 4/6; ; 3/4; ; ; 3/4; 8/11; ; 4/6; 7/10; ; 8/11; 7/10; ; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 3/4; 8/11; 13/19; ; ; ; ; 
Athletic Bilbao; 4; ; 16/5; ; ; 19/5; 19/5; ; 7/2; 4; ; 15/4; 4; ; 4; 4; 75/19; 4; 4; 75/19; 41/10; 17/5; 4; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-21 16:22:03 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 3/4; ; ; 4/6; 4/6; ; 4/6; 13/20; ; 4/6; 13/20; ; 7/10; 4/6; 8/13; 4/6; 4/6; 8/13; 18/25; 13/19; 13/19; ; ; ; ; 
Draw; 14/5; ; 13/5; ; ; 3; 14/5; ; 14/5; 14/5; ; 11/4; 14/5; ; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 3; 27/10; 14/5; ; ; ; ; 
Athletic Bilbao; 9/2; ; 16/5; ; ; 17/4; 22/5; ; 19/5; 17/4; ; 4; 17/4; ; 4; 9/2; 21/5; 4; 4; 21/5; 9/2; 18/5; 4; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-21 20:20:35 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 3/4; ; ; 4/6; 4/6; ; 8/13; 13/20; 4/6; 4/6; 13/20; ; 7/10; 4/6; 11/18; 4/6; 4/6; 11/18; 18/25; 13/19; 13/19; ; ; ; ; 
Draw; 14/5; ; 13/5; ; ; 3; 14/5; ; 14/5; 11/4; 27/10; 11/4; 14/5; ; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 3; 27/10; 14/5; ; ; ; ; 
Athletic Bilbao; 9/2; ; 16/5; ; ; 17/4; 22/5; ; 4; 9/2; 19/5; 4; 17/4; ; 4; 9/2; 17/4; 4; 4; 17/4; 9/2; 18/5; 4; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-22 00:19:40 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 3/4; ; ; 4/6; 13/20; ; 8/13; 13/20; 4/6; 4/6; 13/20; ; 7/10; 4/6; 8/13; 4/6; 4/6; 8/13; 18/25; 13/19; 13/19; ; ; ; ; 
Draw; 14/5; ; 13/5; ; ; 3; 3; ; 14/5; 11/4; 27/10; 11/4; 14/5; ; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 3; 27/10; 14/5; ; ; ; ; 
Athletic Bilbao; 9/2; ; 16/5; ; ; 17/4; 21/5; ; 4; 9/2; 19/5; 4; 17/4; ; 4; 9/2; 17/4; 4; 4; 17/4; 9/2; 18/5; 4; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-22 04:19:39 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 3/4; ; ; 4/6; 4/6; ; 8/13; 13/20; 4/6; 4/6; 13/20; ; 7/10; 4/6; 8/13; 4/6; 4/6; 8/13; 17/25; 13/19; 13/19; ; ; ; ; 
Draw; 14/5; ; 13/5; ; ; 3; 14/5; ; 14/5; 11/4; 27/10; 11/4; 14/5; ; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 61/20; 27/10; 14/5; ; ; ; ; 
Athletic Bilbao; 9/2; ; 16/5; ; ; 17/4; 22/5; ; 4; 9/2; 19/5; 4; 17/4; ; 4; 9/2; 17/4; 4; 4; 17/4; 24/5; 18/5; 4; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-22 08:20:00 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 3/4; ; ; 4/6; 4/6; ; 8/13; 13/20; 4/6; 4/6; 13/20; ; 7/10; 4/6; 8/13; 4/6; 4/6; 8/13; 17/25; 13/19; 13/19; ; ; ; ; 
Draw; 14/5; ; 13/5; ; ; 3; 14/5; ; 14/5; 11/4; 27/10; 11/4; 14/5; ; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 61/20; 27/10; 14/5; ; ; ; ; 
Athletic Bilbao; 9/2; ; 16/5; ; ; 17/4; 22/5; ; 4; 9/2; 19/5; 4; 17/4; ; 4; 9/2; 17/4; 4; 4; 17/4; 24/5; 18/5; 4; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-22 12:20:18 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 7/10; ; ; 4/6; 4/6; ; 8/13; 13/20; 4/6; 4/6; 13/20; ; 7/10; 4/6; 8/13; 4/6; 4/6; 8/13; 17/25; 13/19; 13/19; ; ; ; ; 
Draw; 14/5; ; 14/5; ; ; 3; 14/5; ; 14/5; 11/4; 27/10; 11/4; 14/5; ; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 61/20; 27/10; 14/5; ; ; ; ; 
Athletic Bilbao; 9/2; ; 4; ; ; 17/4; 22/5; ; 4; 9/2; 19/5; 4; 17/4; ; 4; 9/2; 17/4; 4; 4; 17/4; 24/5; 18/5; 4; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-22 16:19:37 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 7/10; ; ; 4/6; 4/6; ; 8/13; 13/20; 4/6; 4/6; 13/20; ; 7/10; 4/6; 8/13; 4/6; 4/6; 8/13; 17/25; 13/19; 13/19; ; ; ; ; 
Draw; 14/5; ; 14/5; ; ; 3; 14/5; ; 14/5; 11/4; 27/10; 11/4; 14/5; ; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 61/20; 27/10; 14/5; ; ; ; ; 
Athletic Bilbao; 9/2; ; 4; ; ; 17/4; 22/5; ; 4; 9/2; 19/5; 4; 17/4; ; 4; 9/2; 17/4; 4; 4; 17/4; 24/5; 18/5; 4; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-22 20:25:06 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 7/10; ; ; 4/6; 4/6; ; 8/13; 13/20; 4/6; 4/6; 13/20; ; 7/10; 4/6; 8/13; 4/6; 4/6; 8/13; 17/25; 13/19; 13/19; ; ; ; ; 
Draw; 14/5; ; 14/5; ; ; 3; 14/5; ; 14/5; 11/4; 27/10; 11/4; 14/5; ; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 61/20; 27/10; 14/5; ; ; ; ; 
Athletic Bilbao; 9/2; ; 4; ; ; 17/4; 22/5; ; 4; 9/2; 19/5; 4; 17/4; ; 4; 9/2; 17/4; 4; 4; 17/4; 24/5; 18/5; 4; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-23 00:19:18 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 7/10; ; 4/6; 4/6; 13/20; ; 8/13; 13/20; 4/6; 4/6; 13/20; ; 7/10; 4/6; 8/13; 4/6; 4/6; 8/13; 17/25; 13/19; 13/19; ; ; ; ; 
Draw; 14/5; ; 14/5; ; 3; 3; 3; ; 14/5; 11/4; 27/10; 11/4; 14/5; ; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 61/20; 27/10; 14/5; ; ; ; ; 
Athletic Bilbao; 9/2; ; 4; ; 9/2; 17/4; 21/5; ; 4; 9/2; 19/5; 4; 17/4; ; 4; 9/2; 17/4; 4; 4; 17/4; 24/5; 18/5; 4; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-23 04:23:43 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 7/10; ; 4/6; 4/6; 13/20; ; 8/13; 13/20; 4/6; 4/6; 13/20; ; 7/10; 4/6; 8/13; 4/6; 4/6; 8/13; 17/25; 13/19; 13/19; ; ; ; ; 
Draw; 14/5; ; 14/5; ; 3; 3; 3; ; 14/5; 11/4; 27/10; 11/4; 14/5; ; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 61/20; 27/10; 14/5; ; ; ; ; 
Athletic Bilbao; 9/2; ; 4; ; 9/2; 17/4; 21/5; ; 4; 9/2; 19/5; 4; 17/4; ; 4; 9/2; 17/4; 4; 4; 17/4; 24/5; 18/5; 4; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-23 08:19:17 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 7/10; ; 4/6; 4/6; 13/20; ; 8/13; 13/20; 4/6; 4/6; 13/20; ; 7/10; 4/6; 11/18; 4/6; 4/6; 8/13; 17/25; 13/19; 13/19; ; ; ; ; 
Draw; 14/5; ; 14/5; ; 3; 3; 3; ; 14/5; 11/4; 27/10; 11/4; 14/5; ; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 61/20; 27/10; 14/5; ; ; ; ; 
Athletic Bilbao; 9/2; ; 4; ; 9/2; 17/4; 21/5; ; 4; 9/2; 19/5; 4; 17/4; ; 4; 9/2; 43/10; 4; 4; 17/4; 24/5; 18/5; 4; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-23 12:19:29 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 7/10; ; 4/6; 7/10; 13/20; ; 8/13; 13/20; 4/6; 4/6; 13/20; ; 7/10; 4/6; 8/13; 4/6; 4/6; 8/13; 17/25; 13/19; 13/19; ; ; ; ; 
Draw; 14/5; ; 14/5; ; 3; 3; 3; ; 14/5; 11/4; 27/10; 11/4; 14/5; ; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 61/20; 27/10; 14/5; ; ; ; ; 
Athletic Bilbao; 9/2; ; 4; ; 9/2; 4; 21/5; ; 4; 9/2; 19/5; 4; 17/4; ; 4; 9/2; 17/4; 4; 4; 17/4; 24/5; 18/5; 4; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-23 16:20:07 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 7/10; ; 4/6; 7/10; 13/20; ; 8/13; 13/20; 4/6; 4/6; 13/20; ; 7/10; 4/6; 8/13; 4/6; 4/6; 8/13; 17/25; 13/19; 13/19; ; ; ; ; 
Draw; 14/5; ; 14/5; ; 3; 3; 3; ; 14/5; 11/4; 27/10; 11/4; 14/5; ; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 61/20; 27/10; 14/5; ; ; ; ; 
Athletic Bilbao; 9/2; ; 4; ; 9/2; 4; 21/5; ; 4; 9/2; 19/5; 4; 17/4; ; 4; 9/2; 17/4; 4; 4; 17/4; 24/5; 18/5; 4; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-23 20:19:23 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 7/10; ; 4/6; 4/6; 13/20; ; 8/13; 13/20; 4/6; 4/6; 13/20; ; 7/10; 4/6; 8/13; 4/6; 4/6; 8/13; 17/25; ; 13/19; ; ; ; ; 
Draw; 14/5; ; 14/5; ; 3; 3; 3; ; 14/5; 11/4; 27/10; 11/4; 14/5; ; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 61/20; ; 14/5; ; ; ; ; 
Athletic Bilbao; 9/2; ; 4; ; 9/2; 17/4; 21/5; ; 4; 9/2; 19/5; 4; 17/4; ; 4; 9/2; 17/4; 4; 4; 17/4; 24/5; ; 4; ; ; ; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-24 00:19:15 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 7/10; ; 4/6; 7/10; 13/20; ; 8/13; 13/20; 4/6; 4/6; 13/20; ; 7/10; 4/6; 8/13; 4/6; 4/6; 8/13; 17/25; 13/19; 13/19; ; ; 8/13; ; 
Draw; 14/5; ; 14/5; ; 3; 3; 3; ; 14/5; 11/4; 27/10; 11/4; 14/5; ; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 61/20; 27/10; 14/5; ; ; 14/5; ; 
Athletic Bilbao; 9/2; ; 4; ; 9/2; 17/4; 21/5; ; 4; 9/2; 19/5; 4; 17/4; ; 4; 9/2; 17/4; 4; 4; 17/4; 24/5; 18/5; 4; ; ; 4; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-24 04:19:04 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 7/10; ; 4/6; 7/10; 13/20; ; 8/13; 13/20; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 8/13; 4/6; 4/6; 8/13; 17/25; 13/19; 13/19; ; ; 8/13; ; 
Draw; 14/5; ; 14/5; ; 3; 3; 3; ; 14/5; 11/4; 27/10; 11/4; 14/5; 29/10; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 61/20; 27/10; 14/5; ; ; 14/5; ; 
Athletic Bilbao; 9/2; ; 4; ; 9/2; 17/4; 21/5; ; 4; 9/2; 19/5; 4; 17/4; 4; 4; 9/2; 17/4; 4; 4; 17/4; 24/5; 18/5; 4; ; ; 7/2; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-24 08:18:35 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 7/10; ; 4/6; 4/6; 13/20; ; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 7/10; 4/6; 8/13; 4/6; 4/6; 8/13; 17/25; 13/19; 13/19; ; ; 4/7; ; 
Draw; 14/5; ; 14/5; ; 3; 3; 3; ; 14/5; 11/4; 27/10; 11/4; 14/5; 29/10; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 61/20; 27/10; 14/5; ; ; 14/5; ; 
Athletic Bilbao; 9/2; ; 4; ; 9/2; 17/4; 21/5; ; 4; 9/2; 19/5; 4; 17/4; 4; 4; 9/2; 17/4; 4; 4; 17/4; 24/5; 18/5; 4; ; ; 7/2; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-24 12:20:27 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 4/6; ; 4/6; 7/10; 13/20; ; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 7/10; 4/6; 8/13; 4/6; 4/6; 8/13; 17/25; 13/19; 13/19; ; ; 4/7; ; 
Draw; 14/5; ; 14/5; ; 3; 3; 3; ; 14/5; 11/4; 27/10; 11/4; 14/5; 29/10; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 61/20; 27/10; 14/5; ; ; 14/5; ; 
Athletic Bilbao; 9/2; ; 4; ; 9/2; 17/4; 21/5; ; 4; 9/2; 19/5; 4; 17/4; 4; 4; 9/2; 17/4; 4; 4; 17/4; 24/5; 18/5; 4; ; ; 7/2; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-24 16:19:31 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 4/6; ; 4/6; 7/10; 13/20; ; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 7/10; 4/6; 8/13; 4/6; 4/6; 8/13; 17/25; 13/19; 13/19; ; ; 4/7; ; 
Draw; 14/5; ; 14/5; ; 3; 3; 3; ; 14/5; 11/4; 27/10; 11/4; 14/5; 29/10; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 61/20; 27/10; 14/5; ; ; 14/5; ; 
Athletic Bilbao; 9/2; ; 4; ; 9/2; 17/4; 21/5; ; 4; 9/2; 19/5; 4; 17/4; 4; 4; 9/2; 17/4; 4; 4; 17/4; 24/5; 18/5; 4; ; ; 7/2; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-24 20:19:18 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 4/6; ; 4/6; 4/6; 13/20; ; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 7/10; 4/6; 11/18; 4/6; 4/6; 11/18; 17/25; 13/19; 13/19; ; ; 4/7; ; 
Draw; 14/5; ; 14/5; ; 3; 3; 3; ; 14/5; 11/4; 27/10; 11/4; 14/5; 29/10; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 61/20; 27/10; 14/5; ; ; 14/5; ; 
Athletic Bilbao; 9/2; ; 4; ; 9/2; 17/4; 21/5; ; 4; 9/2; 19/5; 4; 17/4; 4; 4; 9/2; 74/17; 4; 4; 74/17; 24/5; 18/5; 4; ; ; 7/2; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-25 00:19:05 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 4/6; 7/10; 4/6; 4/6; 13/20; ; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 7/10; 4/6; 11/18; 4/6; 4/7; 11/18; 17/25; 13/19; 5/8; 4/6; ; 4/7; ; 
Draw; 14/5; ; 14/5; 14/5; 3; 3; 3; ; 14/5; 11/4; 27/10; 11/4; 14/5; 29/10; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 61/20; 27/10; 14/5; 14/5; ; 14/5; ; 
Athletic Bilbao; 9/2; ; 4; 19/5; 9/2; 17/4; 21/5; ; 4; 9/2; 19/5; 4; 17/4; 4; 4; 9/2; 74/17; 4; 23/5; 74/17; 24/5; 18/5; 19/4; 4; ; 7/2; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-25 04:19:33 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 4/6; 7/10; 4/6; 4/6; 13/20; ; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 7/10; 4/6; 11/18; 4/6; ; 11/18; 17/25; 13/19; 5/8; 4/6; ; 4/7; ; 
Draw; 14/5; ; 14/5; 14/5; 3; 3; 3; ; 14/5; 11/4; 27/10; 11/4; 14/5; 29/10; 14/5; 14/5; 14/5; 27/10; ; 14/5; 61/20; 27/10; 14/5; 14/5; ; 14/5; ; 
Athletic Bilbao; 9/2; ; 4; 19/5; 9/2; 17/4; 21/5; ; 4; 9/2; 19/5; 4; 17/4; 4; 4; 9/2; 74/17; 4; ; 74/17; 24/5; 18/5; 19/4; 4; ; 7/2; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-25 12:19:50 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 4/6; 7/10; 4/6; 4/6; 13/20; ; 8/13; 13/20; 4/6; 4/6; ; 13/20; 7/10; 4/6; 11/18; 4/6; 4/7; 11/18; 17/25; 13/19; 5/8; 4/6; ; 4/7; ; 
Draw; 14/5; ; 14/5; 14/5; 3; 3; 3; ; 14/5; 11/4; 27/10; 11/4; ; 29/10; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 61/20; 27/10; 14/5; 14/5; ; 14/5; ; 
Athletic Bilbao; 9/2; ; 4; 19/5; 9/2; 17/4; 21/5; ; 4; 9/2; 19/5; 4; ; 4; 4; 9/2; 74/17; 4; 23/5; 74/17; 24/5; 18/5; 19/4; 4; ; 7/2; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-25 16:19:07 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 4/6; 7/10; 4/6; 4/6; 13/20; ; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 7/10; 4/6; 11/17; 4/6; 4/7; 11/17; 17/25; 13/19; 5/8; 4/6; ; 4/7; ; 
Draw; 14/5; ; 14/5; 14/5; 3; 3; 3; ; 14/5; 11/4; 27/10; 11/4; 14/5; 29/10; 14/5; 14/5; 11/4; 27/10; 14/5; 11/4; 61/20; 27/10; 14/5; 14/5; ; 14/5; ; 
Athletic Bilbao; 9/2; ; 4; 19/5; 9/2; 17/4; 21/5; ; 4; 9/2; 19/5; 4; 17/4; 4; 4; 9/2; 4; 4; 23/5; 4; 24/5; 18/5; 19/4; 4; ; 7/2; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-25 20:19:09 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; ; 4/6; 7/10; 7/10; 8/11; 7/10; ; 4/6; 4/6; 4/6; 7/10; 4/6; 13/20; 7/10; 7/10; 11/17; 4/6; 4/6; 11/17; 7/10; 13/18; 13/19; 7/10; ; 4/6; ; 
Draw; 14/5; ; 14/5; 14/5; 3; 14/5; 3; ; 14/5; 13/5; 13/5; 14/5; 14/5; 29/10; 14/5; 14/5; 27/10; 27/10; 14/5; 27/10; 74/25; 27/10; 14/5; 11/4; ; 14/5; ; 
Athletic Bilbao; 9/2; ; 4; 19/5; 4; 4; 19/5; ; 19/5; 4; 18/5; 15/4; 4; 4; 4; 4; 4; 4; 21/5; 4; 47/10; 33/10; 21/5; 15/4; ; 7/2; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-26 00:18:53 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 2/3; 4/6; 7/10; 4/6; 7/10; 13/20; 8/13; 4/6; 4/6; 4/6; 7/10; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 13/18; 13/19; 4/6; ; 8/13; ; 
Draw; 14/5; 14/5; 14/5; 14/5; 3; 3; 3; 11/4; 14/5; 11/4; 27/10; 14/5; 14/5; 29/10; 14/5; 3; 11/4; 27/10; 14/5; 11/4; 74/25; 27/10; 14/5; 11/4; ; 14/5; ; 
Athletic Bilbao; 9/2; 4; 4; 19/5; 9/2; 4; 4; 7/2; 19/5; 4; 15/4; 15/4; 4; 15/4; 4; 4; 77/19; 4; 21/5; 77/19; 47/10; 33/10; 21/5; 15/4; ; 7/2; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-26 04:18:52 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 2/3; 4/6; 7/10; 4/6; 7/10; 13/20; 8/13; 4/6; 4/6; 4/6; 7/10; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 13/18; 13/19; 4/6; ; 8/13; ; 
Draw; 14/5; 14/5; 14/5; 14/5; 3; 3; 3; 11/4; 14/5; 11/4; 27/10; 14/5; 14/5; 29/10; 14/5; 3; 11/4; 27/10; 14/5; 11/4; 74/25; 27/10; 14/5; 11/4; ; 14/5; ; 
Athletic Bilbao; 9/2; 4; 4; 19/5; 9/2; 4; 4; 7/2; 19/5; 4; 15/4; 15/4; 4; 15/4; 4; 4; 77/19; 4; 21/5; 77/19; 47/10; 33/10; 21/5; 15/4; ; 7/2; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-26 08:19:14 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 2/3; 4/6; 7/10; 4/6; 7/10; 13/20; 8/13; 4/6; 4/6; 4/6; 7/10; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 13/18; 13/19; 4/6; ; 8/13; ; 
Draw; 14/5; 14/5; 14/5; 14/5; 3; 3; 3; 11/4; 14/5; 11/4; 27/10; 14/5; 14/5; 29/10; 14/5; 3; 11/4; 27/10; 14/5; 11/4; 74/25; 27/10; 14/5; 11/4; ; 14/5; ; 
Athletic Bilbao; 9/2; 4; 4; 19/5; 9/2; 4; 4; 7/2; 19/5; 4; 15/4; 15/4; 4; 15/4; 4; 4; 4; 4; 21/5; 4; 47/10; 33/10; 21/5; 15/4; ; 7/2; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2017-02-26 12:20:41 GMT+2; 2017-03-02 20:30; e70300-dr003
Sevilla; 8/13; 2/3; 7/10; 7/10; 4/6; 7/10; 13/20; 8/13; 4/6; 4/6; 4/6; 7/10; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 13/18; 13/19; 4/6; ; 8/13; ; 
Draw; 14/5; 14/5; 14/5; 14/5; 3; 3; 3; 11/4; 14/5; 11/4; 27/10; 14/5; 14/5; 29/10; 14/5; 3; 11/4; 27/10; 14/5; 11/4; 74/25; 27/10; 14/5; 11/4; ; 14/5; ; 
Athletic Bilbao; 9/2; 4; 4; 19/5; 9/2; 4; 4; 7/2; 19/5; 4; 15/4; 15/4; 4; 15/4; 4; 4; 77/19; 4; 21/5; 77/19; 47/10; 33/10; 21/5; 15/4; ; 7/2; ; 
