Draw; 13/5; ; 27/10; 13/5; ; 14/5; 29/10; ; 14/5; 13/5; 13/5; ; 11/4; 29/10; 3; 14/5; 45/17; 13/5; 13/5; 45/17; 29/10; 11/4; 13/5; ; ; 13/5; ; 
Eibar; 15/4; ; 7/2; 7/2; ; 7/2; 7/2; ; 10/3; 7/2; 13/4; ; 7/2; 16/5; 10/3; 7/2; 18/5; 10/3; 7/2; 18/5; 73/20; 37/13; 15/4; ; ; 3; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-24 16:20:18 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; 8/11; ; 4/5; 3/4; ; 4/5; 3/4; ; 4/5; 3/4; 3/4; ; 3/4; 3/4; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 5/6; 4/5; 3/4; ; ; 4/6; ; 
Draw; 13/5; ; 27/10; 13/5; ; 14/5; 29/10; ; 14/5; 13/5; 13/5; ; 11/4; 29/10; 3; 14/5; 27/10; 13/5; 13/5; 27/10; 29/10; 11/4; 13/5; ; ; 13/5; ; 
Eibar; 15/4; ; 7/2; 7/2; ; 7/2; 7/2; ; 10/3; 7/2; 13/4; ; 7/2; 16/5; 10/3; 7/2; 18/5; 10/3; 7/2; 18/5; 73/20; 37/13; 15/4; ; ; 14/5; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-24 20:20:18 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; 8/11; ; 4/5; 3/4; ; 4/5; 3/4; ; 4/5; 3/4; 3/4; ; 3/4; 3/4; 3/4; 4/5; 14/19; 7/9; 8/11; ; 5/6; 4/5; 3/4; ; ; 4/6; ; 
Draw; 13/5; ; 27/10; 13/5; ; 14/5; 29/10; ; 14/5; 13/5; 13/5; ; 11/4; 29/10; 3; 14/5; 45/17; 13/5; 13/5; ; 29/10; 11/4; 13/5; ; ; 13/5; ; 
Eibar; 15/4; ; 7/2; 7/2; ; 7/2; 7/2; ; 10/3; 7/2; 13/4; ; 7/2; 16/5; 10/3; 7/2; 18/5; 10/3; 7/2; ; 73/20; 37/13; 15/4; ; ; 14/5; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-25 00:19:13 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; 8/11; ; 4/5; 3/4; ; 4/5; 3/4; ; 4/5; 3/4; 3/4; ; 3/4; 3/4; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 5/6; 4/5; 3/4; ; ; 4/6; ; 
Draw; 13/5; ; 27/10; 13/5; ; 14/5; 29/10; ; 14/5; 13/5; 13/5; ; 11/4; 29/10; 3; 14/5; 45/17; 13/5; 13/5; 45/17; 29/10; 11/4; 13/5; ; ; 13/5; ; 
Eibar; 15/4; ; 7/2; 7/2; ; 7/2; 7/2; ; 10/3; 7/2; 13/4; ; 7/2; 16/5; 10/3; 7/2; 18/5; 10/3; 7/2; 18/5; 73/20; 37/13; 15/4; ; ; 14/5; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-25 04:19:10 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; 8/11; ; 4/5; 3/4; ; 4/5; 3/4; ; 4/5; 3/4; 3/4; ; 3/4; 3/4; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 17/20; 4/5; 3/4; ; ; 4/6; ; 
Draw; 13/5; ; 27/10; 13/5; ; 14/5; 29/10; ; 14/5; 13/5; 13/5; ; 11/4; 29/10; 3; 14/5; 45/17; 13/5; 13/5; 45/17; 29/10; 11/4; 13/5; ; ; 13/5; ; 
Eibar; 15/4; ; 7/2; 7/2; ; 7/2; 7/2; ; 10/3; 7/2; 13/4; ; 7/2; 16/5; 10/3; 7/2; 18/5; 10/3; 7/2; 18/5; 71/20; 37/13; 15/4; ; ; 14/5; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-25 08:19:09 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; 8/11; ; 4/5; 3/4; ; 4/5; 3/4; ; 4/5; 3/4; 3/4; ; 3/4; 3/4; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 17/20; 4/5; 3/4; ; ; 4/6; ; 
Draw; 13/5; ; 27/10; 13/5; ; 14/5; 29/10; ; 14/5; 13/5; 13/5; ; 11/4; 29/10; 3; 14/5; 45/17; 13/5; 13/5; 45/17; 29/10; 11/4; 13/5; ; ; 13/5; ; 
Eibar; 15/4; ; 7/2; 7/2; ; 7/2; 7/2; ; 10/3; 7/2; 13/4; ; 7/2; 16/5; 10/3; 7/2; 18/5; 10/3; 7/2; 18/5; 71/20; 37/13; 15/4; ; ; 14/5; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-25 12:20:09 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; 8/11; ; 4/5; 3/4; ; 4/5; 3/4; ; 4/5; 3/4; 3/4; ; 3/4; 3/4; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 17/20; 4/5; 3/4; ; ; 8/11; ; 
Draw; 13/5; ; 27/10; 13/5; ; 14/5; 29/10; ; 14/5; 13/5; 13/5; ; 11/4; 29/10; 3; 14/5; 13/5; 13/5; 13/5; 13/5; 29/10; 11/4; 13/5; ; ; 27/10; ; 
Eibar; 15/4; ; 7/2; 7/2; ; 7/2; 7/2; ; 10/3; 7/2; 13/4; ; 7/2; 16/5; 10/3; 7/2; 39/11; 10/3; 7/2; 39/11; 71/20; 37/13; 15/4; ; ; 7/2; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-25 16:19:49 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; 8/11; ; 4/5; 3/4; ; 4/5; 3/4; ; 4/5; 3/4; 3/4; ; 3/4; 3/4; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 17/20; 4/5; 3/4; ; ; 8/11; ; 
Draw; 13/5; ; 27/10; 13/5; ; 14/5; 29/10; ; 14/5; 13/5; 13/5; ; 11/4; 29/10; 3; 11/4; 13/5; 13/5; 13/5; 13/5; 29/10; 11/4; 13/5; ; ; 27/10; ; 
Eibar; 15/4; ; 7/2; 7/2; ; 7/2; 7/2; ; 10/3; 7/2; 13/4; ; 7/2; 16/5; 10/3; 7/2; 39/11; 10/3; 7/2; 39/11; 71/20; 37/13; 15/4; ; ; 7/2; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-25 20:19:48 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; 8/11; ; 4/5; 3/4; ; 4/5; 3/4; ; 4/5; 3/4; 3/4; ; 3/4; 3/4; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 17/20; ; 3/4; ; ; 4/6; ; 
Draw; 13/5; ; 27/10; 13/5; ; 14/5; 29/10; ; 14/5; 13/5; 13/5; ; 11/4; 29/10; 3; 14/5; 13/5; 13/5; 13/5; 13/5; 29/10; ; 13/5; ; ; 27/10; ; 
Eibar; 15/4; ; 7/2; 7/2; ; 7/2; 7/2; ; 10/3; 7/2; 13/4; ; 7/2; 16/5; 10/3; 7/2; 39/11; 10/3; 7/2; 39/11; 71/20; ; 15/4; ; ; 7/2; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-26 00:19:09 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; 8/11; ; 4/5; 3/4; ; 4/5; 3/4; ; 4/5; 3/4; 3/4; ; 3/4; 3/4; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 17/20; 4/5; 3/4; ; ; 8/11; ; 
Draw; 13/5; ; 27/10; 13/5; ; 14/5; 29/10; ; 14/5; 13/5; 13/5; ; 11/4; 29/10; 3; 14/5; 13/5; 13/5; 13/5; 13/5; 29/10; 11/4; 13/5; ; ; 27/10; ; 
Eibar; 15/4; ; 7/2; 7/2; ; 7/2; 7/2; ; 10/3; 7/2; 13/4; ; 7/2; 16/5; 10/3; 7/2; 39/11; 10/3; 7/2; 39/11; 71/20; 37/13; 15/4; ; ; 7/2; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-26 04:19:09 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; 8/11; ; 4/5; 3/4; ; 4/5; 3/4; ; 4/5; 3/4; 3/4; ; 3/4; 3/4; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 17/20; 4/5; 3/4; ; ; 4/6; ; 
Draw; 13/5; ; 27/10; 13/5; ; 14/5; 29/10; ; 14/5; 13/5; 13/5; ; 11/4; 29/10; 3; 14/5; 13/5; 13/5; 13/5; 13/5; 29/10; 11/4; 13/5; ; ; 27/10; ; 
Eibar; 15/4; ; 7/2; 7/2; ; 7/2; 7/2; ; 10/3; 7/2; 13/4; ; 7/2; 16/5; 10/3; 7/2; 39/11; 10/3; 7/2; 39/11; 71/20; 37/13; 15/4; ; ; 7/2; ; 
META; spain/la-liga-primera/valencia-v-eibar; 2017-01-26 08:19:10 GMT+2; 2017-02-04 19:45; e70300-dr003
Valencia; 8/11; ; 4/5; 3/4; ; 4/5; 3/4; ; 4/5; 3/4; 3/4; ; 3/4; 3/4; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 17/20; 4/5; 3/4; ; ; 4/6; ; 
