META; champions-league/atletico-madrid-v-leicester; 2017-03-17 14:15:00 GMT+2; 2017-04-11 18:45; Nothing; Xlenovo
Atletico Madrid; ; 4/11; ; ; ; ; ; ; 1/3; 3/10; 1/4; ; 3/10; ; 30/100; ; 2/7; ; 3/10; 2/7; ; ; 3/10; ; 3/10; ; ; ; 
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 54/5; 48/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-02 10:40:27 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 1/3; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 1/3; 3/10; 3/10
Draw; 4; 19/5; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 9; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 54/5; 48/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-02 14:40:21 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 1/3; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 10; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 54/5; 48/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-02 18:53:55 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 1/3; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 1/3; 3/10; 3/10
Draw; 4; 19/5; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 1/100; 4; 21/5
Leicester; 10; 9; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 10; 43/5; 43/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-02 22:53:56 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 1/3; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 1/100; 4; 21/5
Leicester; 10; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 10; 43/5; 43/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-03 02:53:51 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 1/20; 2/7; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 21/5
Leicester; 10; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 1/20; 41/5; 43/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-03 06:53:51 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 1/3; 2/7; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 1/100; 4; 21/5
Leicester; 10; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 10; 41/5; 43/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-03 10:53:53 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 3/11; 3/10; 3/10; 3/11; 8/25; 4/13; 3/10; 2/7; 3/10; ; 1/3; 2/7; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 1/100; 4; 21/5
Leicester; 10; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 10; 41/5; 43/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-03 14:15:07 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 1/20; 2/7; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 21/5
Leicester; 10; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 1/20; 41/5; 43/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-03 18:15:09 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 1/20; 2/7; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 21/5
Leicester; 10; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 1/20; 41/5; 43/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-03 22:15:08 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 1/16; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 1/50; 4; 21/5
Leicester; 10; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 1/16; 41/5; 43/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-04 02:15:07 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 2/7; 3/10; ; 8/15; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 7/2; 4; 21/5
Leicester; 10; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 11; 45/4; 9; 11; 45/4; 11; 44/5; 11; 10; 11; ; 8/11; 41/5; 43/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-04 06:15:07 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 3/10; 3/10; ; 1/3; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 21/5
Leicester; 9; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 11; 9; 11; 11; 11; 44/5; 11; 9; 11; ; 19/2; 41/5; 43/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-04 10:15:05 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 3/10; 3/10; 3/10; 3/10; 8/25; 4/13; 3/10; 3/10; 3/10; ; 8/15; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 9/2; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 21/5; 4; 21/5; 21/5; 24/5; 43/10; 21/5; 4; 21/5; ; 9/10; 4; 21/5
Leicester; 9; 10; 11; 10; 10; 11; 12; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 39/4; 9; 11; 39/4; 11; 44/5; 11; 9; 11; ; 8/11; 41/5; 43/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-04 14:15:06 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 3/10; 3/10; 3/10; 3/10; 8/25; 4/13; 3/10; 3/10; 3/10; ; 8/15; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 21/5; 4; 21/5; 21/5; 24/5; 43/10; 21/5; 4; 21/5; ; 9/10; 7/2; 21/5
Leicester; 9; 10; 11; 10; 10; 11; 11; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 10; 9; 11; 10; 11; 44/5; 11; 9; 11; ; 8/11; 39/5; 43/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-04 18:15:07 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 3/10; 3/10; ; 1/3; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 43/10; 21/5; 4; 21/5; ; 7/2; 7/2; 22/5
Leicester; 9; 10; 11; 10; 10; 11; 11; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 11; 9; 11; 11; 11; 44/5; 11; 9; 11; ; 8/11; 39/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-04 22:15:06 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 2/7; 8/25; ; 3/10; 3/10; 3/10; ; 8/15; 2/7; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; ; 21/5; 4; 21/5; ; 4; 7/2; 22/5
Leicester; 9; 10; 11; 10; 10; 11; 11; 8; 10; 11; 11; 10; 17/2; 9; 10; 10; 43/4; 9; 11; 43/4; 11; ; 11; 9; 11; ; 8/11; 39/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-05 02:15:07 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 3/10; 3/10; ; 8/15; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 43/10; 21/5; 4; 21/5; ; 7/2; 7/2; 22/5
Leicester; 9; 10; 11; 10; 10; 11; 11; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 43/4; 9; 11; 43/4; 11; 44/5; 11; 9; 11; ; 19/2; 41/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-05 06:15:05 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 3/10; 3/10; ; 4/7; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 43/10; 21/5; 4; 21/5; ; 9/10; 7/2; 22/5
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 11; 11; 11; 17/2; 17/2; 10; 10; 43/4; 9; 11; 43/4; 11; 44/5; 11; 9; 11; ; 19/2; 8; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-05 10:15:08 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 3/10; 3/10; ; 4/7; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 43/10; 21/5; 4; 21/5; ; 5/6; 7/2; 22/5
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 11; 11; 11; 17/2; 17/2; 10; 10; 43/4; 9; 11; 43/4; 11; 44/5; 11; 9; 11; ; 8/11; 8; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-05 14:15:09 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 3/10; 3/10; ; 1/3; 1/3; 3/10
Draw; 4; 19/5; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 43/10; 21/5; 4; 21/5; ; 21/5; 4; 22/5
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 11; 11; 11; 17/2; 17/2; 10; 10; 43/4; 9; 11; 43/4; 11; 44/5; 11; 9; 11; ; 10; 43/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-05 18:15:05 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 3/10; 3/10; ; 1/3; 3/10; 3/10
Draw; 4; 19/5; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 43/10; 21/5; 4; 21/5; ; 1; 4; 
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 11; 11; 11; 17/2; 17/2; 10; 10; 43/4; 9; 11; 43/4; 11; 44/5; 11; 9; 11; ; 10/11; 46/5; 
META; champions-league/atletico-madrid-v-leicester; 2017-04-05 22:15:06 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 3/10; 3/10; ; 4/7; 3/10; 3/10
Draw; 4; 19/5; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 21/5; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 11; 11; 10; 17/2; 17/2; 10; 10; 43/4; 9; 11; 43/4; 11; 19/2; 11; 9; 11; ; 59/5; 56/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-06 02:15:05 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 3/10; 3/10; ; 3/10; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 21/5; 21/5; 4; 21/5; ; 4; 4; 22/5
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 43/4; 9; 11; 43/4; 11; 19/2; 11; 9; 11; ; 54/5; 56/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-06 06:15:05 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 3/10; 3/10; ; 3/10; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 21/5; 21/5; 4; 21/5; ; 19/10; 4; 22/5
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 43/4; 9; 11; 43/4; 11; 19/2; 11; 9; 11; ; 54/5; 56/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-06 10:15:06 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 3/10; 3/10; ; 1/10; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 21/5; 21/5; 4; 21/5; ; 19/10; 4; 22/5
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 11; 9; 11; 11; 11; 19/2; 11; 9; 11; ; 20/21; 53/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-06 14:15:06 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 3/10; 3/10; ; 1/3; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 21/5; 21/5; 4; 21/5; ; 19/10; 4; 22/5
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 43/4; 9; 11; 43/4; 11; 19/2; 11; 9; 11; ; 20/21; 48/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-06 18:15:12 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 3/10; 3/10; ; 2/5; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 21/5; 21/5; 4; 21/5; ; 21/5; 4; 22/5
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 11; 9; 11; 11; 11; 19/2; 11; 9; 11; ; 54/5; 53/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-06 22:15:07 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 3/10; 3/10; ; 2/5; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 9/2; 43/10; 4; 21/5; 43/10; 24/5; 21/5; 21/5; 4; 21/5; ; 21/5; 4; 22/5
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 43/4; 9; 11; 43/4; 11; 19/2; 11; 9; 11; ; 20/21; 53/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-07 02:15:05 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 3/10; 3/10; ; 3/10; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 15/4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 21/5; 21/5; 4; 21/5; ; 19/10; 4; 22/5
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 43/4; 9; 11; 43/4; 11; 19/2; 11; 9; 11; ; 20/21; 53/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-07 06:15:05 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 3/10; 3/10; ; 1/3; 3/10; 3/10
Draw; 4; 4; 4; 4; 9/2; 17/4; 17/4; 4; 17/4; 4; 9/2; 15/4; 9/2; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 24/5; 21/5; 21/5; 4; 21/5; ; 19/10; 4; 22/5
Leicester; 9; 10; 11; 10; 10; 9; 11; 8; 10; 11; 11; 11; 17/2; 9; 10; 10; 11; 9; 11; 11; 11; 19/2; 11; 9; 11; ; 20/21; 53/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-04-07 10:15:06 GMT+3; 2017-04-12 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 4/13; 3/10; 3/10; 3/10; ; 1/3; 3/10; 3/10
