META; champions-league/atletico-de-madrid-v-real-madrid; 2017-05-03 02:15:03 GMT+3; 2017-05-10 19:45; Nothing; Xlenovo
Real Madrid; 6/4; 6/5; ; ; 7/5; ; 6/4; 7/5; ; ; 29/20; ; 6/4; 8/5; ; 16/11; 6/4; 13/10; ; 6/4; 143/100; 16/11; ; ; ; ; ; ; 
Atletico de Madrid; 8/5; 8/5; 13/8; 13/8; 7/4; 5/3; 8/5; 7/4; 13/8; 33/20; 13/8; 13/8; 8/5; 13/8; ; 28/17; 8/5; 8/5; ; 8/5; 44/25; 19/12; ; 13/8; ; ; ; 13/8; 
Draw; 12/5; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 27/10; 13/5; 23/10; 51/20; 12/5; ; 13/5; 27/11; 13/5; ; 27/11; 68/25; 45/17; ; 5/2; ; ; ; 5/2; 
META; champions-league/atletico-de-madrid-v-real-madrid; 2017-05-04 02:15:03 GMT+3; 2017-05-10 19:45; Nothing; Xlenovo
Real Madrid; 8/5; 6/4; 13/8; 6/4; ; 5/3; 8/5; 7/5; 8/5; 31/20; 8/5; 8/5; 31/20; 13/8; 13/8; 6/4; 8/5; 16/11; ; 8/5; 8/5; 19/12; ; 8/5; ; ; ; 6/4; 
Atletico de Madrid; 8/5; 8/5; 13/8; 13/8; ; 5/3; 8/5; 7/4; 13/8; 6/4; 31/20; 13/8; 8/5; 13/8; 8/5; 28/17; 8/5; 8/5; ; 8/5; 44/25; 19/12; ; 13/8; ; ; ; 13/8; 
Draw; 12/5; 13/5; 49/20; 13/5; ; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; ; 12/5; 68/25; 45/17; ; 12/5; ; ; ; 12/5; 
META; champions-league/atletico-de-madrid-v-real-madrid; 2017-05-04 10:15:03 GMT+3; 2017-05-10 19:45; Nothing; Xlenovo
Real Madrid; 8/5; 8/5; 13/8; 6/4; ; 8/5; 8/5; 7/5; 8/5; ; 8/5; 8/5; 31/20; 13/8; 13/8; 17/11; 17/11; 16/11; ; 17/11; 8/5; 8/5; ; 8/5; ; ; ; 6/4; 
Atletico de Madrid; 8/5; 6/4; 13/8; 13/8; ; 17/10; 8/5; 7/4; 13/8; ; 31/20; 13/8; 8/5; 13/8; 8/5; 28/17; 8/5; 8/5; ; 8/5; 44/25; 14/9; ; 13/8; ; ; ; 13/8; 
Draw; 12/5; 13/5; 49/20; 13/5; ; 5/2; 5/2; 5/2; 5/2; ; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; ; 12/5; 68/25; 45/17; ; 12/5; ; ; ; 5/2; 
META; champions-league/atletico-de-madrid-v-real-madrid; 2017-05-04 14:15:03 GMT+3; 2017-05-10 19:45; Nothing; Xlenovo
Real Madrid; 8/5; 8/5; 13/8; 6/4; ; 8/5; 8/5; 7/5; 8/5; 31/20; 8/5; 8/5; 31/20; 13/8; 13/8; 17/11; 17/11; 16/11; ; ; 8/5; 8/5; ; 8/5; ; ; ; 6/4; 13/8
Atletico de Madrid; 8/5; 6/4; 13/8; 13/8; ; 17/10; 8/5; 7/4; 13/8; 6/4; 31/20; 8/5; 8/5; 13/8; 8/5; 28/17; 8/5; 8/5; ; ; 44/25; 14/9; ; 13/8; ; ; ; 8/5; 13/8
Draw; 12/5; 13/5; 49/20; 13/5; ; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; ; ; 68/25; 45/17; ; 12/5; ; ; ; 5/2; 5/2
META; champions-league/atletico-de-madrid-v-real-madrid; 2017-05-04 18:15:03 GMT+3; 2017-05-10 19:45; Nothing; Xlenovo
Real Madrid; 8/5; 8/5; 13/8; 6/4; ; 8/5; 8/5; 7/5; 8/5; 31/20; 8/5; 8/5; 31/20; 13/8; 13/8; 17/11; 8/5; 16/11; ; 8/5; 8/5; 29/18; ; 8/5; ; ; ; 6/4; 13/8
Atletico de Madrid; 8/5; 6/4; 13/8; 13/8; ; 17/10; 8/5; 7/4; 13/8; 6/4; 31/20; 8/5; 8/5; 13/8; 8/5; 28/17; 8/5; 8/5; ; 8/5; 44/25; 29/18; ; 13/8; ; ; ; 8/5; 13/8
Draw; 12/5; 13/5; 49/20; 13/5; ; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; ; 12/5; 68/25; 45/17; ; 12/5; ; ; ; 5/2; 5/2
META; champions-league/atletico-de-madrid-v-real-madrid; 2017-05-04 22:15:03 GMT+3; 2017-05-10 19:45; Nothing; Xlenovo
Real Madrid; 8/5; 8/5; 13/8; 6/4; ; 8/5; 8/5; 7/5; 8/5; 31/20; 8/5; 8/5; 31/20; 13/8; 13/8; 17/11; ; 16/11; ; 8/5; 8/5; 29/18; ; 8/5; ; ; ; 6/4; 13/8
Atletico de Madrid; 8/5; 6/4; 13/8; 13/8; ; 17/10; 8/5; 7/4; 13/8; 6/4; 31/20; 8/5; 8/5; 13/8; 8/5; 28/17; ; 8/5; ; 8/5; 44/25; 29/18; ; 13/8; ; ; ; 8/5; 13/8
Draw; 12/5; 13/5; 49/20; 13/5; ; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; ; 13/5; ; 12/5; 68/25; 45/17; ; 12/5; ; ; ; 5/2; 5/2
META; champions-league/atletico-de-madrid-v-real-madrid; 2017-05-05 02:15:03 GMT+3; 2017-05-10 19:45; Nothing; Xlenovo
Real Madrid; 8/5; 13/8; 13/8; 6/4; ; 8/5; 13/8; 7/5; 8/5; 31/20; 8/5; 8/5; 31/20; 13/8; 13/8; 17/11; 17/11; 16/11; ; 17/11; 8/5; 29/18; ; 8/5; ; ; ; 8/5; 13/8
Atletico de Madrid; 8/5; 6/4; 13/8; 13/8; ; 17/10; 8/5; 7/4; 13/8; 6/4; 31/20; 8/5; 8/5; 13/8; 8/5; 28/17; 8/5; 8/5; ; 8/5; 7/4; 29/18; ; 13/8; ; ; ; 13/8; 13/8
Draw; 12/5; 13/5; 49/20; 13/5; ; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 27/11; 13/5; ; 27/11; 11/4; 45/17; ; 12/5; ; ; ; 5/2; 5/2
META; champions-league/atletico-de-madrid-v-real-madrid; 2017-05-05 10:15:03 GMT+3; 2017-05-10 19:45; Nothing; Xlenovo
Real Madrid; 8/5; 13/8; 13/8; 6/4; ; 8/5; 13/8; 7/5; 8/5; 31/20; 8/5; 8/5; 31/20; 13/8; 13/8; 17/11; 17/11; 16/11; ; 17/11; 8/5; 29/18; ; 8/5; ; ; ; 6/4; 13/8
Atletico de Madrid; 8/5; 6/4; 13/8; 13/8; ; 17/10; 8/5; 7/4; 13/8; 6/4; 31/20; 8/5; 8/5; 13/8; 8/5; 28/17; 8/5; 8/5; ; 8/5; 7/4; 29/18; ; 13/8; ; ; ; 13/8; 13/8
Draw; 12/5; 13/5; 49/20; 13/5; ; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; ; 12/5; 11/4; 45/17; ; 12/5; ; ; ; 5/2; 5/2
META; champions-league/atletico-de-madrid-v-real-madrid; 2017-05-05 14:15:03 GMT+3; 2017-05-10 19:45; Nothing; Xlenovo
Real Madrid; 8/5; 13/8; 13/8; 6/4; ; 8/5; 13/8; 7/5; 8/5; 31/20; 8/5; 8/5; 31/20; 13/8; 13/8; 17/11; 17/11; 16/11; ; 17/11; 8/5; 29/18; ; 8/5; ; ; ; 6/4; 13/8
Atletico de Madrid; 8/5; 6/4; 13/8; 13/8; ; 17/10; 8/5; 7/4; 13/8; 6/4; 31/20; 8/5; 8/5; 13/8; 8/5; 28/17; 8/5; 8/5; ; 8/5; 7/4; 29/18; ; 13/8; ; ; ; 13/8; 17/10
Draw; 12/5; 13/5; 49/20; 13/5; ; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; ; 12/5; 11/4; 45/17; ; 12/5; ; ; ; 5/2; 13/5
META; champions-league/atletico-de-madrid-v-real-madrid; 2017-05-05 18:15:03 GMT+3; 2017-05-10 19:45; Nothing; Xlenovo
Real Madrid; 8/5; 8/5; 13/8; 6/4; ; 8/5; 8/5; 7/5; 8/5; 31/20; 8/5; 8/5; 31/20; 13/8; 13/8; 17/11; 8/5; 16/11; ; 8/5; 8/5; 29/18; ; 8/5; ; ; ; 6/4; 13/8
Atletico de Madrid; 8/5; 6/4; 13/8; 13/8; ; 17/10; 8/5; 7/4; 13/8; 6/4; 31/20; 8/5; 8/5; 13/8; 8/5; 28/17; 28/17; 8/5; ; 28/17; 7/4; 29/18; ; 13/8; ; ; ; 13/8; 17/10
Draw; 12/5; 13/5; 49/20; 13/5; ; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 27/11; 13/5; ; 27/11; 11/4; 45/17; ; 12/5; ; ; ; 5/2; 13/5
