Draw; 19/4; 9/2; 19/4; 9/2; 5; 19/4; 5; 4; 21/4; 19/4; 9/2; 9/2; 19/4; 5; 11/2; 9/2; 5; 17/4; 21/5; 5; 51/10; 24/5; 17/4; ; 17/4; ; ; ; 
Bournemouth; 12; 9; 10; 9; 11; 11; 12; 9; 10; 11; 10; 10; 11; 11; 9; 10; 43/4; 9; 9; 43/4; 12; 10; 9; ; 9; ; ; ; 
META; english/premier-league/liverpool-v-bournemouth; 2017-03-22 18:16:10 GMT+2; 2017-04-05 20:00; Nothing; Xlenovo
Liverpool; 2/9; 2/7; 1/4; 2/7; 1/4; 1/4; 1/4; 2/7; 3/10; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/7; 1/4; 5/18; 3/10; 1/4; 2/7; 3/11; 3/10; ; 3/10; ; ; ; 
Draw; 19/4; 9/2; 19/4; 9/2; 5; 19/4; 5; 4; 21/4; 19/4; 9/2; 9/2; 19/4; 5; 11/2; 9/2; 5; 17/4; 21/5; 5; 51/10; 24/5; 17/4; ; 17/4; ; ; ; 
Bournemouth; 12; 9; 10; 9; 10; 11; 12; 9; 10; 11; 10; 10; 11; 11; 9; 10; 43/4; 9; 9; 43/4; 12; 10; 9; ; 9; ; ; ; 
META; english/premier-league/liverpool-v-bournemouth; 2017-03-22 22:16:23 GMT+2; 2017-04-05 20:00; Nothing; Xlenovo
Liverpool; 2/9; 2/7; 1/4; 2/7; 1/4; 1/4; 1/4; 2/7; 3/10; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/7; 1/4; 5/18; 3/10; 1/4; 2/7; 3/11; 3/10; ; 3/10; ; ; ; 
Draw; 19/4; 9/2; 19/4; 9/2; 5; 19/4; 5; 4; 21/4; 19/4; 9/2; 9/2; 19/4; 5; 11/2; 9/2; 5; 17/4; 21/5; 5; 51/10; 24/5; 17/4; ; 17/4; ; ; ; 
Bournemouth; 12; 9; 10; 9; 11; 11; 12; 9; 10; 11; 10; 10; 11; 11; 9; 10; 43/4; 9; 9; 43/4; 12; 10; 9; ; 9; ; ; ; 
