META; english/premier-league/burnley-v-tottenham; 2017-03-04 22:16:53 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Burnley; ; ; 6; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-06 06:16:17 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-06 10:16:21 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-06 14:16:26 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-06 18:16:36 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-06 22:16:24 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-07 02:16:52 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-07 06:16:15 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-07 10:16:17 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-07 14:16:30 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-07 18:16:21 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-07 22:16:45 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-08 02:16:08 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-08 06:16:09 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-08 10:16:56 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; ; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-08 14:16:15 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-08 18:16:14 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-08 22:16:22 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-09 02:16:08 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-09 06:16:07 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-09 10:16:09 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-09 14:16:10 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-09 18:16:33 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-09 22:16:02 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-10 02:15:56 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-10 06:15:52 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-10 10:15:49 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-10 14:15:53 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-10 18:15:54 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-10 22:16:14 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-11 02:16:03 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-11 06:16:04 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-11 10:16:35 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-11 14:16:05 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-11 18:16:07 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-11 22:15:58 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-12 02:15:57 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-12 06:15:57 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-12 10:16:03 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-12 14:16:00 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; ; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; ; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-12 18:16:06 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; ; 1/2; 8/15; ; ; ; ; ; ; ; ; 1/2; ; 18/35; 3/5; ; ; ; ; ; ; 
Draw; ; ; 3; ; ; ; ; 14/5; 3; ; ; ; ; ; ; ; ; 3; ; 58/19; 3; ; ; ; ; ; ; 
Burnley; ; ; 6; ; ; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 11/2; ; 60/11; 6; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-12 22:16:05 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; ; ; 4/9; ; ; ; 4/7; 1/2; 8/15; ; ; ; ; ; ; 4/7; 4/7; 1/2; 4/7; 4/7; 3/5; ; 4/7; ; ; ; ; 
Draw; ; ; 3; ; ; ; 3; 14/5; 3; ; ; ; ; ; ; 3; 58/19; 3; 3; 58/19; 3; ; 3; ; ; ; ; 
Burnley; ; ; 6; ; ; ; 5; 11/2; 5; ; ; ; ; ; ; 5; 50/11; 11/2; 23/5; 50/11; 6; ; 19/4; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-13 02:16:15 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Tottenham; 8/15; ; 4/9; ; 8/15; ; 11/20; 1/2; 8/15; 11/20; ; ; ; ; ; 8/15; 4/7; 1/2; 4/7; 4/7; 3/5; ; 4/7; ; ; ; ; 
Draw; 11/4; ; 3; ; 11/4; ; 16/5; 14/5; 3; 3; ; ; ; ; ; 3; 56/19; 3; 3; 56/19; 3; ; 3; ; ; ; ; 
Burnley; 6; ; 6; ; 6; ; 6; 11/2; 5; 5; ; ; ; ; ; 11/2; 63/13; 11/2; 23/5; 63/13; 6; ; 19/4; ; ; ; ; 
META; english/premier-league/burnley-v-tottenham; 2017-03-13 06:16:19 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
