Draw; 19/4; ; 9/2; 5; 11/2; 5; 11/2; 9/2; 21/4; 5; 9/2; 9/2; 5; ; ; 5; 94/19; 5; 5; 94/19; 27/5; 51/10; 5; ; ; 2/15; ; 
Stoke; 12; ; 9; 10; 12; 10; 12; 9; 10; 10; 10; 10; 12; ; ; 12; 21/2; 9; 12; 21/2; 13; 89/10; 12; ; ; 2/15; ; 
META; english/premier-league/man-city-v-stoke; 2017-02-27 22:16:01 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 2/9; ; 1/4; 1/4; 1/4; 4/15; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/9; ; ; 1/4; 3/13; 1/4; 2/9; 3/13; 27/100; 3/11; 2/9; ; ; 1/10; ; 
Draw; 19/4; ; 9/2; 5; 11/2; 5; 11/2; 9/2; 21/4; 5; 9/2; 9/2; 5; ; ; 11/2; 5; 5; 5; 5; 27/5; 51/10; 5; ; ; 2/15; ; 
Stoke; 12; ; 9; 10; 12; 10; 12; 9; 10; 10; 10; 10; 12; ; ; 12; 21/2; 9; 12; 21/2; 13; 89/10; 12; ; ; 2/15; ; 
META; english/premier-league/man-city-v-stoke; 2017-02-28 02:15:56 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 2/9; ; 1/4; 1/4; 1/4; 4/15; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/9; ; ; 1/4; 3/13; 1/4; 2/9; 3/13; 27/100; 3/11; 2/9; ; ; 1/10; ; 
Draw; 19/4; ; 9/2; 5; 11/2; 5; 11/2; 9/2; 21/4; 5; 9/2; 9/2; 5; ; ; 11/2; 5; 5; 5; 5; 27/5; 51/10; 5; ; ; 19/10; ; 
Stoke; 12; ; 9; 10; 12; 10; 12; 9; 10; 10; 10; 10; 12; ; ; 12; 21/2; 9; 12; 21/2; 13; 89/10; 12; ; ; 4/7; ; 
META; english/premier-league/man-city-v-stoke; 2017-02-28 06:16:00 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 2/9; ; 1/4; 1/4; 1/4; 4/15; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/9; ; ; 1/4; 3/13; 1/4; 2/9; 3/13; 27/100; 3/11; 2/9; ; ; 1/10; ; 
