META; english/premier-league/burnley-v-stoke; 2017-03-15 06:16:09 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-15 10:16:24 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-15 14:17:03 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-15 18:16:14 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-15 22:16:13 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-16 02:16:09 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-16 06:16:06 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-16 10:16:19 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-16 14:16:09 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-16 18:16:33 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-16 22:16:12 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-17 02:16:09 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-17 06:15:49 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-17 10:16:03 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-17 14:16:59 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; 8/5; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; 9/5; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-17 18:16:59 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; 8/5; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; 9/5; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-17 22:16:09 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; 8/5; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; 9/5; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-18 02:16:18 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; 8/5; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; 9/5; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-18 06:16:19 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; 8/5; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; 9/5; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-18 10:16:50 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 13/8; 8/5; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; ; ; ; ; ; 13/8; 9/5; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-18 14:17:15 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; 8/5; ; ; ; ; ; ; ; ; 8/5; ; ; 153/100; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; 9/5; ; ; ; ; ; ; ; ; 28/17; ; ; 41/20; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-18 18:16:52 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; 8/5; ; ; ; ; ; ; ; ; 8/5; ; ; 8/5; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; 9/5; ; ; ; ; ; ; ; ; 28/17; ; ; 197/100; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-18 22:15:57 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; 8/5; ; ; ; ; ; ; ; ; 8/5; ; ; 8/5; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; 9/5; ; ; ; ; ; ; ; ; 28/17; ; ; 197/100; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-19 02:16:06 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; 8/5; ; ; ; ; ; ; ; ; 8/5; ; ; 8/5; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; 9/5; ; ; ; ; ; ; ; ; 28/17; ; ; 197/100; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-19 06:15:49 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; 8/5; ; ; ; ; ; ; ; ; 8/5; ; ; 8/5; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; 9/5; ; ; ; ; ; ; ; ; 28/17; ; ; 197/100; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-19 10:15:59 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; 8/5; ; ; ; ; ; ; ; ; 8/5; ; ; 8/5; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; 9/5; ; ; ; ; ; ; ; ; 28/17; ; ; 197/100; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-19 14:16:08 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; 8/5; ; ; ; ; ; ; ; ; 8/5; ; ; 8/5; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; 9/5; ; ; ; ; ; ; ; ; 28/17; ; ; 197/100; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-19 18:16:23 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; 8/5; 7/5; ; ; ; ; ; ; ; 8/5; ; ; 8/5; ; ; ; ; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; 9/5; 15/8; ; ; ; ; ; ; ; 28/17; ; ; 197/100; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; 23/10; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-19 22:15:51 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; ; ; 6/4; ; ; ; ; 13/8; 6/4; 7/5; ; ; ; ; 6/4; 7/4; 17/11; 8/5; 8/5; 17/11; 167/100; ; 8/5; ; 8/5; ; ; ; 
Stoke; ; ; 13/8; ; ; ; ; 13/8; 15/8; 19/10; ; ; ; ; 19/10; 9/5; 9/5; 28/17; 17/10; 9/5; 47/25; ; 17/10; ; 17/10; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 9/4; 9/4; ; ; ; ; 9/4; 12/5; 9/4; 11/5; 23/10; 9/4; 119/50; ; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-20 02:16:02 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; ; 6/4; ; 6/4; ; 31/20; 13/8; 6/4; 7/5; ; ; ; ; 6/4; 8/5; 17/11; 8/5; 8/5; 17/11; 167/100; ; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; ; 13/8; ; 19/10; ; 2; 13/8; 15/8; 19/10; ; ; ; ; 19/10; 15/8; 9/5; 28/17; 17/10; 9/5; 47/25; ; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; ; 23/10; ; 9/4; ; 9/4; 11/5; 9/4; 9/4; ; ; ; ; 9/4; 12/5; 9/4; 11/5; 23/10; 9/4; 119/50; ; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-20 06:15:41 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; ; 6/4; ; 6/4; ; 31/20; 13/8; 6/4; 7/5; ; 6/4; ; ; 6/4; 8/5; 17/11; 8/5; 8/5; 17/11; 167/100; ; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; ; 13/8; ; 19/10; ; 2; 13/8; 15/8; 19/10; ; 15/8; ; ; 19/10; 15/8; 9/5; 28/17; 17/10; 9/5; 47/25; ; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; ; 23/10; ; 9/4; ; 9/4; 11/5; 9/4; 9/4; ; 11/5; ; ; 9/4; 12/5; 9/4; 11/5; 23/10; 9/4; 119/50; ; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-20 10:15:42 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; ; 6/4; ; 6/4; 6/4; 31/20; 13/8; 6/4; 7/5; ; 6/4; ; ; 6/4; 8/5; 17/11; 17/11; 8/5; 17/11; 161/100; ; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; ; 39/20; ; 19/10; 17/10; 2; 13/8; 15/8; 19/10; ; 15/8; ; ; 19/10; 15/8; 9/5; 17/10; 17/10; 9/5; 2; ; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; ; 11/5; ; 9/4; 12/5; 9/4; 11/5; 9/4; 9/4; ; 11/5; ; ; 9/4; 12/5; 9/4; 11/5; 23/10; 9/4; 58/25; ; 23/10; ; 23/10; ; ; ; 
META; english/premier-league/burnley-v-stoke; 2017-03-20 14:15:45 GMT+2; 2017-04-04 19:45; Nothing; Xlenovo
Burnley; 6/4; ; 6/4; ; 6/4; 6/4; 31/20; 13/8; 6/4; 7/5; ; 6/4; ; ; 6/4; 8/5; 6/4; 17/11; 8/5; 6/4; 161/100; 52/35; 8/5; ; 8/5; ; ; ; 
Stoke; 7/4; ; 39/20; ; 19/10; 17/10; 2; 13/8; 15/8; 19/10; ; 19/10; ; ; 19/10; 15/8; 24/13; 17/10; 17/10; 24/13; 2; 19/10; 17/10; ; 17/10; ; ; ; 
