META; english/premier-league/man-utd-v-everton; 2017-03-18 22:16:10 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Draw; 3; 29/10; 29/10; 3; 3; 16/5; 3; 29/10; 3; 14/5; 27/10; 14/5; 59/20; 14/5; 3; 29/10; 3; 11/4; 14/5; 3; 16/5; 58/19; 29/10; ; 29/10; ; ; ; 
Everton; 9/2; 9/2; 19/4; 9/2; 9/2; 9/2; 11/2; 5; 19/4; 5; 9/2; 9/2; 19/4; 4; 9/2; 5; 94/19; 9/2; 5; 94/19; 53/10; 23/5; 5; ; 5; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-21 18:16:03 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; 3/5; 8/13; 6/10; 3/5; 4/7; 3/5; 8/15; 4/7; 4/7; 4/7; 6/10; 4/7; 4/7; 8/13; 4/7; 4/7; 3/5; 4/7; 4/7; 61/100; 3/5; 4/7; ; 4/7; ; ; ; 
Draw; 3; 29/10; 29/10; 3; 3; 16/5; 3; 29/10; 3; 14/5; 27/10; 14/5; 59/20; 14/5; 3; 3; 3; 11/4; 14/5; 3; 16/5; 58/19; 29/10; ; 29/10; ; ; ; 
Everton; 9/2; 9/2; 19/4; 9/2; 9/2; 9/2; 11/2; 5; 19/4; 5; 9/2; 9/2; 19/4; 4; 9/2; 5; 94/19; 9/2; 5; 94/19; 53/10; 23/5; 5; ; 5; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-21 22:15:58 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; 3/5; 8/13; 6/10; 3/5; 4/7; 3/5; 8/15; 4/7; 4/7; 4/7; 6/10; 4/7; 8/13; 8/13; 4/7; 4/7; 3/5; 4/7; 4/7; 61/100; 3/5; 4/7; ; 4/7; ; ; ; 
Draw; 3; 29/10; 29/10; 3; 16/5; 16/5; 31/10; 29/10; 3; 14/5; 27/10; 14/5; 59/20; 16/5; 3; 3; 58/19; 11/4; 14/5; 58/19; 16/5; 58/19; 29/10; ; 29/10; ; ; ; 
Everton; 9/2; 9/2; 19/4; 9/2; 9/2; 9/2; 21/4; 5; 19/4; 5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 94/19; 9/2; 5; 94/19; 53/10; 23/5; 5; ; 5; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-22 02:16:25 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; 3/5; 8/13; 6/10; 3/5; 4/7; 3/5; 8/15; 4/7; 4/7; 4/7; 6/10; 4/7; 8/13; 8/13; 4/7; 4/7; 3/5; 4/7; 4/7; 61/100; 3/5; 4/7; ; 4/7; ; ; ; 
Draw; 3; 29/10; 29/10; 3; 16/5; 16/5; 31/10; 29/10; 3; 14/5; 27/10; 14/5; 59/20; 16/5; 3; 3; 3; 11/4; 14/5; 58/19; 16/5; 58/19; 29/10; ; 29/10; ; ; ; 
Everton; 9/2; 9/2; 19/4; 9/2; 9/2; 9/2; 21/4; 5; 19/4; 5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 94/19; 9/2; 5; 5; 53/10; 23/5; 5; ; 5; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-22 06:15:56 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; 3/5; 8/13; 6/10; 3/5; 4/7; 3/5; 8/15; 4/7; 4/7; 4/7; 6/10; 4/7; 8/13; 8/13; 4/7; 8/13; 3/5; 4/7; 4/7; 61/100; 3/5; 4/7; ; 4/7; ; ; ; 
Draw; 3; 29/10; 29/10; 3; 16/5; 16/5; 31/10; 29/10; 3; 14/5; 27/10; 14/5; 59/20; 16/5; 3; 3; 58/19; 11/4; 14/5; 58/19; 16/5; 58/19; 29/10; ; 29/10; ; ; ; 
Everton; 9/2; 9/2; 19/4; 9/2; 9/2; 9/2; 21/4; 5; 19/4; 5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 74/17; 9/2; 5; 94/19; 53/10; 23/5; 5; ; 5; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-22 10:16:00 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; 3/5; 8/13; 6/10; 3/5; 4/7; 3/5; 8/15; 4/7; 4/7; 4/7; 6/10; 4/7; 8/13; 8/13; 4/7; 4/7; 3/5; 4/7; 4/7; 61/100; 3/5; 4/7; ; 4/7; ; ; ; 
Draw; 3; 29/10; 29/10; 3; 16/5; 16/5; 31/10; 29/10; 3; 14/5; 27/10; 14/5; 59/20; 16/5; 3; 3; 3; 11/4; 14/5; 3; 16/5; 58/19; 29/10; ; 29/10; ; ; ; 
Everton; 9/2; 9/2; 19/4; 9/2; 9/2; 9/2; 21/4; 5; 19/4; 5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 94/19; 9/2; 5; 94/19; 53/10; 23/5; 5; ; 5; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-22 14:15:51 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; 3/5; 8/13; 6/10; 3/5; 4/7; 3/5; 8/15; 4/7; 4/7; 4/7; 6/10; 4/7; 8/13; 8/13; 4/7; 4/7; 3/5; 4/7; 4/7; 61/100; 3/5; 4/7; ; 4/7; ; ; ; 
Draw; 3; 29/10; 29/10; 3; 16/5; 16/5; 31/10; 29/10; 3; 14/5; 27/10; 14/5; 59/20; 16/5; 3; 3; 3; 11/4; 14/5; 3; 16/5; 58/19; 29/10; ; 29/10; ; ; ; 
Everton; 9/2; 9/2; 19/4; 9/2; 9/2; 9/2; 21/4; 5; 19/4; 5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 94/19; 9/2; 5; 94/19; 53/10; 23/5; 5; ; 5; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-22 18:15:56 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; 3/5; 8/13; 6/10; 3/5; 4/7; 3/5; 8/15; 4/7; 4/7; 4/7; 6/10; 4/7; 8/13; 8/13; 4/7; 4/7; 3/5; 4/7; 4/7; 61/100; 3/5; 4/7; ; 4/7; ; ; ; 
Draw; 3; 29/10; 29/10; 3; 16/5; 16/5; 31/10; 29/10; 3; 14/5; 27/10; 14/5; 59/20; 16/5; 3; 3; 3; 11/4; 14/5; 3; 16/5; 58/19; 29/10; ; 29/10; ; ; ; 
Everton; 9/2; 9/2; 19/4; 9/2; 9/2; 9/2; 21/4; 5; 19/4; 5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 94/19; 9/2; 5; 94/19; 53/10; 23/5; 5; ; 5; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-22 22:16:03 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; 3/5; 8/13; 6/10; 3/5; 4/7; 3/5; 8/15; 4/7; 4/7; 4/7; 6/10; 4/7; 8/13; 8/13; 4/7; 4/7; 3/5; 4/7; 4/7; 61/100; 3/5; 4/7; ; 4/7; ; ; ; 
Draw; 3; 29/10; 29/10; 3; 16/5; 16/5; 31/10; 29/10; 3; 14/5; 27/10; 14/5; 59/20; 16/5; 3; 3; 3; 11/4; 14/5; 3; 16/5; 58/19; 29/10; ; 29/10; ; ; ; 
Everton; 9/2; 9/2; 19/4; 9/2; 9/2; 9/2; 21/4; 5; 19/4; 5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 94/19; 9/2; 5; 94/19; 53/10; 23/5; 5; ; 5; ; ; ; 
