META; english/premier-league/hull-v-west-ham; 2017-03-05 22:16:37 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-07 02:17:00 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-07 06:16:19 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-07 10:16:22 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-07 14:16:34 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-07 18:16:32 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-07 22:16:54 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-08 02:16:12 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-08 06:16:14 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-08 10:17:05 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-08 14:16:20 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-08 18:16:19 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-08 22:16:27 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-09 02:16:12 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-09 06:16:11 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-09 10:16:14 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-09 14:16:14 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-09 18:16:37 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-09 22:16:06 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-10 02:16:01 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-10 06:15:56 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-10 10:15:54 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-10 14:15:58 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 7/4; ; ; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-10 18:15:59 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-10 22:16:19 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-11 02:16:07 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-11 06:16:09 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-11 10:16:43 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-11 14:16:10 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-11 18:16:11 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-11 22:16:03 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-12 02:16:01 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-12 06:16:02 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-12 10:16:10 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-12 14:16:05 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-12 18:16:11 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
West Ham; ; ; 6/4; ; ; ; ; 17/10; 13/8; ; ; ; ; ; ; ; ; 6/4; ; ; 7/4; ; ; ; ; ; ; 
Hull; ; ; 8/5; ; ; ; ; 6/4; 13/8; ; ; ; ; ; ; ; ; 7/4; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 47/20; ; ; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-12 22:16:11 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; ; ; 8/5; ; ; ; 13/8; 6/4; 6/4; ; ; ; ; ; ; 8/5; 17/11; 17/10; 8/5; 17/11; 9/5; ; 8/5; ; ; ; ; 
West Ham; ; ; 6/4; ; ; ; 19/10; 17/10; 15/8; ; ; ; ; ; ; 9/5; 7/4; 17/11; 7/4; 7/4; 7/4; ; 7/4; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; 11/5; 11/5; 23/10; ; ; ; ; ; ; 9/4; 11/5; 9/4; 11/5; 11/5; 47/20; ; 11/5; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-13 02:16:21 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; 6/4; ; 8/5; ; 6/4; ; 13/8; 6/4; 6/4; 7/5; 29/20; ; ; ; ; 17/11; 17/11; 8/5; 8/5; 17/11; 9/5; ; 8/5; ; ; ; ; 
West Ham; 7/4; ; 6/4; ; 9/5; ; 19/10; 17/10; 15/8; 9/5; 17/10; ; ; ; ; 9/5; 7/4; 28/17; 7/4; 7/4; 7/4; ; 7/4; ; ; ; ; 
Draw; 23/10; ; 23/10; ; 23/10; ; 23/10; 11/5; 23/10; 23/10; 11/5; ; ; ; ; 23/10; 11/5; 9/4; 11/5; 11/5; 47/20; ; 11/5; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-13 06:16:28 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; 6/4; ; 8/5; ; 6/4; ; 13/8; 6/4; 6/4; 7/5; 29/20; ; ; ; ; 17/11; 17/11; 8/5; 8/5; 17/11; 9/5; ; 8/5; ; ; ; ; 
West Ham; 7/4; ; 6/4; ; 9/5; ; 19/10; 17/10; 15/8; 9/5; 17/10; ; ; ; ; 9/5; 7/4; 28/17; 7/4; 7/4; 7/4; ; 7/4; ; ; ; ; 
Draw; 23/10; ; 23/10; ; 23/10; ; 23/10; 11/5; 23/10; 23/10; 11/5; ; ; ; ; 23/10; 11/5; 9/4; 11/5; 11/5; 47/20; ; 11/5; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-13 10:16:04 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; 6/4; ; 8/5; ; 8/5; ; 8/5; 6/4; 6/4; 7/5; 29/20; ; ; ; 6/4; 17/11; 17/11; 8/5; 8/5; 17/11; 169/100; ; 8/5; ; ; ; ; 
West Ham; 7/4; ; 6/4; ; 15/8; ; 15/8; 17/10; 15/8; 9/5; 17/10; ; ; ; 15/8; 9/5; 7/4; 28/17; 7/4; 7/4; 19/10; ; 7/4; ; ; ; ; 
Draw; 23/10; ; 23/10; ; 12/5; ; 12/5; 11/5; 23/10; 23/10; 11/5; ; ; ; 23/10; 23/10; 11/5; 9/4; 11/5; 11/5; 47/20; ; 11/5; ; ; ; ; 
META; english/premier-league/hull-v-west-ham; 2017-03-13 14:16:02 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Hull; 6/4; ; 6/4; ; 6/4; ; 8/5; 6/4; 6/4; 7/5; 29/20; ; ; ; 6/4; 17/11; 17/11; 8/5; 8/5; 17/11; 17/10; 6/4; 8/5; ; ; ; ; 
West Ham; 7/4; ; 37/20; ; 9/5; ; 15/8; 17/10; 15/8; 9/5; 17/10; ; ; ; 15/8; 9/5; 7/4; 28/17; 7/4; 7/4; 37/20; 15/8; 7/4; ; ; ; ; 
Draw; 23/10; ; 23/10; ; 12/5; ; 12/5; 11/5; 23/10; 23/10; 11/5; ; ; ; 23/10; 23/10; 11/5; 9/4; 11/5; 11/5; 12/5; 23/10; 11/5; ; ; ; ; 
