META; english/premier-league/liverpool-v-burnley; 2017-03-02 22:16:19 GMT+2; 2017-03-12 16:00; Nothing; Xlenovo
Liverpool; 1/5; 1/5; 2/11; 2/9; 2/9; ; 2/9; 2/9; 1/4; 2/9; 2/9; 2/9; 1/5; 1/4; 2/9; 2/9; 1/5; 1/5; 2/9; 1/5; 2/9; 4/17; 2/9; ; ; 2/9; ; 
Draw; 11/2; 11/2; 5; 5; 11/2; ; 11/2; 9/2; 11/2; 5; 19/4; 9/2; 21/4; 11/2; 11/2; 11/2; 21/4; 11/2; 5; 21/4; 6; 27/5; 5; ; ; 24/5; ; 
Burnley; 12; 12; 12; 12; 14; ; 14; 11; 11; 12; 12; 12; 14; 12; 12; 14; 25/2; 11; 12; 25/2; 35/2; 10; 12; ; ; 54/5; ; 
META; english/premier-league/liverpool-v-burnley; 2017-03-03 02:16:42 GMT+2; 2017-03-12 16:00; Nothing; Xlenovo
Liverpool; 1/5; 1/5; 2/11; 2/9; 2/9; ; 2/9; 2/9; 1/4; 2/9; 2/9; 2/9; 1/5; 1/4; 2/9; 2/9; 1/5; 1/5; 2/9; 1/5; 2/9; 4/17; 2/9; ; ; 2/9; ; 
Draw; 11/2; 11/2; 5; 5; 11/2; ; 11/2; 9/2; 11/2; 5; 19/4; 9/2; 21/4; 11/2; 11/2; 11/2; 21/4; 11/2; 5; 21/4; 6; 27/5; 5; ; ; 24/5; ; 
Burnley; 12; 12; 12; 12; 14; ; 14; 11; 11; 12; 12; 12; 14; 12; 12; 14; 51/4; 11; 12; 51/4; 35/2; 10; 12; ; ; 54/5; ; 
META; english/premier-league/liverpool-v-burnley; 2017-03-03 06:16:13 GMT+2; 2017-03-12 16:00; Nothing; Xlenovo
Liverpool; 1/5; 1/5; 2/11; 2/9; 2/9; ; 2/9; 2/9; 1/4; 2/9; 2/9; 2/9; 1/5; 1/4; 2/9; 2/9; 1/5; 1/5; 2/9; 1/5; 2/9; 4/17; 2/9; ; ; 2/9; ; 
Draw; 11/2; 11/2; 5; 5; 11/2; ; 11/2; 9/2; 11/2; 5; 19/4; 9/2; 21/4; 11/2; 11/2; 11/2; 21/4; 11/2; 5; 21/4; 6; 27/5; 5; ; ; 24/5; ; 
Burnley; 12; 12; 12; 12; 14; ; 14; 11; 11; 12; 12; 12; 14; 12; 12; 14; 51/4; 11; 12; 51/4; 35/2; 10; 12; ; ; 54/5; ; 
META; english/premier-league/liverpool-v-burnley; 2017-03-03 10:16:58 GMT+2; 2017-03-12 16:00; Nothing; Xlenovo
Liverpool; 1/5; 1/5; 2/11; 2/9; 2/9; ; 2/9; 2/9; 1/4; 2/9; 2/9; 2/9; 1/5; 1/4; 2/9; 2/9; 1/5; 1/5; 2/9; 1/5; 2/9; 4/17; 2/9; ; ; 2/9; ; 
