META; english/premier-league/west-ham-v-swansea; 2017-04-03 14:16:20 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 19/20; 1; 21/20; 1; 1; 21/20; 21/20; 1; 21/20; 1; 1; 1; 19/20; 21/20; 21/20; 21/20; 1; 19/20; 20/21; 1; 21/20; 30/29; 19/20; ; 19/20; ; ; ; 
Draw; 5/2; 13/5; 5/2; 12/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 12/5; 5/2; 51/20; 27/10; 5/2; 13/5; 5/2; 12/5; 5/2; 5/2; 53/20; 13/5; 5/2; ; 5/2; ; ; ; 
Swansea; 14/5; 13/5; 13/5; 12/5; 11/4; 27/10; 14/5; 5/2; 11/4; 13/5; 5/2; 13/5; 27/10; 13/5; 13/5; 11/4; 27/10; 11/4; 14/5; 27/10; 59/20; 28/11; 14/5; ; 14/5; ; ; ; 
META; english/premier-league/west-ham-v-swansea; 2017-04-03 18:16:40 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 19/20; 1; 21/20; 1; 1; 21/20; 21/20; 1; 21/20; 1; 1; 21/20; 19/20; 21/20; 21/20; 21/20; 1; 19/20; 20/21; 1; 21/20; 30/29; 19/20; ; 19/20; ; 20/21; ; 
Draw; 5/2; 13/5; 13/5; 12/5; 13/5; 27/10; 13/5; 13/5; 13/5; 12/5; 12/5; 12/5; 51/20; 11/4; 5/2; 13/5; 28/11; 5/2; 5/2; 28/11; 53/20; 13/5; 5/2; ; 5/2; ; 5/2; ; 
Swansea; 14/5; 13/5; 13/5; 12/5; 11/4; 27/10; 14/5; 5/2; 11/4; 13/5; 12/5; 13/5; 27/10; 5/2; 13/5; 11/4; 27/10; 27/10; 14/5; 27/10; 59/20; 28/11; 14/5; ; 14/5; ; 13/5; ; 
META; english/premier-league/west-ham-v-swansea; 2017-04-03 22:16:27 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 19/20; 1; 21/20; 1; 1; 1; 21/20; 1; 21/20; 1; 1; 21/20; 19/20; 21/20; 21/20; 21/20; 1; 19/20; 20/21; 1; 21/20; 30/29; 19/20; ; 19/20; ; 20/21; ; 
Draw; 5/2; 13/5; 13/5; 12/5; 13/5; 27/10; 13/5; 13/5; 13/5; 12/5; 12/5; 12/5; 51/20; 11/4; 5/2; 13/5; 28/11; 5/2; 5/2; 28/11; 53/20; 13/5; 5/2; ; 5/2; ; 5/2; ; 
Swansea; 14/5; 13/5; 13/5; 12/5; 11/4; 27/10; 14/5; 5/2; 11/4; 13/5; 12/5; 13/5; 27/10; 5/2; 13/5; 11/4; 27/10; 27/10; 14/5; 27/10; 59/20; 28/11; 14/5; ; 14/5; ; 5/2; ; 
META; english/premier-league/west-ham-v-swansea; 2017-04-04 02:16:26 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 1; 1; 11/10; 1; 1; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 11/10; 1; 11/10; 21/20; 21/20; 1; 19/20; 20/21; 1; 21/20; 30/29; 19/20; 21/20; 19/20; ; 1; ; 
Draw; 5/2; 13/5; 5/2; 12/5; 13/5; 13/5; 13/5; 13/5; 13/5; 12/5; 12/5; 12/5; 51/20; 27/10; 5/2; 27/10; 5/2; 5/2; 5/2; 5/2; 53/20; 13/5; 5/2; 12/5; 5/2; ; 5/2; ; 
Swansea; 11/4; 13/5; 12/5; 12/5; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 9/4; 5/2; 13/5; 12/5; 13/5; 27/10; 45/17; 27/10; 14/5; 45/17; 59/20; 28/11; 14/5; 5/2; 14/5; ; 27/10; ; 
META; english/premier-league/west-ham-v-swansea; 2017-04-04 06:16:03 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 1; 21/20; 11/10; 1; 1; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 11/10; 1; 11/10; 21/20; 11/10; 1; 19/20; 20/21; ; 21/20; 30/29; 19/20; 21/20; 19/20; ; ; ; 
Draw; 5/2; 13/5; 5/2; 12/5; 13/5; 13/5; 13/5; 13/5; 13/5; 12/5; 12/5; 12/5; 51/20; 27/10; 5/2; 27/10; 5/2; 5/2; 5/2; ; 53/20; 13/5; 5/2; 12/5; 5/2; ; ; ; 
Swansea; 11/4; 12/5; 12/5; 12/5; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 23/10; 5/2; 13/5; 12/5; 13/5; 13/5; 13/5; 27/10; 14/5; ; 59/20; 28/11; 14/5; 5/2; 14/5; ; ; ; 
META; english/premier-league/west-ham-v-swansea; 2017-04-04 10:16:14 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 1; 21/20; 11/10; 1; 1; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 11/10; 1; 11/10; 21/20; 11/10; 1; 19/20; 20/21; 1; 107/100; 30/29; 19/20; 21/20; 19/20; ; 1; ; 
Draw; 5/2; 13/5; 5/2; 12/5; 13/5; 13/5; 13/5; 13/5; 13/5; 12/5; 12/5; 12/5; 51/20; 27/10; 5/2; 27/10; 5/2; 5/2; 5/2; 5/2; 53/20; 13/5; 5/2; 12/5; 5/2; ; 5/2; ; 
Swansea; 11/4; 12/5; 12/5; 12/5; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 23/10; 5/2; 13/5; 12/5; 13/5; 13/5; 45/17; 27/10; 14/5; 45/17; 72/25; 28/11; 14/5; 5/2; 14/5; ; 27/10; ; 
META; english/premier-league/west-ham-v-swansea; 2017-04-04 14:16:05 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
West Ham; 1; 21/20; 11/10; 11/10; 1; 21/20; 11/10; 1; 11/10; 21/20; 21/20; 11/10; 1; 11/10; 21/20; 11/10; 1; 19/20; 20/21; 1; 11/10; 30/29; 19/20; 21/20; 19/20; ; 1; ; 
