META; english/premier-league/leicester-v-hull; 2017-02-12 14:16:24 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 22/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 131/50; ; ; ; ; ; ; 
Hull; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 77/20; ; ; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; ; ; 5/2; 12/5; 12/5; 23/10; 11/5; 12/5; ; ; 23/10; 12/5; 40/17; 12/5; 9/4; 40/17; 121/50; 27/11; 9/4; ; ; ; ; 
Hull; 29/10; 3; 27/10; ; ; ; 31/10; 11/4; 14/5; 3; 13/5; 11/4; ; ; 3; 3; 56/19; 13/5; 11/4; 56/19; 73/25; 13/5; 11/4; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-15 14:16:20 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 19/20; 10/11; 19/20; ; 21/20; ; 1; 10/11; 21/20; 20/21; 1; 1; ; ; 1; 1; 19/20; 1; 21/20; 19/20; 113/100; 13/12; 21/20; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; 5/2; ; 12/5; 12/5; 12/5; 23/10; 11/5; 12/5; ; ; 23/10; 12/5; 40/17; 12/5; 9/4; 40/17; 121/50; 27/11; 9/4; ; ; ; ; 
Hull; 29/10; 3; 27/10; ; 3; ; 16/5; 11/4; 14/5; 3; 13/5; 11/4; ; ; 3; 3; 56/19; 13/5; 11/4; 56/19; 73/25; 13/5; 11/4; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-15 18:16:13 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 19/20; 10/11; 19/20; ; 21/20; 19/20; 1; 10/11; 21/20; 20/21; 1; 1; ; ; 1; 1; 19/20; 1; 21/20; ; 113/100; 13/12; 21/20; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; 5/2; 5/2; 12/5; 12/5; 12/5; 23/10; 11/5; 12/5; ; ; 23/10; 12/5; 40/17; 12/5; 9/4; ; 121/50; 27/11; 9/4; ; ; ; ; 
Hull; 29/10; 3; 27/10; ; 3; 14/5; 16/5; 11/4; 14/5; 3; 13/5; 11/4; ; ; 3; 3; 56/19; 13/5; 11/4; ; 73/25; 13/5; 11/4; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-15 22:16:31 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 19/20; 10/11; 19/20; ; 21/20; 19/20; 1; 10/11; 21/20; 20/21; 1; 1; ; ; 1; 1; 19/20; 1; 21/20; 19/20; 113/100; 13/12; 21/20; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; 5/2; 5/2; 12/5; 12/5; 12/5; 23/10; 11/5; 12/5; ; ; 23/10; 12/5; 40/17; 12/5; 9/4; 40/17; 121/50; 27/11; 9/4; ; ; ; ; 
Hull; 29/10; 3; 27/10; ; 3; 14/5; 16/5; 11/4; 14/5; 3; 13/5; 11/4; ; ; 3; 3; 56/19; 13/5; 11/4; 56/19; 73/25; 13/5; 11/4; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-16 02:16:50 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 19/20; 10/11; 19/20; ; 21/20; 19/20; 1; 10/11; 21/20; 20/21; 1; 1; ; ; 1; 1; 19/20; 1; 21/20; 19/20; 113/100; 13/12; 21/20; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; 5/2; 5/2; 12/5; 12/5; 12/5; 23/10; 11/5; 12/5; ; ; 23/10; 12/5; 40/17; 12/5; 9/4; 40/17; 121/50; 27/11; 9/4; ; ; ; ; 
Hull; 29/10; 3; 27/10; ; 3; 14/5; 16/5; 11/4; 14/5; 3; 13/5; 11/4; ; ; 3; 3; 56/19; 13/5; 11/4; 56/19; 73/25; 13/5; 11/4; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-16 06:16:16 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 19/20; 10/11; 19/20; ; 21/20; 19/20; 1; 10/11; 21/20; 20/21; 1; 1; ; ; 1; 1; 19/20; 1; 21/20; 19/20; 113/100; 13/12; 21/20; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; 5/2; 5/2; 12/5; 12/5; 12/5; 23/10; 11/5; 12/5; ; ; 23/10; 12/5; 40/17; 12/5; 9/4; 40/17; 121/50; 27/11; 9/4; ; ; ; ; 
