META; english/premier-league/middlesbrough-v-man-utd; 2017-03-04 22:16:38 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Middlesbrough; 6; 11/2; 6; 13/2; 13/2; 6; 7; 5; 6; 6; 6; 6; 13/2; 6; 6; 13/2; 6; 11/2; 33/5; 6; 38/5; 6; ; ; ; 29/5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-07 02:16:35 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 1/2; 1/2; 8/15; 4/9; 8/15; 8/15; 1/2; 1/2; 8/15; 1/2; 1/2; 1/2; 12/25; 8/15; 1/2; 8/15; 10/21; 10/21; 4/9; 10/21; 1/2; 8/15; ; ; ; 4/9; ; 
Draw; 3; 16/5; 29/10; 16/5; 16/5; 16/5; 31/10; 3; 3; 3; 11/4; 14/5; 59/20; 16/5; 16/5; 16/5; 58/19; 16/5; 3; 58/19; 13/4; 29/10; ; ; ; 14/5; ; 
Middlesbrough; 6; 11/2; 6; 13/2; 13/2; 6; 7; 5; 6; 6; 6; 6; 13/2; 6; 6; 13/2; 6; 11/2; 33/5; 6; 38/5; 6; ; ; ; 29/5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-07 06:16:04 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 1/2; 1/2; 8/15; 4/9; 8/15; 8/15; 1/2; 1/2; 8/15; 1/2; 1/2; 1/2; 12/25; 8/15; 1/2; 8/15; 10/21; 10/21; 4/9; 10/21; 1/2; 8/15; ; ; ; 4/9; ; 
Draw; 3; 16/5; 29/10; 16/5; 16/5; 16/5; 31/10; 3; 3; 3; 11/4; 14/5; 59/20; 16/5; 16/5; 16/5; 58/19; 16/5; 3; 58/19; 13/4; 29/10; ; ; ; 14/5; ; 
Middlesbrough; 6; 11/2; 6; 13/2; 13/2; 6; 7; 5; 6; 6; 6; 6; 13/2; 6; 6; 13/2; 6; 11/2; 33/5; 6; 38/5; 6; ; ; ; 37/5; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-07 10:16:06 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; 1/2; 1/2; 8/15; 4/9; 8/15; 8/15; 1/2; 1/2; 8/15; 1/2; 1/2; 1/2; 12/25; 8/15; 1/2; 8/15; 1/2; 10/21; 4/9; 1/2; 1/2; 8/15; ; ; ; 4/9; ; 
