Crystal Palace; 15/4; 10/3; 17/5; 19/5; 4; 37/10; 15/4; 7/2; 7/2; 7/2; 13/4; 7/2; 7/2; 18/5; 4; 4; 62/17; 4; 7/2; 62/17; 4; 18/5; 19/5; 7/2; 19/5; ; 7/2; ; 
META; english/premier-league/crystal-palace-v-arsenal; 2017-04-04 14:16:17 GMT+3; 2017-04-10 20:00; Nothing; Xlenovo
Arsenal; 7/10; 3/4; 3/4; 3/4; 8/11; 3/4; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 3/4; 8/11; 4/5; 14/19; 4/6; 4/6; 14/19; 3/4; 3/4; 13/19; 8/11; 13/19; ; 4/6; ; 
Draw; 11/4; 14/5; 14/5; 14/5; 11/4; 3; 29/10; 13/5; 3; 14/5; 27/10; 11/4; 29/10; 29/10; 3; 29/10; 14/5; 27/10; 14/5; 14/5; 61/20; 3; 29/10; 11/4; 29/10; ; 27/10; ; 
Crystal Palace; 15/4; 10/3; 7/2; 17/5; 4; 37/10; 15/4; 7/2; 7/2; 7/2; 10/3; 7/2; 7/2; 18/5; 7/2; 7/2; 37/10; 4; 7/2; 37/10; 4; 57/17; 19/5; 7/2; 19/5; ; 7/2; ; 
META; english/premier-league/crystal-palace-v-arsenal; 2017-04-04 18:17:02 GMT+3; 2017-04-10 20:00; Nothing; Xlenovo
Arsenal; 7/10; 3/4; 3/4; 3/4; 8/11; 3/4; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 3/4; 8/11; 4/5; 5/7; 4/6; 4/6; 5/7; 3/4; 3/4; 13/19; 8/11; 13/19; ; 4/6; ; 
Draw; 11/4; 14/5; 14/5; 14/5; 11/4; 3; 29/10; 13/5; 3; 14/5; 27/10; 11/4; 29/10; 29/10; 3; 29/10; 29/10; 27/10; 14/5; 29/10; 61/20; 3; 29/10; 11/4; 29/10; ; 27/10; ; 
Crystal Palace; 15/4; 10/3; 7/2; 17/5; 4; 37/10; 15/4; 7/2; 7/2; 7/2; 10/3; 7/2; 7/2; 18/5; 7/2; 7/2; 37/10; 4; 7/2; 37/10; 4; 57/17; 19/5; 7/2; 19/5; ; 7/2; ; 
META; english/premier-league/crystal-palace-v-arsenal; 2017-04-04 22:16:52 GMT+3; 2017-04-10 20:00; Nothing; Xlenovo
Arsenal; 7/10; 3/4; 3/4; 3/4; 8/11; 3/4; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 3/4; 8/11; 4/5; 5/7; 4/6; 4/6; 5/7; 3/4; 3/4; 13/19; 8/11; 13/19; ; ; ; 
Draw; 11/4; 14/5; 14/5; 14/5; 11/4; 3; 29/10; 13/5; 3; 14/5; 27/10; 11/4; 29/10; 29/10; 3; 29/10; 37/13; 27/10; 14/5; 37/13; 61/20; 3; 29/10; 11/4; 29/10; ; ; ; 
Crystal Palace; 15/4; 10/3; 7/2; 17/5; 4; 37/10; 15/4; 7/2; 7/2; 7/2; 10/3; 7/2; 7/2; 18/5; 7/2; 7/2; 62/17; 4; 7/2; 62/17; 4; 57/17; 19/5; 7/2; 19/5; ; ; ; 
META; english/premier-league/crystal-palace-v-arsenal; 2017-04-05 02:16:17 GMT+3; 2017-04-10 20:00; Nothing; Xlenovo
Arsenal; 7/10; 3/4; 3/4; 3/4; 8/11; 3/4; 3/4; 8/11; ; 8/11; 8/11; 3/4; 8/11; 3/4; 8/11; 4/5; 14/19; 4/6; 4/6; 14/19; 3/4; 13/17; 13/19; 8/11; 13/19; ; ; ; 
Draw; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 29/10; 13/5; ; 14/5; 27/10; 11/4; 29/10; 29/10; 3; 29/10; 37/13; 27/10; 14/5; 37/13; 61/20; 14/5; 29/10; 11/4; 29/10; ; ; ; 
Crystal Palace; 15/4; 10/3; 7/2; 17/5; 4; 37/10; 15/4; 7/2; ; 7/2; 10/3; 7/2; 7/2; 18/5; 7/2; 7/2; 18/5; 4; 7/2; 18/5; 4; 57/17; 19/5; 7/2; 19/5; ; ; ; 
META; english/premier-league/crystal-palace-v-arsenal; 2017-04-05 06:16:02 GMT+3; 2017-04-10 20:00; Nothing; Xlenovo
Arsenal; 7/10; 3/4; 4/5; 3/4; 8/11; 3/4; 4/5; 8/11; 8/11; 3/4; 3/4; 3/4; 8/11; 4/5; 8/11; 4/5; 14/19; 4/6; 4/6; ; 3/4; 13/17; 13/19; 8/11; 13/19; ; 8/11; ; 
Draw; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 29/10; 13/5; 3; 14/5; 27/10; 11/4; 29/10; 29/10; 3; 29/10; 37/13; 27/10; 14/5; ; 61/20; 37/13; 29/10; 11/4; 29/10; ; 14/5; ; 
Crystal Palace; 15/4; 10/3; 10/3; 17/5; 4; 18/5; 18/5; 7/2; 7/2; 10/3; 16/5; 7/2; 7/2; 7/2; 7/2; 7/2; 18/5; 4; 7/2; ; 4; 41/12; 19/5; 7/2; 19/5; ; 7/2; ; 
META; english/premier-league/crystal-palace-v-arsenal; 2017-04-05 10:16:28 GMT+3; 2017-04-10 20:00; Nothing; Xlenovo
Arsenal; 7/10; 3/4; 3/4; 3/4; 8/11; 3/4; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 3/4; 8/11; 4/5; 14/19; 4/6; 4/6; ; 3/4; 13/17; 13/18; 8/11; 13/18; ; ; ; 
Draw; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 29/10; 13/5; 3; 14/5; 27/10; 11/4; 29/10; 29/10; 3; 29/10; 37/13; 27/10; 14/5; 37/13; 61/20; 37/13; 29/10; 11/4; 29/10; ; ; ; 
Crystal Palace; 15/4; 10/3; 17/5; 17/5; 4; 18/5; 15/4; 7/2; 7/2; 7/2; 13/4; 7/2; 7/2; 18/5; 7/2; 7/2; 62/17; 4; 7/2; 62/17; 4; 41/12; 62/17; 7/2; 62/17; ; ; ; 
META; english/premier-league/crystal-palace-v-arsenal; 2017-04-05 14:16:11 GMT+3; 2017-04-10 20:00; Nothing; Xlenovo
Arsenal; 7/10; 3/4; 3/4; 3/4; 3/4; 3/4; 3/4; 8/11; 8/11; 3/4; 8/11; 3/4; 8/11; 3/4; 8/11; 4/5; 14/19; 4/6; 4/6; 14/19; 3/4; 14/19; ; 8/11; 13/18; ; ; ; 
Draw; 11/4; 29/10; 29/10; 14/5; 11/4; 14/5; 14/5; 13/5; 3; 14/5; 27/10; 13/5; 29/10; 3; 3; 3; 37/13; 27/10; 14/5; 37/13; 61/20; 56/19; ; 11/4; 29/10; ; ; ; 
Crystal Palace; 15/4; 10/3; 17/5; 17/5; 7/2; 18/5; 15/4; 7/2; 7/2; 10/3; 16/5; 7/2; 7/2; 7/2; 7/2; 7/2; 62/17; 4; 7/2; 62/17; 4; 38/11; ; 7/2; 62/17; ; ; ; 
META; english/premier-league/crystal-palace-v-arsenal; 2017-04-05 18:15:59 GMT+3; 2017-04-10 20:00; Nothing; Xlenovo
Arsenal; 7/10; 3/4; 3/4; 3/4; 3/4; 3/4; 3/4; 8/11; 8/11; 3/4; 8/11; 3/4; 8/11; 3/4; 8/11; 4/5; 14/19; 4/6; 4/6; 14/19; 19/25; 14/19; 13/18; 8/11; 13/18; ; 8/11; ; 8/11
Draw; 11/4; 29/10; 29/10; 14/5; 11/4; 3; 3; 13/5; 3; 14/5; 27/10; 13/5; 29/10; 3; 3; 3; 37/13; 27/10; 14/5; 37/13; 61/20; 56/19; 29/10; 11/4; 29/10; ; 14/5; ; 11/4
Crystal Palace; 15/4; 10/3; 17/5; 17/5; 7/2; 18/5; 15/4; 7/2; 7/2; 10/3; 16/5; 7/2; 7/2; 7/2; 7/2; 7/2; 62/17; 4; 7/2; 62/17; 39/10; 38/11; 62/17; 7/2; 62/17; ; 7/2; ; 7/2
META; english/premier-league/crystal-palace-v-arsenal; 2017-04-05 22:16:03 GMT+3; 2017-04-10 20:00; Nothing; Xlenovo
