META; english/premier-league/middlesbrough-v-burnley; 2017-04-01 22:41:44 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; ; ; 1; ; ; 21/20; 11/10; 11/10; 11/10; ; ; 21/20; ; ; ; 11/10; 21/20; 1; ; ; 59/50; ; ; ; ; ; ; ; 
Burnley; 11/5; 9/4; 43/20; 21/10; 11/5; 23/10; 12/5; 23/10; 11/5; 11/5; 2; 11/5; 11/5; 2; 23/10; 23/10; 28/13; 21/10; 11/5; 28/13; 12/5; 9/4; 11/5; 2; 11/5; ; ; ; 
META; english/premier-league/middlesbrough-v-burnley; 2017-04-04 10:16:02 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; 13/10; 7/5; 29/20; 13/10; 13/10; 7/5; 29/20; 5/4; 7/5; 7/5; 11/8; 7/5; 27/20; 7/5; 13/10; 7/5; 7/5; 23/17; 13/10; 7/5; 7/5; 26/19; 13/10; 11/8; 13/10; ; 11/8; ; 
Draw; 11/5; 2; 41/20; 2; 11/5; 11/5; 21/10; 11/5; 11/5; 2; 19/10; 2; 21/10; 12/5; 11/5; 11/5; 11/5; 21/10; 11/5; 11/5; 9/4; 28/13; 11/5; 21/10; 11/5; ; 21/10; ; 
Burnley; 11/5; 9/4; 43/20; 21/10; 11/5; 23/10; 12/5; 23/10; 11/5; 11/5; 2; 11/5; 11/5; 2; 23/10; 23/10; 21/10; 21/10; 11/5; 21/10; 12/5; 9/4; 11/5; 2; 11/5; ; 21/10; ; 
META; english/premier-league/middlesbrough-v-burnley; 2017-04-04 14:15:55 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; 13/10; 7/5; 29/20; 7/5; 13/10; 7/5; 29/20; 5/4; 7/5; 7/5; 7/5; 7/5; 27/20; 29/20; 13/10; 7/5; 23/17; 23/17; 13/10; 23/17; 7/5; 26/19; 13/10; 11/8; 13/10; ; 11/8; ; 
Draw; 11/5; 2; 41/20; 21/10; 11/5; 11/5; 21/10; 11/5; 11/5; 2; 19/10; 2; 21/10; 12/5; 11/5; 11/5; 11/5; 21/10; 11/5; 11/5; 9/4; 28/13; 11/5; 21/10; 11/5; ; 21/10; ; 
Burnley; 11/5; 9/4; 43/20; 21/10; 11/5; 23/10; 12/5; 23/10; 11/5; 11/5; 2; 11/5; 11/5; 2; 23/10; 23/10; 21/10; 21/10; 11/5; 21/10; 12/5; 11/5; 11/5; 2; 11/5; ; 21/10; ; 
META; english/premier-league/middlesbrough-v-burnley; 2017-04-04 22:16:22 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; 13/10; 7/5; 29/20; 7/5; 13/10; 7/5; 29/20; 5/4; 7/5; 7/5; 11/8; 7/5; 27/20; 7/5; 13/10; 7/5; 16/11; 23/17; 13/10; 16/11; 7/5; ; 13/10; 11/8; 13/10; ; ; ; 
Draw; 11/5; 2; 41/20; 21/10; 11/5; 11/5; 21/10; 11/5; 11/5; 2; 19/10; 2; 21/10; 23/10; 11/5; 11/5; 28/13; 21/10; 11/5; 28/13; 9/4; ; 11/5; 21/10; 11/5; ; ; ; 
Burnley; 11/5; 9/4; 43/20; 21/10; 11/5; 23/10; 12/5; 23/10; 11/5; 11/5; 2; 11/5; 11/5; 2; 23/10; 23/10; 28/13; 21/10; 11/5; 28/13; 12/5; ; 11/5; 2; 11/5; ; ; ; 
META; english/premier-league/middlesbrough-v-burnley; 2017-04-05 02:15:55 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; 13/10; 13/10; 7/5; 7/5; 13/10; 7/5; 7/5; 5/4; ; 11/8; 27/20; 7/5; 27/20; 11/8; 13/10; 7/5; 7/5; 23/17; 13/10; 7/5; 7/5; 26/19; 13/10; 11/8; 13/10; ; ; ; 
Draw; 11/5; 21/10; 41/20; 21/10; 11/5; 11/5; 21/10; 11/5; ; 2; 19/10; 2; 21/10; 23/10; 11/5; 11/5; 11/5; 21/10; 11/5; 11/5; 111/50; 28/13; 11/5; 21/10; 11/5; ; ; ; 
Burnley; 11/5; 23/10; 11/5; 21/10; 11/5; 23/10; 12/5; 23/10; ; 11/5; 21/10; 11/5; 11/5; 21/10; 23/10; 23/10; 28/13; 21/10; 11/5; 28/13; 121/50; 11/5; 11/5; 2; 11/5; ; ; ; 
META; english/premier-league/middlesbrough-v-burnley; 2017-04-05 06:15:42 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; 13/10; 13/10; 7/5; 7/5; 13/10; 7/5; 7/5; 5/4; 7/5; 11/8; 27/20; 7/5; 27/20; 11/8; 13/10; 7/5; 7/5; 23/17; 13/10; ; 7/5; 26/19; 13/10; 11/8; 13/10; ; 11/8; ; 
Draw; 11/5; 21/10; 41/20; 21/10; 11/5; 9/4; 21/10; 11/5; 11/5; 2; 19/10; 2; 23/10; 23/10; 11/5; 11/5; 11/5; 21/10; 11/5; ; 111/50; 28/13; 11/5; 21/10; 11/5; ; 21/10; ; 
Burnley; 11/5; 23/10; 11/5; 21/10; 11/5; 9/4; 12/5; 23/10; 11/5; 11/5; 21/10; 11/5; 2; 21/10; 23/10; 23/10; 28/13; 21/10; 11/5; ; 121/50; 11/5; 11/5; 2; 11/5; ; 21/10; ; 
META; english/premier-league/middlesbrough-v-burnley; 2017-04-05 10:16:08 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; 13/10; 13/10; 7/5; 7/5; 13/10; 7/5; 7/5; 5/4; 7/5; 11/8; 27/20; 7/5; 27/20; 11/8; 13/10; 7/5; 7/5; 23/17; 7/5; 16/11; 7/5; 26/19; 16/11; 11/8; 16/11; ; ; ; 
Draw; 11/5; 21/10; 41/20; 21/10; 11/5; 9/4; 21/10; 11/5; 11/5; 2; 19/10; 2; 23/10; 23/10; 11/5; 11/5; 11/5; 21/10; 21/10; 28/13; 111/50; 28/13; 21/10; 21/10; 21/10; ; ; ; 
Burnley; 11/5; 23/10; 11/5; 21/10; 11/5; 9/4; 12/5; 23/10; 11/5; 11/5; 21/10; 11/5; 2; 21/10; 23/10; 23/10; 28/13; 21/10; 9/4; ; 121/50; 11/5; 9/4; 2; 9/4; ; ; ; 
META; english/premier-league/middlesbrough-v-burnley; 2017-04-05 14:15:51 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; 13/10; 7/5; 6/4; 7/5; 13/10; 29/20; 29/20; 5/4; 7/5; 7/5; 29/20; 29/20; 27/20; 29/20; 7/5; 16/11; 16/11; 23/17; 7/5; 16/11; 7/5; 13/9; ; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 41/20; 21/10; 11/5; 9/4; 21/10; 11/5; 11/5; 2; 19/10; 2; 23/10; 23/10; 21/10; 11/5; 28/13; 21/10; 21/10; 28/13; 111/50; 28/13; ; 21/10; 21/10; ; ; ; 
Burnley; 11/5; 11/5; 21/10; 21/10; 11/5; 43/20; 23/10; 23/10; 11/5; 21/10; 2; 21/10; 2; 19/10; 11/5; 9/4; 28/13; 21/10; 9/4; 28/13; 121/50; 21/10; ; 2; 9/4; ; ; ; 
META; english/premier-league/middlesbrough-v-burnley; 2017-04-05 18:15:42 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; 13/10; 7/5; 6/4; 7/5; 13/10; 29/20; 29/20; 13/10; 7/5; 7/5; 29/20; 29/20; 27/20; 29/20; 7/5; 16/11; 16/11; 23/17; 7/5; 16/11; 7/5; 13/9; 16/11; 7/5; 16/11; ; ; ; 7/5
Draw; 11/5; 2; 2; 21/10; 11/5; 9/4; 21/10; 11/5; 11/5; 2; 19/10; 2; 23/10; 23/10; 21/10; 11/5; 28/13; 21/10; 21/10; 28/13; 111/50; 28/13; 21/10; 21/10; 21/10; ; ; ; 2
Burnley; 11/5; 11/5; 21/10; 21/10; 11/5; 43/20; 23/10; 11/5; 11/5; 21/10; 2; 21/10; 2; 2; 11/5; 9/4; 28/13; 21/10; 9/4; 28/13; 121/50; 21/10; 9/4; 2; 9/4; ; ; ; 9/4
META; english/premier-league/middlesbrough-v-burnley; 2017-04-05 22:15:45 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; 13/10; 7/5; 6/4; 7/5; 13/10; 29/20; 29/20; 11/8; 7/5; 11/8; 29/20; 11/8; 27/20; 29/20; 7/5; 16/11; 7/5; 23/17; 7/5; 7/5; 7/5; ; 16/11; 11/8; 16/11; ; ; ; 7/5
Draw; 11/5; 2; 2; 21/10; 11/5; 9/4; 21/10; 11/5; 11/5; 2; 19/10; 2; 23/10; 23/10; 21/10; 11/5; 28/13; 21/10; 21/10; 28/13; 9/4; ; 21/10; 21/10; 21/10; ; ; ; 21/10
Burnley; 11/5; 11/5; 21/10; 21/10; 11/5; 43/20; 23/10; 11/5; 11/5; 11/5; 2; 9/4; 2; 2; 11/5; 9/4; 11/5; 21/10; 9/4; 11/5; 49/20; ; 9/4; 2; 9/4; ; ; ; 23/10
META; english/premier-league/middlesbrough-v-burnley; 2017-04-06 02:15:27 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; 13/10; 7/5; 29/20; 7/5; 13/10; 6/4; 29/20; 11/8; 7/5; 11/8; 11/8; 7/5; 11/8; 29/20; 7/5; 7/5; 7/5; 23/17; 7/5; 7/5; 7/5; 13/9; 7/5; 13/10; 16/11; ; ; ; 7/5
Draw; 11/5; 2; 41/20; 21/10; 11/5; 11/5; 21/10; 11/5; 85/40; 2; 19/10; 2; 21/10; 11/5; 21/10; 11/5; 28/13; 21/10; 21/10; 28/13; 9/4; 28/13; 21/10; 21/10; 28/13; ; ; ; 21/10
Burnley; 11/5; 11/5; 11/5; 21/10; 11/5; 43/20; 23/10; 11/5; 9/4; 11/5; 21/10; 21/10; 11/5; 21/10; 11/5; 23/10; 11/5; 21/10; 23/10; 11/5; 49/20; 21/10; 23/10; 11/5; 40/17; ; ; ; 23/10
META; english/premier-league/middlesbrough-v-burnley; 2017-04-06 06:15:28 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; 13/10; 7/5; 7/5; 7/5; 13/10; 6/4; 29/20; 11/8; 7/5; 7/5; 27/20; 29/20; 11/8; 7/5; 7/5; 16/11; 16/11; 23/17; 7/5; 16/11; 6/4; 23/17; 7/5; 11/8; 16/11; ; ; ; 6/4
Draw; 11/5; 2; 41/20; 21/10; 11/5; 11/5; 85/40; 11/5; 85/40; 2; 2; 2; 21/10; 21/10; 21/10; 11/5; 28/13; 21/10; 21/10; 28/13; 54/25; 28/13; 21/10; 21/10; 28/13; ; ; ; 11/5
Burnley; 11/5; 11/5; 11/5; 21/10; 11/5; 43/20; 23/10; 11/5; 9/4; 21/10; 21/10; 21/10; 11/5; 11/5; 11/5; 9/4; 28/13; 21/10; 23/10; 28/13; 47/20; 9/4; 23/10; 21/10; 40/17; ; ; ; 9/4
META; english/premier-league/middlesbrough-v-burnley; 2017-04-06 10:15:37 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
