META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-12 13:08:24 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/100; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-13 00:19:41 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/100; ; 
Shrewsbury; 9/4; ; 9/4; 11/5; ; 11/5; 9/4; ; ; 9/4; ; 21/10; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; ; ; 1/100; ; 
Draw; 23/10; ; 12/5; 12/5; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 23/10; 23/10; 9/4; 5/2; ; ; 1/100; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-13 04:19:28 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/50; ; 
Shrewsbury; 9/4; ; 9/4; 11/5; ; 11/5; 9/4; ; ; 9/4; ; 21/10; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; ; ; 1/14; ; 
Draw; 23/10; ; 12/5; 12/5; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 23/10; 23/10; 9/4; 5/2; ; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-13 08:19:36 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/100; ; 
Shrewsbury; 9/4; ; 9/4; 11/5; ; 11/5; 9/4; ; ; 9/4; ; 21/10; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; ; ; 1/100; ; 
Draw; 23/10; ; 12/5; 12/5; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 23/10; 23/10; 9/4; 5/2; ; ; 1/100; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-13 12:20:56 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/50; ; 
Shrewsbury; 9/4; ; 9/4; 11/5; ; 11/5; 9/4; ; ; 9/4; ; 21/10; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; ; ; 1/14; ; 
Draw; 23/10; ; 12/5; 12/5; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 23/10; 23/10; 9/4; 5/2; ; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-13 16:20:14 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/50; ; 
Shrewsbury; 9/4; ; 9/4; 11/5; ; 11/5; 9/4; ; ; 9/4; ; 21/10; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; ; ; 1/14; ; 
Draw; 23/10; ; 12/5; 12/5; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 23/10; 23/10; 9/4; 5/2; ; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-13 20:21:43 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/50; ; 
Shrewsbury; 9/4; ; 9/4; 11/5; ; 11/5; 9/4; ; ; 9/4; ; 21/10; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; ; ; 1/14; ; 
Draw; 23/10; ; 12/5; 12/5; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 23/10; 23/10; 9/4; 5/2; ; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-14 00:19:19 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/50; ; 
Shrewsbury; 9/4; ; 9/4; 11/5; ; 11/5; 9/4; ; ; 9/4; ; 21/10; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; ; ; 1/14; ; 
Draw; 23/10; ; 12/5; 12/5; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 23/10; 23/10; 9/4; 5/2; ; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-14 04:19:11 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/50; ; 
Shrewsbury; 9/4; ; 9/4; 11/5; ; 11/5; 9/4; ; ; 9/4; ; 21/10; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; ; ; 1/14; ; 
Draw; 23/10; ; 12/5; 12/5; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 23/10; 23/10; 9/4; 5/2; ; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-14 08:19:02 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/50; ; 
Shrewsbury; 9/4; ; 9/4; 11/5; ; 11/5; 9/4; ; ; 9/4; ; 21/10; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; ; ; 1/14; ; 
Draw; 23/10; ; 12/5; 12/5; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 23/10; 23/10; 11/5; 5/2; ; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-14 12:21:31 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/50; ; 
Shrewsbury; 9/4; ; 9/4; 11/5; ; 11/5; 9/4; ; ; 9/4; ; 21/10; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; ; ; 1/14; ; 
Draw; 23/10; ; 12/5; 12/5; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 23/10; 23/10; 9/4; 5/2; ; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-14 16:19:12 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/50; ; 
Shrewsbury; 9/4; ; 9/4; 11/5; ; 11/5; 9/4; ; ; 9/4; ; 21/10; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; ; ; 1/14; ; 
Draw; 23/10; ; 12/5; 12/5; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 23/10; 23/10; 9/4; 5/2; ; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-14 20:19:39 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/50; ; 
Shrewsbury; 9/4; ; 9/4; 11/5; ; 11/5; 9/4; ; ; 9/4; ; 21/10; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; ; ; 1/14; ; 
Draw; 23/10; ; 12/5; 12/5; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 23/10; 23/10; 9/4; 5/2; ; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-15 00:19:11 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/50; ; 
Shrewsbury; 9/4; ; 9/4; 11/5; ; 11/5; 9/4; ; ; 9/4; ; 21/10; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; ; ; 1/14; ; 
Draw; 23/10; ; 12/5; 12/5; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 23/10; 23/10; 9/4; 5/2; ; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-15 04:18:02 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/50; ; 
Shrewsbury; 9/4; ; 9/4; 11/5; ; 11/5; 9/4; ; ; 9/4; ; 21/10; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; ; ; 1/14; ; 
Draw; 23/10; ; 12/5; 12/5; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 23/10; 23/10; 9/4; 5/2; ; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-15 08:17:56 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/50; ; 
Shrewsbury; 9/4; ; 9/4; 11/5; ; 11/5; 9/4; ; ; 9/4; ; 21/10; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; ; ; 1/14; ; 
Draw; 23/10; ; 12/5; 12/5; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 23/10; 23/10; 9/4; 5/2; ; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-15 12:18:27 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; 23/20; ; 23/20; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 1/50; ; 
Shrewsbury; 9/4; 19/10; 9/4; 11/5; ; 11/5; 9/4; ; ; 9/4; ; 21/10; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; ; ; 1/14; ; 
Draw; 23/10; 12/5; 12/5; 12/5; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 23/10; 23/10; 9/4; 5/2; ; ; 1/14; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-15 16:18:36 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 5/4; ; ; 6/5; ; 23/20; ; 6/5; ; 5/4; ; 6/5; 6/5; 6/5; 15/13; 5/4; ; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 21/10; ; 11/5; 21/10; ; ; 9/4; ; 21/10; ; 11/5; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; ; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 12/5; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 23/10; 23/10; 9/4; 5/2; ; ; 23/10; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-15 20:20:11 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; ; ; 6/5; ; 23/20; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; ; ; 9/4; ; 21/10; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; 37/19; ; 19/10; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 11/5; 5/2; 12/5; ; 12/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-16 00:19:29 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; ; ; 6/5; ; 23/20; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; ; ; 9/4; ; 11/5; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 11/5; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 11/5; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-16 04:19:30 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; ; ; 6/5; ; 11/10; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; ; ; 9/4; ; 11/5; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 11/5; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-16 08:19:35 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; ; ; 6/5; ; 23/20; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; ; ; 9/4; ; 11/5; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 11/5; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-16 12:20:49 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; ; ; 6/5; ; 23/20; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; ; ; 9/4; ; 11/5; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 11/5; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-16 16:20:10 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; ; ; 6/5; ; 23/20; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; ; ; 9/4; ; 11/5; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 11/5; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-16 20:20:02 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; ; ; 6/5; ; 23/20; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; ; ; 9/4; ; 11/5; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 11/5; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-17 00:19:30 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; ; ; 6/5; ; 23/20; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; ; ; 9/4; ; 11/5; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 11/5; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-17 04:19:30 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; ; ; 6/5; ; 23/20; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; ; ; 9/4; ; 11/5; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 11/5; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-17 08:19:52 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; ; ; 6/5; ; 23/20; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; ; ; 9/4; ; 11/5; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 11/5; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-17 12:20:14 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; ; ; 6/5; ; 23/20; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; ; ; 9/4; ; 11/5; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 11/5; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-17 16:20:32 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; ; ; 6/5; ; 23/20; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; ; ; 9/4; ; 11/5; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 11/5; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-17 20:20:17 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; ; ; 6/5; ; 23/20; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; ; ; 9/4; ; 11/5; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 11/5; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-18 00:20:08 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; ; ; 6/5; ; 23/20; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; ; ; 9/4; ; 11/5; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 11/5; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-18 04:20:02 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; ; ; 6/5; ; 23/20; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
Shrewsbury; 9/4; 19/10; 9/4; 9/4; ; 11/5; 23/10; ; ; 9/4; ; 11/5; ; 9/4; ; 23/10; ; 9/4; 11/5; 9/4; 28/13; 19/8; 37/19; ; 2; ; 
Draw; 23/10; 12/5; 12/5; 23/10; ; 9/4; 12/5; ; ; 23/10; ; 23/10; ; 47/20; ; 12/5; ; 23/10; 23/10; 23/10; 11/5; 5/2; 12/5; ; 11/5; ; 
META; english/league-cup/shrewsbury-v-huddersfield; 2016-07-18 08:19:56 GMT+3; 2016-08-09 19:45; e70300-dr003
Huddersfield; 6/5; 5/4; 6/5; 6/5; ; 6/5; 23/20; ; ; 6/5; ; 23/20; ; 23/20; ; 6/5; ; 6/5; 6/5; 6/5; 15/13; 5/4; 15/13; ; 21/20; ; 
