META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-01-30 22:23:54 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 11/10; 23/20; 6/5; ; 67/50; ; ; ; ; 23/20; 23/20; ; ; 23/20; ; 11/10; ; 15/13; ; 8/7; ; 11/10; ; 23/20; 6/5; ; ; 10/9; 
Draw; 23/10; 2; 21/10; ; 11/5; ; ; ; ; 21/10; 21/10; ; ; 21/10; ; 21/10; ; 11/5; ; 28/13; ; 2; ; 11/5; 28/13; ; ; 19/10; 
Sevilla B; 5/2; 12/5; 23/10; ; 5/2; ; ; ; ; 12/5; 12/5; ; ; 49/20; ; 12/5; ; 12/5; ; 28/13; ; 23/10; ; 12/5; 40/17; ; ; 21/10; 
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-01-31 02:22:53 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 11/10; 23/20; 15/13; ; 67/50; ; ; ; ; 23/20; 23/20; ; ; 23/20; ; 11/10; 5/4; 15/13; 5/4; 8/7; ; 11/10; ; 23/20; 15/13; ; ; 10/9; 
Draw; 23/10; 2; 21/10; ; 11/5; ; ; ; ; 21/10; 21/10; ; ; 21/10; ; 21/10; 21/10; 11/5; 21/10; 28/13; ; 2; ; 11/5; 11/5; ; ; 19/10; 
Sevilla B; 5/2; 12/5; 12/5; ; 5/2; ; ; ; ; 12/5; 12/5; ; ; 49/20; ; 12/5; 23/10; 12/5; 23/10; 28/13; ; 23/10; ; 12/5; 27/11; ; ; 21/10; 
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-01-31 10:23:04 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 6/5; 6/5; 5/4; ; 67/50; ; ; ; ; 5/4; 6/5; ; ; 13/10; ; 5/4; 15/13; 13/10; 15/13; 10/9; ; 6/5; ; 5/4; 13/10; ; ; 6/5; 
Draw; 9/4; 85/40; 2; ; 11/5; ; ; ; ; 2; 21/10; ; ; 41/20; ; 21/10; 21/10; 21/10; 21/10; 28/13; ; 2; ; 11/5; 28/13; ; ; 15/8; 
Sevilla B; 23/10; 85/40; 11/5; ; 5/2; ; ; ; ; 11/5; 9/4; ; ; 43/20; ; 11/5; 13/5; 28/13; 13/5; 11/5; ; 2; ; 11/5; 28/13; ; ; 2; 
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-01-31 14:23:43 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 6/5; 6/5; 6/5; ; 67/50; ; ; ; 6/5; 6/5; 6/5; ; 5/4; 6/5; ; 6/5; 15/13; 6/5; 15/13; 13/11; 6/5; 11/10; ; 6/5; 6/5; ; ; ; 
Draw; 9/4; 21/10; 2; ; 11/5; ; ; ; 28/13; 2; 21/10; ; 21/10; 21/10; ; 21/10; 21/10; ; 21/10; 21/10; 28/13; 2; ; 11/5; 11/5; ; ; 19/10; 
Sevilla B; 23/10; 11/5; 9/4; ; 5/2; ; ; ; 9/4; 9/4; 23/10; ; 11/5; 9/4; ; 9/4; 13/5; 23/10; 13/5; 28/13; 9/4; 11/5; ; 23/10; 23/10; ; ; 2; 
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-01-31 18:24:16 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 6/5; 6/5; 6/5; ; 67/50; ; ; ; 6/5; 6/5; 6/5; ; 5/4; 6/5; 5/4; 6/5; 15/13; 6/5; 15/13; 13/11; 6/5; 11/10; ; 6/5; 5/4; ; ; ; 5/4
Draw; 9/4; 21/10; 21/10; ; 11/5; ; ; ; 28/13; 21/10; 21/10; ; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 28/13; 2; ; 11/5; 11/5; ; ; 19/10; 9/4
Sevilla B; 23/10; 11/5; 9/4; ; 5/2; ; ; ; 9/4; 9/4; 9/4; ; 11/5; 23/10; 23/10; 9/4; 13/5; 23/10; 13/5; 28/13; 9/4; 11/5; ; 23/10; 40/17; ; ; 2; 12/5
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-01-31 22:23:26 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 6/5; 6/5; 6/5; ; 67/50; ; ; ; 6/5; 6/5; 6/5; ; 5/4; 6/5; 5/4; 6/5; 15/13; 6/5; 15/13; 13/11; 13/11; 11/10; ; 6/5; 5/4; ; ; ; 5/4
Draw; 9/4; 21/10; 21/10; ; 11/5; ; ; ; 9/4; 21/10; 21/10; ; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 9/4; 2; ; 11/5; 11/5; ; ; 19/10; 9/4
Sevilla B; 23/10; 11/5; 9/4; ; 5/2; ; ; ; 9/4; 9/4; 9/4; ; 11/5; 23/10; 23/10; 9/4; 13/5; 23/10; 13/5; 28/13; 9/4; 11/5; ; 23/10; 40/17; ; ; 2; 12/5
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-02-01 02:22:47 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 6/5; 6/5; 6/5; ; 67/50; ; ; ; 6/5; 6/5; 6/5; ; 5/4; 6/5; 5/4; 6/5; 6/5; 15/13; 13/11; 13/11; 11/10; ; 6/5; 5/4; ; ; ; 5/4
Draw; 11/5; 21/10; 21/10; ; 119/50; ; ; ; 9/4; 21/10; 11/5; ; 21/10; 21/10; 21/10; 11/5; 9/4; 11/5; 21/10; 9/4; 2; ; 11/5; 9/4; ; 21/10; 19/10; 23/10
Sevilla B; 5/2; 23/10; 23/10; ; 64/25; ; ; ; 12/5; 23/10; 23/10; ; 9/4; 47/20; 23/10; 23/10; 12/5; 13/5; 9/4; 40/17; 23/10; ; 12/5; 27/11; ; 21/10; 2; 5/2
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-02-02 14:23:36 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 23/20; 23/20; 15/13; ; 123/100; ; ; ; 15/13; 23/20; 11/10; ; 6/5; 23/20; 23/20; 11/10; 15/13; 15/13; 8/7; 8/7; 11/10; ; 23/20; 15/13; ; 21/20; 23/20; 23/20
Draw; 11/5; 21/10; 21/10; ; 119/50; ; ; ; 9/4; 21/10; 11/5; ; 21/10; 21/10; 11/5; 21/10; 9/4; 11/5; 21/10; 9/4; 2; ; 11/5; 9/4; ; 21/10; 2; 23/10
Sevilla B; 5/2; 23/10; 23/10; ; 51/20; ; ; ; 12/5; 23/10; 12/5; ; 9/4; 47/20; 12/5; 12/5; 12/5; 13/5; 9/4; 40/17; 23/10; ; 12/5; 27/11; ; 21/10; 21/10; 5/2
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-02-02 18:29:48 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 23/20; 23/20; 15/13; ; 123/100; ; ; ; 15/13; 23/20; 23/20; ; 6/5; 23/20; 23/20; 11/10; ; 15/13; 22/19; 8/7; 11/10; ; 23/20; 15/13; ; 10/9; 23/20; 6/5
Draw; 11/5; 21/10; 21/10; ; 119/50; ; ; ; 9/4; 21/10; 21/10; ; 21/10; 21/10; 11/5; 21/10; ; 11/5; 21/10; 9/4; 2; ; 11/5; 9/4; ; 21/10; 2; 23/10
Sevilla B; 5/2; 23/10; 23/10; ; 51/20; ; ; ; 12/5; 23/10; 12/5; ; 9/4; 47/20; 12/5; 12/5; ; 13/5; 11/5; 40/17; 23/10; ; 12/5; 27/11; ; 9/4; 21/10; 5/2
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-02-02 22:23:14 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 23/20; 23/20; 15/13; ; 123/100; ; ; ; 15/13; 23/20; 23/20; ; 6/5; 23/20; 23/20; 11/10; 15/13; 15/13; 22/19; 8/7; 11/10; ; 23/20; 15/13; ; 10/9; 6/5; 6/5
Draw; 11/5; 21/10; 21/10; ; 119/50; ; ; ; 9/4; 21/10; 21/10; ; 21/10; 21/10; 11/5; 21/10; 9/4; 11/5; 21/10; 9/4; 2; ; 11/5; 9/4; ; 21/10; 2; 23/10
Sevilla B; 5/2; 23/10; 23/10; ; 64/25; ; ; ; 12/5; 23/10; 12/5; ; 9/4; 47/20; 12/5; 12/5; 12/5; 13/5; 11/5; 40/17; 23/10; ; 12/5; 27/11; ; 9/4; 23/10; 5/2
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-02-03 02:22:41 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 23/20; 23/20; 15/13; ; 123/100; ; ; ; 15/13; 23/20; 23/20; ; 6/5; 23/20; 23/20; 11/10; 15/13; 15/13; 22/19; 8/7; 11/10; ; 23/20; 15/13; ; 11/10; 23/20; 6/5
Draw; 11/5; 21/10; 21/10; ; 119/50; ; ; ; 9/4; 21/10; 21/10; ; 21/10; 21/10; 11/5; 21/10; 9/4; 11/5; 21/10; 9/4; 2; ; 11/5; 9/4; ; 21/10; 2; 23/10
Sevilla B; 5/2; 23/10; 23/10; ; 64/25; ; ; ; 12/5; 23/10; 12/5; ; 9/4; 47/20; 12/5; 12/5; 12/5; 13/5; 11/5; 40/17; 23/10; ; 12/5; 27/11; ; 9/4; 23/10; 5/2
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-02-03 10:22:55 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 23/20; 23/20; 15/13; ; 123/100; ; ; ; 15/13; 23/20; 23/20; ; 6/5; 23/20; 23/20; 11/10; 15/13; 15/13; 22/19; 8/7; 11/10; ; 23/20; 15/13; ; 11/10; 6/5; 6/5
Draw; 11/5; 21/10; 21/10; ; 119/50; ; ; ; 9/4; 21/10; 21/10; ; 21/10; 21/10; 11/5; 21/10; 9/4; 11/5; 21/10; 9/4; 2; ; 11/5; 9/4; ; 21/10; 2; 23/10
Sevilla B; 5/2; 23/10; 23/10; ; 64/25; ; ; ; 12/5; 23/10; 12/5; ; 9/4; 47/20; 12/5; 12/5; 12/5; 13/5; 11/5; 40/17; 23/10; ; 12/5; 27/11; ; 23/10; 23/10; 5/2
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-02-03 14:24:03 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 23/20; 23/20; ; ; 123/100; ; ; ; 15/13; 23/20; 11/10; ; 6/5; 23/20; 23/20; 11/10; 15/13; 15/13; 22/19; 8/7; 11/10; ; 23/20; 15/13; ; 21/20; 6/5; 6/5
Draw; 11/5; 21/10; ; ; 59/25; ; ; ; 9/4; 21/10; 11/5; ; 21/10; 21/10; 11/5; 21/10; 9/4; 11/5; 21/10; 9/4; 2; ; 11/5; 9/4; ; 21/10; 2; 23/10
Sevilla B; 5/2; 23/10; ; ; 129/50; ; ; ; 12/5; 23/10; 12/5; ; 9/4; 47/20; 12/5; 12/5; 12/5; 13/5; 11/5; 40/17; 23/10; ; 12/5; 27/11; ; 21/10; 23/10; 5/2
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-02-03 18:22:52 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 23/20; 23/20; 15/13; ; 123/100; ; ; ; 15/13; 23/20; 23/20; ; 6/5; 23/20; 23/20; 11/10; 15/13; 15/13; 7/6; 8/7; 11/10; ; 23/20; 15/13; ; 11/10; 6/5; 6/5
Draw; 11/5; 21/10; 21/10; ; 59/25; ; ; ; 9/4; 21/10; 21/10; ; 21/10; 21/10; 11/5; 21/10; 9/4; 11/5; 21/10; 9/4; 2; ; 11/5; 9/4; ; 21/10; 2; 23/10
Sevilla B; 5/2; 23/10; 23/10; ; 129/50; ; ; ; 12/5; 23/10; 12/5; ; 9/4; 47/20; 12/5; 12/5; 12/5; 13/5; 28/13; 40/17; 23/10; ; 12/5; 27/11; ; 12/5; 23/10; 5/2
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-02-03 22:21:12 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 23/20; 23/20; 15/13; ; 121/100; ; ; ; 15/13; 23/20; 11/10; ; 6/5; 23/20; 23/20; 11/10; 11/10; 15/13; 7/6; 8/7; 21/20; ; 23/20; 15/13; ; 11/10; 23/20; 10/9
Draw; 11/5; 21/10; 21/10; ; 12/5; ; ; ; 9/4; 21/10; 11/5; ; 21/10; 21/10; 11/5; 21/10; 9/4; 11/5; 21/10; 9/4; 2; ; 11/5; 9/4; ; 21/10; 2; 12/5
Sevilla B; 5/2; 23/10; 23/10; ; 129/50; ; ; ; 12/5; 23/10; 12/5; ; 9/4; 47/20; 12/5; 12/5; 5/2; 13/5; 28/13; 40/17; 23/10; ; 12/5; 27/11; ; 23/10; 23/10; 13/5
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-02-04 02:21:38 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 23/20; 23/20; 15/13; ; 119/100; ; ; ; 15/13; 23/20; 23/20; ; 6/5; 23/20; 23/20; 11/10; 11/10; 15/13; 19/16; 8/7; 21/20; ; 11/10; 15/13; ; 10/9; 23/20; 10/9
Draw; 11/5; 21/10; 21/10; ; 119/50; ; ; ; 9/4; 21/10; 21/10; ; 21/10; 21/10; 11/5; 21/10; 9/4; 11/5; 21/10; 9/4; 2; ; 9/4; 23/10; ; 21/10; 2; 12/5
Sevilla B; 5/2; 23/10; 23/10; ; 133/50; ; ; ; 12/5; 23/10; 12/5; ; 9/4; 47/20; 12/5; 12/5; 5/2; 13/5; 21/10; 40/17; 23/10; ; 5/2; 28/11; ; 12/5; 12/5; 13/5
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-02-04 10:21:36 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 23/20; 11/10; 15/13; ; 61/50; ; ; ; 15/13; 23/20; 23/20; ; 6/5; 23/20; 23/20; 11/10; 15/13; 15/13; 6/5; 8/7; 21/20; ; 11/10; 15/13; ; ; 6/5; 23/20
Draw; 11/5; 21/10; 21/10; ; 58/25; ; ; ; 9/4; 21/10; 21/10; ; 21/10; 21/10; 11/5; 21/10; 9/4; 11/5; 21/10; 9/4; 2; ; 9/4; 9/4; ; 21/10; 9/4; 23/10
Sevilla B; 5/2; 12/5; 12/5; ; 53/20; ; ; ; 12/5; 12/5; 12/5; ; 23/10; 47/20; 12/5; 12/5; 12/5; 13/5; 23/10; 40/17; 23/10; ; 5/2; 27/11; ; 5/2; 13/5; 5/2
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-02-04 14:22:11 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 23/20; 11/10; 11/10; ; 59/50; ; ; ; 15/13; 11/10; 11/10; ; 23/20; 23/20; 23/20; 11/10; 15/13; 15/13; 6/5; 8/7; 21/20; ; 11/10; 15/13; ; 23/20; 6/5; 23/20
Draw; 11/5; 21/10; 21/10; ; 117/50; ; ; ; 9/4; 21/10; 11/5; ; 11/5; 43/20; 21/10; 21/10; 9/4; 11/5; 28/13; 9/4; 2; ; 9/4; 9/4; ; 21/10; 9/4; 23/10
Sevilla B; 5/2; 12/5; 12/5; ; 11/4; ; ; ; 12/5; 12/5; 12/5; ; 23/10; 12/5; 5/2; 12/5; 5/2; 13/5; 11/5; 40/17; 12/5; ; 5/2; 5/2; ; 13/5; 27/10; 27/10
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-02-04 18:22:05 GMT+2; 2018-02-04 15:00; In Play; Xlenovo
Draw; 5/6; 10/11; 11/10; 10/11; 159/100; ; ; ; 15/16; 21/20; 11/10; ; 17/20; 19/20; 10/11; 5/6; 6/5; 11/13; 7/8; ; ; ; 17/20; 23/17; ; ; 10/11; 5/6
SD Huesca; 15/8; 13/8; 17/11; 6/4; 11/8; ; ; ; 17/10; 31/20; 13/8; ; 13/8; 7/4; 17/10; 7/4; 23/17; 17/10; 20/11; ; ; ; 19/10; 23/17; ; ; 21/10; 2
Sevilla B; 9/2; 9/2; 19/5; 19/5; 63/20; ; ; ; 17/4; 19/5; 4; ; 17/4; 4; 15/4; 9/2; 4; 17/4; 41/10; ; ; ; 19/4; 38/11; ; ; 22/5; 4
