Draw; 13/5; 11/5; 41/20; 2; 9/4; 21/10; 11/5; 21/10; 11/5; 2; 2; 21/10; 9/4; 11/5; 21/10; 11/5; 9/4; 28/13; 9/4; 121/50; 21/10; 28/13; ; 2; 9/4; ; 21/10; 11/5; 12/5
Alcorcon; 3; 16/5; 17/5; 16/5; 10/3; 3; 15/4; 16/5; 17/5; 13/4; 13/4; 10/3; 7/2; 10/3; 16/5; 16/5; 17/5; 57/17; 57/17; 7/2; 3; 57/17; ; 3; 10/3; ; 10/3; 3; 
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-10 02:24:21 GMT+3; 2017-09-10 15:00; Nothing; Xlenovo
Zaragoza; 17/20; 10/11; 9/10; 17/20; 10/11; 17/20; 10/11; 5/6; 10/11; 10/11; 10/11; 20/23; 9/10; 17/20; 19/20; 10/11; 9/10; 8/9; 13/15; 24/25; 8/9; 8/9; ; 9/10; 5/6; ; 10/11; 10/11; 
Draw; 13/5; 85/40; 41/20; 11/5; 9/4; 21/10; 11/5; 21/10; 11/5; 2; 2; 21/10; 9/4; 11/5; 21/10; 11/5; 9/4; 28/13; 9/4; 121/50; 21/10; 28/13; ; 2; 9/4; ; 21/10; 21/10; 12/5
Alcorcon; 3; 16/5; 17/5; 18/5; 10/3; 3; 15/4; 16/5; 17/5; 13/4; 13/4; 10/3; 7/2; 10/3; 16/5; 16/5; 17/5; 57/17; 17/5; 7/2; 3; 57/17; ; 3; 10/3; ; 10/3; 10/3; 
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-10 10:24:07 GMT+3; 2017-09-10 15:00; Nothing; Xlenovo
Zaragoza; 17/20; 5/6; 10/11; 19/20; 10/11; 17/20; 10/11; 5/6; 10/11; 10/11; 10/11; 20/23; 10/11; 17/20; 19/20; 10/11; 9/10; 8/9; 10/11; 97/100; 13/14; 8/9; ; 9/10; 10/11; ; 10/11; 10/11; 20/21
Draw; 13/5; 11/5; 41/20; 2; 9/4; 21/10; 9/4; 21/10; 11/5; 21/10; 21/10; 21/10; 9/4; 11/5; 21/10; 11/5; 9/4; 28/13; 9/4; 12/5; 21/10; 28/13; ; 2; 9/4; ; 11/5; 21/10; 23/10
Alcorcon; 3; 16/5; 10/3; 17/5; 10/3; 3; 18/5; 16/5; 17/5; 10/3; 10/3; 10/3; 7/2; 10/3; 16/5; 16/5; 17/5; 57/17; 33/10; 69/20; 16/5; 57/17; ; 3; 3; ; 7/2; 7/2; 7/2
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-10 14:25:44 GMT+3; 2017-09-10 15:00; Nothing; Xlenovo
Zaragoza; 17/20; 5/6; 19/20; 19/20; 20/21; 17/20; 37/40; 4/5; 10/11; 10/11; 10/11; 10/11; 10/11; 9/10; 10/11; 10/11; 9/10; 8/9; 10/11; 99/100; 28/29; 8/9; ; 5/6; 10/11; ; 20/21; 10/11; 20/21
Draw; 23/10; 21/10; 41/20; 2; 11/5; 21/10; 11/5; 2; 11/5; 2; 2; 21/10; 9/4; 21/10; 11/5; 21/10; 9/4; 28/13; 9/4; 47/20; 28/13; 28/13; ; 2; 2; ; 21/10; 21/10; 9/4
Alcorcon; 7/2; 10/3; 16/5; 17/5; 10/3; 3; 18/5; 10/3; 17/5; 16/5; 16/5; 16/5; 7/2; 10/3; 16/5; 10/3; 17/5; 57/17; 38/11; 69/20; 29/10; 57/17; ; 3; 10/3; ; 7/2; 7/2; 7/2
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-10 18:26:04 GMT+3; 2017-09-10 15:00; In Play; Xlenovo
Draw; 12/5; ; 9/4; 2; 2; 11/5; ; 12/5; 17/10; 21/10; 23/10; 2; 47/20; ; 11/5; 2; 23/10; ; ; ; ; ; ; ; 2; ; ; 11/5; 11/5
Alcorcon; 4/9; ; 8/15; 17/5; 3; 12/25; ; 4/11; 17/5; 4/6; 1/2; 4/6; 1/2; ; 3/5; 8/11; 4/9; ; ; ; ; ; ; ; 7/10; ; ; 8/11; 4/5
