Cadiz; 6/5; ; 6/5; 6/5; ; ; ; ; 11/10; ; ; 6/5; ; ; 6/5; ; 6/5; 15/13; 6/5; 13/11; 11/10; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; ; 2; 2; ; ; ; ; 2; ; ; 19/10; ; ; 2; ; 2; 2; 2; 28/13; 2; 15/8; 85/40; 2; 2; ; ; 2; 
Granada; 13/5; ; 23/10; 23/10; ; ; ; ; 45/17; ; ; 5/2; ; ; 5/2; ; 5/2; 27/11; 5/2; 39/19; 13/5; 23/10; 5/2; 5/2; 27/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-27 18:27:27 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; 6/5; 6/5; ; ; ; ; 6/5; ; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 13/11; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; ; 2; 2; ; ; ; ; 2; ; ; 19/10; ; ; 2; ; 2; 19/10; 2; 28/13; 37/19; 15/8; 85/40; 2; 37/19; ; ; 2; 
Granada; 13/5; ; 23/10; 23/10; ; ; ; ; 13/5; ; ; 5/2; ; ; 5/2; ; 5/2; 5/2; 5/2; 39/19; 28/11; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-27 22:27:55 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; 6/5; 6/5; ; ; ; ; 6/5; ; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 13/11; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; ; 2; 2; ; ; ; ; 2; ; ; 19/10; ; ; 2; ; 2; 19/10; 2; 28/13; 37/19; 15/8; 85/40; 2; 37/19; ; ; 2; 
Granada; 13/5; ; 23/10; 23/10; ; ; ; ; 13/5; ; ; 5/2; ; ; 5/2; ; 5/2; 5/2; 5/2; 39/19; 28/11; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-28 02:28:37 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; 6/5; 6/5; ; ; ; ; 6/5; ; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 13/11; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; ; 2; 2; ; ; ; ; 2; ; ; 19/10; ; ; 2; ; 2; 19/10; 2; 28/13; 37/19; 15/8; 85/40; 2; 37/19; ; ; 2; 
Granada; 13/5; ; 23/10; 23/10; ; ; ; ; 13/5; ; ; 5/2; ; ; 5/2; ; 5/2; 5/2; 5/2; 39/19; 28/11; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-28 10:27:21 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; 6/5; 6/5; ; ; ; ; 6/5; ; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 13/11; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; ; 2; 2; ; ; ; ; 2; ; ; 19/10; ; ; 2; ; 2; 19/10; 2; 28/13; 37/19; 15/8; 85/40; 2; 37/19; ; ; 2; 
Granada; 13/5; ; 23/10; 23/10; ; ; ; ; 13/5; ; ; 5/2; ; ; 5/2; ; 5/2; 5/2; 5/2; 39/19; 28/11; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-28 14:27:39 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; 6/5; 6/5; ; ; ; ; 6/5; 6/5; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 13/11; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; ; 2; 2; ; ; ; ; 2; 2; ; 19/10; ; ; 2; ; 2; 19/10; 2; 28/13; 37/19; 15/8; 85/40; 2; 19/10; ; ; 2; 
Granada; 13/5; ; 23/10; 23/10; ; ; ; ; 13/5; 23/10; ; 5/2; ; ; 5/2; ; 5/2; 5/2; 5/2; 39/19; 28/11; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-28 18:27:30 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; 6/5; 6/5; ; ; ; ; 6/5; 6/5; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 13/11; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
