Draw; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-03 10:25:44 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Lorca; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; 
Draw; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-03 14:25:55 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 21/20; 11/10; 13/10; ; ; 1; ; 11/10; ; ; ; ; ; ; ; ; ; 21/20; 23/20; ; ; ; 11/10; 21/20; ; 1; ; 
Draw; 2; 19/10; 21/10; ; ; 19/10; ; 9/5; ; ; ; ; ; ; ; ; ; 2; 54/25; ; ; ; 21/10; 2; ; 19/10; ; 
Lorca; 31/10; 11/4; 2; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 29/10; 31/10; ; ; ; 3; 59/20; ; 13/5; ; 
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-03 18:25:36 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 21/20; 21/20; 13/10; 21/20; 21/20; 1; ; 10/11; ; ; 21/20; ; ; ; 21/20; ; ; 21/20; 29/25; 30/29; ; ; 21/20; 21/20; ; 1; ; 
Draw; 2; 2; 21/10; 21/10; 21/10; 39/20; ; 15/8; ; ; 2; ; ; ; 2; ; 21/10; 39/19; 54/25; 21/10; ; ; 11/5; 2; ; 19/10; ; 
Lorca; 31/10; 14/5; 2; 11/4; 3; 27/10; ; 11/4; ; ; 14/5; ; ; ; 3; ; 29/10; 14/5; 61/20; 5/2; ; ; 3; 59/20; ; 13/5; ; 
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-03 22:25:37 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 21/20; 1; 13/10; 1; 21/20; 1; ; 10/11; 13/12; ; 1; 21/20; ; 1; 21/20; 1; ; 1; 27/25; 30/29; 17/16; ; 21/20; 21/20; ; 1; 20/21; 
Draw; 2; 21/10; 21/10; 11/5; 21/10; 39/20; ; 15/8; 39/19; ; 11/5; 41/20; ; 2; 2; 21/10; 21/10; 21/10; 23/10; 21/10; 2; ; 11/5; 2; ; 2; 2; 
Lorca; 31/10; 11/4; 2; 11/4; 3; 27/10; ; 11/4; 29/10; ; 11/4; 11/4; ; 29/10; 3; 14/5; 29/10; 29/10; 63/20; 5/2; 37/13; ; 3; 59/20; ; 14/5; 13/5; 
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-04 02:24:41 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 21/20; 21/20; 13/10; 1; 21/20; 1; ; 10/11; 13/12; ; 1; 11/10; ; 1; 21/20; 1; ; 1; 27/25; 30/29; 17/16; ; 11/10; 21/20; ; 1; 21/20; 
Draw; 2; 2; 21/10; 11/5; 21/10; 39/20; ; 15/8; 39/19; ; 11/5; 41/20; ; 2; 2; 21/10; 21/10; 21/10; 23/10; 21/10; 2; ; 11/5; 2; ; 2; 2; 
Lorca; 31/10; 11/4; 2; 11/4; 3; 27/10; ; 11/4; 29/10; ; 11/4; 27/10; ; 29/10; 3; 14/5; 29/10; 37/13; 63/20; 5/2; 37/13; ; 14/5; 59/20; ; 14/5; 13/5; 
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-04 10:25:01 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 21/20; 21/20; 13/10; 1; 21/20; 1; ; 10/11; 13/12; ; 21/20; 21/20; ; 1; 21/20; 1; ; 1; 109/100; 30/29; 17/16; ; 11/10; 21/20; ; 20/21; 20/21; 
Draw; 2; 2; 21/10; 11/5; 21/10; 39/20; ; 15/8; 39/19; ; 21/10; 41/20; ; 2; 2; 21/10; 21/10; 21/10; 23/10; 21/10; 2; ; 11/5; 2; ; 19/10; 2; 
Lorca; 31/10; 11/4; 2; 11/4; 3; 27/10; ; 11/4; 29/10; ; 11/4; 27/10; ; 29/10; 3; 14/5; 29/10; 37/13; 31/10; 5/2; 37/13; ; 14/5; 59/20; ; 14/5; 13/5; 
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-04 14:25:03 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 21/20; 21/20; 13/10; 1; 21/20; 1; 1; 10/11; 11/10; ; 21/20; 21/20; 21/20; 1; 21/20; 1; ; 21/20; 11/10; 30/29; 13/12; ; 11/10; 21/20; ; 20/21; 21/20; 
Draw; 2; 2; 21/10; 11/5; 21/10; 39/20; 2; 15/8; 28/13; ; 21/10; 41/20; 21/10; 2; 2; 21/10; 21/10; 28/13; 56/25; 21/10; 21/10; ; 85/40; 2; ; 19/10; 2; 
Lorca; 31/10; 11/4; 2; 11/4; 3; 27/10; 11/4; 11/4; 27/10; ; 11/4; 27/10; 13/5; 29/10; 3; 14/5; 29/10; 29/10; 63/20; 5/2; 45/17; ; 29/10; 59/20; ; 14/5; 13/5; 
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-04 18:25:04 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 21/20; 21/20; 13/10; 1; 21/20; 1; 1; 10/11; 11/10; ; 21/20; 21/20; 21/20; 1; 21/20; 1; ; 21/20; 59/50; 30/29; 13/12; ; 11/10; 21/20; ; 20/21; 21/20; 
Draw; 2; 2; 21/10; 11/5; 21/10; 39/20; 2; 15/8; 28/13; ; 21/10; 41/20; 21/10; 2; 2; 21/10; 21/10; 28/13; 21/10; 21/10; 21/10; ; 85/40; 2; ; 19/10; 2; 
Lorca; 31/10; 11/4; 2; 11/4; 3; 27/10; 11/4; 11/4; 27/10; ; 11/4; 27/10; 13/5; 29/10; 3; 14/5; 29/10; 14/5; 31/10; 5/2; 45/17; ; 29/10; 59/20; ; 14/5; 13/5; 
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-04 22:24:41 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 21/20; 21/20; 13/10; 1; 11/10; 1; 1; 10/11; 11/10; ; 21/20; 21/20; 21/20; 1; 21/20; 21/20; 15/13; 21/20; 59/50; 30/29; 13/12; ; 11/10; 21/20; ; 20/21; 21/20; 
Draw; 2; 2; 21/10; 11/5; 21/10; 39/20; 2; 15/8; 28/13; ; 21/10; 41/20; 21/10; 2; 2; 2; 2; 28/13; 21/10; 21/10; 21/10; ; 85/40; 2; ; 19/10; 2; 
Lorca; 31/10; 11/4; 2; 11/4; 11/4; 27/10; 11/4; 11/4; 27/10; ; 11/4; 27/10; 13/5; 29/10; 3; 11/4; 27/10; 14/5; 31/10; 5/2; 45/17; ; 29/10; 59/20; ; 14/5; 13/5; 
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-05 02:24:42 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 21/20; 21/20; 13/10; 1; 11/10; 11/10; 1; 10/11; 11/10; ; 21/20; 21/20; 21/20; 1; 21/20; 21/20; 15/13; 21/20; 59/50; 30/29; 13/12; ; 11/10; 21/20; ; 20/21; 21/20; 
Draw; 2; 2; 21/10; 11/5; 21/10; 15/8; 2; 15/8; 28/13; ; 21/10; 41/20; 21/10; 2; 2; 2; 2; 28/13; 21/10; 21/10; 21/10; ; 85/40; 2; ; 19/10; 2; 
Lorca; 31/10; 11/4; 2; 11/4; 11/4; 5/2; 11/4; 11/4; 27/10; ; 11/4; 27/10; 13/5; 29/10; 3; 11/4; 27/10; 14/5; 31/10; 5/2; 45/17; ; 29/10; 59/20; ; 14/5; 13/5; 
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-05 10:25:01 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 21/20; 21/20; 13/10; 1; 11/10; 11/10; 1; 10/11; 11/10; ; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 15/13; 21/20; 59/50; 30/29; 13/12; ; 11/10; 21/20; ; 1; 21/20; 
Draw; 2; 2; 21/10; 11/5; 21/10; 15/8; 2; 15/8; 28/13; ; 21/10; 41/20; 21/10; 2; 2; 2; 2; 21/10; 21/10; 21/10; 21/10; ; 85/40; 2; ; 19/10; 2; 
Lorca; 31/10; 11/4; 2; 11/4; 11/4; 5/2; 11/4; 11/4; 27/10; ; 11/4; 27/10; 13/5; 29/10; 3; 11/4; 27/10; 14/5; 31/10; 5/2; 45/17; ; 29/10; 59/20; ; 14/5; 13/5; 
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-05 14:25:31 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 21/20; 21/20; 13/10; 1; 21/20; 21/20; 1; 10/11; 11/10; ; 21/20; 21/20; 21/20; 1; 21/20; 21/20; 11/10; 21/20; 59/50; 30/29; 13/12; ; 11/10; 21/20; ; 1; 21/20; 
Draw; 2; 2; 21/10; 11/5; 21/10; 39/20; 2; 15/8; 28/13; ; 21/10; 41/20; 21/10; 2; 2; 2; 21/10; 21/10; 21/10; 21/10; 21/10; ; 85/40; 2; ; 19/10; 2; 
Lorca; 31/10; 11/4; 2; 11/4; 3; 5/2; 11/4; 11/4; 27/10; ; 11/4; 27/10; 13/5; 29/10; 3; 14/5; 11/4; 14/5; 31/10; 5/2; 45/17; ; 29/10; 59/20; ; 3; 13/5; 
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-05 18:25:59 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 1; 10/11; 11/10; ; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 11/10; 21/20; 59/50; 30/29; 13/12; ; 11/10; 21/20; ; 1; 21/20; 
Draw; 2; 2; 2; 11/5; 21/10; 39/20; 2; 15/8; 28/13; ; 21/10; 41/20; 21/10; 2; 2; 2; 21/10; 21/10; 21/10; 21/10; 21/10; ; 85/40; 9/4; ; 19/10; 2; 
Lorca; 31/10; 11/4; 13/5; 11/4; 3; 5/2; 11/4; 11/4; 27/10; ; 11/4; 27/10; 13/5; 29/10; 3; 14/5; 11/4; 29/10; 31/10; 5/2; 45/17; ; 29/10; 57/20; ; 3; 13/5; 
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-05 22:25:11 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 21/20; 21/20; 11/10; 1; 11/10; 21/20; 1; 10/11; 11/10; 11/10; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 11/10; 21/20; 59/50; 30/29; 13/12; ; 11/10; 21/20; ; 1; 21/20; 
Draw; 2; 2; 2; 11/5; 21/10; 39/20; 2; 15/8; 28/13; 2; 21/10; 41/20; 21/10; 2; 2; 2; 21/10; 21/10; 21/10; 21/10; 21/10; ; 85/40; 9/4; ; 19/10; 2; 
Lorca; 31/10; 11/4; 13/5; 11/4; 11/4; 5/2; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 13/5; 29/10; 3; 11/4; 11/4; 29/10; 31/10; 5/2; 45/17; ; 29/10; 57/20; ; 3; 13/5; 
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-06 02:27:05 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 21/20; 21/20; 11/10; 1; 11/10; 21/20; 1; 10/11; 11/10; 11/10; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 11/10; 21/20; 59/50; 30/29; 13/12; ; 11/10; 21/20; ; 1; 21/20; 
Draw; 2; 2; 2; 11/5; 21/10; 39/20; 2; 15/8; 28/13; 2; 21/10; 41/20; 21/10; 2; 2; 2; 21/10; 21/10; 21/10; 21/10; 21/10; ; 85/40; 9/4; ; 19/10; 2; 
Lorca; 31/10; 11/4; 13/5; 11/4; 11/4; 5/2; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 13/5; 29/10; 3; 11/4; 11/4; 29/10; 31/10; 5/2; 45/17; ; 29/10; 57/20; ; 14/5; 13/5; 
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-06 10:25:11 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 21/20; 21/20; 11/10; 1; 11/10; 21/20; 1; 10/11; 11/10; 11/10; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 11/10; 21/20; 59/50; 30/29; 13/12; ; 11/10; 21/20; ; 1; 21/20; 
Draw; 2; 2; 2; 11/5; 21/10; 39/20; 2; 15/8; 28/13; 2; 21/10; 41/20; 21/10; 2; 2; 2; 21/10; 21/10; 21/10; 21/10; 21/10; ; 85/40; 9/4; ; 19/10; 2; 
Lorca; 31/10; 11/4; 13/5; 11/4; 11/4; 5/2; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 13/5; 29/10; 3; 11/4; 11/4; 29/10; 31/10; 5/2; 45/17; ; 29/10; 57/20; ; 14/5; 13/5; 
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-06 14:26:17 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 21/20; 21/20; 11/10; 1; 11/10; 21/20; 1; 10/11; 11/10; 11/10; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 11/10; 21/20; 59/50; 30/29; 13/12; ; 11/10; 21/20; ; 1; 21/20; 
Draw; 2; 2; 2; 11/5; 21/10; 39/20; 2; 15/8; 28/13; 2; 21/10; 41/20; 21/10; 2; 2; 2; 21/10; 21/10; 21/10; 21/10; 21/10; ; 85/40; 9/4; ; 2; 2; 
Lorca; 31/10; 11/4; 13/5; 11/4; 11/4; 5/2; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 13/5; 29/10; 3; 11/4; 11/4; 29/10; 31/10; 5/2; 45/17; ; 29/10; 57/20; ; 3; 13/5; 
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-06 18:25:51 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 21/20; 1; 11/10; 1; 11/10; 21/20; 1; 10/11; 11/10; 11/10; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 11/10; 21/20; 59/50; 30/29; 13/12; ; 11/10; 21/20; ; 1; 21/20; 10/9
Draw; 2; 2; 2; 11/5; 21/10; 39/20; 2; 15/8; 28/13; 2; 21/10; 41/20; 21/10; 2; 2; 2; 21/10; 39/19; 21/10; 21/10; 21/10; ; 85/40; 9/4; ; 2; 2; 21/10
Lorca; 31/10; 14/5; 13/5; 11/4; 11/4; 5/2; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 13/5; 29/10; 3; 11/4; 11/4; 29/10; 31/10; 5/2; 45/17; ; 29/10; 57/20; ; 14/5; 13/5; 3
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-06 22:26:25 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 21/20; 21/20; 11/10; 1; 11/10; 21/20; 1; 10/11; 11/10; 11/10; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 11/10; 21/20; 59/50; 30/29; 13/12; ; 11/10; 21/20; ; 1; 21/20; 10/9
Draw; 2; 2; 2; 11/5; 21/10; 39/20; 2; 15/8; 28/13; 2; 21/10; 41/20; 21/10; 2; 2; 2; 21/10; 39/19; 21/10; 21/10; 21/10; ; 85/40; 9/4; ; 2; 2; 21/10
Lorca; 31/10; 11/4; 13/5; 11/4; 11/4; 5/2; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 13/5; 29/10; 3; 11/4; 11/4; 29/10; 31/10; 5/2; 45/17; ; 29/10; 57/20; ; 14/5; 13/5; 3
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-07 02:25:20 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 21/20; 21/20; 11/10; 1; 11/10; 21/20; 1; 10/11; 11/10; 11/10; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 11/10; 21/20; 59/50; 30/29; 13/12; ; 11/10; 21/20; ; 1; 21/20; 10/9
Draw; 2; 2; 2; 11/5; 21/10; 39/20; 2; 15/8; 28/13; 2; 2; 41/20; 21/10; 2; 2; 2; 21/10; 39/19; 21/10; 21/10; 21/10; ; 85/40; 9/4; ; 2; 2; 21/10
Lorca; 31/10; 11/4; 13/5; 11/4; 11/4; 5/2; 11/4; 11/4; 27/10; 13/5; 14/5; 27/10; 13/5; 29/10; 3; 11/4; 11/4; 29/10; 31/10; 5/2; 45/17; ; 29/10; 57/20; ; 14/5; 13/5; 3
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-07 10:25:55 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 21/20; 21/20; 11/10; 1; 11/10; 21/20; 1; 10/11; 11/10; 11/10; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 11/10; 21/20; 59/50; 30/29; 13/12; ; 11/10; 21/20; ; 1; 21/20; 10/9
Draw; 2; 2; 2; 11/5; 21/10; 39/20; 2; 15/8; 28/13; 2; 21/10; 41/20; 21/10; 2; 2; 2; 21/10; 39/19; 21/10; 21/10; 21/10; ; 85/40; 9/4; ; 2; 2; 21/10
Lorca; 31/10; 11/4; 13/5; 11/4; 11/4; 5/2; 11/4; 11/4; 27/10; 13/5; 11/4; 27/10; 13/5; 29/10; 3; 14/5; 11/4; 29/10; 31/10; 5/2; 45/17; ; 29/10; 57/20; ; 14/5; 13/5; 3
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-07 14:25:55 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 11/10; 21/20; 21/20; 1; 21/20; 21/20; 1; 10/11; 11/10; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 21/20; 11/10; 21/20; 59/50; 30/29; 13/12; ; 21/20; 21/20; ; 21/20; 1; 10/9
Draw; 2; 2; 21/10; 11/5; 21/10; 39/20; 2; 15/8; 28/13; 21/10; 21/10; 41/20; 21/10; 2; 2; 2; 21/10; 39/19; 21/10; 21/10; 21/10; ; 11/5; 9/4; ; 19/10; 21/10; 21/10
Lorca; 3; 11/4; 27/10; 11/4; 3; 5/2; 11/4; 11/4; 27/10; 27/10; 11/4; 11/4; 13/5; 29/10; 3; 14/5; 11/4; 29/10; 31/10; 5/2; 45/17; ; 3; 29/10; ; 14/5; 13/5; 3
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-07 22:24:26 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 11/10; 21/20; 21/20; 1; 21/20; 21/20; 1; 10/11; 11/10; 21/20; 1; 11/10; 11/10; 1; 21/20; 21/20; 11/10; 21/20; 59/50; 13/12; 13/12; ; 11/10; 21/20; ; 1; 21/20; 21/20
Draw; 2; 2; 21/10; 11/5; 21/10; 39/20; 2; 15/8; 28/13; 21/10; 2; 41/20; 21/10; 2; 2; 2; 21/10; 21/10; 21/10; 21/10; 21/10; ; 85/40; 9/4; ; 2; 2; 21/10
Lorca; 3; 11/4; 13/5; 11/4; 3; 5/2; 11/4; 11/4; 27/10; 13/5; 3; 13/5; 13/5; 29/10; 3; 14/5; 11/4; 56/19; 31/10; 12/5; 45/17; ; 29/10; 29/10; ; 3; 14/5; 3
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-08 02:24:31 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 11/10; 21/20; 21/20; 1; 21/20; 21/20; 1; 10/11; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 21/20; 21/20; 11/10; 21/20; 113/100; 10/9; 13/12; ; 11/10; 21/20; ; 1; 21/20; 11/10
Draw; 2; 2; 21/10; 11/5; 21/10; 39/20; 2; 15/8; 28/13; 21/10; 21/10; 41/20; 21/10; 2; 2; 2; 21/10; 21/10; 109/50; 21/10; 21/10; ; 85/40; 9/4; ; 21/10; 21/10; 11/5
Lorca; 3; 11/4; 13/5; 11/4; 3; 5/2; 11/4; 11/4; 27/10; 13/5; 13/5; 27/10; 13/5; 29/10; 3; 14/5; 11/4; 29/10; 63/20; 5/2; 45/17; ; 29/10; 29/10; ; 14/5; 14/5; 3
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-08 10:25:23 GMT+3; 2017-10-08 11:00; Nothing; Xlenovo
Albacete; 1; 1; 19/20; 1; 1; 1; 1; 1; 19/20; 19/20; 1; 19/20; 1; 1; 1; 1; 21/20; 19/20; 51/50; 1; 19/20; ; 1; 1; ; 1; 20/21; 1
Draw; 2; 21/10; 11/5; 11/5; 11/5; 39/20; 2; 2; 11/5; 11/5; 11/5; 11/5; 11/5; 21/10; 21/10; 21/10; 21/10; 9/4; 117/50; 11/5; 28/13; ; 23/10; 47/20; ; 11/5; 9/4; 23/10
Lorca; 10/3; 14/5; 14/5; 11/4; 3; 27/10; 3; 13/5; 31/10; 14/5; 14/5; 29/10; 11/4; 11/4; 3; 14/5; 29/10; 31/10; 10/3; 11/4; 31/10; ; 31/10; 3; ; 3; 3; 10/3
META; spain/la-liga-segunda/albacete-v-lorca; 2017-10-08 14:25:41 GMT+3; 2017-10-08 11:00; In Play; Xlenovo
Albacete; 1/5; 1/5; 5/18; 1/4; 2/7; 2/11; 2/7; 1/8; 3/14; 3/10; 1/4; 1/4; 1/4; ; 2/7; 2/9; 3/16; 5/18; ; ; 3/13; ; 2/9; 2/9; ; ; 1/4; 1/4
Draw; 4; 15/4; 10/3; 18/5; 7/2; 15/4; 7/2; 9/2; 41/10; 13/4; 33/10; 18/5; 15/4; ; 16/5; 7/2; 18/5; 38/11; ; ; 39/10; ; 19/5; 15/4; ; ; 7/2; 7/2
Lorca; 28; 22; 14; 14; 16; 22; 16; 25; 24; 12; 16; 16; 14; ; 11; 20; 22; 53/4; ; ; 24; ; 20; 28; ; ; 27; 24
