META; spain/la-liga-segunda/osasuna-v-granada; 2017-10-31 02:25:34 GMT+3; 2017-11-05 17:00; Nothing; Xlenovo
Granada; 10/3; 16/5; 3; 14/5; 14/5; 3; 10/3; 3; 17/5; 3; 10/3; 3; 14/5; 3; 7/2; 16/5; 31/10; 38/11; 79/20; 45/17; 57/17; 3; 16/5; 10/3; 7/2; ; 3; 3; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-03 14:26:24 GMT+2; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 10/11; 19/20; 1; 9/10; 10/11; 10/11; 5/6; 9/10; 19/20; 20/21; 20/21; 1; 19/20; 19/20; 19/20; 19/20; 19/20; 49/50; 19/20; 9/10; 9/10; 1; 19/20; 19/20; ; 5/6; 20/21; 
Draw; 2; 21/10; 21/10; 11/5; 21/10; 11/5; 2; 21/10; 11/5; 21/10; 11/5; 21/10; 11/5; 21/10; 2; 2; 23/10; 21/10; 107/ 50; 28/13; 28/13; ; 11/5; 9/4; 28/13; ; 2; 21/10; 
Granada; 10/3; 16/5; 3; 14/5; 14/5; 3; 10/3; 3; 17/5; 3; 10/3; 3; 14/5; 3; 7/2; 16/5; 31/10; 38/11; 79/20; 45/17; 57/17; 3; 16/5; 10/3; 7/2; ; 3; 3; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-03 18:25:41 GMT+2; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 10/11; 19/20; 1; 9/10; 10/11; 10/11; 5/6; 9/10; 19/20; 20/21; 20/21; 19/20; 19/20; 19/20; 19/20; 19/20; 10/11; 49/50; 19/20; 9/10; 9/10; 1; 19/20; 19/20; ; 5/6; ; 
Draw; 2; 21/10; 21/10; 11/5; 21/10; 11/5; 2; 21/10; 11/5; 21/10; 11/5; 21/10; 11/5; 21/10; 2; 2; 23/10; 28/13; 107/ 50; 28/13; 28/13; ; 11/5; 9/4; 28/13; ; 2; 2; 
Granada; 10/3; 16/5; 3; 14/5; 14/5; 3; 10/3; 3; 17/5; 3; 10/3; 3; 14/5; 3; 7/2; 16/5; 31/10; 38/11; 79/20; 45/17; 57/17; 3; 16/5; 10/3; 7/2; ; 3; ; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-03 22:26:15 GMT+2; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 10/11; 19/20; 1; 9/10; 10/11; 10/11; 5/6; 19/20; 19/20; 20/21; 20/21; 19/20; 19/20; 19/20; 19/20; 19/20; 19/20; 49/50; 19/20; 15/16; 9/10; 1; 19/20; 19/20; ; 10/11; ; 
Draw; 2; 21/10; 21/10; 11/5; 21/10; 11/5; 2; 21/10; 39/19; 21/10; 11/5; 21/10; 11/5; 21/10; 2; 2; 23/10; 21/10; 107/ 50; 28/13; 39/19; ; 11/5; 9/4; 28/13; ; 2; 2; 
Granada; 10/3; 16/5; 3; 14/5; 14/5; 3; 10/3; 3; 17/5; 3; 10/3; 3; 14/5; 3; 7/2; 16/5; 31/10; 38/11; 79/20; 45/17; 57/17; 3; 16/5; 10/3; 7/2; ; 3; ; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-04 02:25:29 GMT+2; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 10/11; 19/20; 1; 9/10; 10/11; 10/11; 5/6; 19/20; 19/20; 20/21; 20/21; 19/20; 19/20; 19/20; 19/20; 19/20; 19/20; 97/ 100; 19/20; 15/16; 9/10; 1; 19/20; 19/20; ; 10/11; ; 
Draw; 2; 21/10; 21/10; 11/5; 21/10; 11/5; 2; 21/10; 39/19; 21/10; 11/5; 21/10; 11/5; 21/10; 2; 2; 23/10; 21/10; 107/ 50; 28/13; 39/19; ; 11/5; 9/4; 21/10; ; 2; 2; 
Granada; 10/3; 16/5; 3; 14/5; 14/5; 3; 10/3; 3; 17/5; 3; 10/3; 3; 14/5; 3; 7/2; 16/5; 31/10; 38/11; 4; 45/17; 57/17; 3; 16/5; 10/3; 38/11; ; 3; ; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-04 10:25:32 GMT+2; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 10/11; 19/20; 1; 9/10; 10/11; 10/11; 5/6; 19/20; 19/20; 20/21; 20/21; 19/20; 19/20; 19/20; 19/20; 19/20; 10/11; 97/ 100; 19/20; 15/16; 9/10; 1; 19/20; 19/20; ; 10/11; ; 
Draw; 2; 21/10; 21/10; 11/5; 21/10; 11/5; 2; 21/10; 39/19; 21/10; 11/5; 21/10; 11/5; 21/10; 2; 2; 23/10; 28/13; 107/ 50; 28/13; 39/19; ; 11/5; 9/4; 28/13; ; 21/10; 2; 
Granada; 10/3; 16/5; 3; 14/5; 14/5; 3; 10/3; 3; 17/5; 3; 10/3; 3; 14/5; 3; 7/2; 16/5; 31/10; 38/11; 4; 45/17; 57/17; 3; 16/5; 10/3; 7/2; ; 3; ; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-04 14:26:32 GMT+2; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 10/11; 19/20; 1; 9/10; 10/11; 10/11; 5/6; 19/20; 19/20; 20/21; 20/21; 19/20; 19/20; 19/20; 19/20; 19/20; 19/20; 49/50; 19/20; 15/16; 9/10; 1; 19/20; 19/20; ; 5/6; ; 
Draw; 2; 21/10; 21/10; 11/5; 21/10; 11/5; 2; 21/10; 39/19; 21/10; 11/5; 21/10; 11/5; 21/10; 2; 21/10; 23/10; 21/10; 107/ 50; 28/13; 39/19; ; 11/5; 9/4; 21/10; ; 2; 2; 
Granada; 10/3; 16/5; 3; 14/5; 14/5; 3; 10/3; 3; 17/5; 3; 10/3; 3; 14/5; 3; 7/2; 3; 31/10; 38/11; 79/20; 45/17; 57/17; 3; 16/5; 10/3; 38/11; ; 11/4; ; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-04 18:24:48 GMT+2; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 10/11; 10/11; 19/20; 1; 9/10; 10/11; 10/11; 5/6; 19/20; 19/20; 20/21; 20/21; 19/20; 19/20; 19/20; 10/11; 19/20; 10/11; 49/50; 19/20; 15/16; 9/10; 20/21; 19/20; 19/20; ; 5/6; ; 
Draw; 21/10; 21/10; 21/10; 11/5; 21/10; 11/5; 2; 21/10; 39/19; 21/10; 21/10; 21/10; 11/5; 21/10; 2; 21/10; 23/10; 21/10; 107/ 50; 28/13; 39/19; ; 9/4; 9/4; 28/13; ; 2; 2; 
Granada; 15/4; 16/5; 3; 14/5; 14/5; 3; 10/3; 3; 17/5; 3; 7/2; 3; 3; 3; 7/2; 16/5; 31/10; 7/2; 79/20; 45/17; 57/17; 3; 33/10; 10/3; 7/2; ; 7/2; ; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-04 22:22:37 GMT+2; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 10/11; 10/11; 19/20; 1; 9/10; 10/11; 10/11; 5/6; 19/20; 19/20; 20/21; 20/23; 19/20; 19/20; 19/20; 10/11; 19/20; 10/11; 49/50; 19/20; 15/16; 9/10; 20/21; 19/20; 19/20; ; 10/11; ; 
Draw; 21/10; 85/40; 21/10; 11/5; 21/10; 11/5; 2; 21/10; 39/19; 21/10; 21/10; 11/5; 11/5; 21/10; 2; 21/10; 23/10; 21/10; 107/ 50; 28/13; 39/19; ; 9/4; 9/4; 28/13; ; 2; 2; 
Granada; 15/4; 3; 3; 14/5; 14/5; 3; 10/3; 3; 17/5; 3; 7/2; 10/3; 3; 3; 7/2; 10/3; 31/10; 7/2; 79/20; 45/17; 57/17; 3; 33/10; 10/3; 7/2; ; 7/2; ; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-05 02:24:42 GMT+2; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 10/11; 10/11; 19/20; 1; 9/10; 20/23; 10/11; 5/6; 19/20; 19/20; 20/21; 20/23; 1; 19/20; 19/20; 10/11; 19/20; 10/11; 49/50; 39/40; 15/16; 9/10; 1; 19/20; 19/20; ; 10/11; ; 
Draw; 21/10; 21/10; 21/10; 11/5; 21/10; 11/5; 2; 21/10; 39/19; 21/10; 21/10; 11/5; 11/5; 21/10; 2; 21/10; 23/10; 21/10; 107/ 50; 28/13; 39/19; ; 11/5; 9/4; 28/13; ; 21/10; 2; 
Granada; 15/4; 16/5; 3; 14/5; 14/5; 10/3; 10/3; 16/5; 17/5; 3; 7/2; 10/3; 14/5; 3; 7/2; 10/3; 31/10; 7/2; 79/20; 13/5; 57/17; 3; 33/10; 10/3; 7/2; ; 7/2; ; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-05 10:24:59 GMT+2; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 10/11; 1; 1; 19/20; 10/11; 10/11; 5/6; 19/20; 1; 20/21; 10/11; 1; 1; 19/20; 19/20; 1; 19/20; 26/25; 30/29; 15/16; 9/10; 1; 1; 1; ; 20/21; ; 
Draw; 21/10; 11/5; 11/5; 11/5; 39/20; 9/4; 9/4; 11/5; 39/19; 11/5; 9/4; 23/10; 9/4; 43/20; 9/4; 11/5; 21/10; 9/4; 111/ 50; 11/5; 39/19; 11/5; 23/10; 47/20; 9/4; ; 11/5; 2; 
Granada; 16/5; 3; 27/10; 14/5; 29/10; 3; 3; 11/4; 17/5; 27/10; 10/3; 14/5; 11/4; 11/4; 3; 14/5; 16/5; 58/19; 69/20; 13/5; 57/17; 11/4; 3; 3; 31/10; ; 3; ; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-05 14:24:26 GMT+2; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 10/11; 1; 1; 19/20; 10/11; 10/11; 5/6; 19/20; 1; 1; 20/21; 1; 1; 19/20; 1; 1; 1; 53/50; 30/29; 15/16; 10/11; 1; 1; 1; ; 21/20; ; 
Draw; 21/10; 11/5; 11/5; 11/5; 39/20; 9/4; 9/4; 11/5; 39/19; 11/5; 11/5; 23/10; 11/5; 11/5; 9/4; 21/10; 21/10; 9/4; 56/25; 11/5; 39/19; 85/40; 23/10; 47/20; 23/10; ; 2; 2; 
Granada; 16/5; 3; 27/10; 14/5; 29/10; 3; 3; 11/4; 17/5; 27/10; 3; 11/4; 13/5; 27/10; 3; 14/5; 16/5; 56/19; 10/3; 13/5; 57/17; 11/4; 3; 3; 3; ; 3; ; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-05 18:24:42 GMT+2; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 21/20; 19/20; 21/20; 1; 19/20; 19/20; 1; 5/6; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 1; 1; 1; 21/20; 117/ 100; 9/8; 24/23; 1; 11/10; 11/10; 21/20; ; 10/9; ; 
Draw; 21/10; 85/40; 11/5; 21/10; 39/20; 21/10; 2; 11/5; 21/10; 11/5; 21/10; 21/10; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 52/25; 39/19; 39/19; 85/40; 11/5; 11/5; 39/19; ; 19/10; 21/10; 
Granada; 3; 14/5; 13/5; 14/5; 29/10; 3; 3; 11/4; 56/19; 13/5; 3; 13/5; 13/5; 13/5; 16/5; 14/5; 16/5; 56/19; 63/20; 5/2; 29/10; 5/2; 14/5; 14/5; 58/19; ; 3; ; 
